
 Fermi energy:        -2.0010346665

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9283      1.00000
      2     -23.6065      1.00000
      3     -23.5620      1.00000
      4     -23.5324      1.00000
      5     -23.4264      1.00000
      6     -23.3194      1.00000
      7     -23.1075      1.00000
      8     -22.7361      1.00000
      9     -22.6642      1.00000
     10     -22.6578      1.00000
     11     -22.6281      1.00000
     12     -22.6029      1.00000
     13     -22.5719      1.00000
     14     -22.3635      1.00000
     15     -22.2441      1.00000
     16     -22.2258      1.00000
     17     -22.1638      1.00000
     18     -21.9426      1.00000
     19     -21.8901      1.00000
     20     -21.3739      1.00000
     21     -21.3656      1.00000
     22     -21.3282      1.00000
     23     -21.3243      1.00000
     24     -21.3210      1.00000
     25     -21.3186      1.00000
     26     -21.2935      1.00000
     27     -21.1269      1.00000
     28     -21.1160      1.00000
     29     -21.0911      1.00000
     30     -21.0075      1.00000
     31     -20.9918      1.00000
     32     -20.8881      1.00000
     33     -20.7751      1.00000
     34     -20.7671      1.00000
     35     -20.6894      1.00000
     36     -20.5670      1.00000
     37     -20.5576      1.00000
     38     -20.3849      1.00000
     39     -20.3592      1.00000
     40     -20.3320      1.00000
     41     -20.2593      1.00000
     42     -20.2368      1.00000
     43     -20.1866      1.00000
     44     -20.1423      1.00000
     45     -20.1001      1.00000
     46     -19.9856      1.00000
     47     -19.8258      1.00000
     48     -17.6453      1.00000
     49     -15.4170      1.00000
     50     -14.0545      1.00000
     51     -14.0060      1.00000
     52     -14.0020      1.00000
     53     -13.9636      1.00000
     54     -13.9477      1.00000
     55     -13.9196      1.00000
     56     -13.7990      1.00000
     57     -13.7925      1.00000
     58     -13.7338      1.00000
     59     -13.6495      1.00000
     60     -13.4371      1.00000
     61     -13.4122      1.00000
     62     -13.2264      1.00000
     63     -13.1841      1.00000
     64     -13.1830      1.00000
     65     -13.1016      1.00000
     66     -12.9927      1.00000
     67     -12.9654      1.00000
     68     -12.5383      1.00000
     69     -12.4643      1.00000
