
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4738      1.00000
      2     -24.1008      1.00000
      3     -24.1004      1.00000
      4     -24.0876      1.00000
      5     -24.0479      1.00000
      6     -24.0289      1.00000
      7     -23.7450      1.00000
      8     -23.2942      1.00000
      9     -23.2801      1.00000
     10     -23.2728      1.00000
     11     -23.1910      1.00000
     12     -23.1866      1.00000
     13     -23.0947      1.00000
     14     -22.8988      1.00000
     15     -22.8926      1.00000
     16     -22.8871      1.00000
     17     -22.7460      1.00000
     18     -22.7303      1.00000
     19     -22.3795      1.00000
     20     -21.9134      1.00000
     21     -21.9089      1.00000
     22     -21.9037      1.00000
     23     -21.9005      1.00000
     24     -21.8952      1.00000
     25     -21.8868      1.00000
     26     -21.8811      1.00000
     27     -21.8388      1.00000
     28     -21.8307      1.00000
     29     -21.6586      1.00000
     30     -21.6512      1.00000
     31     -21.5988      1.00000
     32     -21.4374      1.00000
     33     -21.4316      1.00000
     34     -21.4197      1.00000
     35     -21.2274      1.00000
     36     -21.2210      1.00000
     37     -21.1454      1.00000
     38     -20.9675      1.00000
     39     -20.9655      1.00000
     40     -20.9598      1.00000
     41     -20.8825      1.00000
     42     -20.8667      1.00000
     43     -20.8502      1.00000
     44     -20.7856      1.00000
     45     -20.7446      1.00000
     46     -20.7427      1.00000
     47     -20.5954      1.00000
     48     -17.3555      1.00000
     49     -17.2597      1.00000
     50     -14.7073      1.00000
     51     -14.5882      1.00000
     52     -14.5784      1.00000
     53     -14.5495      1.00000
     54     -14.5263      1.00000
     55     -14.5187      1.00000
     56     -14.4526      1.00000
     57     -14.3250      1.00000
     58     -14.3155      1.00000
     59     -14.2931      1.00000
     60     -14.2191      1.00000
     61     -14.2128      1.00000
     62     -13.8414      1.00000
     63     -13.7626      1.00000
     64     -13.7531      1.00000
     65     -13.7505      1.00000
     66     -13.6490      1.00000
     67     -13.6476      1.00000
     68     -13.1440      1.00000
     69     -13.0627      1.00000
     70     -13.0610      1.00000
     71     -13.0473      1.00000
     72     -13.0461      1.00000
     73     -13.0443      1.00000
     74     -13.0337      1.00000
     75     -12.9320      1.00000
     76     -12.9196      1.00000
     77     -12.8367      1.00000
     78     -12.7273      1.00000
     79     -12.7041      1.00000
     80     -12.4883      1.00000
     81     -12.3203      1.00000
     82     -12.3159      1.00000
     83     -12.2281      1.00000
     84     -12.2268      1.00000
     85     -12.0946      1.00000
     86     -11.5871      1.00000
     87     -11.5127      1.00000
     88     -11.5098      1.00000
     89     -11.3478      1.00000
     90     -11.3453      1.00000
     91     -11.3294      1.00000
     92     -10.7981      1.00000
     93     -10.7525      1.00000
     94     -10.7501      1.00000
     95     -10.7475      1.00000
     96     -10.6991      1.00000
     97     -10.6983      1.00000
     98     -10.6818      1.00000
     99     -10.3371      1.00000
