
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.6665      1.00000
      2     -24.4863      1.00000
      3     -24.2237      1.00000
      4     -24.1190      1.00000
      5     -24.0238      1.00000
      6     -23.9974      1.00000
      7     -23.9682      1.00000
      8     -23.6831      1.00000
      9     -23.4748      1.00000
     10     -23.3065      1.00000
     11     -23.2650      1.00000
     12     -23.2108      1.00000
     13     -23.1413      1.00000
     14     -23.0109      1.00000
     15     -22.9699      1.00000
     16     -22.9224      1.00000
     17     -22.8951      1.00000
     18     -22.8150      1.00000
     19     -22.7441      1.00000
     20     -22.3103      1.00000
     21     -22.1704      1.00000
     22     -21.9886      1.00000
     23     -21.9532      1.00000
     24     -21.9272      1.00000
     25     -21.9110      1.00000
     26     -21.8554      1.00000
     27     -21.8273      1.00000
     28     -21.8116      1.00000
     29     -21.7872      1.00000
     30     -21.7549      1.00000
     31     -21.6369      1.00000
     32     -21.5958      1.00000
     33     -21.4672      1.00000
     34     -21.4411      1.00000
     35     -21.4257      1.00000
     36     -21.4083      1.00000
     37     -21.2679      1.00000
     38     -21.0617      1.00000
     39     -21.0262      1.00000
     40     -20.9705      1.00000
     41     -20.9222      1.00000
     42     -20.9063      1.00000
     43     -20.8334      1.00000
     44     -20.8050      1.00000
     45     -20.7697      1.00000
     46     -20.7579      1.00000
     47     -20.6823      1.00000
     48     -20.6766      1.00000
     49     -17.4989      1.00000
     50     -15.4726      1.00000
     51     -14.7725      1.00000
     52     -14.6370      1.00000
     53     -14.5928      1.00000
     54     -14.5626      1.00000
     55     -14.4864      1.00000
     56     -14.4600      1.00000
     57     -14.3770      1.00000
     58     -14.3677      1.00000
     59     -14.3157      1.00000
     60     -14.2624      1.00000
     61     -14.2164      1.00000
     62     -14.0051      1.00000
     63     -13.9480      1.00000
     64     -13.8068      1.00000
     65     -13.7750      1.00000
     66     -13.6978      1.00000
     67     -13.6275      1.00000
     68     -13.3384      1.00000
     69     -13.2681      1.00000
     70     -13.1413      1.00000
     71     -13.1070      1.00000
     72     -13.0950      1.00000
     73     -13.0501      1.00000
     74     -13.0323      1.00000
     75     -13.0172      1.00000
     76     -12.9472      1.00000
     77     -12.9173      1.00000
     78     -12.8852      1.00000
     79     -12.7504      1.00000
     80     -12.4991      1.00000
     81     -12.3630      1.00000
     82     -12.3341      1.00000
     83     -12.2982      1.00000
     84     -12.2216      1.00000
     85     -12.1614      1.00000
     86     -11.7228      1.00000
     87     -11.6552      1.00000
     88     -11.5183      1.00000
     89     -11.4787      1.00000
     90     -11.4533      1.00000
     91     -11.3238      1.00000
     92     -11.0773      1.00000
     93     -10.9827      1.00000
     94     -10.9182      1.00000
     95     -10.8404      1.00000
     96     -10.7728      1.00000
     97     -10.6768      1.00000
     98     -10.6074      1.00000
     99     -10.5831      1.00000
    100     -10.5573      1.00000
    101     -10.4628      1.00000
    102     -10.4129      1.00000
    103     -10.3902      1.00000
    104     -10.3417      1.00000
    105     -10.3210      1.00000
    106     -10.3039      1.00000
    107     -10.2754      1.00000
    108     -10.2629      1.00000
    109     -10.2274      1.00000
    110     -10.2245      1.00000
    111     -10.2241      1.00000
    112     -10.2150      1.00000
    113     -10.1942      1.00000
    114     -10.1910      1.00000
    115     -10.1226      1.00000
    116     -10.0967      1.00000
    117     -10.0727      1.00000
    118     -10.0722      1.00000
    119     -10.0460      1.00000
    120      -9.9672      1.00000
    121      -9.8323      1.00000
    122      -9.8162      1.00000
    123      -9.6406      1.00000
    124      -9.5822      1.00000
    125      -9.4329      1.00000
    126      -9.4067      1.00000
    127      -9.3895      1.00000
    128      -9.3098      1.00000
    129      -9.1313      1.00000
    130      -9.1016      1.00000
    131      -9.0780      1.00000
    132      -9.0501      1.00000
    133      -8.9914      1.00000
    134      -8.9417      1.00000
    135      -8.9202      1.00000
    136      -8.9090      1.00000
    137      -8.8127      1.00000
    138      -8.7914      1.00000
    139      -8.7219      1.00000
    140      -8.6941      1.00000
    141      -8.6517      1.00000
    142      -8.6491      1.00000
    143      -8.6392      1.00000
    144      -8.6200      1.00000
    145      -8.5729      1.00000
    146      -8.5657      1.00000
    147      -8.5097      1.00000
    148      -8.4881      1.00000
    149      -8.4421      1.00000
    150      -8.4337      1.00000
    151      -8.3427      1.00000
    152      -8.3336      1.00000
    153      -8.3033      1.00000
    154      -8.2265      1.00000
    155      -8.1637      1.00000
    156      -7.9763      1.00000
    157      -7.8683      1.00000
    158      -7.6447      1.00000
    159      -7.4890      1.00000
    160      -7.3815      1.00000
    161      -7.3487      1.00000
    162      -7.3447      1.00000
    163      -7.2473      1.00000
    164      -7.2401      1.00000
    165      -7.1923      1.00000
    166      -7.1510      1.00000
    167      -7.1168      1.00000
    168      -7.1075      1.00000
    169      -7.0811      1.00000
    170      -7.0662      1.00000
    171      -7.0357      1.00000
    172      -7.0182      1.00000
    173      -7.0022      1.00000
    174      -6.9330      1.00000
    175      -6.7887      1.00000
    176      -6.7504      1.00000
    177      -6.5833      1.00000
    178      -6.4950      1.00000
    179      -6.4713      1.00000
    180      -6.4437      1.00000
    181      -6.4372      1.00000
    182      -6.3907      1.00000
    183      -6.2020      1.00000
    184      -5.8202      1.00000
    185      -5.7838      1.00000
    186      -5.7377      1.00000
    187      -5.6876      1.00000
    188      -5.6658      1.00000
    189      -5.5529      1.00000
    190      -5.4913      1.00000
    191      -5.4354      1.00000
    192      -5.4225      1.00000
    193      -5.3808      1.00000
    194      -5.3484      1.00000
    195      -3.8171      1.00000
    196       0.2947      0.00000
    197       0.3234      1.00000
    198       0.9646      0.00000
    199       0.9835      0.00000
    200       0.9886      0.00000
    201       1.0038      0.00000
    202       1.0101      0.00000
    203       1.0159      0.00000
    204       1.0832      0.00000
    205       1.1128      0.00000
    206       1.1303      0.00000
    207       1.1832      0.00000
    208       1.2016      0.00000
    209       1.2553      0.00000
    210       1.2835      0.00000
    211       1.2928      0.00000
    212       1.3708      0.00000
    213       1.4119      0.00000
    214       1.4360      0.00000
    215       1.4521      0.00000
    216       1.5163      0.00000
    217       1.5925      0.00000
    218       1.6646      0.00000
    219       1.7092      0.00000
    220       1.7185      0.00000
    221       1.7383      0.00000
