
 Fermi energy:        -5.0850653740

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.0905      1.00000
      2     -24.8275      1.00000
      3     -24.6683      1.00000
      4     -24.4691      1.00000
      5     -24.3110      1.00000
      6     -24.2541      1.00000
      7     -24.2118      1.00000
      8     -24.0674      1.00000
      9     -23.9694      1.00000
     10     -23.6763      1.00000
     11     -23.5769      1.00000
     12     -23.5498      1.00000
     13     -23.4443      1.00000
     14     -23.3031      1.00000
     15     -23.2450      1.00000
     16     -23.2063      1.00000
     17     -23.1924      1.00000
     18     -23.1201      1.00000
     19     -23.0504      1.00000
     20     -22.7802      1.00000
     21     -22.6708      1.00000
     22     -22.4990      1.00000
     23     -22.3606      1.00000
     24     -22.2872      1.00000
     25     -22.1967      1.00000
     26     -22.1360      1.00000
     27     -22.1148      1.00000
     28     -22.1084      1.00000
     29     -22.0715      1.00000
     30     -21.9950      1.00000
     31     -21.9359      1.00000
     32     -21.9042      1.00000
     33     -21.7528      1.00000
     34     -21.7114      1.00000
     35     -21.6800      1.00000
     36     -21.6533      1.00000
     37     -21.6230      1.00000
     38     -21.4027      1.00000
     39     -21.3142      1.00000
     40     -21.2798      1.00000
     41     -21.2520      1.00000
     42     -21.0904      1.00000
     43     -21.0664      1.00000
     44     -21.0309      1.00000
     45     -21.0055      1.00000
     46     -20.9794      1.00000
     47     -20.9619      1.00000
     48     -20.3696      1.00000
     49     -19.0784      1.00000
     50     -16.4107      1.00000
     51     -15.4677      1.00000
     52     -15.1957      1.00000
     53     -14.9966      1.00000
     54     -14.8853      1.00000
     55     -14.7933      1.00000
     56     -14.6930      1.00000
     57     -14.6645      1.00000
     58     -14.6595      1.00000
     59     -14.6031      1.00000
     60     -14.5707      1.00000
     61     -14.4638      1.00000
     62     -14.3826      1.00000
     63     -14.3005      1.00000
     64     -14.1563      1.00000
     65     -14.0971      1.00000
     66     -13.9936      1.00000
     67     -13.9417      1.00000
     68     -13.6561      1.00000
     69     -13.5873      1.00000
     70     -13.4846      1.00000
     71     -13.4472      1.00000
     72     -13.4055      1.00000
     73     -13.4000      1.00000
     74     -13.3478      1.00000
     75     -13.3119      1.00000
     76     -13.2905      1.00000
     77     -13.2670      1.00000
     78     -13.2028      1.00000
     79     -13.0741      1.00000
     80     -12.8334      1.00000
     81     -12.7156      1.00000
     82     -12.6093      1.00000
     83     -12.5752      1.00000
     84     -12.5462      1.00000
     85     -12.4670      1.00000
     86     -12.2293      1.00000
