
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -30.8931      1.00000
      2     -25.1136      1.00000
      3     -24.3998      1.00000
      4     -24.2702      1.00000
      5     -24.0473      1.00000
      6     -24.0147      1.00000
      7     -24.0120      1.00000
      8     -23.9649      1.00000
      9     -23.6792      1.00000
     10     -23.5245      1.00000
     11     -23.3248      1.00000
     12     -23.2976      1.00000
     13     -23.2515      1.00000
     14     -23.1124      1.00000
     15     -22.9737      1.00000
     16     -22.9633      1.00000
     17     -22.9117      1.00000
     18     -22.9066      1.00000
     19     -22.8770      1.00000
     20     -22.6977      1.00000
     21     -22.3575      1.00000
     22     -22.2317      1.00000
     23     -22.0730      1.00000
     24     -22.0014      1.00000
     25     -21.9791      1.00000
     26     -21.8681      1.00000
     27     -21.8523      1.00000
     28     -21.8235      1.00000
     29     -21.8186      1.00000
     30     -21.8119      1.00000
     31     -21.7992      1.00000
     32     -21.6036      1.00000
     33     -21.5648      1.00000
     34     -21.5404      1.00000
     35     -21.3981      1.00000
     36     -21.3863      1.00000
     37     -21.3806      1.00000
     38     -21.2065      1.00000
     39     -21.1964      1.00000
     40     -20.9726      1.00000
     41     -20.9624      1.00000
     42     -20.9446      1.00000
     43     -20.9371      1.00000
     44     -20.7990      1.00000
     45     -20.7965      1.00000
     46     -20.7172      1.00000
     47     -20.7158      1.00000
     48     -20.7062      1.00000
     49     -20.6990      1.00000
     50     -18.1667      1.00000
     51     -16.6947      1.00000
     52     -15.4301      1.00000
     53     -14.7145      1.00000
     54     -14.6539      1.00000
     55     -14.5702      1.00000
     56     -14.4794      1.00000
     57     -14.3925      1.00000
     58     -14.3896      1.00000
     59     -14.3711      1.00000
     60     -14.3634      1.00000
     61     -14.3242      1.00000
     62     -14.2027      1.00000
     63     -14.1170      1.00000
     64     -13.9938      1.00000
     65     -13.9221      1.00000
     66     -13.8378      1.00000
     67     -13.8236      1.00000
     68     -13.5161      1.00000
     69     -13.5037      1.00000
     70     -13.4500      1.00000
     71     -13.3085      1.00000
     72     -13.2810      1.00000
     73     -13.2046      1.00000
     74     -13.1325      1.00000
     75     -13.0877      1.00000
     76     -13.0530      1.00000
     77     -13.0469      1.00000
     78     -13.0188      1.00000
     79     -13.0163      1.00000
     80     -13.0085      1.00000
     81     -12.7333      1.00000
     82     -12.6904      1.00000
     83     -12.5800      1.00000
     84     -12.4763      1.00000
     85     -12.2834      1.00000
     86     -12.2797      1.00000
     87     -12.0248      1.00000
     88     -11.9707      1.00000
     89     -11.7898      1.00000
     90     -11.7158      1.00000
     91     -11.6195      1.00000
     92     -11.5891      1.00000
     93     -11.4179      1.00000
     94     -11.3558      1.00000
     95     -11.2079      1.00000
     96     -10.9107      1.00000
     97     -10.8242      1.00000
     98     -10.7911      1.00000
     99     -10.7179      1.00000
    100     -10.6725      1.00000
    101     -10.6147      1.00000
    102     -10.5369      1.00000
    103     -10.5183      1.00000
