
 Fermi energy:        -0.4116300639

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.2254      1.00000
      2     -24.9033      1.00000
      3     -24.2636      1.00000
      4     -24.0408      1.00000
      5     -23.9189      1.00000
      6     -23.9044      1.00000
      7     -23.8907      1.00000
      8     -23.8209      1.00000
      9     -23.5266      1.00000
     10     -23.3562      1.00000
     11     -23.1395      1.00000
     12     -23.1379      1.00000
     13     -23.1091      1.00000
     14     -22.9943      1.00000
     15     -22.8719      1.00000
     16     -22.8595      1.00000
     17     -22.7656      1.00000
     18     -22.7587      1.00000
     19     -22.7476      1.00000
     20     -22.5381      1.00000
     21     -22.2093      1.00000
     22     -22.0897      1.00000
     23     -21.8184      1.00000
     24     -21.8182      1.00000
     25     -21.7694      1.00000
     26     -21.7499      1.00000
     27     -21.7232      1.00000
     28     -21.7212      1.00000
     29     -21.7125      1.00000
     30     -21.7076      1.00000
     31     -21.7057      1.00000
     32     -21.4868      1.00000
     33     -21.4372      1.00000
     34     -21.3931      1.00000
     35     -21.3120      1.00000
     36     -21.2999      1.00000
     37     -21.2926      1.00000
     38     -21.0611      1.00000
     39     -21.0049      1.00000
     40     -20.8609      1.00000
     41     -20.8232      1.00000
     42     -20.8192      1.00000
     43     -20.8116      1.00000
     44     -20.6942      1.00000
     45     -20.6935      1.00000
     46     -20.6333      1.00000
     47     -20.6305      1.00000
     48     -20.6211      1.00000
     49     -20.6120      1.00000
     50     -17.0748      1.00000
     51     -15.1657      1.00000
     52     -15.0894      1.00000
     53     -14.4741      1.00000
     54     -14.4545      1.00000
     55     -14.4454      1.00000
     56     -14.3241      1.00000
     57     -14.3017      1.00000
     58     -14.2910      1.00000
     59     -14.2610      1.00000
     60     -14.2571      1.00000
     61     -14.2110      1.00000
     62     -13.9897      1.00000
     63     -13.9095      1.00000
     64     -13.8407      1.00000
     65     -13.7289      1.00000
     66     -13.7084      1.00000
     67     -13.6766      1.00000
     68     -13.3509      1.00000
     69     -13.3110      1.00000
     70     -13.2026      1.00000
     71     -13.1766      1.00000
     72     -13.0737      1.00000
     73     -12.9685      1.00000
     74     -12.9514      1.00000
     75     -12.9258      1.00000
     76     -12.9210      1.00000
     77     -12.9052      1.00000
     78     -12.9049      1.00000
     79     -12.9012      1.00000
     80     -12.4430      1.00000
     81     -12.3969      1.00000
     82     -12.3818      1.00000
     83     -12.3412      1.00000
     84     -12.1812      1.00000
     85     -12.1807      1.00000
     86     -12.1647      1.00000
     87     -11.7782      1.00000
     88     -11.7101      1.00000
     89     -11.6175      1.00000
     90     -11.5696      1.00000
     91     -11.4787      1.00000
     92     -11.4459      1.00000
     93     -11.1963      1.00000
     94     -11.0729      1.00000
     95     -10.9646      1.00000
     96     -10.7714      1.00000
     97     -10.6626      1.00000
     98     -10.6589      1.00000
     99     -10.5404      1.00000
    100     -10.4956      1.00000
    101     -10.4727      1.00000
    102     -10.3996      1.00000
    103     -10.3968      1.00000
    104     -10.2810      1.00000
    105     -10.2443      1.00000
    106     -10.2363      1.00000
    107     -10.2125      1.00000
    108     -10.2050      1.00000
    109     -10.1934      1.00000
    110     -10.1754      1.00000
    111     -10.1650      1.00000
    112     -10.1545      1.00000
    113     -10.1068      1.00000
    114     -10.1062      1.00000
    115     -10.1049      1.00000
    116     -10.0960      1.00000
    117     -10.0912      1.00000
    118     -10.0911      1.00000
    119     -10.0840      1.00000
    120     -10.0284      1.00000
    121     -10.0125      1.00000
    122     -10.0046      1.00000
    123      -9.6542      1.00000
    124      -9.5846      1.00000
    125      -9.5687      1.00000
    126      -9.5460      1.00000
    127      -9.3662      1.00000
    128      -9.3585      1.00000
    129      -9.3582      1.00000
    130      -9.2988      1.00000
    131      -9.0696      1.00000
    132      -8.9985      1.00000
    133      -8.9931      1.00000
    134      -8.9345      1.00000
    135      -8.9158      1.00000
    136      -8.9013      1.00000
    137      -8.7722      1.00000
    138      -8.7271      1.00000
    139      -8.7117      1.00000
    140      -8.7099      1.00000
    141      -8.6794      1.00000
    142      -8.5711      1.00000
    143      -8.5693      1.00000
    144      -8.5582      1.00000
    145      -8.5567      1.00000
    146      -8.5439      1.00000
    147      -8.5363      1.00000
    148      -8.5338      1.00000
    149      -8.4582      1.00000
    150      -8.4091      1.00000
    151      -8.4059      1.00000
    152      -8.4048      1.00000
    153      -8.2735      1.00000
    154      -8.2569      1.00000
    155      -8.2324      1.00000
    156      -8.1205      1.00000
    157      -8.1171      1.00000
    158      -8.0888      1.00000
    159      -7.9560      1.00000
    160      -7.4628      1.00000
    161      -7.4119      1.00000
    162      -7.3884      1.00000
    163      -7.2651      1.00000
    164      -7.2437      1.00000
    165      -7.2251      1.00000
    166      -7.2048      1.00000
    167      -7.1906      1.00000
    168      -7.0197      1.00000
    169      -7.0043      1.00000
    170      -6.9914      1.00000
    171      -6.9562      1.00000
    172      -6.9439      1.00000
    173      -6.9418      1.00000
    174      -6.9332      1.00000
    175      -6.9295      1.00000
    176      -6.9265      1.00000
    177      -6.5828      1.00000
    178      -6.5358      1.00000
    179      -6.5259      1.00000
    180      -6.4336      1.00000
    181      -6.4237      1.00000
    182      -6.3214      1.00000
    183      -6.3145      1.00000
    184      -6.3076      1.00000
    185      -5.9356      1.00000
    186      -5.7138      1.00000
    187      -5.6604      1.00000
    188      -5.5696      1.00000
    189      -5.5604      1.00000
    190      -5.5548      1.00000
    191      -5.3951      1.00000
    192      -5.3592      1.00000
    193      -5.2960      1.00000
    194      -5.2847      1.00000
    195      -5.2811      1.00000
    196      -5.2703      1.00000
    197      -1.9827      1.00000
    198      -0.6498      1.00000
    199       0.7164      0.00000
    200       0.8611      0.00000
    201       1.2353      0.00000
    202       1.2996      0.00000
    203       1.3217      0.00000
    204       1.3466      0.00000
    205       1.4293      0.00000
    206       1.4305      0.00000
    207       1.4433      0.00000
    208       1.4874      0.00000
    209       1.4987      0.00000
    210       1.5152      0.00000
    211       1.5166      0.00000
    212       1.5185      0.00000
    213       1.5220      0.00000
    214       1.5526      0.00000
    215       1.5642      0.00000
    216       1.6489      0.00000
    217       1.6983      0.00000
    218       1.7503      0.00000
    219       1.7590      0.00000
    220       1.8285      0.00000
    221       1.8326      0.00000
    222       1.8648      0.00000
    223       2.0492      0.00000
    224       2.1555      0.00000
    225       2.2956      0.00000
    226       2.3157      0.00000
    227       2.3183      0.00000
    228       2.3807      0.00000
    229       2.3822      0.00000
    230       2.3984      0.00000
    231       2.5661      0.00000
    232       2.7090      0.00000
    233       2.7176      0.00000
    234       2.7457      0.00000
    235       2.7657      0.00000
    236       2.7740      0.00000
    237       2.7763      0.00000
    238       2.7898      0.00000
    239       2.7960      0.00000
    240       2.8423      0.00000
    241       2.8437      0.00000
    242       2.8586      0.00000
    243       2.8923      0.00000
    244       2.9037      0.00000
    245       2.9406      0.00000
    246       3.0192      0.00000
    247       3.0229      0.00000
    248       3.0857      0.00000
    249       3.0877      0.00000
    250       3.1008      0.00000
    251       3.1089      0.00000
    252       3.1801      0.00000
 Fermi energy:        -5.0300840990

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.9144      1.00000
      2     -24.7261      1.00000
      3     -24.2511      1.00000
      4     -24.0175      1.00000
      5     -23.9158      1.00000
      6     -23.9025      1.00000
      7     -23.8893      1.00000
      8     -23.8061      1.00000
      9     -23.4930      1.00000
     10     -23.3231      1.00000
     11     -23.1321      1.00000
     12     -23.1298      1.00000
     13     -23.1073      1.00000
     14     -22.9873      1.00000
     15     -22.8645      1.00000
     16     -22.8508      1.00000
     17     -22.7588      1.00000
     18     -22.7533      1.00000
     19     -22.7422      1.00000
     20     -22.5233      1.00000
     21     -22.1856      1.00000
     22     -22.0606      1.00000
     23     -21.8080      1.00000
     24     -21.8069      1.00000
     25     -21.7653      1.00000
     26     -21.7452      1.00000
     27     -21.7218      1.00000
     28     -21.7191      1.00000
     29     -21.7119      1.00000
     30     -21.7071      1.00000
     31     -21.7042      1.00000
     32     -21.4832      1.00000
     33     -21.4333      1.00000
     34     -21.3860      1.00000
     35     -21.3095      1.00000
     36     -21.2975      1.00000
     37     -21.2913      1.00000
     38     -21.0550      1.00000
     39     -21.0003      1.00000
     40     -20.8563      1.00000
     41     -20.8227      1.00000
     42     -20.8180      1.00000
     43     -20.8099      1.00000
     44     -20.6935      1.00000
     45     -20.6930      1.00000
     46     -20.6322      1.00000
     47     -20.6296      1.00000
     48     -20.6194      1.00000
     49     -20.6118      1.00000
     50     -16.6604      1.00000
     51     -15.0743      1.00000
     52     -14.9762      1.00000
     53     -14.4545      1.00000
     54     -14.4405      1.00000
     55     -14.4398      1.00000
     56     -14.3114      1.00000
     57     -14.2919      1.00000
     58     -14.2877      1.00000
     59     -14.2520      1.00000
     60     -14.2466      1.00000
     61     -14.2052      1.00000
     62     -13.9669      1.00000
     63     -13.8947      1.00000
     64     -13.8218      1.00000
     65     -13.7147      1.00000
     66     -13.6933      1.00000
     67     -13.6639      1.00000
     68     -13.3340      1.00000
     69     -13.2655      1.00000
     70     -13.1803      1.00000
     71     -13.1641      1.00000
     72     -13.0549      1.00000
     73     -12.9565      1.00000
     74     -12.9419      1.00000
     75     -12.9168      1.00000
     76     -12.9146      1.00000
     77     -12.9009      1.00000
     78     -12.9006      1.00000
     79     -12.8979      1.00000
     80     -12.4110      1.00000
     81     -12.3764      1.00000
     82     -12.3600      1.00000
     83     -12.3161      1.00000
     84     -12.1790      1.00000
     85     -12.1763      1.00000
     86     -11.8215      1.00000
     87     -11.6874      1.00000
     88     -11.6105      1.00000
     89     -11.5597      1.00000
     90     -11.4840      1.00000
     91     -11.4538      1.00000
     92     -11.2412      1.00000
     93     -11.1561      1.00000
     94     -11.0492      1.00000
     95     -10.9411      1.00000
     96     -10.7568      1.00000
     97     -10.6518      1.00000
     98     -10.6490      1.00000
     99     -10.5039      1.00000
    100     -10.4847      1.00000
    101     -10.4622      1.00000
    102     -10.3924      1.00000
    103     -10.3624      1.00000
    104     -10.2723      1.00000
    105     -10.2381      1.00000
    106     -10.2049      1.00000
    107     -10.2026      1.00000
    108     -10.1842      1.00000
    109     -10.1700      1.00000
    110     -10.1661      1.00000
    111     -10.1490      1.00000
    112     -10.1057      1.00000
    113     -10.1037      1.00000
    114     -10.1023      1.00000
    115     -10.0922      1.00000
    116     -10.0888      1.00000
    117     -10.0857      1.00000
    118     -10.0844      1.00000
    119     -10.0484      1.00000
    120     -10.0182      1.00000
    121     -10.0015      1.00000
    122      -9.9949      1.00000
    123      -9.6034      1.00000
    124      -9.5627      1.00000
    125      -9.5370      1.00000
    126      -9.4912      1.00000
    127      -9.3637      1.00000
    128      -9.3572      1.00000
    129      -9.3564      1.00000
    130      -9.0584      1.00000
    131      -9.0255      1.00000
    132      -8.9734      1.00000
    133      -8.9443      1.00000
    134      -8.9074      1.00000
    135      -8.9070      1.00000
    136      -8.8777      1.00000
    137      -8.7654      1.00000
    138      -8.7179      1.00000
    139      -8.7025      1.00000
    140      -8.7008      1.00000
    141      -8.6396      1.00000
    142      -8.5696      1.00000
    143      -8.5597      1.00000
    144      -8.5563      1.00000
    145      -8.5413      1.00000
    146      -8.5351      1.00000
    147      -8.5319      1.00000
    148      -8.4790      1.00000
    149      -8.4123      1.00000
    150      -8.3887      1.00000
    151      -8.3837      1.00000
    152      -8.3723      1.00000
    153      -8.2662      1.00000
    154      -8.2510      1.00000
    155      -8.2135      1.00000
    156      -8.1195      1.00000
    157      -8.1148      1.00000
    158      -8.0872      1.00000
    159      -7.8193      1.00000
    160      -7.4015      1.00000
    161      -7.3995      1.00000
    162      -7.2574      1.00000
    163      -7.2366      1.00000
    164      -7.2288      1.00000
    165      -7.1913      1.00000
    166      -7.1863      1.00000
    167      -7.0918      1.00000
    168      -6.9848      1.00000
    169      -6.9764      1.00000
    170      -6.9501      1.00000
    171      -6.9459      1.00000
    172      -6.9317      1.00000
    173      -6.9294      1.00000
    174      -6.9241      1.00000
    175      -6.9195      1.00000
    176      -6.9131      1.00000
    177      -6.5520      1.00000
    178      -6.5331      1.00000
    179      -6.5211      1.00000
    180      -6.3813      1.00000
    181      -6.3807      1.00000
    182      -6.3079      1.00000
    183      -6.3001      1.00000
    184      -6.2920      1.00000
    185      -5.8841      1.00000
    186      -5.6668      1.00000
    187      -5.6123      1.00000
    188      -5.5549      1.00000
    189      -5.5536      1.00000
    190      -5.5533      1.00000
    191      -5.3846      1.00000
    192      -5.3508      1.00000
    193      -5.2814      1.00000
    194      -5.2747      1.00000
    195      -5.2744      1.00000
    196      -5.2629      1.00000
    197       0.6274      0.00000
    198       0.7823      0.00000
    199       1.0425      0.00000
    200       1.3114      0.00000
    201       1.3442      0.00000
    202       1.3512      0.00000
    203       1.3707      0.00000
    204       1.4289      0.00000
    205       1.4612      0.00000
    206       1.5033      0.00000
    207       1.5040      0.00000
    208       1.5223      0.00000
    209       1.5224      0.00000
    210       1.5329      0.00000
    211       1.5519      0.00000
    212       1.5814      0.00000
    213       1.5842      0.00000
    214       1.6324      0.00000
    215       1.6603      0.00000
    216       1.7605      0.00000
    217       1.8089      0.00000
    218       1.8365      0.00000
    219       1.8553      0.00000
    220       1.8840      0.00000
    221       1.9121      0.00000
    222       1.9332      0.00000
    223       2.2368      0.00000
    224       2.3823      0.00000
    225       2.4011      0.00000
    226       2.4110      0.00000
    227       2.4156      0.00000
    228       2.4504      0.00000
    229       2.4517      0.00000
    230       2.5480      0.00000
    231       2.7652      0.00000
    232       2.8232      0.00000
    233       2.8270      0.00000
    234       2.8278      0.00000
    235       2.8315      0.00000
    236       2.8545      0.00000
    237       2.8756      0.00000
    238       2.8849      0.00000
    239       2.8864      0.00000
    240       2.9082      0.00000
    241       2.9129      0.00000
    242       2.9251      0.00000
    243       3.0005      0.00000
    244       3.0294      0.00000
    245       3.0805      0.00000
    246       3.0966      0.00000
    247       3.1001      0.00000
    248       3.1050      0.00000
    249       3.1130      0.00000
    250       3.1195      0.00000
    251       3.1310      0.00000
    252       3.1390      0.00000

