
 Fermi energy:        -0.3213106303

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.6135      1.00000
      2     -24.2657      1.00000
      3     -24.0327      1.00000
      4     -24.0229      1.00000
      5     -23.9323      1.00000
      6     -23.9095      1.00000
      7     -23.8667      1.00000
      8     -23.3946      1.00000
      9     -23.2152      1.00000
     10     -23.1629      1.00000
     11     -23.1543      1.00000
     12     -23.1483      1.00000
     13     -23.0799      1.00000
     14     -22.8755      1.00000
     15     -22.8184      1.00000
     16     -22.7734      1.00000
     17     -22.7720      1.00000
     18     -22.7064      1.00000
     19     -22.6538      1.00000
     20     -22.0335      1.00000
     21     -21.9568      1.00000
     22     -21.9554      1.00000
     23     -21.8248      1.00000
     24     -21.7485      1.00000
     25     -21.7479      1.00000
     26     -21.7376      1.00000
     27     -21.7230      1.00000
     28     -21.6982      1.00000
     29     -21.6752      1.00000
     30     -21.6701      1.00000
     31     -21.5275      1.00000
     32     -21.4071      1.00000
     33     -21.3946      1.00000
     34     -21.2677      1.00000
     35     -21.2328      1.00000
     36     -21.2249      1.00000
     37     -21.1496      1.00000
     38     -21.0478      1.00000
     39     -20.8403      1.00000
     40     -20.8149      1.00000
     41     -20.7886      1.00000
     42     -20.7828      1.00000
     43     -20.6987      1.00000
     44     -20.6888      1.00000
     45     -20.6008      1.00000
     46     -20.5806      1.00000
     47     -20.5429      1.00000
     48     -20.5320      1.00000
     49     -19.8429      1.00000
     50     -15.5388      1.00000
     51     -14.5967      1.00000
     52     -14.5219      1.00000
     53     -14.5172      1.00000
     54     -14.4752      1.00000
     55     -14.4342      1.00000
     56     -14.3118      1.00000
     57     -14.2860      1.00000
     58     -14.2761      1.00000
     59     -14.1784      1.00000
     60     -14.1604      1.00000
     61     -14.1363      1.00000
     62     -13.8036      1.00000
     63     -13.7625      1.00000
     64     -13.7467      1.00000
     65     -13.6885      1.00000
     66     -13.6414      1.00000
     67     -13.5588      1.00000
     68     -13.1753      1.00000
     69     -13.1314      1.00000
     70     -13.1224      1.00000
     71     -13.0093      1.00000
     72     -12.9296      1.00000
     73     -12.9090      1.00000
     74     -12.8941      1.00000
     75     -12.8735      1.00000
     76     -12.8614      1.00000
     77     -12.8377      1.00000
     78     -12.8283      1.00000
     79     -12.7013      1.00000
     80     -12.4359      1.00000
     81     -12.2814      1.00000
     82     -12.2259      1.00000
     83     -12.1968      1.00000
     84     -12.1553      1.00000
     85     -12.1442      1.00000
     86     -11.5625      1.00000
     87     -11.5561      1.00000
     88     -11.4474      1.00000
     89     -11.3954      1.00000
     90     -11.3764      1.00000
     91     -11.3031      1.00000
     92     -10.8592      1.00000
     93     -10.7358      1.00000
     94     -10.7223      1.00000
     95     -10.6743      1.00000
     96     -10.5891      1.00000
     97     -10.5590      1.00000
     98     -10.5502      1.00000
     99     -10.5260      1.00000
    100     -10.3958      1.00000
    101     -10.3299      1.00000
    102     -10.2616      1.00000
    103     -10.2465      1.00000
    104     -10.2125      1.00000
    105     -10.2062      1.00000
    106     -10.1639      1.00000
    107     -10.1480      1.00000
    108     -10.1360      1.00000
    109     -10.1197      1.00000
    110     -10.1183      1.00000
    111     -10.1149      1.00000
    112     -10.1059      1.00000
    113     -10.0509      1.00000
    114     -10.0429      1.00000
    115     -10.0219      1.00000
    116     -10.0132      1.00000
    117      -9.9963      1.00000
    118      -9.9958      1.00000
    119      -9.9710      1.00000
    120      -9.9040      1.00000
    121      -9.8042      1.00000
    122      -9.7915      1.00000
    123      -9.4073      1.00000
    124      -9.3879      1.00000
    125      -9.3679      1.00000
    126      -9.3531      1.00000
    127      -9.2959      1.00000
    128      -9.2677      1.00000
    129      -9.0589      1.00000
    130      -9.0104      1.00000
    131      -8.9509      1.00000
    132      -8.9358      1.00000
    133      -8.9149      1.00000
    134      -8.8934      1.00000
    135      -8.8906      1.00000
    136      -8.7040      1.00000
    137      -8.6991      1.00000
    138      -8.5746      1.00000
    139      -8.5272      1.00000
    140      -8.5250      1.00000
    141      -8.4967      1.00000
    142      -8.4965      1.00000
    143      -8.4567      1.00000
    144      -8.4523      1.00000
    145      -8.4469      1.00000
    146      -8.4406      1.00000
    147      -8.4054      1.00000
    148      -8.3943      1.00000
    149      -8.3940      1.00000
    150      -8.3889      1.00000
    151      -8.3538      1.00000
    152      -8.3261      1.00000
    153      -8.1583      1.00000
    154      -8.0877      1.00000
    155      -8.0271      1.00000
    156      -7.9294      1.00000
    157      -7.8786      1.00000
    158      -7.7469      1.00000
    159      -7.3157      1.00000
    160      -7.1727      1.00000
    161      -7.1395      1.00000
    162      -7.1128      1.00000
    163      -7.1093      1.00000
    164      -7.0866      1.00000
    165      -7.0674      1.00000
    166      -7.0012      1.00000
    167      -6.9820      1.00000
    168      -6.9559      1.00000
    169      -6.9497      1.00000
    170      -6.9161      1.00000
    171      -6.9116      1.00000
    172      -6.8982      1.00000
    173      -6.8745      1.00000
    174      -6.8659      1.00000
    175      -6.8587      1.00000
    176      -6.7947      1.00000
    177      -6.4010      1.00000
    178      -6.3804      1.00000
    179      -6.3648      1.00000
    180      -6.3150      1.00000
    181      -6.2772      1.00000
    182      -6.2183      1.00000
    183      -6.2159      1.00000
    184      -6.1916      1.00000
    185      -5.6248      1.00000
    186      -5.5444      1.00000
    187      -5.5370      1.00000
    188      -5.5182      1.00000
    189      -5.5177      1.00000
    190      -5.4086      1.00000
    191      -5.3405      1.00000
    192      -5.2524      1.00000
    193      -5.2294      1.00000
    194      -5.1878      1.00000
    195      -5.1582      1.00000
    196      -5.0938      1.00000
    197      -0.5791      1.00000
    198       0.8764      0.00000
    199       0.8765      0.00000
    200       1.0676      0.00000
    201       1.3696      0.00000
    202       1.3716      0.00000
    203       1.4251      0.00000
    204       1.4494      0.00000
    205       1.5221      0.00000
    206       1.5347      0.00000
    207       1.5349      0.00000
    208       1.5720      0.00000
    209       1.5741      0.00000
    210       1.5887      0.00000
    211       1.5905      0.00000
    212       1.6131      0.00000
    213       1.6243      0.00000
    214       1.6931      0.00000
    215       1.7354      0.00000
    216       1.7971      0.00000
    217       1.8007      0.00000
    218       1.8220      0.00000
    219       1.8296      0.00000
    220       1.9874      0.00000
    221       2.0154      0.00000
    222       2.0331      0.00000
    223       2.2413      0.00000
    224       2.3936      0.00000
    225       2.4155      0.00000
    226       2.4312      0.00000
    227       2.4621      0.00000
    228       2.4690      0.00000
    229       2.5057      0.00000
    230       2.7464      0.00000
    231       2.8223      0.00000
    232       2.8262      0.00000
    233       2.8361      0.00000
    234       2.8547      0.00000
    235       2.8682      0.00000
    236       2.8696      0.00000
    237       2.8759      0.00000
    238       2.8904      0.00000
    239       2.8927      0.00000
    240       2.9077      0.00000
    241       2.9185      0.00000
    242       2.9321      0.00000
    243       2.9419      0.00000
    244       3.0560      0.00000
    245       3.0848      0.00000
    246       3.0879      0.00000
    247       3.1642      0.00000
    248       3.2173      0.00000
    249       3.2229      0.00000
    250       3.2421      0.00000
    251       3.2576      0.00000
    252       3.2832      0.00000
 Fermi energy:        -0.3213106303

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.6135      1.00000
      2     -24.2657      1.00000
      3     -24.0327      1.00000
      4     -24.0229      1.00000
      5     -23.9323      1.00000
      6     -23.9095      1.00000
      7     -23.8667      1.00000
      8     -23.3946      1.00000
      9     -23.2152      1.00000
     10     -23.1629      1.00000
     11     -23.1543      1.00000
     12     -23.1483      1.00000
     13     -23.0799      1.00000
     14     -22.8755      1.00000
     15     -22.8184      1.00000
     16     -22.7734      1.00000
     17     -22.7720      1.00000
     18     -22.7064      1.00000
     19     -22.6538      1.00000
     20     -22.0335      1.00000
     21     -21.9568      1.00000
     22     -21.9554      1.00000
     23     -21.8248      1.00000
     24     -21.7485      1.00000
     25     -21.7479      1.00000
     26     -21.7376      1.00000
     27     -21.7230      1.00000
     28     -21.6982      1.00000
     29     -21.6752      1.00000
     30     -21.6701      1.00000
     31     -21.5275      1.00000
     32     -21.4071      1.00000
     33     -21.3946      1.00000
     34     -21.2677      1.00000
     35     -21.2328      1.00000
     36     -21.2249      1.00000
     37     -21.1496      1.00000
     38     -21.0478      1.00000
     39     -20.8403      1.00000
     40     -20.8149      1.00000
     41     -20.7886      1.00000
     42     -20.7828      1.00000
     43     -20.6987      1.00000
     44     -20.6888      1.00000
     45     -20.6008      1.00000
     46     -20.5806      1.00000
     47     -20.5429      1.00000
     48     -20.5320      1.00000
     49     -19.8429      1.00000
     50     -15.5388      1.00000
     51     -14.5967      1.00000
     52     -14.5219      1.00000
     53     -14.5172      1.00000
     54     -14.4752      1.00000
     55     -14.4342      1.00000
     56     -14.3118      1.00000
     57     -14.2860      1.00000
     58     -14.2761      1.00000
     59     -14.1784      1.00000
     60     -14.1604      1.00000
     61     -14.1363      1.00000
     62     -13.8036      1.00000
     63     -13.7625      1.00000
     64     -13.7467      1.00000
     65     -13.6885      1.00000
     66     -13.6414      1.00000
     67     -13.5588      1.00000
     68     -13.1753      1.00000
     69     -13.1314      1.00000
     70     -13.1224      1.00000
     71     -13.0093      1.00000
     72     -12.9296      1.00000
     73     -12.9090      1.00000
     74     -12.8941      1.00000
     75     -12.8735      1.00000
     76     -12.8614      1.00000
     77     -12.8377      1.00000
     78     -12.8283      1.00000
     79     -12.7013      1.00000
     80     -12.4359      1.00000
     81     -12.2814      1.00000
     82     -12.2259      1.00000
     83     -12.1968      1.00000
