
 Fermi energy:        -5.2575405584

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8349      1.00000
      2     -24.5235      1.00000
      3     -24.5232      1.00000
      4     -24.3400      1.00000
      5     -24.3057      1.00000
      6     -24.3056      1.00000
      7     -24.2120      1.00000
      8     -23.6276      1.00000
      9     -23.6276      1.00000
     10     -23.6051      1.00000
     11     -23.6048      1.00000
     12     -23.5739      1.00000
     13     -23.3800      1.00000
     14     -23.2187      1.00000
     15     -23.1994      1.00000
     16     -23.1989      1.00000
     17     -23.1512      1.00000
     18     -23.1508      1.00000
     19     -22.9932      1.00000
     20     -22.3645      1.00000
     21     -22.3287      1.00000
     22     -22.3284      1.00000
     23     -22.2699      1.00000
     24     -22.2699      1.00000
     25     -22.1638      1.00000
     26     -22.1635      1.00000
     27     -22.1239      1.00000
     28     -22.1077      1.00000
     29     -22.1076      1.00000
     30     -22.0833      1.00000
     31     -21.9059      1.00000
     32     -21.8248      1.00000
     33     -21.8243      1.00000
     34     -21.6461      1.00000
     35     -21.6378      1.00000
     36     -21.6377      1.00000
     37     -21.5730      1.00000
     38     -21.4511      1.00000
     39     -21.2666      1.00000
     40     -21.2660      1.00000
     41     -21.2237      1.00000
     42     -21.2236      1.00000
     43     -21.0740      1.00000
     44     -21.0663      1.00000
     45     -20.9767      1.00000
     46     -20.9763      1.00000
     47     -20.9495      1.00000
     48     -20.9489      1.00000
     49     -18.4546      1.00000
     50     -15.0612      1.00000
     51     -14.9264      1.00000
     52     -14.9263      1.00000
     53     -14.8852      1.00000
     54     -14.8433      1.00000
     55     -14.8432      1.00000
     56     -14.6430      1.00000
     57     -14.6429      1.00000
     58     -14.6327      1.00000
     59     -14.5989      1.00000
     60     -14.5989      1.00000
     61     -14.5242      1.00000
     62     -14.1504      1.00000
     63     -14.1501      1.00000
     64     -14.0505      1.00000
     65     -14.0505      1.00000
     66     -14.0505      1.00000
     67     -13.9879      1.00000
     68     -13.4431      1.00000
     69     -13.4430      1.00000
     70     -13.4229      1.00000
     71     -13.3570      1.00000
     72     -13.3568      1.00000
     73     -13.3040      1.00000
     74     -13.3015      1.00000
     75     -13.3012      1.00000
     76     -13.2970      1.00000
     77     -13.2334      1.00000
     78     -13.2330      1.00000
     79     -13.1809      1.00000
     80     -12.6844      1.00000
     81     -12.6840      1.00000
     82     -12.5999      1.00000
     83     -12.5997      1.00000
     84     -12.5456      1.00000
     85     -12.5417      1.00000
     86     -11.8832      1.00000
     87     -11.8829      1.00000
     88     -11.8564      1.00000
     89     -11.7925      1.00000
     90     -11.7921      1.00000
     91     -11.7372      1.00000
     92     -11.1815      1.00000
     93     -11.0819      1.00000
     94     -11.0654      1.00000
     95     -11.0523      1.00000
     96     -11.0520      1.00000
     97     -11.0346      1.00000
     98     -11.0346      1.00000
     99     -10.7622      1.00000
    100     -10.6970      1.00000
    101     -10.6969      1.00000
    102     -10.6816      1.00000
    103     -10.6362      1.00000
    104     -10.6359      1.00000
    105     -10.5983      1.00000
    106     -10.5982      1.00000
    107     -10.5841      1.00000
    108     -10.5839      1.00000
    109     -10.5809      1.00000
    110     -10.4945      1.00000
    111     -10.4875      1.00000
    112     -10.4874      1.00000
    113     -10.4816      1.00000
    114     -10.4812      1.00000
    115     -10.4808      1.00000
    116     -10.4764      1.00000
    117     -10.4531      1.00000
    118     -10.3773      1.00000
    119     -10.3771      1.00000
    120     -10.2941      1.00000
    121     -10.2701      1.00000
    122     -10.2699      1.00000
    123      -9.8655      1.00000
    124      -9.8023      1.00000
    125      -9.8023      1.00000
    126      -9.7339      1.00000
    127      -9.7281      1.00000
    128      -9.7280      1.00000
    129      -9.3962      1.00000
    130      -9.3962      1.00000
    131      -9.3594      1.00000
    132      -9.3591      1.00000
    133      -9.3366      1.00000
    134      -9.2570      1.00000
    135      -9.1960      1.00000
    136      -9.1246      1.00000
    137      -9.1246      1.00000
    138      -9.0746      1.00000
    139      -8.9608      1.00000
    140      -8.9608      1.00000
    141      -8.9416      1.00000
    142      -8.8975      1.00000
    143      -8.8975      1.00000
    144      -8.8647      1.00000
    145      -8.8643      1.00000
    146      -8.8630      1.00000
    147      -8.8274      1.00000
    148      -8.8185      1.00000
    149      -8.8183      1.00000
    150      -8.7876      1.00000
    151      -8.7874      1.00000
    152      -8.6516      1.00000
    153      -8.5356      1.00000
    154      -8.5351      1.00000
    155      -8.5256      1.00000
    156      -8.4232      1.00000
    157      -8.2893      1.00000
    158      -8.2891      1.00000
    159      -7.7405      1.00000
    160      -7.6061      1.00000
    161      -7.6057      1.00000
    162      -7.5324      1.00000
    163      -7.5216      1.00000
    164      -7.5213      1.00000
    165      -7.5051      1.00000
    166      -7.4461      1.00000
    167      -7.4457      1.00000
    168      -7.4433      1.00000
    169      -7.4432      1.00000
    170      -7.3244      1.00000
    171      -7.3244      1.00000
    172      -7.3100      1.00000
    173      -7.2903      1.00000
    174      -7.2900      1.00000
    175      -7.2749      1.00000
    176      -7.0772      1.00000
    177      -6.8236      1.00000
    178      -6.8235      1.00000
    179      -6.8191      1.00000
    180      -6.8189      1.00000
