
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0238      1.00000
      2     -23.7016      1.00000
      3     -23.6698      1.00000
      4     -23.6104      1.00000
      5     -23.5095      1.00000
      6     -23.4291      1.00000
      7     -23.1262      1.00000
      8     -22.7864      1.00000
      9     -22.7702      1.00000
     10     -22.7623      1.00000
     11     -22.7050      1.00000
     12     -22.6918      1.00000
     13     -22.6262      1.00000
     14     -22.3784      1.00000
     15     -22.3562      1.00000
     16     -22.2810      1.00000
     17     -22.1982      1.00000
     18     -22.0742      1.00000
     19     -21.7286      1.00000
     20     -21.4732      1.00000
     21     -21.4569      1.00000
     22     -21.4438      1.00000
     23     -21.4374      1.00000
     24     -21.4067      1.00000
     25     -21.4029      1.00000
     26     -21.2668      1.00000
     27     -21.2610      1.00000
     28     -21.2299      1.00000
     29     -21.1549      1.00000
     30     -21.1097      1.00000
     31     -21.0367      1.00000
     32     -20.9470      1.00000
     33     -20.8921      1.00000
     34     -20.8436      1.00000
     35     -20.7548      1.00000
     36     -20.6605      1.00000
     37     -20.5008      1.00000
     38     -20.4863      1.00000
     39     -20.4600      1.00000
     40     -20.4139      1.00000
     41     -20.3810      1.00000
     42     -20.3468      1.00000
     43     -20.2831      1.00000
     44     -20.2408      1.00000
     45     -20.1535      1.00000
     46     -19.9884      1.00000
     47     -19.5906      1.00000
     48     -14.1452      1.00000
     49     -14.1096      1.00000
     50     -14.0763      1.00000
     51     -14.0682      1.00000
     52     -14.0375      1.00000
     53     -14.0305      1.00000
     54     -13.9491      1.00000
     55     -13.9414      1.00000
     56     -13.8983      1.00000
     57     -13.6208      1.00000
     58     -13.5235      1.00000
     59     -13.4864      1.00000
     60     -13.3778      1.00000
     61     -13.3686      1.00000
     62     -13.2105      1.00000
     63     -13.1964      1.00000
     64     -13.0863      1.00000
     65     -13.0295      1.00000
     66     -12.8554      1.00000
     67     -12.7447      1.00000
     68     -12.5928      1.00000
     69     -12.5723      1.00000
     70     -12.5643      1.00000
     71     -12.5511      1.00000
     72     -12.4864      1.00000
     73     -12.4735      1.00000
     74     -12.4028      1.00000
     75     -12.1491      1.00000
     76     -12.0228      1.00000
     77     -11.9890      1.00000
     78     -11.8703      1.00000
     79     -11.8161      1.00000
     80     -11.7095      1.00000
     81     -11.5895      1.00000
     82     -11.5293      1.00000
     83     -11.3870      1.00000
     84     -11.2016      1.00000
     85     -11.1601      1.00000
     86     -10.9617      1.00000
     87     -10.8852      1.00000
     88     -10.6924      1.00000
     89     -10.5077      1.00000
     90     -10.4805      1.00000
     91     -10.3507      1.00000
     92     -10.2904      1.00000
     93     -10.2421      1.00000
     94     -10.2034      1.00000
     95     -10.1735      1.00000
     96     -10.1372      1.00000
     97     -10.0789      1.00000
     98     -10.0348      1.00000
     99      -9.8743      1.00000
    100      -9.8580      1.00000
    101      -9.8465      1.00000
    102      -9.8291      1.00000
    103      -9.8055      1.00000
    104      -9.7951      1.00000
    105      -9.7855      1.00000
    106      -9.7829      1.00000
    107      -9.7506      1.00000
    108      -9.7138      1.00000
    109      -9.6944      1.00000
    110      -9.6767      1.00000
    111      -9.6414      1.00000
    112      -9.5921      1.00000
    113      -9.5521      1.00000
    114      -9.5309      1.00000
    115      -9.4416      1.00000
    116      -9.3603      1.00000
    117      -9.3233      1.00000
    118      -9.1891      1.00000
    119      -9.1610      1.00000
    120      -9.0464      1.00000
    121      -9.0370      1.00000
    122      -8.9932      1.00000
    123      -8.9087      1.00000
    124      -8.6305      1.00000
    125      -8.6119      1.00000
    126      -8.5977      1.00000
    127      -8.5668      1.00000
    128      -8.5553      1.00000
    129      -8.5295      1.00000
    130      -8.4602      1.00000
    131      -8.4128      1.00000
    132      -8.3917      1.00000
    133      -8.3413      1.00000
    134      -8.3246      1.00000
    135      -8.3087      1.00000
    136      -8.2754      1.00000
    137      -8.2497      1.00000
    138      -8.1997      1.00000
    139      -8.1335      1.00000
    140      -8.0861      1.00000
    141      -8.0746      1.00000
    142      -8.0112      1.00000
    143      -7.9945      1.00000
    144      -7.9460      1.00000
    145      -7.8957      1.00000
    146      -7.8568      1.00000
    147      -7.8170      1.00000
    148      -7.7633      1.00000
    149      -7.7034      1.00000
    150      -7.6707      1.00000
    151      -7.6591      1.00000
    152      -7.4766      1.00000
    153      -7.2864      1.00000
    154      -7.2479      1.00000
    155      -6.9431      1.00000
    156      -6.9330      1.00000
    157      -6.8607      1.00000
    158      -6.7995      1.00000
    159      -6.7507      1.00000
    160      -6.6960      1.00000
    161      -6.6918      1.00000
    162      -6.6839      1.00000
    163      -6.6662      1.00000
    164      -6.6501      1.00000
    165      -6.6399      1.00000
    166      -6.5079      1.00000
    167      -6.4470      1.00000
    168      -6.4028      1.00000
    169      -6.3748      1.00000
    170      -6.3478      1.00000
    171      -6.2655      1.00000
    172      -6.2074      1.00000
    173      -6.1562      1.00000
    174      -6.0818      1.00000
    175      -5.9982      1.00000
    176      -5.9163      1.00000
    177      -5.8142      1.00000
    178      -5.7555      1.00000
    179      -5.6227      1.00000
    180      -5.3879      1.00000
    181      -5.2475      1.00000
    182      -5.2225      1.00000
    183      -5.1916      1.00000
    184      -5.0859      1.00000
    185      -5.0546      1.00000
    186      -5.0370      1.00000
    187      -4.9322      1.00000
    188      -4.8667      1.00000
    189      -4.8366      1.00000
