
 Fermi energy:        -1.2314326899

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9602      1.00000
      2     -23.6369      1.00000
      3     -23.6001      1.00000
      4     -23.5541      1.00000
      5     -23.4501      1.00000
      6     -23.3554      1.00000
      7     -23.0604      1.00000
      8     -22.7185      1.00000
      9     -22.7059      1.00000
     10     -22.6916      1.00000
     11     -22.6447      1.00000
     12     -22.6314      1.00000
     13     -22.5587      1.00000
     14     -22.3070      1.00000
     15     -22.2783      1.00000
     16     -22.2258      1.00000
     17     -22.1428      1.00000
     18     -21.9970      1.00000
     19     -21.6528      1.00000
     20     -21.4073      1.00000
     21     -21.3942      1.00000
     22     -21.3812      1.00000
     23     -21.3781      1.00000
     24     -21.3378      1.00000
     25     -21.3375      1.00000
     26     -21.1942      1.00000
     27     -21.1878      1.00000
     28     -21.1580      1.00000
     29     -21.0919      1.00000
     30     -21.0389      1.00000
     31     -20.9838      1.00000
     32     -20.8623      1.00000
     33     -20.8179      1.00000
     34     -20.7839      1.00000
     35     -20.6927      1.00000
     36     -20.6024      1.00000
     37     -20.4415      1.00000
     38     -20.4108      1.00000
     39     -20.3822      1.00000
     40     -20.3494      1.00000
     41     -20.3212      1.00000
     42     -20.2648      1.00000
     43     -20.2208      1.00000
     44     -20.1881      1.00000
     45     -20.0680      1.00000
     46     -19.9538      1.00000
     47     -19.6216      1.00000
     48     -14.0774      1.00000
     49     -14.0356      1.00000
     50     -14.0160      1.00000
     51     -14.0096      1.00000
     52     -13.9750      1.00000
     53     -13.9654      1.00000
     54     -13.8960      1.00000
     55     -13.8648      1.00000
     56     -13.8318      1.00000
     57     -13.5534      1.00000
     58     -13.4569      1.00000
     59     -13.4292      1.00000
     60     -13.3163      1.00000
     61     -13.2922      1.00000
     62     -13.1480      1.00000
     63     -13.1407      1.00000
     64     -13.0354      1.00000
     65     -12.9543      1.00000
     66     -12.8017      1.00000
     67     -12.6427      1.00000
     68     -12.5228      1.00000
     69     -12.5048      1.00000
     70     -12.4940      1.00000
     71     -12.4900      1.00000
     72     -12.4377      1.00000
     73     -12.4274      1.00000
     74     -12.3272      1.00000
     75     -12.0902      1.00000
     76     -11.9490      1.00000
     77     -11.9209      1.00000
     78     -11.7991      1.00000
     79     -11.7548      1.00000
     80     -11.6401      1.00000
     81     -11.5239      1.00000
     82     -11.4619      1.00000
     83     -11.3167      1.00000
     84     -11.1368      1.00000
     85     -11.0844      1.00000
     86     -10.8987      1.00000
     87     -10.8244      1.00000
