
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3445      1.00000
      2     -23.9625      1.00000
      3     -23.9621      1.00000
      4     -23.9564      1.00000
      5     -23.8788      1.00000
      6     -23.8787      1.00000
      7     -23.7887      1.00000
      8     -23.1361      1.00000
      9     -23.1360      1.00000
     10     -23.1272      1.00000
     11     -23.0670      1.00000
     12     -23.0667      1.00000
     13     -23.0590      1.00000
     14     -22.7706      1.00000
     15     -22.7697      1.00000
     16     -22.7074      1.00000
     17     -22.6678      1.00000
     18     -22.6673      1.00000
     19     -22.6129      1.00000
     20     -21.7663      1.00000
     21     -21.7662      1.00000
     22     -21.7438      1.00000
     23     -21.7437      1.00000
     24     -21.7393      1.00000
     25     -21.7274      1.00000
     26     -21.7134      1.00000
     27     -21.7129      1.00000
     28     -21.7112      1.00000
     29     -21.5812      1.00000
     30     -21.5808      1.00000
     31     -21.5439      1.00000
     32     -21.2899      1.00000
     33     -21.2899      1.00000
     34     -21.2473      1.00000
     35     -21.2095      1.00000
     36     -21.2091      1.00000
     37     -21.1743      1.00000
     38     -20.7993      1.00000
     39     -20.7991      1.00000
     40     -20.7753      1.00000
     41     -20.7458      1.00000
     42     -20.7384      1.00000
     43     -20.7380      1.00000
     44     -20.5978      1.00000
     45     -20.5797      1.00000
     46     -20.5795      1.00000
     47     -20.5483      1.00000
     48     -20.4342      1.00000
     49     -20.4330      1.00000
     50     -14.4440      1.00000
     51     -14.4068      1.00000
     52     -14.4064      1.00000
     53     -14.4061      1.00000
     54     -14.3979      1.00000
     55     -14.3979      1.00000
     56     -14.2118      1.00000
     57     -14.2112      1.00000
     58     -14.2022      1.00000
     59     -14.1793      1.00000
     60     -14.1049      1.00000
     61     -14.1048      1.00000
     62     -13.6676      1.00000
     63     -13.6139      1.00000
     64     -13.6136      1.00000
     65     -13.6136      1.00000
     66     -13.5837      1.00000
     67     -13.5832      1.00000
     68     -12.9763      1.00000
     69     -12.9758      1.00000
     70     -12.9233      1.00000
     71     -12.8828      1.00000
     72     -12.8802      1.00000
     73     -12.8802      1.00000
     74     -12.8664      1.00000
