
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3838      1.00000
      2     -24.0880      1.00000
      3     -23.9925      1.00000
      4     -23.9461      1.00000
      5     -23.9219      1.00000
      6     -23.8690      1.00000
      7     -23.7038      1.00000
      8     -23.2364      1.00000
      9     -23.1948      1.00000
     10     -23.1585      1.00000
     11     -23.1094      1.00000
     12     -23.0496      1.00000
     13     -22.9731      1.00000
     14     -22.8230      1.00000
     15     -22.8118      1.00000
     16     -22.7587      1.00000
     17     -22.6932      1.00000
     18     -22.6119      1.00000
     19     -22.3752      1.00000
     20     -21.8979      1.00000
     21     -21.8375      1.00000
     22     -21.8205      1.00000
     23     -21.8053      1.00000
     24     -21.7728      1.00000
     25     -21.7609      1.00000
     26     -21.7464      1.00000
     27     -21.7330      1.00000
     28     -21.7123      1.00000
     29     -21.6333      1.00000
     30     -21.5349      1.00000
     31     -21.4544      1.00000
     32     -21.3733      1.00000
     33     -21.3478      1.00000
     34     -21.3183      1.00000
     35     -21.2282      1.00000
     36     -21.1427      1.00000
     37     -21.0074      1.00000
     38     -20.8949      1.00000
     39     -20.8463      1.00000
     40     -20.8230      1.00000
     41     -20.8057      1.00000
     42     -20.7428      1.00000
     43     -20.7072      1.00000
     44     -20.6676      1.00000
     45     -20.6517      1.00000
     46     -20.6418      1.00000
     47     -20.4911      1.00000
     48     -15.1431      1.00000
     49     -14.5521      1.00000
     50     -14.4919      1.00000
     51     -14.4659      1.00000
     52     -14.4086      1.00000
     53     -14.3850      1.00000
     54     -14.3650      1.00000
     55     -14.3273      1.00000
     56     -14.2605      1.00000
     57     -14.1955      1.00000
     58     -14.1190      1.00000
     59     -14.0561      1.00000
     60     -13.9756      1.00000
     61     -13.8581      1.00000
     62     -13.6804      1.00000
     63     -13.6189      1.00000
     64     -13.5594      1.00000
     65     -13.5061      1.00000
     66     -13.4417      1.00000
     67     -13.3087      1.00000
