
 Fermi energy:         0.4740229638

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.7590      1.00000
      2     -23.9458      1.00000
      3     -23.6455      1.00000
      4     -23.5907      1.00000
      5     -23.4694      1.00000
      6     -23.4132      1.00000
      7     -23.2640      1.00000
      8     -22.9290      1.00000
      9     -22.7799      1.00000
     10     -22.7060      1.00000
     11     -22.6398      1.00000
     12     -22.5893      1.00000
     13     -22.5260      1.00000
     14     -22.4407      1.00000
     15     -22.3591      1.00000
     16     -22.2370      1.00000
     17     -22.0932      1.00000
     18     -22.0033      1.00000
     19     -21.9151      1.00000
     20     -21.5327      1.00000
     21     -21.4300      1.00000
     22     -21.3816      1.00000
     23     -21.3556      1.00000
     24     -21.3287      1.00000
     25     -21.3005      1.00000
     26     -21.2436      1.00000
     27     -21.2322      1.00000
     28     -21.1083      1.00000
     29     -21.0484      1.00000
     30     -20.9810      1.00000
     31     -20.9535      1.00000
     32     -20.8719      1.00000
     33     -20.7875      1.00000
     34     -20.7018      1.00000
     35     -20.5906      1.00000
     36     -20.5265      1.00000
     37     -20.4719      1.00000
     38     -20.4376      1.00000
     39     -20.3925      1.00000
     40     -20.3001      1.00000
     41     -20.2281      1.00000
     42     -20.1851      1.00000
     43     -20.1717      1.00000
     44     -20.0082      1.00000
     45     -19.9494      1.00000
     46     -19.8027      1.00000
     47     -19.5640      1.00000
     48     -19.0495      1.00000
     49     -16.6913      1.00000
     50     -14.1194      1.00000
     51     -14.0861      1.00000
     52     -14.0384      1.00000
     53     -13.9744      1.00000
     54     -13.9399      1.00000
     55     -13.8958      1.00000
     56     -13.7621      1.00000
     57     -13.7485      1.00000
     58     -13.6693      1.00000
     59     -13.5554      1.00000
     60     -13.5120      1.00000
     61     -13.3550      1.00000
     62     -13.2343      1.00000
     63     -13.2118      1.00000
     64     -13.1282      1.00000
     65     -13.0275      1.00000
     66     -12.9654      1.00000
     67     -12.8982      1.00000
     68     -12.6832      1.00000
     69     -12.5550      1.00000
     70     -12.4922      1.00000
     71     -12.4431      1.00000
     72     -12.3983      1.00000
     73     -12.3712      1.00000
     74     -12.3051      1.00000
     75     -12.2745      1.00000
     76     -12.1376      1.00000
     77     -12.0619      1.00000
     78     -12.0292      1.00000
     79     -11.7934      1.00000
     80     -11.7163      1.00000
     81     -11.6142      1.00000
     82     -11.5721      1.00000
     83     -11.4530      1.00000
     84     -11.2559      1.00000
     85     -11.0904      1.00000
     86     -10.9154      1.00000
     87     -10.8291      1.00000
     88     -10.6925      1.00000
     89     -10.6190      1.00000
     90     -10.6045      1.00000
     91     -10.5593      1.00000
     92     -10.3627      1.00000
     93     -10.2374      1.00000
     94     -10.1728      1.00000
     95     -10.1560      1.00000
     96     -10.1307      1.00000
