
 Fermi energy:        -2.1715771959

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2162      1.00000
      2     -23.8629      1.00000
      3     -23.8315      1.00000
      4     -23.8153      1.00000
      5     -23.7855      1.00000
      6     -23.7579      1.00000
      7     -23.6224      1.00000
      8     -23.0242      1.00000
      9     -23.0095      1.00000
     10     -23.0055      1.00000
     11     -23.0022      1.00000
     12     -22.9535      1.00000
     13     -22.8630      1.00000
     14     -22.6484      1.00000
     15     -22.6370      1.00000
     16     -22.6333      1.00000
     17     -22.5951      1.00000
     18     -22.5778      1.00000
     19     -22.3671      1.00000
     20     -21.6616      1.00000
     21     -21.6566      1.00000
     22     -21.6452      1.00000
     23     -21.6260      1.00000
     24     -21.6254      1.00000
     25     -21.6187      1.00000
     26     -21.6059      1.00000
     27     -21.6012      1.00000
     28     -21.5932      1.00000
     29     -21.5732      1.00000
     30     -21.5589      1.00000
     31     -21.3778      1.00000
     32     -21.2135      1.00000
     33     -21.2090      1.00000
     34     -21.2059      1.00000
     35     -21.1655      1.00000
     36     -21.1246      1.00000
     37     -20.9411      1.00000
     38     -20.7145      1.00000
     39     -20.7073      1.00000
     40     -20.6816      1.00000
     41     -20.6797      1.00000
     42     -20.6635      1.00000
     43     -20.5902      1.00000
     44     -20.5385      1.00000
     45     -20.5321      1.00000
     46     -20.5153      1.00000
     47     -20.5100      1.00000
     48     -20.4190      1.00000
     49     -14.3498      1.00000
     50     -14.3269      1.00000
     51     -14.3150      1.00000
     52     -14.2944      1.00000
     53     -14.2708      1.00000
     54     -14.2601      1.00000
     55     -14.2180      1.00000
     56     -14.1162      1.00000
     57     -14.1036      1.00000
     58     -14.0813      1.00000
     59     -13.9525      1.00000
     60     -13.9455      1.00000
     61     -13.7139      1.00000
     62     -13.5599      1.00000
     63     -13.5176      1.00000
     64     -13.4997      1.00000
     65     -13.4085      1.00000
     66     -13.3371      1.00000
     67     -13.2386      1.00000
     68     -12.8248      1.00000
     69     -12.8196      1.00000
     70     -12.8122      1.00000
     71     -12.8116      1.00000
     72     -12.8036      1.00000
     73     -12.7995      1.00000
     74     -12.7784      1.00000
     75     -12.7724      1.00000
     76     -12.7338      1.00000
     77     -12.5042      1.00000
     78     -12.3924      1.00000
     79     -12.1043      1.00000
     80     -12.0932      1.00000
     81     -12.0857      1.00000
     82     -12.0583      1.00000
     83     -11.8753      1.00000
     84     -11.8701      1.00000
     85     -11.6781      1.00000
     86     -11.3193      1.00000
     87     -11.2972      1.00000
     88     -11.2875      1.00000
     89     -11.1288      1.00000
     90     -11.1168      1.00000
     91     -10.6520      1.00000
     92     -10.5604      1.00000
     93     -10.5452      1.00000
     94     -10.4974      1.00000
     95     -10.4848      1.00000
     96     -10.4125      1.00000
     97     -10.3943      1.00000
     98     -10.3518      1.00000
     99     -10.1052      1.00000
    100     -10.0887      1.00000
    101     -10.0819      1.00000
    102     -10.0772      1.00000
    103     -10.0647      1.00000
    104     -10.0493      1.00000
    105     -10.0246      1.00000
    106     -10.0149      1.00000
    107     -10.0095      1.00000
    108     -10.0085      1.00000
    109     -10.0012      1.00000
    110      -9.9934      1.00000
    111      -9.9867      1.00000
