
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0855      1.00000
      2     -23.7446      1.00000
      3     -23.7248      1.00000
      4     -23.6958      1.00000
      5     -23.5973      1.00000
      6     -23.5078      1.00000
      7     -23.2385      1.00000
      8     -22.8526      1.00000
      9     -22.8426      1.00000
     10     -22.8090      1.00000
     11     -22.7972      1.00000
     12     -22.7911      1.00000
     13     -22.7015      1.00000
     14     -22.4334      1.00000
     15     -22.4157      1.00000
     16     -22.4088      1.00000
     17     -22.3355      1.00000
     18     -22.2030      1.00000
     19     -21.8472      1.00000
     20     -21.5328      1.00000
     21     -21.5180      1.00000
     22     -21.5113      1.00000
     23     -21.4973      1.00000
     24     -21.4732      1.00000
     25     -21.4606      1.00000
     26     -21.3624      1.00000
     27     -21.3434      1.00000
     28     -21.2962      1.00000
     29     -21.2368      1.00000
     30     -21.2191      1.00000
     31     -21.1160      1.00000
     32     -20.9655      1.00000
     33     -20.9620      1.00000
     34     -20.9270      1.00000
     35     -20.8391      1.00000
     36     -20.7493      1.00000
     37     -20.5590      1.00000
     38     -20.5274      1.00000
     39     -20.5085      1.00000
     40     -20.4687      1.00000
     41     -20.4512      1.00000
     42     -20.4397      1.00000
     43     -20.3774      1.00000
     44     -20.3269      1.00000
     45     -20.2819      1.00000
     46     -20.1984      1.00000
     47     -19.7628      1.00000
     48     -19.4982      1.00000
     49     -14.1902      1.00000
     50     -14.1373      1.00000
     51     -14.1306      1.00000
     52     -14.1274      1.00000
     53     -14.1050      1.00000
     54     -14.0923      1.00000
     55     -14.0275      1.00000
     56     -13.9253      1.00000
     57     -13.9079      1.00000
     58     -13.7083      1.00000
     59     -13.6015      1.00000
     60     -13.5623      1.00000
     61     -13.3887      1.00000
     62     -13.3535      1.00000
     63     -13.3315      1.00000
     64     -13.2243      1.00000
     65     -13.1611      1.00000
     66     -13.1208      1.00000
     67     -12.9423      1.00000
     68     -12.6284      1.00000
     69     -12.6268      1.00000
     70     -12.6143      1.00000
     71     -12.6044      1.00000
     72     -12.5940      1.00000
     73     -12.5553      1.00000
     74     -12.5125      1.00000
     75     -12.3739      1.00000
     76     -12.3488      1.00000
     77     -12.2964      1.00000
     78     -12.1627      1.00000
     79     -11.9062      1.00000
     80     -11.8916      1.00000
     81     -11.7286      1.00000
     82     -11.6150      1.00000
     83     -11.5163      1.00000
     84     -11.5159      1.00000
     85     -11.2214      1.00000
     86     -11.0381      1.00000
     87     -10.9781      1.00000
     88     -10.9377      1.00000
     89     -10.8568      1.00000
     90     -10.5580      1.00000
     91     -10.3869      1.00000
     92     -10.3747      1.00000
     93     -10.3501      1.00000
     94     -10.2854      1.00000
     95     -10.2820      1.00000
     96     -10.1943      1.00000
     97     -10.1905      1.00000
     98     -10.1277      1.00000
     99      -9.9515      1.00000
    100      -9.9293      1.00000
    101      -9.9088      1.00000
    102      -9.9085      1.00000
    103      -9.8870      1.00000
    104      -9.8726      1.00000
    105      -9.8435      1.00000
    106      -9.8304      1.00000
    107      -9.8289      1.00000
    108      -9.8225      1.00000
    109      -9.7964      1.00000
    110      -9.7263      1.00000
    111      -9.6998      1.00000
    112      -9.6932      1.00000
    113      -9.6485      1.00000
    114      -9.6168      1.00000
    115      -9.6160      1.00000
    116      -9.6034      1.00000
    117      -9.3492      1.00000
    118      -9.3058      1.00000
    119      -9.2860      1.00000
    120      -9.1770      1.00000
    121      -9.1751      1.00000
    122      -9.1323      1.00000
    123      -9.0769      1.00000
    124      -8.8223      1.00000
    125      -8.7593      1.00000
    126      -8.6549      1.00000
    127      -8.6442      1.00000
    128      -8.6341      1.00000
    129      -8.6037      1.00000
    130      -8.5978      1.00000
    131      -8.5762      1.00000
    132      -8.4790      1.00000
    133      -8.4724      1.00000
    134      -8.3577      1.00000
    135      -8.3298      1.00000
    136      -8.2892      1.00000
    137      -8.2587      1.00000
    138      -8.2180      1.00000
    139      -8.1723      1.00000
    140      -8.1686      1.00000
    141      -8.1063      1.00000
    142      -8.0821      1.00000
    143      -8.0756      1.00000
    144      -8.0721      1.00000
    145      -8.0612      1.00000
    146      -7.9910      1.00000
    147      -7.9656      1.00000
    148      -7.9137      1.00000
    149      -7.8731      1.00000
    150      -7.8645      1.00000
    151      -7.7845      1.00000
    152      -7.7725      1.00000
    153      -7.5258      1.00000
    154      -7.4629      1.00000
    155      -7.1767      1.00000
    156      -7.0185      1.00000
    157      -6.9760      1.00000
    158      -6.8975      1.00000
    159      -6.8311      1.00000
    160      -6.7900      1.00000
    161      -6.7474      1.00000
    162      -6.7339      1.00000
    163      -6.7296      1.00000
    164      -6.7118      1.00000
    165      -6.7031      1.00000
    166      -6.6907      1.00000
    167      -6.5731      1.00000
    168      -6.5436      1.00000
    169      -6.4903      1.00000
    170      -6.4498      1.00000
    171      -6.3666      1.00000
    172      -6.2749      1.00000
    173      -6.2190      1.00000
    174      -6.1955      1.00000
    175      -5.9670      1.00000
    176      -5.9614      1.00000
    177      -5.9381      1.00000
    178      -5.8765      1.00000
    179      -5.7658      1.00000
    180      -5.7395      1.00000
    181      -5.4548      1.00000
    182      -5.2854      1.00000
    183      -5.2467      1.00000
    184      -5.2382      1.00000
    185      -5.1611      1.00000
    186      -5.1573      1.00000
    187      -5.0783      1.00000
    188      -5.0368      1.00000
    189      -4.9498      1.00000
    190      -4.9276      1.00000
    191      -4.9270      1.00000
    192      -4.5614      1.00000
    193      -4.4239      1.00000
    194      -1.4830      1.00000
    195      -0.4939      1.00000
    196       0.6793      0.00000
    197       1.2416      0.00000
    198       1.2918      0.00000
    199       1.2945      0.00000
    200       1.4232      0.00000
    201       1.4266      0.00000
    202       1.4755      0.00000
    203       1.5149      0.00000
    204       1.5439      0.00000
    205       1.6359      0.00000
    206       1.6537      0.00000
    207       1.6661      0.00000
    208       1.6708      0.00000
    209       1.6951      0.00000
    210       1.6956      0.00000
    211       1.8376      0.00000
    212       1.8451      0.00000
    213       1.9542      0.00000
    214       1.9783      0.00000
    215       2.0185      0.00000
    216       2.0510      0.00000
    217       2.0698      0.00000
    218       2.1055      0.00000
    219       2.1085      0.00000
    220       2.1130      0.00000
    221       2.1148      0.00000
    222       2.1170      0.00000
    223       2.1869      0.00000
    224       2.2190      0.00000
    225       2.2387      0.00000
    226       2.2392      0.00000
    227       2.2410      0.00000
    228       2.2436      0.00000
    229       2.2580      0.00000
    230       2.2967      0.00000
    231       2.3516      0.00000
    232       2.3863      0.00000
    233       2.5268      0.00000
    234       2.6326      0.00000
    235       2.6608      0.00000
    236       2.6627      0.00000
    237       2.6637      0.00000
    238       2.6679      0.00000
    239       2.6704      0.00000
    240       2.9142      0.00000
    241       3.2583      0.00000
    242       3.3110      0.00000
    243       3.3158      0.00000
    244       3.3169      0.00000
    245       3.3202      0.00000
    246       3.3216      0.00000
    247       3.3611      0.00000
    248       3.3684      0.00000
    249       3.3973      0.00000
    250       3.3980      0.00000
    251       3.4051      0.00000
    252       3.4296      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0816      1.00000
      2     -23.7441      1.00000
      3     -23.7220      1.00000
      4     -23.6924      1.00000
      5     -23.5814      1.00000
      6     -23.4936      1.00000
      7     -23.2052      1.00000
      8     -22.8452      1.00000
      9     -22.8306      1.00000
     10     -22.8003      1.00000
     11     -22.7830      1.00000
     12     -22.7829      1.00000
     13     -22.6894      1.00000
     14     -22.4192      1.00000
     15     -22.3987      1.00000
     16     -22.3874      1.00000
     17     -22.2925      1.00000
     18     -22.1652      1.00000
     19     -21.7859      1.00000
     20     -21.5256      1.00000
     21     -21.5121      1.00000
     22     -21.5074      1.00000
     23     -21.4940      1.00000
     24     -21.4666      1.00000
     25     -21.4573      1.00000
     26     -21.3356      1.00000
     27     -21.3071      1.00000
     28     -21.2754      1.00000
     29     -21.2138      1.00000
     30     -21.2032      1.00000
     31     -21.1032      1.00000
     32     -20.9337      1.00000
     33     -20.9309      1.00000
     34     -20.9163      1.00000
     35     -20.8034      1.00000
     36     -20.7282      1.00000
     37     -20.5545      1.00000
     38     -20.5121      1.00000
     39     -20.4988      1.00000
     40     -20.4410      1.00000
     41     -20.4299      1.00000
     42     -20.4131      1.00000
     43     -20.3654      1.00000
     44     -20.3079      1.00000
     45     -20.2527      1.00000
     46     -20.1798      1.00000
     47     -19.6018      1.00000
     48     -19.3206      1.00000
     49     -14.1875      1.00000
     50     -14.1278      1.00000
     51     -14.1267      1.00000
     52     -14.1202      1.00000
     53     -14.0890      1.00000
     54     -14.0832      1.00000
     55     -13.9616      1.00000
     56     -13.9201      1.00000
     57     -13.9000      1.00000
     58     -13.6729      1.00000
     59     -13.5479      1.00000
     60     -13.5364      1.00000
     61     -13.3554      1.00000
     62     -13.3394      1.00000
     63     -13.3070      1.00000
     64     -13.1592      1.00000
     65     -13.1184      1.00000
     66     -13.0935      1.00000
     67     -12.7115      1.00000
     68     -12.6197      1.00000
     69     -12.6086      1.00000
     70     -12.5955      1.00000
     71     -12.5868      1.00000
     72     -12.5820      1.00000
     73     -12.5443      1.00000
     74     -12.4937      1.00000
     75     -12.3402      1.00000
     76     -12.3177      1.00000
     77     -12.2071      1.00000
     78     -12.1115      1.00000
     79     -11.8868      1.00000
     80     -11.8840      1.00000
     81     -11.6855      1.00000
     82     -11.5779      1.00000
     83     -11.4151      1.00000
     84     -11.3429      1.00000
     85     -11.1573      1.00000
     86     -11.0151      1.00000
     87     -10.9367      1.00000
     88     -10.9123      1.00000
     89     -10.7620      1.00000
     90     -10.5028      1.00000
     91     -10.3513      1.00000
     92     -10.3486      1.00000
     93     -10.3214      1.00000
     94     -10.2695      1.00000
     95     -10.2681      1.00000
     96     -10.1685      1.00000
     97     -10.1554      1.00000
     98      -9.9869      1.00000
     99      -9.9396      1.00000
    100      -9.9164      1.00000
    101      -9.9026      1.00000
    102      -9.8937      1.00000
    103      -9.8752      1.00000
    104      -9.8729      1.00000
    105      -9.8432      1.00000
    106      -9.8213      1.00000
    107      -9.7968      1.00000
    108      -9.7807      1.00000
    109      -9.7568      1.00000
    110      -9.6947      1.00000
    111      -9.6931      1.00000
    112      -9.6735      1.00000
    113      -9.6144      1.00000
    114      -9.6112      1.00000
    115      -9.5845      1.00000
    116      -9.5470      1.00000
    117      -9.2915      1.00000
    118      -9.2669      1.00000
    119      -9.2668      1.00000
    120      -9.1721      1.00000
    121      -9.1708      1.00000
    122      -9.1058      1.00000
    123      -9.0322      1.00000
    124      -8.7497      1.00000
    125      -8.7093      1.00000
    126      -8.6529      1.00000
    127      -8.6391      1.00000
    128      -8.6028      1.00000
    129      -8.5920      1.00000
    130      -8.5717      1.00000
    131      -8.5686      1.00000
    132      -8.4715      1.00000
    133      -8.3903      1.00000
    134      -8.3389      1.00000
    135      -8.3113      1.00000
    136      -8.2652      1.00000
    137      -8.2485      1.00000
    138      -8.1963      1.00000
    139      -8.1543      1.00000
    140      -8.1123      1.00000
    141      -8.0795      1.00000
    142      -8.0632      1.00000
    143      -8.0594      1.00000
    144      -8.0381      1.00000
    145      -7.9755      1.00000
    146      -7.9307      1.00000
    147      -7.8875      1.00000
    148      -7.8581      1.00000
    149      -7.8477      1.00000
    150      -7.8112      1.00000
    151      -7.7560      1.00000
    152      -7.7396      1.00000
    153      -7.4241      1.00000
    154      -7.3021      1.00000
    155      -7.1312      1.00000
    156      -6.9718      1.00000
    157      -6.8689      1.00000
    158      -6.8534      1.00000
    159      -6.7734      1.00000
    160      -6.7453      1.00000
    161      -6.7320      1.00000
    162      -6.7293      1.00000
    163      -6.7151      1.00000
    164      -6.7112      1.00000
    165      -6.7005      1.00000
    166      -6.6902      1.00000
    167      -6.5529      1.00000
    168      -6.5339      1.00000
    169      -6.4877      1.00000
    170      -6.4357      1.00000
    171      -6.3562      1.00000
    172      -6.2400      1.00000
    173      -6.2085      1.00000
    174      -6.1538      1.00000
    175      -5.9606      1.00000
    176      -5.9407      1.00000
    177      -5.9371      1.00000
    178      -5.8637      1.00000
    179      -5.7494      1.00000
    180      -5.4343      1.00000
    181      -5.2836      1.00000
    182      -5.2449      1.00000
    183      -5.2361      1.00000
    184      -5.1510      1.00000
    185      -5.1492      1.00000
    186      -5.0717      1.00000
    187      -4.9462      1.00000
    188      -4.9231      1.00000
    189      -4.9172      1.00000
    190      -4.5065      1.00000
    191      -4.3795      1.00000
    192      -4.3457      1.00000
    193      -3.2869      0.00000
    194      -0.0344      1.00000
    195       0.6772      0.00000
    196       1.2413      0.00000
    197       1.2894      0.00000
    198       1.2902      0.00000
    199       1.3764      0.00000
    200       1.4176      0.00000
    201       1.4691      0.00000
    202       1.5094      0.00000
    203       1.5456      0.00000
    204       1.6469      0.00000
    205       1.6524      0.00000
    206       1.6646      0.00000
    207       1.6728      0.00000
    208       1.6943      0.00000
    209       1.7085      0.00000
    210       1.7655      0.00000
    211       1.8377      0.00000
    212       1.8697      0.00000
    213       1.9577      0.00000
    214       1.9763      0.00000
    215       2.0502      0.00000
    216       2.0700      0.00000
    217       2.1024      0.00000
    218       2.1052      0.00000
    219       2.1109      0.00000
    220       2.1150      0.00000
    221       2.1195      0.00000
    222       2.1407      0.00000
    223       2.1861      0.00000
    224       2.2214      0.00000
    225       2.2277      0.00000
    226       2.2382      0.00000
    227       2.2411      0.00000
    228       2.2441      0.00000
    229       2.2729      0.00000
    230       2.2995      0.00000
    231       2.4197      0.00000
    232       2.4595      0.00000
    233       2.5289      0.00000
    234       2.6396      0.00000
    235       2.6570      0.00000
    236       2.6588      0.00000
    237       2.6608      0.00000
    238       2.6629      0.00000
    239       2.6884      0.00000
    240       2.9152      0.00000
    241       3.2751      0.00000
    242       3.3051      0.00000
    243       3.3095      0.00000
    244       3.3114      0.00000
    245       3.3127      0.00000
    246       3.3194      0.00000
    247       3.3685      0.00000
    248       3.3802      0.00000
    249       3.3946      0.00000
    250       3.3962      0.00000
    251       3.4005      0.00000
    252       3.4236      0.00000

