
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.0766      1.00000
      2     -24.8783      1.00000
      3     -24.6135      1.00000
      4     -24.4839      1.00000
      5     -24.4046      1.00000
      6     -24.3266      1.00000
      7     -24.2602      1.00000
      8     -23.9102      1.00000
      9     -23.8271      1.00000
     10     -23.7884      1.00000
     11     -23.6520      1.00000
     12     -23.6028      1.00000
     13     -23.4392      1.00000
     14     -23.3291      1.00000
     15     -23.3023      1.00000
     16     -23.3004      1.00000
     17     -23.2618      1.00000
     18     -23.1735      1.00000
     19     -22.9663      1.00000
     20     -22.7677      1.00000
     21     -22.5595      1.00000
     22     -22.4725      1.00000
     23     -22.3403      1.00000
     24     -22.3149      1.00000
     25     -22.2299      1.00000
     26     -22.2255      1.00000
     27     -22.1729      1.00000
     28     -22.1724      1.00000
     29     -22.0920      1.00000
     30     -22.0792      1.00000
     31     -21.9532      1.00000
     32     -21.9004      1.00000
     33     -21.8536      1.00000
     34     -21.7208      1.00000
     35     -21.7049      1.00000
     36     -21.6655      1.00000
     37     -21.4795      1.00000
     38     -21.4576      1.00000
     39     -21.3536      1.00000
     40     -21.3193      1.00000
     41     -21.2611      1.00000
     42     -21.1847      1.00000
     43     -21.1537      1.00000
     44     -21.0738      1.00000
     45     -21.0371      1.00000
     46     -21.0181      1.00000
     47     -20.9857      1.00000
     48     -20.8443      1.00000
     49     -15.4609      1.00000
     50     -15.1831      1.00000
     51     -15.1519      1.00000
     52     -15.0284      1.00000
     53     -14.9004      1.00000
     54     -14.8821      1.00000
     55     -14.8414      1.00000
     56     -14.7381      1.00000
     57     -14.7108      1.00000
     58     -14.6524      1.00000
     59     -14.6466      1.00000
     60     -14.4906      1.00000
     61     -14.3621      1.00000
     62     -14.3262      1.00000
     63     -14.1926      1.00000
     64     -14.0758      1.00000
     65     -14.0260      1.00000
     66     -13.9997      1.00000
     67     -13.8294      1.00000
     68     -13.6768      1.00000
     69     -13.6400      1.00000
     70     -13.5006      1.00000
     71     -13.4553      1.00000
     72     -13.4528      1.00000
     73     -13.3749      1.00000
     74     -13.3431      1.00000
     75     -13.3034      1.00000
     76     -13.2627      1.00000
     77     -13.2038      1.00000
     78     -13.1326      1.00000
     79     -12.7667      1.00000
     80     -12.6778      1.00000
     81     -12.6620      1.00000
     82     -12.5713      1.00000
     83     -12.5357      1.00000
     84     -12.4115      1.00000
     85     -12.2230      1.00000
     86     -12.0162      1.00000
     87     -11.9453      1.00000
     88     -11.9412      1.00000
     89     -11.8572      1.00000
     90     -11.5330      1.00000
     91     -11.3969      1.00000
     92     -11.2662      1.00000
     93     -11.2373      1.00000
     94     -11.1650      1.00000
     95     -11.1332      1.00000
     96     -11.1039      1.00000
     97     -11.0225      1.00000
     98     -10.9953      1.00000
     99     -10.9829      1.00000
    100     -10.9258      1.00000
    101     -10.8775      1.00000
    102     -10.8355      1.00000
    103     -10.7473      1.00000
    104     -10.7330      1.00000
    105     -10.7205      1.00000
    106     -10.6797      1.00000
    107     -10.6707      1.00000
    108     -10.6366      1.00000
    109     -10.6187      1.00000
    110     -10.5623      1.00000
    111     -10.5518      1.00000
    112     -10.5313      1.00000
    113     -10.5090      1.00000
    114     -10.4995      1.00000
    115     -10.4536      1.00000
    116     -10.3978      1.00000
