
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.1503      1.00000
      2     -23.8285      1.00000
      3     -23.7853      1.00000
      4     -23.7600      1.00000
      5     -23.6191      1.00000
      6     -23.5625      1.00000
      7     -23.2334      1.00000
      8     -22.9026      1.00000
      9     -22.8896      1.00000
     10     -22.8633      1.00000
     11     -22.8513      1.00000
     12     -22.8413      1.00000
     13     -22.7469      1.00000
     14     -22.4870      1.00000
     15     -22.4530      1.00000
     16     -22.4391      1.00000
     17     -22.2868      1.00000
     18     -22.1981      1.00000
     19     -21.7878      1.00000
     20     -21.5877      1.00000
     21     -21.5837      1.00000
     22     -21.5734      1.00000
     23     -21.5706      1.00000
     24     -21.5463      1.00000
     25     -21.5402      1.00000
     26     -21.3874      1.00000
     27     -21.3538      1.00000
     28     -21.3294      1.00000
     29     -21.2806      1.00000
     30     -21.2420      1.00000
     31     -21.1963      1.00000
     32     -21.0248      1.00000
     33     -20.9983      1.00000
     34     -20.9658      1.00000
     35     -20.8610      1.00000
     36     -20.7921      1.00000
     37     -20.6205      1.00000
     38     -20.5879      1.00000
     39     -20.5784      1.00000
     40     -20.5201      1.00000
     41     -20.5059      1.00000
     42     -20.4687      1.00000
     43     -20.4448      1.00000
     44     -20.3492      1.00000
     45     -20.2714      1.00000
     46     -20.1473      1.00000
     47     -19.3567      1.00000
     48     -14.2476      1.00000
     49     -14.2330      1.00000
     50     -14.2220      1.00000
     51     -14.1827      1.00000
     52     -14.1731      1.00000
     53     -14.1674      1.00000
     54     -14.1101      1.00000
     55     -14.0546      1.00000
     56     -14.0095      1.00000
     57     -13.7022      1.00000
     58     -13.6748      1.00000
     59     -13.6055      1.00000
     60     -13.5180      1.00000
     61     -13.4750      1.00000
     62     -13.3607      1.00000
     63     -13.3526      1.00000
     64     -13.1614      1.00000
     65     -13.1387      1.00000
     66     -13.0037      1.00000
     67     -12.8076      1.00000
     68     -12.7051      1.00000
     69     -12.6977      1.00000
     70     -12.6833      1.00000
     71     -12.6636      1.00000
     72     -12.6367      1.00000
     73     -12.5609      1.00000
     74     -12.5152      1.00000
     75     -12.2219      1.00000
     76     -12.1407      1.00000
     77     -12.1182      1.00000
     78     -11.9891      1.00000
     79     -11.9441      1.00000
     80     -11.8875      1.00000
     81     -11.6978      1.00000
     82     -11.5808      1.00000
     83     -11.5385      1.00000
     84     -11.3414      1.00000
     85     -11.2183      1.00000
     86     -11.0628      1.00000
     87     -10.9751      1.00000
     88     -10.7777      1.00000
     89     -10.7082      1.00000
     90     -10.5777      1.00000
     91     -10.4201      1.00000
     92     -10.4043      1.00000
     93     -10.3587      1.00000
     94     -10.3359      1.00000
     95     -10.2871      1.00000
     96     -10.2766      1.00000
     97     -10.2001      1.00000
     98     -10.1085      1.00000
     99      -9.9711      1.00000
    100      -9.9641      1.00000
    101      -9.9622      1.00000
    102      -9.9562      1.00000
    103      -9.9390      1.00000
    104      -9.9200      1.00000
    105      -9.9192      1.00000
    106      -9.9014      1.00000
    107      -9.8845      1.00000
    108      -9.8377      1.00000
    109      -9.7908      1.00000
    110      -9.7867      1.00000
    111      -9.7573      1.00000
    112      -9.7372      1.00000
    113      -9.7144      1.00000
    114      -9.6612      1.00000
    115      -9.5725      1.00000
    116      -9.5186      1.00000
    117      -9.3956      1.00000
    118      -9.3372      1.00000
    119      -9.2944      1.00000
    120      -9.1990      1.00000
    121      -9.1615      1.00000
    122      -9.1557      1.00000
    123      -9.0576      1.00000
    124      -8.7806      1.00000
    125      -8.7217      1.00000
    126      -8.7056      1.00000
    127      -8.6807      1.00000
    128      -8.6664      1.00000
    129      -8.6463      1.00000
    130      -8.5966      1.00000
    131      -8.5761      1.00000
    132      -8.5243      1.00000
    133      -8.4710      1.00000
    134      -8.4374      1.00000
    135      -8.4217      1.00000
    136      -8.3971      1.00000
    137      -8.3482      1.00000
    138      -8.3259      1.00000
    139      -8.2257      1.00000
    140      -8.1714      1.00000
    141      -8.1584      1.00000
    142      -8.1342      1.00000
    143      -8.0856      1.00000
    144      -8.0702      1.00000
    145      -8.0284      1.00000
    146      -8.0080      1.00000
    147      -7.9495      1.00000
    148      -7.8811      1.00000
    149      -7.8311      1.00000
    150      -7.7799      1.00000
    151      -7.7589      1.00000
    152      -7.4761      1.00000
    153      -7.4123      1.00000
    154      -7.2343      1.00000
    155      -7.1444      1.00000
    156      -7.0818      1.00000
    157      -6.9394      1.00000
    158      -6.8934      1.00000
    159      -6.8333      1.00000
    160      -6.8179      1.00000
    161      -6.8088      1.00000
    162      -6.8033      1.00000
    163      -6.8001      1.00000
    164      -6.7760      1.00000
    165      -6.7549      1.00000
    166      -6.6521      1.00000
    167      -6.5605      1.00000
    168      -6.5396      1.00000
    169      -6.4942      1.00000
    170      -6.3888      1.00000
    171      -6.3437      1.00000
    172      -6.2727      1.00000
    173      -6.2383      1.00000
    174      -6.1071      1.00000
    175      -6.0358      1.00000
    176      -5.9838      1.00000
    177      -5.8591      1.00000
    178      -5.6979      1.00000
    179      -5.4512      1.00000
    180      -5.3743      1.00000
    181      -5.3515      1.00000
    182      -5.3305      1.00000
    183      -5.2509      1.00000
    184      -5.2131      1.00000
    185      -5.1685      1.00000
    186      -5.0934      1.00000
    187      -5.0270      1.00000
    188      -4.9519      1.00000
    189      -4.7373      1.00000
    190      -4.4432      1.00000
    191      -4.2486      1.00000
    192      -4.0093      1.00000
    193      -2.3896      1.00000
    194      -1.3850      1.00000
    195       0.5753      0.00000
    196       0.9918      0.00000
    197       1.1283      0.00000
    198       1.1386      0.00000
    199       1.1854      0.00000
    200       1.2115      0.00000
    201       1.3207      0.00000
    202       1.3755      0.00000
    203       1.3935      0.00000
    204       1.4346      0.00000
    205       1.5003      0.00000
    206       1.5164      0.00000
    207       1.5251      0.00000
    208       1.5423      0.00000
    209       1.5575      0.00000
    210       1.5795      0.00000
    211       1.6596      0.00000
    212       1.7139      0.00000
    213       1.7360      0.00000
    214       1.7755      0.00000
    215       1.8749      0.00000
    216       1.9528      0.00000
    217       1.9593      0.00000
    218       1.9915      0.00000
    219       2.0012      0.00000
    220       2.0076      0.00000
    221       2.0145      0.00000
    222       2.0168      0.00000
    223       2.0232      0.00000
    224       2.0512      0.00000
    225       2.0800      0.00000
    226       2.1076      0.00000
    227       2.1411      0.00000
    228       2.1621      0.00000
    229       2.1957      0.00000
    230       2.2118      0.00000
    231       2.2443      0.00000
    232       2.3780      0.00000
    233       2.3994      0.00000
    234       2.4967      0.00000
    235       2.5465      0.00000
    236       2.5629      0.00000
    237       2.5685      0.00000
    238       2.5768      0.00000
    239       2.5999      0.00000
    240       2.7770      0.00000
    241       2.8575      0.00000
    242       3.0610      0.00000
    243       3.0912      0.00000
    244       3.1353      0.00000
    245       3.1925      0.00000
    246       3.2126      0.00000
    247       3.2281      0.00000
    248       3.2327      0.00000
    249       3.2471      0.00000
    250       3.2608      0.00000
    251       3.2717      0.00000
    252       3.2838      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.1489      1.00000
      2     -23.8282      1.00000
      3     -23.7841      1.00000
      4     -23.7587      1.00000
      5     -23.6157      1.00000
      6     -23.5568      1.00000
      7     -23.2246      1.00000
      8     -22.9003      1.00000
      9     -22.8872      1.00000
     10     -22.8617      1.00000
     11     -22.8463      1.00000
     12     -22.8383      1.00000
     13     -22.7419      1.00000
     14     -22.4842      1.00000
     15     -22.4487      1.00000
     16     -22.4293      1.00000
     17     -22.2757      1.00000
     18     -22.1821      1.00000
     19     -21.7721      1.00000
     20     -21.5860      1.00000
     21     -21.5826      1.00000
     22     -21.5716      1.00000
     23     -21.5697      1.00000
     24     -21.5436      1.00000
     25     -21.5383      1.00000
     26     -21.3751      1.00000
     27     -21.3484      1.00000
     28     -21.3247      1.00000
     29     -21.2714      1.00000
     30     -21.2354      1.00000
     31     -21.1904      1.00000
     32     -21.0157      1.00000
     33     -20.9938      1.00000
     34     -20.9566      1.00000
     35     -20.8536      1.00000
     36     -20.7846      1.00000
     37     -20.6194      1.00000
     38     -20.5850      1.00000
     39     -20.5767      1.00000
     40     -20.5140      1.00000
     41     -20.4988      1.00000
     42     -20.4576      1.00000
     43     -20.4373      1.00000
     44     -20.3405      1.00000
     45     -20.2550      1.00000
     46     -20.1304      1.00000
     47     -19.2323      1.00000
     48     -14.2404      1.00000
     49     -14.2292      1.00000
     50     -14.2175      1.00000
     51     -14.1772      1.00000
     52     -14.1694      1.00000
     53     -14.1627      1.00000
     54     -14.0738      1.00000
     55     -14.0485      1.00000
     56     -14.0049      1.00000
     57     -13.6775      1.00000
     58     -13.6371      1.00000
     59     -13.5989      1.00000
     60     -13.4869      1.00000
     61     -13.4680      1.00000
     62     -13.3476      1.00000
     63     -13.3110      1.00000
     64     -13.1433      1.00000
     65     -13.1342      1.00000
     66     -12.8742      1.00000
     67     -12.7903      1.00000
     68     -12.7038      1.00000
     69     -12.6946      1.00000
     70     -12.6793      1.00000
     71     -12.6583      1.00000
     72     -12.6302      1.00000
     73     -12.5389      1.00000
     74     -12.5102      1.00000
     75     -12.2093      1.00000
     76     -12.1248      1.00000
     77     -12.0975      1.00000
     78     -11.9851      1.00000
     79     -11.9382      1.00000
     80     -11.7290      1.00000
     81     -11.6764      1.00000
     82     -11.5669      1.00000
     83     -11.5247      1.00000
     84     -11.2808      1.00000
     85     -11.2005      1.00000
     86     -11.0502      1.00000
     87     -10.9654      1.00000
     88     -10.7443      1.00000
     89     -10.6094      1.00000
     90     -10.5096      1.00000
     91     -10.4154      1.00000
     92     -10.3977      1.00000
     93     -10.3440      1.00000
     94     -10.3313      1.00000
     95     -10.2818      1.00000
     96     -10.2736      1.00000
     97     -10.1345      1.00000
     98     -10.0872      1.00000
     99      -9.9700      1.00000
    100      -9.9620      1.00000
    101      -9.9595      1.00000
    102      -9.9505      1.00000
    103      -9.9351      1.00000
    104      -9.9177      1.00000
    105      -9.9144      1.00000
    106      -9.8978      1.00000
    107      -9.8814      1.00000
    108      -9.8303      1.00000
    109      -9.7816      1.00000
    110      -9.7708      1.00000
    111      -9.7496      1.00000
    112      -9.7278      1.00000
    113      -9.7035      1.00000
    114      -9.6479      1.00000
    115      -9.5340      1.00000
    116      -9.4965      1.00000
    117      -9.3530      1.00000
    118      -9.3048      1.00000
    119      -9.2694      1.00000
    120      -9.1963      1.00000
    121      -9.1517      1.00000
    122      -9.1160      1.00000
    123      -8.8609      1.00000
    124      -8.7521      1.00000
    125      -8.7157      1.00000
    126      -8.6998      1.00000
    127      -8.6642      1.00000
    128      -8.6605      1.00000
    129      -8.6377      1.00000
    130      -8.5795      1.00000
    131      -8.5600      1.00000
    132      -8.5066      1.00000
    133      -8.4443      1.00000
    134      -8.4355      1.00000
    135      -8.4085      1.00000
    136      -8.3936      1.00000
    137      -8.3400      1.00000
    138      -8.3224      1.00000
    139      -8.2119      1.00000
    140      -8.1552      1.00000
    141      -8.1423      1.00000
    142      -8.1210      1.00000
    143      -8.0706      1.00000
    144      -8.0473      1.00000
    145      -7.9814      1.00000
    146      -7.9389      1.00000
    147      -7.9100      1.00000
    148      -7.8715      1.00000
    149      -7.8191      1.00000
    150      -7.7512      1.00000
    151      -7.7017      1.00000
    152      -7.4145      1.00000
    153      -7.3552      1.00000
    154      -7.1579      1.00000
    155      -7.1038      1.00000
    156      -7.0339      1.00000
    157      -6.9315      1.00000
    158      -6.8761      1.00000
    159      -6.8242      1.00000
    160      -6.8161      1.00000
    161      -6.8024      1.00000
    162      -6.7991      1.00000
    163      -6.7739      1.00000
    164      -6.7622      1.00000
    165      -6.6541      1.00000
    166      -6.5978      1.00000
    167      -6.5411      1.00000
    168      -6.5283      1.00000
    169      -6.4836      1.00000
    170      -6.3735      1.00000
    171      -6.3039      1.00000
    172      -6.2458      1.00000
    173      -6.1723      1.00000
    174      -6.0669      1.00000
    175      -6.0216      1.00000
    176      -5.9633      1.00000
    177      -5.8384      1.00000
    178      -5.6193      1.00000
    179      -5.4100      1.00000
    180      -5.3699      1.00000
    181      -5.3405      1.00000
    182      -5.3271      1.00000
    183      -5.2360      1.00000
    184      -5.1882      1.00000
    185      -5.1524      1.00000
    186      -5.0700      1.00000
    187      -4.9960      1.00000
    188      -4.9254      1.00000
    189      -4.5017      1.00000
    190      -4.2460      1.00000
    191      -3.8432      1.00000
    192      -2.0852      0.00000
    193      -1.0972      1.00000
    194      -0.1744      0.00000
    195       0.5873      0.00000
    196       1.1347      0.00000
    197       1.1524      0.00000
    198       1.1843      0.00000
    199       1.2012      0.00000
    200       1.3042      0.00000
    201       1.3623      0.00000
    202       1.3896      0.00000
    203       1.4278      0.00000
    204       1.4634      0.00000
    205       1.5048      0.00000
    206       1.5304      0.00000
    207       1.5362      0.00000
    208       1.5497      0.00000
    209       1.5642      0.00000
    210       1.5939      0.00000
    211       1.7412      0.00000
    212       1.7592      0.00000
    213       1.7907      0.00000
    214       1.8343      0.00000
    215       1.9079      0.00000
    216       1.9553      0.00000
    217       1.9613      0.00000
    218       2.0027      0.00000
    219       2.0159      0.00000
    220       2.0209      0.00000
    221       2.0241      0.00000
    222       2.0334      0.00000
    223       2.0661      0.00000
    224       2.0784      0.00000
    225       2.1157      0.00000
    226       2.1317      0.00000
    227       2.1781      0.00000
    228       2.1880      0.00000
    229       2.2493      0.00000
    230       2.2662      0.00000
    231       2.3354      0.00000
    232       2.4764      0.00000
    233       2.4946      0.00000
    234       2.5445      0.00000
    235       2.5639      0.00000
    236       2.5710      0.00000
    237       2.5799      0.00000
    238       2.6054      0.00000
    239       2.6474      0.00000
    240       2.8738      0.00000
    241       3.0005      0.00000
    242       3.1511      0.00000
    243       3.1944      0.00000
    244       3.2031      0.00000
    245       3.2093      0.00000
    246       3.2262      0.00000
    247       3.2386      0.00000
    248       3.2433      0.00000
    249       3.2524      0.00000
    250       3.2681      0.00000
    251       3.2823      0.00000
    252       3.2906      0.00000

