
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.9532      1.00000
      2     -24.3287      1.00000
      3     -24.0398      1.00000
      4     -23.9776      1.00000
      5     -23.9148      1.00000
      6     -23.9018      1.00000
      7     -23.8923      1.00000
      8     -23.6125      1.00000
      9     -23.3094      1.00000
     10     -23.1773      1.00000
     11     -23.1367      1.00000
     12     -23.0790      1.00000
     13     -23.0733      1.00000
     14     -22.8848      1.00000
     15     -22.8836      1.00000
     16     -22.8037      1.00000
     17     -22.7605      1.00000
     18     -22.7457      1.00000
     19     -22.6416      1.00000
     20     -22.1807      1.00000
     21     -22.1454      1.00000
     22     -21.8238      1.00000
     23     -21.7904      1.00000
     24     -21.7802      1.00000
     25     -21.7787      1.00000
     26     -21.7387      1.00000
     27     -21.7269      1.00000
     28     -21.7206      1.00000
     29     -21.7031      1.00000
     30     -21.6789      1.00000
     31     -21.5303      1.00000
     32     -21.4818      1.00000
     33     -21.3959      1.00000
     34     -21.3357      1.00000
     35     -21.3124      1.00000
     36     -21.3081      1.00000
     37     -21.0796      1.00000
     38     -21.0021      1.00000
     39     -20.9032      1.00000
     40     -20.8342      1.00000
     41     -20.8268      1.00000
     42     -20.7967      1.00000
     43     -20.7196      1.00000
     44     -20.7070      1.00000
     45     -20.6657      1.00000
     46     -20.6439      1.00000
     47     -20.6168      1.00000
     48     -20.6024      1.00000
     49     -17.7456      1.00000
     50     -14.7761      1.00000
     51     -14.5875      1.00000
     52     -14.5430      1.00000
     53     -14.4754      1.00000
     54     -14.3913      1.00000
     55     -14.3758      1.00000
     56     -14.3481      1.00000
     57     -14.2902      1.00000
     58     -14.2276      1.00000
     59     -14.1843      1.00000
     60     -14.1761      1.00000
     61     -14.0298      1.00000
     62     -13.8767      1.00000
     63     -13.7849      1.00000
     64     -13.6910      1.00000
     65     -13.6783      1.00000
     66     -13.5317      1.00000
     67     -13.4797      1.00000
     68     -13.2411      1.00000
     69     -13.2107      1.00000
     70     -12.9785      1.00000
     71     -12.9744      1.00000
     72     -12.9528      1.00000
     73     -12.9230      1.00000
     74     -12.9214      1.00000
     75     -12.9185      1.00000
     76     -12.8726      1.00000
     77     -12.8667      1.00000
     78     -12.6496      1.00000
     79     -12.4580      1.00000
     80     -12.3677      1.00000
     81     -12.2008      1.00000
     82     -12.1961      1.00000
     83     -12.1444      1.00000
     84     -12.1363      1.00000
     85     -11.9718      1.00000
     86     -11.6825      1.00000
     87     -11.5819      1.00000
     88     -11.4250      1.00000
     89     -11.3690      1.00000
     90     -11.3285      1.00000
     91     -11.1497      1.00000
     92     -11.0948      1.00000
     93     -10.8460      1.00000
     94     -10.7718      1.00000
     95     -10.7124      1.00000
     96     -10.6111      1.00000
     97     -10.5375      1.00000
     98     -10.5264      1.00000
     99     -10.4974      1.00000
    100     -10.4761      1.00000
    101     -10.3014      1.00000
    102     -10.2866      1.00000
    103     -10.2381      1.00000
    104     -10.2334      1.00000
    105     -10.2133      1.00000
    106     -10.1988      1.00000
    107     -10.1711      1.00000
    108     -10.1569      1.00000
    109     -10.1204      1.00000
    110     -10.1169      1.00000
    111     -10.1074      1.00000
    112     -10.1074      1.00000
    113     -10.1025      1.00000
    114     -10.0734      1.00000
    115     -10.0437      1.00000
    116     -10.0205      1.00000
    117     -10.0162      1.00000
    118     -10.0076      1.00000
    119      -9.9871      1.00000
    120      -9.7843      1.00000
    121      -9.7566      1.00000
    122      -9.6149      1.00000
    123      -9.4582      1.00000
    124      -9.4489      1.00000
    125      -9.3388      1.00000
    126      -9.3025      1.00000
    127      -9.1925      1.00000
    128      -9.1134      1.00000
    129      -9.0142      1.00000
    130      -8.9896      1.00000
    131      -8.9516      1.00000
    132      -8.8848      1.00000
    133      -8.8713      1.00000
    134      -8.8455      1.00000
    135      -8.8135      1.00000
    136      -8.7316      1.00000
    137      -8.6983      1.00000
    138      -8.6661      1.00000
    139      -8.6627      1.00000
    140      -8.6084      1.00000
    141      -8.6002      1.00000
    142      -8.5476      1.00000
    143      -8.5370      1.00000
