
 Fermi energy:        -0.4857444946

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.6215      1.00000
      2     -23.8981      1.00000
      3     -23.5937      1.00000
      4     -23.5495      1.00000
      5     -23.4867      1.00000
      6     -23.3663      1.00000
      7     -23.3104      1.00000
      8     -22.9302      1.00000
      9     -22.6703      1.00000
     10     -22.6599      1.00000
     11     -22.6181      1.00000
     12     -22.5911      1.00000
     13     -22.5759      1.00000
     14     -22.4594      1.00000
     15     -22.2583      1.00000
     16     -22.2581      1.00000
     17     -22.1634      1.00000
     18     -22.0688      1.00000
     19     -21.9900      1.00000
     20     -21.4252      1.00000
     21     -21.3619      1.00000
     22     -21.3604      1.00000
     23     -21.3288      1.00000
     24     -21.3097      1.00000
     25     -21.2985      1.00000
     26     -21.2885      1.00000
     27     -21.2493      1.00000
     28     -21.1298      1.00000
     29     -21.0999      1.00000
     30     -21.0634      1.00000
     31     -20.9903      1.00000
     32     -20.9147      1.00000
     33     -20.8367      1.00000
     34     -20.8351      1.00000
     35     -20.7117      1.00000
     36     -20.7023      1.00000
     37     -20.5421      1.00000
     38     -20.3811      1.00000
     39     -20.3708      1.00000
     40     -20.3184      1.00000
     41     -20.2991      1.00000
     42     -20.2628      1.00000
     43     -20.2124      1.00000
     44     -20.1821      1.00000
     45     -20.1557      1.00000
     46     -20.0625      1.00000
     47     -19.9119      1.00000
     48     -19.6078      1.00000
     49     -16.0119      1.00000
     50     -14.0201      1.00000
     51     -14.0182      1.00000
     52     -13.9560      1.00000
     53     -13.9440      1.00000
     54     -13.9165      1.00000
     55     -13.9155      1.00000
     56     -13.8248      1.00000
     57     -13.8005      1.00000
     58     -13.7904      1.00000
     59     -13.5175      1.00000
     60     -13.4609      1.00000
     61     -13.3650      1.00000
     62     -13.2496      1.00000
     63     -13.2440      1.00000
     64     -13.0977      1.00000
     65     -13.0328      1.00000
     66     -13.0089      1.00000
     67     -12.9538      1.00000
     68     -12.5944      1.00000
     69     -12.5462      1.00000
     70     -12.4728      1.00000
     71     -12.4620      1.00000
     72     -12.4443      1.00000
     73     -12.4424      1.00000
     74     -12.3922      1.00000
     75     -12.2753      1.00000
     76     -12.2538      1.00000
     77     -12.1815      1.00000
     78     -11.9402      1.00000
     79     -11.8091      1.00000
     80     -11.7653      1.00000
     81     -11.7378      1.00000
     82     -11.6981      1.00000
     83     -11.5772      1.00000
     84     -11.3914      1.00000
     85     -11.2603      1.00000
     86     -10.9651      1.00000
     87     -10.9566      1.00000
     88     -10.8513      1.00000
     89     -10.7761      1.00000
     90     -10.6866      1.00000
     91     -10.2936      1.00000
     92     -10.2748      1.00000
     93     -10.1980      1.00000
     94     -10.1847      1.00000
     95     -10.1559      1.00000
     96     -10.0837      1.00000
     97     -10.0249      1.00000
     98      -9.9837      1.00000
     99      -9.8839      1.00000
    100      -9.7489      1.00000
    101      -9.7375      1.00000
    102      -9.7233      1.00000
    103      -9.7109      1.00000
    104      -9.7038      1.00000
    105      -9.6892      1.00000
    106      -9.6892      1.00000
    107      -9.6697      1.00000
    108      -9.6587      1.00000
    109      -9.6400      1.00000
    110      -9.6079      1.00000
    111      -9.5871      1.00000
    112      -9.5724      1.00000
    113      -9.5477      1.00000
    114      -9.5129      1.00000
    115      -9.5030      1.00000
    116      -9.4630      1.00000
    117      -9.4423      1.00000
    118      -9.4210      1.00000
    119      -9.2313      1.00000
    120      -9.2207      1.00000
    121      -9.1645      1.00000
    122      -8.9665      1.00000
    123      -8.8685      1.00000
    124      -8.8599      1.00000
    125      -8.7727      1.00000
    126      -8.5582      1.00000
    127      -8.4856      1.00000
    128      -8.4779      1.00000
    129      -8.4531      1.00000
    130      -8.4050      1.00000
    131      -8.3624      1.00000
    132      -8.3602      1.00000
    133      -8.3461      1.00000
    134      -8.2357      1.00000
    135      -8.2273      1.00000
    136      -8.2008      1.00000
    137      -8.1987      1.00000
    138      -8.1485      1.00000
    139      -8.1139      1.00000
    140      -8.0910      1.00000
    141      -8.0306      1.00000
    142      -8.0144      1.00000
    143      -7.9354      1.00000
    144      -7.9240      1.00000
    145      -7.8801      1.00000
    146      -7.8670      1.00000
    147      -7.8631      1.00000
    148      -7.7393      1.00000
    149      -7.7383      1.00000
    150      -7.6513      1.00000
    151      -7.6385      1.00000
    152      -7.6183      1.00000
    153      -7.5403      1.00000
    154      -7.4870      1.00000
    155      -7.4210      1.00000
    156      -6.9837      1.00000
    157      -6.9707      1.00000
    158      -6.7743      1.00000
    159      -6.7354      1.00000
    160      -6.6066      1.00000
    161      -6.5988      1.00000
    162      -6.5792      1.00000
    163      -6.5772      1.00000
    164      -6.5750      1.00000
    165      -6.5636      1.00000
    166      -6.5576      1.00000
    167      -6.5458      1.00000
    168      -6.4100      1.00000
    169      -6.4090      1.00000
