
 Fermi energy:        -5.1285870000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -32.4118      1.00000
      2     -25.1484      1.00000
      3     -25.1483      1.00000
      4     -24.7912      1.00000
      5     -24.3229      1.00000
      6     -24.3228      1.00000
      7     -24.2426      1.00000
      8     -24.1779      1.00000
      9     -24.1558      1.00000
     10     -24.1557      1.00000
     11     -23.6800      1.00000
     12     -23.6799      1.00000
     13     -23.5662      1.00000
     14     -23.3160      1.00000
     15     -23.3159      1.00000
     16     -23.2825      1.00000
     17     -23.2345      1.00000
     18     -23.1898      1.00000
     19     -23.1898      1.00000
     20     -22.9310      1.00000
     21     -22.9309      1.00000
     22     -22.7906      1.00000
     23     -22.4113      1.00000
     24     -22.4113      1.00000
     25     -22.3366      1.00000
     26     -22.2835      1.00000
     27     -22.1390      1.00000
     28     -22.1390      1.00000
     29     -22.0745      1.00000
     30     -22.0729      1.00000
     31     -22.0729      1.00000
     32     -21.8691      1.00000
     33     -21.8691      1.00000
     34     -21.8416      1.00000
     35     -21.6493      1.00000
     36     -21.6249      1.00000
     37     -21.6249      1.00000
     38     -21.5872      1.00000
     39     -21.5872      1.00000
     40     -21.2644      1.00000
     41     -21.2643      1.00000
     42     -21.2579      1.00000
     43     -21.2579      1.00000
     44     -21.0430      1.00000
     45     -21.0430      1.00000
     46     -20.9967      1.00000
     47     -20.9472      1.00000
     48     -20.9472      1.00000
     49     -20.9448      1.00000
     50     -20.5577      1.00000
     51     -16.5994      1.00000
     52     -16.5994      1.00000
     53     -15.1335      1.00000
     54     -15.1334      1.00000
     55     -15.0879      1.00000
     56     -14.8600      1.00000
     57     -14.8600      1.00000
     58     -14.6291      1.00000
     59     -14.6259      1.00000
     60     -14.6218      1.00000
     61     -14.6218      1.00000
     62     -14.5064      1.00000
     63     -14.5063      1.00000
     64     -14.3620      1.00000
     65     -14.2179      1.00000
     66     -14.1763      1.00000
     67     -14.1763      1.00000
     68     -13.8569      1.00000
     69     -13.8265      1.00000
     70     -13.8265      1.00000
     71     -13.7682      1.00000
     72     -13.5722      1.00000
     73     -13.5722      1.00000
     74     -13.4692      1.00000
     75     -13.4249      1.00000
     76     -13.3610      1.00000
     77     -13.3412      1.00000
     78     -13.3412      1.00000
     79     -13.3214      1.00000
     80     -13.3213      1.00000
     81     -13.0464      1.00000
     82     -12.9601      1.00000
     83     -12.9601      1.00000
     84     -12.9549      1.00000
     85     -12.5361      1.00000
     86     -12.5361      1.00000
     87     -12.3805      1.00000
     88     -12.3805      1.00000
     89     -12.1305      1.00000
     90     -11.9880      1.00000
     91     -11.9880      1.00000
     92     -11.9147      1.00000
     93     -11.7380      1.00000
     94     -11.7379      1.00000
     95     -11.6537      1.00000
     96     -11.2768      1.00000
     97     -11.1269      1.00000
     98     -11.1268      1.00000
     99     -10.9816      1.00000
