
 Fermi energy:        -2.3723224576

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.4653      1.00000
      2     -24.4349      1.00000
      3     -24.1212      1.00000
      4     -24.0925      1.00000
      5     -23.9880      1.00000
      6     -23.9001      1.00000
      7     -23.8775      1.00000
      8     -23.5669      1.00000
      9     -23.2919      1.00000
     10     -23.2167      1.00000
     11     -23.1918      1.00000
     12     -23.1181      1.00000
     13     -23.1070      1.00000
     14     -22.9674      1.00000
     15     -22.7854      1.00000
     16     -22.7768      1.00000
     17     -22.7457      1.00000
     18     -22.7401      1.00000
     19     -22.6044      1.00000
     20     -22.1358      1.00000
     21     -22.0706      1.00000
     22     -21.9101      1.00000
     23     -21.8520      1.00000
     24     -21.8123      1.00000
     25     -21.8004      1.00000
     26     -21.7776      1.00000
     27     -21.7182      1.00000
     28     -21.6844      1.00000
     29     -21.6438      1.00000
     30     -21.5810      1.00000
     31     -21.5335      1.00000
     32     -21.3974      1.00000
     33     -21.3416      1.00000
     34     -21.3112      1.00000
     35     -21.2415      1.00000
     36     -21.1864      1.00000
     37     -21.1107      1.00000
     38     -20.9672      1.00000
     39     -20.8330      1.00000
     40     -20.8276      1.00000
     41     -20.7952      1.00000
     42     -20.7162      1.00000
     43     -20.6652      1.00000
     44     -20.6414      1.00000
     45     -20.6101      1.00000
     46     -20.5412      1.00000
     47     -20.4309      1.00000
     48     -20.2195      1.00000
     49     -19.7881      1.00000
     50     -18.5888      1.00000
     51     -14.6965      1.00000
     52     -14.6003      1.00000
     53     -14.4948      1.00000
     54     -14.4837      1.00000
     55     -14.4506      1.00000
     56     -14.3454      1.00000
     57     -14.2979      1.00000
     58     -14.2616      1.00000
     59     -14.1983      1.00000
     60     -14.1390      1.00000
     61     -14.0816      1.00000
     62     -13.8484      1.00000
     63     -13.7867      1.00000
     64     -13.7737      1.00000
     65     -13.6843      1.00000
     66     -13.6489      1.00000
     67     -13.5565      1.00000
     68     -13.3118      1.00000
     69     -13.1923      1.00000
     70     -13.0536      1.00000
     71     -13.0159      1.00000
     72     -12.9643      1.00000
     73     -12.9444      1.00000
     74     -12.8999      1.00000
     75     -12.8867      1.00000
     76     -12.8678      1.00000
     77     -12.8076      1.00000
     78     -12.7097      1.00000
     79     -12.6694      1.00000
     80     -12.5095      1.00000
     81     -12.3935      1.00000
     82     -12.2433      1.00000
     83     -12.1877      1.00000
     84     -12.1699      1.00000
     85     -12.1520      1.00000
     86     -11.5714      1.00000
     87     -11.5368      1.00000
     88     -11.5198      1.00000
     89     -11.3801      1.00000
     90     -11.3649      1.00000
     91     -11.3210      1.00000
     92     -10.8777      1.00000
     93     -10.8232      1.00000
     94     -10.7782      1.00000
     95     -10.7418      1.00000
     96     -10.6532      1.00000
     97     -10.6099      1.00000
     98     -10.5639      1.00000
     99     -10.5402      1.00000
    100     -10.4175      1.00000
    101     -10.3575      1.00000
    102     -10.3536      1.00000
    103     -10.2885      1.00000
    104     -10.2618      1.00000
    105     -10.2503      1.00000
    106     -10.2133      1.00000
    107     -10.2070      1.00000
    108     -10.2045      1.00000
    109     -10.1941      1.00000
    110     -10.1480      1.00000
    111     -10.1136      1.00000
    112     -10.0966      1.00000
    113     -10.0860      1.00000
    114     -10.0424      1.00000
    115     -10.0266      1.00000
    116      -9.9873      1.00000
    117      -9.9802      1.00000
    118      -9.9327      1.00000
    119      -9.9108      1.00000
    120      -9.8102      1.00000
    121      -9.7686      1.00000
    122      -9.7450      1.00000
    123      -9.4527      1.00000
    124      -9.4386      1.00000
    125      -9.3651      1.00000
    126      -9.2578      1.00000
    127      -9.2468      1.00000
    128      -9.2428      1.00000
    129      -9.1311      1.00000
    130      -9.0786      1.00000
    131      -8.9951      1.00000
    132      -8.9701      1.00000
    133      -8.9553      1.00000
    134      -8.8938      1.00000
    135      -8.8868      1.00000
    136      -8.8077      1.00000
    137      -8.6978      1.00000
    138      -8.6820      1.00000
    139      -8.6199      1.00000
    140      -8.5901      1.00000
    141      -8.5233      1.00000
    142      -8.4817      1.00000
    143      -8.4457      1.00000
    144      -8.4424      1.00000
    145      -8.4158      1.00000
    146      -8.4009      1.00000
    147      -8.3913      1.00000
    148      -8.3846      1.00000
    149      -8.3530      1.00000
    150      -8.3429      1.00000
    151      -8.2768      1.00000
    152      -8.2664      1.00000
    153      -8.2597      1.00000
    154      -8.0619      1.00000
    155      -7.9932      1.00000
    156      -7.9621      1.00000
    157      -7.8877      1.00000
    158      -7.7885      1.00000
    159      -7.4598      1.00000
    160      -7.3385      1.00000
    161      -7.2403      1.00000
    162      -7.1907      1.00000
    163      -7.1037      1.00000
    164      -7.0677      1.00000
    165      -7.0427      1.00000
    166      -7.0380      1.00000
    167      -7.0080      1.00000
    168      -7.0010      1.00000
    169      -6.9861      1.00000
    170      -6.9526      1.00000
    171      -6.8978      1.00000
    172      -6.8950      1.00000
    173      -6.8666      1.00000
    174      -6.8126      1.00000
    175      -6.7744      1.00000
    176      -6.7519      1.00000
    177      -6.4584      1.00000
    178      -6.4517      1.00000
    179      -6.3277      1.00000
    180      -6.3142      1.00000
    181      -6.2661      1.00000
    182      -6.2078      1.00000
    183      -6.1539      1.00000
    184      -6.1313      1.00000
    185      -5.6505      1.00000
    186      -5.5944      1.00000
    187      -5.5486      1.00000
    188      -5.5357      1.00000
    189      -5.4231      1.00000
    190      -5.3833      1.00000
    191      -5.2962      1.00000
    192      -5.2527      1.00000
    193      -5.1769      1.00000
    194      -5.1669      1.00000
    195      -4.9901      1.00000
    196      -4.8956      1.00000
    197      -3.8937      1.00000
    198      -2.6979      1.00000
    199       0.6912      0.00000
    200       0.7741      0.00000
    201       0.8890      0.00000
    202       0.9442      0.00000
    203       1.3324      0.00000
    204       1.3717      0.00000
    205       1.4275      0.00000
    206       1.4332      0.00000
    207       1.4831      0.00000
    208       1.5307      0.00000
    209       1.5380      0.00000
    210       1.5977      0.00000
    211       1.6038      0.00000
    212       1.6228      0.00000
    213       1.6582      0.00000
    214       1.6954      0.00000
    215       1.7114      0.00000
    216       1.7395      0.00000
    217       1.7524      0.00000
    218       1.8089      0.00000
    219       1.8370      0.00000
    220       1.8656      0.00000
    221       1.8890      0.00000
    222       1.9935      0.00000
    223       2.0556      0.00000
    224       2.1211      0.00000
    225       2.2400      0.00000
    226       2.3629      0.00000
    227       2.3869      0.00000
    228       2.4181      0.00000
    229       2.4499      0.00000
    230       2.4691      0.00000
    231       2.4960      0.00000
    232       2.5434      0.00000
    233       2.7548      0.00000
    234       2.7639      0.00000
    235       2.8179      0.00000
    236       2.8395      0.00000
    237       2.8520      0.00000
    238       2.8579      0.00000
    239       2.8706      0.00000
    240       2.8752      0.00000
    241       2.8863      0.00000
    242       2.9032      0.00000
