
 Fermi energy:        -2.0473248431

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.3003      1.00000
      2     -24.3831      1.00000
      3     -24.0701      1.00000
      4     -24.0432      1.00000
      5     -23.9976      1.00000
      6     -23.9815      1.00000
      7     -23.9088      1.00000
      8     -23.6180      1.00000
      9     -23.2982      1.00000
     10     -23.2351      1.00000
     11     -23.1995      1.00000
     12     -23.1775      1.00000
     13     -23.1032      1.00000
     14     -22.9683      1.00000
     15     -22.9029      1.00000
     16     -22.8126      1.00000
     17     -22.7996      1.00000
     18     -22.7793      1.00000
     19     -22.6352      1.00000
     20     -22.1429      1.00000
     21     -22.0902      1.00000
     22     -21.9428      1.00000
     23     -21.8537      1.00000
     24     -21.7991      1.00000
     25     -21.7934      1.00000
     26     -21.7862      1.00000
     27     -21.7810      1.00000
     28     -21.7421      1.00000
     29     -21.6936      1.00000
     30     -21.6891      1.00000
     31     -21.5516      1.00000
     32     -21.4347      1.00000
     33     -21.4339      1.00000
     34     -21.3415      1.00000
     35     -21.2856      1.00000
     36     -21.2443      1.00000
     37     -21.1087      1.00000
     38     -21.0314      1.00000
     39     -20.8611      1.00000
     40     -20.8412      1.00000
     41     -20.8207      1.00000
     42     -20.8174      1.00000
     43     -20.7383      1.00000
     44     -20.7288      1.00000
     45     -20.6834      1.00000
     46     -20.6263      1.00000
     47     -20.5533      1.00000
     48     -20.5505      1.00000
     49     -19.5606      1.00000
     50     -18.6050      1.00000
     51     -14.6142      1.00000
     52     -14.5774      1.00000
     53     -14.5543      1.00000
     54     -14.5077      1.00000
     55     -14.4214      1.00000
     56     -14.3871      1.00000
     57     -14.3762      1.00000
     58     -14.3624      1.00000
     59     -14.2316      1.00000
     60     -14.1789      1.00000
     61     -14.1318      1.00000
     62     -13.9002      1.00000
     63     -13.8254      1.00000
     64     -13.7909      1.00000
     65     -13.7580      1.00000
     66     -13.6818      1.00000
     67     -13.5976      1.00000
     68     -13.3444      1.00000
     69     -13.3305      1.00000
     70     -13.2167      1.00000
     71     -13.0291      1.00000
     72     -12.9899      1.00000
     73     -12.9465      1.00000
     74     -12.9287      1.00000
     75     -12.9075      1.00000
     76     -12.9029      1.00000
     77     -12.8516      1.00000
     78     -12.7906      1.00000
     79     -12.6938      1.00000
     80     -12.5470      1.00000
     81     -12.5194      1.00000
     82     -12.2477      1.00000
     83     -12.2200      1.00000
     84     -12.1965      1.00000
     85     -12.1863      1.00000
     86     -11.6544      1.00000
     87     -11.6002      1.00000
     88     -11.5459      1.00000
     89     -11.4208      1.00000
     90     -11.3982      1.00000
     91     -11.3380      1.00000
     92     -10.9670      1.00000
     93     -10.7996      1.00000
     94     -10.7813      1.00000
     95     -10.6802      1.00000
     96     -10.6751      1.00000
     97     -10.6440      1.00000
     98     -10.5817      1.00000
     99     -10.5760      1.00000
    100     -10.4051      1.00000
    101     -10.3694      1.00000
    102     -10.3533      1.00000
    103     -10.3027      1.00000
    104     -10.2875      1.00000
    105     -10.2515      1.00000
    106     -10.2349      1.00000
    107     -10.2214      1.00000
    108     -10.2088      1.00000
    109     -10.1777      1.00000
    110     -10.1475      1.00000
    111     -10.1453      1.00000
