
 Fermi energy:         0.2181116705

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.9876      1.00000
      2     -24.8772      1.00000
      3     -24.4894      1.00000
      4     -24.4716      1.00000
      5     -24.4553      1.00000
      6     -24.3959      1.00000
      7     -24.3921      1.00000
      8     -24.1781      1.00000
      9     -23.7362      1.00000
     10     -23.7002      1.00000
     11     -23.6472      1.00000
     12     -23.6135      1.00000
     13     -23.5728      1.00000
     14     -23.5292      1.00000
     15     -23.3320      1.00000
     16     -23.2733      1.00000
     17     -23.2612      1.00000
     18     -23.2197      1.00000
     19     -23.1866      1.00000
     20     -22.9309      1.00000
     21     -22.4151      1.00000
     22     -22.3691      1.00000
     23     -22.3443      1.00000
     24     -22.3077      1.00000
     25     -22.2795      1.00000
     26     -22.2729      1.00000
     27     -22.2578      1.00000
     28     -22.2112      1.00000
     29     -22.2014      1.00000
     30     -22.1874      1.00000
     31     -22.1621      1.00000
     32     -21.9396      1.00000
     33     -21.8605      1.00000
     34     -21.8535      1.00000
     35     -21.8198      1.00000
     36     -21.8128      1.00000
     37     -21.7897      1.00000
     38     -21.4876      1.00000
     39     -21.4348      1.00000
     40     -21.3729      1.00000
     41     -21.3379      1.00000
     42     -21.3258      1.00000
     43     -21.3052      1.00000
     44     -21.1972      1.00000
     45     -21.1799      1.00000
     46     -21.1729      1.00000
     47     -21.1249      1.00000
     48     -21.0298      1.00000
     49     -21.0279      1.00000
     50     -15.6815      1.00000
     51     -15.6682      1.00000
     52     -15.0124      1.00000
     53     -14.9348      1.00000
     54     -14.9200      1.00000
     55     -14.9071      1.00000
     56     -14.8810      1.00000
     57     -14.8586      1.00000
     58     -14.7951      1.00000
     59     -14.6731      1.00000
     60     -14.6539      1.00000
     61     -14.6464      1.00000
     62     -14.3336      1.00000
     63     -14.3324      1.00000
     64     -14.1839      1.00000
     65     -14.1795      1.00000
     66     -14.1465      1.00000
     67     -14.1245      1.00000
     68     -13.7399      1.00000
     69     -13.7307      1.00000
     70     -13.5802      1.00000
     71     -13.4758      1.00000
     72     -13.4558      1.00000
     73     -13.4527      1.00000
     74     -13.4265      1.00000
     75     -13.4031      1.00000
     76     -13.3954      1.00000
     77     -13.3765      1.00000
     78     -13.3717      1.00000
     79     -13.3692      1.00000
     80     -12.8468      1.00000
     81     -12.8409      1.00000
     82     -12.7517      1.00000
     83     -12.7279      1.00000
     84     -12.6524      1.00000
     85     -12.6465      1.00000
     86     -12.1213      1.00000
     87     -12.1102      1.00000
     88     -11.9974      1.00000
     89     -11.9486      1.00000
     90     -11.9401      1.00000
     91     -11.9092      1.00000
     92     -11.8905      1.00000
     93     -11.4572      1.00000
     94     -11.4520      1.00000
     95     -11.2373      1.00000
     96     -11.1346      1.00000
     97     -11.1302      1.00000
     98     -11.1122      1.00000
     99     -11.0729      1.00000
    100     -10.9801      1.00000
    101     -10.9575      1.00000
    102     -10.7976      1.00000
    103     -10.7684      1.00000
    104     -10.7523      1.00000
    105     -10.7365      1.00000
    106     -10.6611      1.00000
    107     -10.6546      1.00000
    108     -10.6489      1.00000
    109     -10.6445      1.00000
    110     -10.6260      1.00000
    111     -10.6165      1.00000
    112     -10.6130      1.00000
    113     -10.5946      1.00000
    114     -10.5878      1.00000
    115     -10.5820      1.00000
    116     -10.5726      1.00000
    117     -10.5660      1.00000
    118     -10.5584      1.00000
    119     -10.5523      1.00000
    120     -10.5321      1.00000
    121     -10.4861      1.00000
    122     -10.4804      1.00000
    123     -10.0039      1.00000
    124      -9.9950      1.00000
    125      -9.9834      1.00000
    126      -9.9706      1.00000
    127      -9.8719      1.00000
    128      -9.8657      1.00000
    129      -9.8318      1.00000
    130      -9.5308      1.00000
    131      -9.4948      1.00000
    132      -9.4412      1.00000
    133      -9.3988      1.00000
    134      -9.3722      1.00000
    135      -9.3613      1.00000
    136      -9.3578      1.00000
    137      -9.2172      1.00000
    138      -9.2149      1.00000
    139      -9.1718      1.00000
    140      -9.1596      1.00000
    141      -9.1419      1.00000
    142      -9.0812      1.00000
    143      -9.0582      1.00000
    144      -9.0503      1.00000
    145      -9.0126      1.00000
    146      -8.9926      1.00000
    147      -8.9876      1.00000
    148      -8.9734      1.00000
    149      -8.9239      1.00000
    150      -8.9134      1.00000
    151      -8.8634      1.00000
    152      -8.8243      1.00000
    153      -8.7351      1.00000
    154      -8.7337      1.00000
    155      -8.6281      1.00000
    156      -8.6006      1.00000
    157      -8.5976      1.00000
    158      -8.5716      1.00000
    159      -8.3098      1.00000
    160      -7.8428      1.00000
    161      -7.8387      1.00000
    162      -7.7205      1.00000
    163      -7.7082      1.00000
    164      -7.7008      1.00000
    165      -7.6567      1.00000
    166      -7.6546      1.00000
    167      -7.5887      1.00000
    168      -7.5707      1.00000
    169      -7.5416      1.00000
    170      -7.5121      1.00000
    171      -7.4934      1.00000
    172      -7.4626      1.00000
    173      -7.4199      1.00000
    174      -7.4099      1.00000
    175      -7.3978      1.00000
    176      -7.3591      1.00000
    177      -7.0213      1.00000
    178      -7.0012      1.00000
    179      -7.0004      1.00000
    180      -6.9013      1.00000
    181      -6.8892      1.00000
    182      -6.8593      1.00000
    183      -6.7947      1.00000
    184      -6.7634      1.00000
    185      -6.3519      1.00000
    186      -6.2250      1.00000
    187      -6.0930      1.00000
    188      -6.0877      1.00000
    189      -6.0659      1.00000
    190      -6.0483      1.00000
    191      -5.9287      1.00000
    192      -5.8632      1.00000
    193      -5.8098      1.00000
    194      -5.7835      1.00000
    195      -5.6876      1.00000
    196      -5.6846      1.00000
    197       0.1376      1.00000
    198       0.6103      0.00000
    199       0.6227      0.00000
    200       0.6489      0.00000
    201       0.8653      0.00000
    202       0.8731      0.00000
    203       0.8890      0.00000
    204       0.9776      0.00000
    205       1.0027      0.00000
    206       1.0686      0.00000
    207       1.0705      0.00000
    208       1.0882      0.00000
    209       1.1473      0.00000
    210       1.1825      0.00000
    211       1.2637      0.00000
    212       1.3555      0.00000
    213       1.3582      0.00000
    214       1.3585      0.00000
    215       1.3609      0.00000
    216       1.3956      0.00000
    217       1.3965      0.00000
    218       1.4008      0.00000
    219       1.4062      0.00000
    220       1.4480      0.00000
    221       1.4575      0.00000
    222       1.7396      0.00000
    223       2.0419      0.00000
    224       2.3000      0.00000
    225       2.3728      0.00000
    226       2.3767      0.00000
    227       2.4095      0.00000
    228       2.4115      0.00000
    229       2.4139      0.00000
    230       2.4287      0.00000
    231       2.5199      0.00000
    232       2.5321      0.00000
    233       2.5380      0.00000
    234       2.5726      0.00000
    235       2.5807      0.00000
    236       2.6086      0.00000
    237       2.6306      0.00000
    238       2.6331      0.00000
    239       2.6440      0.00000
    240       2.6649      0.00000
    241       2.6762      0.00000
    242       2.6769      0.00000
    243       2.6814      0.00000
    244       2.6884      0.00000
    245       2.6930      0.00000
    246       2.9788      0.00000
    247       3.0863      0.00000
    248       3.1024      0.00000
    249       3.1428      0.00000
    250       3.1611      0.00000
    251       3.1836      0.00000
    252       3.2995      0.00000
 Fermi energy:        -5.5542375135

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.8725      1.00000
      2     -24.8114      1.00000
      3     -24.4362      1.00000
      4     -24.4242      1.00000
      5     -24.4062      1.00000
      6     -24.3739      1.00000
      7     -24.3672      1.00000
      8     -24.1559      1.00000
      9     -23.6762      1.00000
     10     -23.6580      1.00000
     11     -23.5940      1.00000
     12     -23.5834      1.00000
     13     -23.5526      1.00000
     14     -23.4700      1.00000
     15     -23.2818      1.00000
     16     -23.2482      1.00000
     17     -23.2150      1.00000
     18     -23.1984      1.00000
     19     -23.1695      1.00000
     20     -22.9029      1.00000
     21     -22.3309      1.00000
     22     -22.3232      1.00000
     23     -22.2910      1.00000
     24     -22.2795      1.00000
     25     -22.2505      1.00000
     26     -22.2261      1.00000
     27     -22.2107      1.00000
     28     -22.1817      1.00000
     29     -22.1733      1.00000
     30     -22.1547      1.00000
     31     -22.1487      1.00000
     32     -21.9092      1.00000
     33     -21.8277      1.00000
     34     -21.8238      1.00000
     35     -21.7790      1.00000
     36     -21.7694      1.00000
     37     -21.7664      1.00000
     38     -21.4673      1.00000
     39     -21.3601      1.00000
     40     -21.3316      1.00000
     41     -21.3047      1.00000
     42     -21.2818      1.00000
     43     -21.2718      1.00000
     44     -21.1577      1.00000
     45     -21.1550      1.00000
     46     -21.1390      1.00000
     47     -21.1039      1.00000
     48     -21.0166      1.00000
     49     -21.0157      1.00000
     50     -15.6414      1.00000
     51     -15.6222      1.00000
     52     -14.9568      1.00000
     53     -14.9137      1.00000
     54     -14.8959      1.00000
     55     -14.8875      1.00000
     56     -14.8637      1.00000
     57     -14.8395      1.00000
     58     -14.7515      1.00000
     59     -14.6598      1.00000
     60     -14.6447      1.00000
     61     -14.6366      1.00000
     62     -14.3155      1.00000
     63     -14.3145      1.00000
     64     -14.1676      1.00000
     65     -14.1648      1.00000
     66     -14.1222      1.00000
     67     -14.1036      1.00000
     68     -13.7176      1.00000
     69     -13.7107      1.00000
     70     -13.5399      1.00000
     71     -13.4479      1.00000
     72     -13.4335      1.00000
     73     -13.4251      1.00000
     74     -13.3977      1.00000
     75     -13.3877      1.00000
     76     -13.3807      1.00000
     77     -13.3666      1.00000
     78     -13.3608      1.00000
     79     -13.3572      1.00000
     80     -12.8165      1.00000
     81     -12.8147      1.00000
     82     -12.7316      1.00000
     83     -12.7119      1.00000
     84     -12.6395      1.00000
     85     -12.6382      1.00000
     86     -12.0989      1.00000
     87     -12.0874      1.00000
     88     -11.9765      1.00000
     89     -11.9258      1.00000
     90     -11.9152      1.00000
     91     -11.8849      1.00000
     92     -11.6255      1.00000
     93     -11.4366      1.00000
     94     -11.4305      1.00000
     95     -11.2231      1.00000
     96     -11.1205      1.00000
     97     -11.1165      1.00000
     98     -11.0924      1.00000
     99     -10.9562      1.00000
    100     -10.9409      1.00000
    101     -10.9248      1.00000
    102     -10.7736      1.00000
    103     -10.7440      1.00000
    104     -10.7306      1.00000
    105     -10.7235      1.00000
    106     -10.6422      1.00000
    107     -10.6375      1.00000
    108     -10.6326      1.00000
    109     -10.6276      1.00000
    110     -10.6114      1.00000
    111     -10.6020      1.00000
    112     -10.5974      1.00000
    113     -10.5820      1.00000
    114     -10.5736      1.00000
    115     -10.5528      1.00000
    116     -10.5452      1.00000
    117     -10.5425      1.00000
    118     -10.4523      1.00000
    119     -10.4480      1.00000
    120     -10.4303      1.00000
    121     -10.4246      1.00000
    122     -10.4201      1.00000
    123      -9.9805      1.00000
    124      -9.9702      1.00000
    125      -9.9579      1.00000
    126      -9.8728      1.00000
    127      -9.8590      1.00000
    128      -9.8554      1.00000
    129      -9.8240      1.00000
    130      -9.3810      1.00000
    131      -9.3695      1.00000
    132      -9.3618      1.00000
    133      -9.3513      1.00000
    134      -9.3123      1.00000
    135      -9.2977      1.00000
    136      -9.2898      1.00000
    137      -9.1975      1.00000
    138      -9.1633      1.00000
    139      -9.1464      1.00000
    140      -9.1233      1.00000
    141      -9.0676      1.00000
    142      -9.0499      1.00000
    143      -9.0447      1.00000
    144      -9.0384      1.00000
    145      -8.9973      1.00000
    146      -8.9813      1.00000
    147      -8.9655      1.00000
    148      -8.8482      1.00000
    149      -8.8421      1.00000
    150      -8.7834      1.00000
    151      -8.7708      1.00000
    152      -8.7494      1.00000
    153      -8.7166      1.00000
    154      -8.7148      1.00000
    155      -8.5999      1.00000
    156      -8.5921      1.00000
    157      -8.5896      1.00000
    158      -8.5662      1.00000
    159      -8.1621      1.00000
    160      -7.8326      1.00000
    161      -7.8281      1.00000
    162      -7.7119      1.00000
    163      -7.6900      1.00000
    164      -7.6839      1.00000
    165      -7.6446      1.00000
    166      -7.4498      1.00000
    167      -7.4415      1.00000
    168      -7.4136      1.00000
    169      -7.4008      1.00000
    170      -7.3907      1.00000
    171      -7.3400      1.00000
    172      -7.3165      1.00000
    173      -7.3075      1.00000
    174      -7.3040      1.00000
    175      -7.2935      1.00000
    176      -7.2843      1.00000
    177      -6.9901      1.00000
    178      -6.9893      1.00000
    179      -6.9114      1.00000
    180      -6.7626      1.00000
    181      -6.7480      1.00000
    182      -6.7019      1.00000
    183      -6.6959      1.00000
    184      -6.6806      1.00000
    185      -6.2425      1.00000
    186      -6.0078      1.00000
    187      -5.9832      1.00000
    188      -5.9539      1.00000
    189      -5.9356      1.00000
    190      -5.9082      1.00000
    191      -5.7304      1.00000
    192      -5.7151      1.00000
    193      -5.7118      1.00000
    194      -5.6260      1.00000
    195      -5.6230      1.00000
    196      -5.4805      0.00000
    197       0.6907      0.00000
    198       0.8560      0.00000
    199       0.8745      0.00000
    200       0.8904      0.00000
    201       0.9298      0.00000
    202       0.9422      0.00000
    203       0.9612      0.00000
    204       1.1084      0.00000
    205       1.1280      0.00000
    206       1.1454      0.00000
    207       1.1759      0.00000
    208       1.1826      0.00000
    209       1.1911      0.00000
    210       1.2246      0.00000
    211       1.3747      0.00000
    212       1.3835      0.00000
    213       1.3881      0.00000
    214       1.4068      0.00000
    215       1.4090      0.00000
    216       1.4130      0.00000
    217       1.4575      0.00000
    218       1.4663      0.00000
    219       1.4915      0.00000
    220       1.5019      0.00000
    221       1.5321      0.00000
    222       1.7836      0.00000
    223       2.1975      0.00000
    224       2.3864      0.00000
    225       2.3963      0.00000
    226       2.4040      0.00000
    227       2.4258      0.00000
    228       2.4291      0.00000
    229       2.4527      0.00000
    230       2.4581      0.00000
    231       2.5634      0.00000
    232       2.6392      0.00000
    233       2.6602      0.00000
    234       2.6656      0.00000
    235       2.6710      0.00000
    236       2.6849      0.00000
    237       2.6930      0.00000
    238       2.6992      0.00000
    239       2.7007      0.00000
    240       2.7049      0.00000
    241       2.7130      0.00000
    242       2.7238      0.00000
    243       2.7283      0.00000
    244       2.7414      0.00000
    245       2.7826      0.00000
    246       2.8129      0.00000
    247       3.0767      0.00000
    248       3.1354      0.00000
    249       3.1511      0.00000
    250       3.1647      0.00000
    251       3.2457      0.00000
    252       3.2675      0.00000

