
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.2138      1.00000
      2     -24.2773      1.00000
      3     -23.9477      1.00000
      4     -23.9355      1.00000
      5     -23.8826      1.00000
      6     -23.8663      1.00000
      7     -23.8448      1.00000
      8     -23.6741      1.00000
      9     -23.1430      1.00000
     10     -23.1299      1.00000
     11     -23.0966      1.00000
     12     -23.0844      1.00000
     13     -23.0565      1.00000
     14     -22.9051      1.00000
     15     -22.7439      1.00000
     16     -22.7341      1.00000
     17     -22.7165      1.00000
     18     -22.7115      1.00000
     19     -22.6711      1.00000
     20     -22.3476      1.00000
     21     -21.8269      1.00000
     22     -21.7890      1.00000
     23     -21.7854      1.00000
     24     -21.7130      1.00000
     25     -21.7036      1.00000
     26     -21.6904      1.00000
     27     -21.6787      1.00000
     28     -21.6707      1.00000
     29     -21.6687      1.00000
     30     -21.6525      1.00000
     31     -21.6217      1.00000
     32     -21.4051      1.00000
     33     -21.3226      1.00000
     34     -21.3091      1.00000
     35     -21.2398      1.00000
     36     -21.2238      1.00000
     37     -21.2131      1.00000
     38     -20.9605      1.00000
     39     -20.8580      1.00000
     40     -20.7934      1.00000
     41     -20.7653      1.00000
     42     -20.7643      1.00000
     43     -20.7171      1.00000
     44     -20.6573      1.00000
     45     -20.6160      1.00000
     46     -20.5758      1.00000
     47     -20.5618      1.00000
     48     -20.5563      1.00000
     49     -20.5000      1.00000
     50     -15.3484      1.00000
     51     -14.8244      1.00000
     52     -14.4786      1.00000
     53     -14.4237      1.00000
     54     -14.3889      1.00000
     55     -14.3701      1.00000
     56     -14.2645      1.00000
     57     -14.2615      1.00000
     58     -14.2145      1.00000
     59     -14.1842      1.00000
     60     -14.1583      1.00000
     61     -14.1308      1.00000
     62     -13.8398      1.00000
     63     -13.7133      1.00000
     64     -13.6680      1.00000
     65     -13.6491      1.00000
     66     -13.6008      1.00000
     67     -13.5908      1.00000
     68     -13.2440      1.00000
     69     -13.1988      1.00000
     70     -12.9922      1.00000
     71     -12.9546      1.00000
     72     -12.9426      1.00000
     73     -12.8993      1.00000
     74     -12.8910      1.00000
     75     -12.8655      1.00000
     76     -12.8619      1.00000
     77     -12.8471      1.00000
     78     -12.8279      1.00000
     79     -12.7656      1.00000
     80     -12.4632      1.00000
     81     -12.3187      1.00000
     82     -12.1936      1.00000
     83     -12.1510      1.00000
     84     -12.1354      1.00000
     85     -12.1318      1.00000
     86     -11.6395      1.00000
     87     -11.6190      1.00000
     88     -11.4748      1.00000
     89     -11.4168      1.00000
     90     -11.3801      1.00000
     91     -11.3449      1.00000
     92     -11.1441      1.00000
     93     -11.0268      1.00000
     94     -10.7481      1.00000
     95     -10.6488      1.00000
     96     -10.5771      1.00000
     97     -10.5707      1.00000
     98     -10.5679      1.00000
     99     -10.4886      1.00000
    100     -10.4183      1.00000
    101     -10.3611      1.00000
    102     -10.2846      1.00000
    103     -10.2286      1.00000
    104     -10.2142      1.00000
    105     -10.1780      1.00000
    106     -10.1746      1.00000
    107     -10.1660      1.00000
    108     -10.1365      1.00000
    109     -10.1102      1.00000
    110     -10.1032      1.00000
    111     -10.0846      1.00000
    112     -10.0783      1.00000
    113     -10.0611      1.00000
    114     -10.0584      1.00000
    115     -10.0476      1.00000
    116     -10.0314      1.00000
    117     -10.0069      1.00000
    118      -9.9912      1.00000
    119      -9.9748      1.00000
    120      -9.9624      1.00000
    121      -9.8591      1.00000
    122      -9.8384      1.00000
    123      -9.5595      1.00000
    124      -9.4444      1.00000
    125      -9.3841      1.00000
    126      -9.3739      1.00000
    127      -9.3310      1.00000
    128      -9.3094      1.00000
    129      -9.3027      1.00000
    130      -8.9882      1.00000
    131      -8.9834      1.00000
    132      -8.9269      1.00000
    133      -8.8868      1.00000
    134      -8.8797      1.00000
    135      -8.8608      1.00000
    136      -8.7437      1.00000
    137      -8.7276      1.00000
    138      -8.6163      1.00000
    139      -8.5993      1.00000
    140      -8.5692      1.00000
    141      -8.5428      1.00000
    142      -8.5032      1.00000
    143      -8.4928      1.00000
    144      -8.4889      1.00000
    145      -8.4830      1.00000
    146      -8.4711      1.00000
    147      -8.4613      1.00000
    148      -8.4013      1.00000
    149      -8.3774      1.00000
    150      -8.3604      1.00000
    151      -8.2984      1.00000
    152      -8.2544      1.00000
    153      -8.1559      1.00000
    154      -8.1548      1.00000
    155      -8.1139      1.00000
    156      -8.0486      1.00000
    157      -8.0064      1.00000
    158      -7.9088      1.00000
    159      -7.6942      1.00000
    160      -7.3192      1.00000
    161      -7.3154      1.00000
    162      -7.2472      1.00000
    163      -7.1704      1.00000
    164      -7.1531      1.00000
    165      -7.1193      1.00000
    166      -7.0303      1.00000
    167      -6.9663      1.00000
    168      -6.9587      1.00000
    169      -6.9216      1.00000
    170      -6.9085      1.00000
    171      -6.8974      1.00000
    172      -6.8873      1.00000
    173      -6.8858      1.00000
    174      -6.8719      1.00000
    175      -6.7904      1.00000
    176      -6.7086      1.00000
    177      -6.4964      1.00000
    178      -6.4554      1.00000
    179      -6.4407      1.00000
    180      -6.3066      1.00000
    181      -6.2810      1.00000
    182      -6.2528      1.00000
    183      -6.2399      1.00000
    184      -6.1431      1.00000
    185      -5.8531      1.00000
    186      -5.6316      1.00000
    187      -5.5691      1.00000
    188      -5.5244      1.00000
    189      -5.5140      1.00000
    190      -5.4486      1.00000
    191      -5.3718      1.00000
    192      -5.3302      1.00000
    193      -5.2816      1.00000
    194      -5.2265      1.00000
    195      -5.2046      1.00000
    196      -5.1595      1.00000
    197      -4.9443      1.00000
    198      -0.3947      0.00000
    199       0.7715      1.00000
    200       0.8195      0.00000
    201       1.1737      0.00000
    202       1.2679      0.00000
    203       1.3689      0.00000
    204       1.3692      0.00000
    205       1.4161      0.00000
    206       1.4825      0.00000
    207       1.4994      0.00000
    208       1.5037      0.00000
    209       1.5122      0.00000
    210       1.5351      0.00000
    211       1.5422      0.00000
    212       1.5580      0.00000
    213       1.5883      0.00000
    214       1.6058      0.00000
    215       1.6269      0.00000
    216       1.6318      0.00000
    217       1.6477      0.00000
    218       1.7343      0.00000
    219       1.7442      0.00000
    220       1.8428      0.00000
    221       1.9176      0.00000
    222       1.9447      0.00000
    223       1.9560      0.00000
    224       2.0740      0.00000
    225       2.1614      0.00000
    226       2.1748      0.00000
    227       2.2526      0.00000
    228       2.3444      0.00000
    229       2.3474      0.00000
    230       2.3987      0.00000
    231       2.4536      0.00000
    232       2.5106      0.00000
    233       2.6488      0.00000
    234       2.6698      0.00000
    235       2.7173      0.00000
    236       2.7270      0.00000
    237       2.7402      0.00000
    238       2.7656      0.00000
    239       2.7810      0.00000
    240       2.8083      0.00000
    241       2.8245      0.00000
    242       2.8613      0.00000
    243       2.8873      0.00000
    244       2.9301      0.00000
    245       2.9396      0.00000
    246       3.0587      0.00000
    247       3.0617      0.00000
    248       3.0820      0.00000
    249       3.1289      0.00000
    250       3.1520      0.00000
    251       3.1606      0.00000
    252       3.1735      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.0061      1.00000
      2     -24.2720      1.00000
      3     -23.9363      1.00000
      4     -23.9266      1.00000
      5     -23.8770      1.00000
      6     -23.8644      1.00000
      7     -23.8398      1.00000
      8     -23.6407      1.00000
      9     -23.1388      1.00000
     10     -23.1175      1.00000
     11     -23.0915      1.00000
     12     -23.0681      1.00000
     13     -23.0372      1.00000
     14     -22.8961      1.00000
     15     -22.7401      1.00000
     16     -22.7308      1.00000
     17     -22.7025      1.00000
     18     -22.6966      1.00000
     19     -22.6445      1.00000
     20     -22.3079      1.00000
     21     -21.8254      1.00000
     22     -21.7876      1.00000
     23     -21.7783      1.00000
     24     -21.7080      1.00000
     25     -21.7010      1.00000
     26     -21.6882      1.00000
     27     -21.6750      1.00000
     28     -21.6699      1.00000
     29     -21.6553      1.00000
     30     -21.6093      1.00000
     31     -21.5816      1.00000
     32     -21.3983      1.00000
     33     -21.3051      1.00000
     34     -21.2906      1.00000
     35     -21.2343      1.00000
     36     -21.2138      1.00000
     37     -21.1911      1.00000
     38     -20.9414      1.00000
     39     -20.8505      1.00000
     40     -20.7883      1.00000
     41     -20.7640      1.00000
     42     -20.7502      1.00000
     43     -20.7003      1.00000
     44     -20.6542      1.00000
     45     -20.5949      1.00000
     46     -20.5741      1.00000
     47     -20.5546      1.00000
     48     -20.5435      1.00000
     49     -20.4225      1.00000
     50     -15.2861      1.00000
     51     -14.5543      1.00000
     52     -14.4594      1.00000
     53     -14.4100      1.00000
     54     -14.3837      1.00000
     55     -14.3405      1.00000
     56     -14.2611      1.00000
     57     -14.2305      1.00000
     58     -14.2002      1.00000
     59     -14.1672      1.00000
     60     -14.1469      1.00000
     61     -14.1250      1.00000
     62     -13.8294      1.00000
     63     -13.6703      1.00000
     64     -13.6534      1.00000
     65     -13.6100      1.00000
     66     -13.5830      1.00000
     67     -13.5724      1.00000
     68     -13.2340      1.00000
     69     -13.0790      1.00000
     70     -12.9581      1.00000
     71     -12.9435      1.00000
     72     -12.9301      1.00000
     73     -12.8899      1.00000
     74     -12.8813      1.00000
     75     -12.8580      1.00000
     76     -12.8504      1.00000
     77     -12.8444      1.00000
     78     -12.8013      1.00000
     79     -12.7448      1.00000
     80     -12.4321      1.00000
     81     -12.2215      1.00000
     82     -12.1667      1.00000
     83     -12.1378      1.00000
     84     -12.1285      1.00000
     85     -12.1080      1.00000
     86     -11.6019      1.00000
     87     -11.5543      1.00000
     88     -11.4389      1.00000
     89     -11.4052      1.00000
     90     -11.3595      1.00000
     91     -11.3299      1.00000
     92     -11.0155      1.00000
     93     -11.0011      1.00000
     94     -10.6427      1.00000
     95     -10.6360      1.00000
     96     -10.5718      1.00000
     97     -10.5573      1.00000
     98     -10.5455      1.00000
     99     -10.4564      1.00000
    100     -10.4106      1.00000
    101     -10.2962      1.00000
    102     -10.2214      1.00000
    103     -10.2097      1.00000
    104     -10.1981      1.00000
    105     -10.1692      1.00000
    106     -10.1566      1.00000
    107     -10.1236      1.00000
    108     -10.1220      1.00000
    109     -10.1015      1.00000
    110     -10.0995      1.00000
    111     -10.0800      1.00000
    112     -10.0556      1.00000
    113     -10.0545      1.00000
    114     -10.0366      1.00000
    115     -10.0352      1.00000
    116     -10.0244      1.00000
    117      -9.9917      1.00000
    118      -9.9779      1.00000
    119      -9.9663      1.00000
    120      -9.9376      1.00000
    121      -9.8306      1.00000
    122      -9.7851      1.00000
    123      -9.4705      1.00000
    124      -9.4392      1.00000
    125      -9.3691      1.00000
    126      -9.3626      1.00000
    127      -9.3274      1.00000
    128      -9.2914      1.00000
    129      -9.2724      1.00000
    130      -8.9350      1.00000
    131      -8.9198      1.00000
    132      -8.9083      1.00000
    133      -8.8782      1.00000
    134      -8.8523      1.00000
    135      -8.8229      1.00000
    136      -8.7101      1.00000
    137      -8.7019      1.00000
    138      -8.6001      1.00000
    139      -8.5831      1.00000
    140      -8.5522      1.00000
    141      -8.5259      1.00000
    142      -8.4969      1.00000
    143      -8.4843      1.00000
    144      -8.4722      1.00000
    145      -8.4633      1.00000
    146      -8.4490      1.00000
    147      -8.4208      1.00000
    148      -8.3902      1.00000
    149      -8.3621      1.00000
    150      -8.3490      1.00000
    151      -8.2863      1.00000
    152      -8.2273      1.00000
    153      -8.1350      1.00000
    154      -8.1335      1.00000
    155      -8.0737      1.00000
    156      -8.0435      1.00000
    157      -7.9874      1.00000
    158      -7.8133      1.00000
    159      -7.6465      1.00000
    160      -7.2831      1.00000
    161      -7.2459      1.00000
    162      -7.2241      1.00000
    163      -7.1399      1.00000
    164      -7.1381      1.00000
    165      -7.1025      1.00000
    166      -7.0215      1.00000
    167      -6.9665      1.00000
    168      -6.9590      1.00000
    169      -6.9196      1.00000
    170      -6.9063      1.00000
    171      -6.8918      1.00000
    172      -6.8848      1.00000
    173      -6.8789      1.00000
    174      -6.8481      1.00000
    175      -6.6941      1.00000
    176      -6.6823      1.00000
    177      -6.4663      1.00000
    178      -6.4329      1.00000
    179      -6.4326      1.00000
    180      -6.2842      1.00000
