
 Fermi energy:        -1.5799453934

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.8277      1.00000
      2     -24.2469      1.00000
      3     -23.8813      1.00000
      4     -23.8765      1.00000
      5     -23.8586      1.00000
      6     -23.8495      1.00000
      7     -23.8263      1.00000
      8     -23.5828      1.00000
      9     -23.0737      1.00000
     10     -23.0605      1.00000
     11     -23.0551      1.00000
     12     -23.0334      1.00000
     13     -23.0146      1.00000
     14     -22.8767      1.00000
     15     -22.7033      1.00000
     16     -22.6795      1.00000
     17     -22.6762      1.00000
     18     -22.6520      1.00000
     19     -22.6187      1.00000
     20     -22.2512      1.00000
     21     -21.7258      1.00000
     22     -21.6964      1.00000
     23     -21.6882      1.00000
     24     -21.6797      1.00000
     25     -21.6746      1.00000
     26     -21.6700      1.00000
     27     -21.6639      1.00000
     28     -21.6580      1.00000
     29     -21.6387      1.00000
     30     -21.5946      1.00000
     31     -21.5597      1.00000
     32     -21.3730      1.00000
     33     -21.2559      1.00000
     34     -21.2538      1.00000
     35     -21.2251      1.00000
     36     -21.1827      1.00000
     37     -21.1821      1.00000
     38     -20.9106      1.00000
     39     -20.7700      1.00000
     40     -20.7520      1.00000
     41     -20.7397      1.00000
     42     -20.7379      1.00000
     43     -20.6958      1.00000
     44     -20.6329      1.00000
     45     -20.5860      1.00000
     46     -20.5597      1.00000
     47     -20.5538      1.00000
     48     -20.5365      1.00000
     49     -20.4579      1.00000
     50     -14.6373      1.00000
     51     -14.3852      1.00000
     52     -14.3704      1.00000
     53     -14.3648      1.00000
     54     -14.3438      1.00000
     55     -14.2948      1.00000
     56     -14.2373      1.00000
     57     -14.1851      1.00000
     58     -14.1659      1.00000
     59     -14.1542      1.00000
     60     -14.1082      1.00000
     61     -14.0475      1.00000
     62     -13.7141      1.00000
     63     -13.6429      1.00000
     64     -13.5956      1.00000
     65     -13.5816      1.00000
     66     -13.5381      1.00000
     67     -13.4842      1.00000
     68     -13.1498      1.00000
     69     -13.0557      1.00000
     70     -12.9015      1.00000
     71     -12.8794      1.00000
     72     -12.8618      1.00000
     73     -12.8606      1.00000
     74     -12.8494      1.00000
     75     -12.8407      1.00000
     76     -12.8362      1.00000
     77     -12.8314      1.00000
     78     -12.7386      1.00000
     79     -12.6872      1.00000
     80     -12.3689      1.00000
     81     -12.2157      1.00000
     82     -12.1277      1.00000
     83     -12.1244      1.00000
     84     -12.0635      1.00000
     85     -11.9999      1.00000
     86     -11.5520      1.00000
     87     -11.5290      1.00000
     88     -11.4018      1.00000
     89     -11.3579      1.00000
     90     -11.2981      1.00000
     91     -11.2677      1.00000
     92     -10.9264      1.00000
     93     -10.7551      1.00000
     94     -10.5773      1.00000
     95     -10.5767      1.00000
     96     -10.5397      1.00000
     97     -10.5227      1.00000
     98     -10.4834      1.00000
     99     -10.3757      1.00000
    100     -10.3670      1.00000
    101     -10.2630      1.00000
    102     -10.2224      1.00000
    103     -10.1996      1.00000
    104     -10.1505      1.00000
    105     -10.1367      1.00000
    106     -10.1219      1.00000
    107     -10.0941      1.00000
    108     -10.0916      1.00000
    109     -10.0725      1.00000
    110     -10.0692      1.00000
    111     -10.0460      1.00000
    112     -10.0440      1.00000
    113     -10.0420      1.00000
    114     -10.0334      1.00000
    115     -10.0023      1.00000
    116      -9.9868      1.00000
    117      -9.9756      1.00000
    118      -9.9579      1.00000
    119      -9.9518      1.00000
    120      -9.7990      1.00000
    121      -9.7661      1.00000
    122      -9.6574      1.00000
    123      -9.4380      1.00000
    124      -9.3322      1.00000
    125      -9.3250      1.00000
    126      -9.3174      1.00000
    127      -9.2899      1.00000
    128      -9.2685      1.00000
    129      -9.1730      1.00000
    130      -8.9231      1.00000
    131      -8.9103      1.00000
    132      -8.8855      1.00000
    133      -8.8392      1.00000
    134      -8.7957      1.00000
    135      -8.7813      1.00000
    136      -8.6711      1.00000
    137      -8.6657      1.00000
    138      -8.5913      1.00000
    139      -8.5388      1.00000
    140      -8.5346      1.00000
    141      -8.4992      1.00000
    142      -8.4942      1.00000
    143      -8.4799      1.00000
    144      -8.4781      1.00000
    145      -8.4722      1.00000
    146      -8.4641      1.00000
    147      -8.3604      1.00000
    148      -8.3475      1.00000
    149      -8.3242      1.00000
    150      -8.2744      1.00000
    151      -8.2322      1.00000
    152      -8.1816      1.00000
    153      -8.1210      1.00000
    154      -8.0630      1.00000
