
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.4637      1.00000
      2     -27.0142      1.00000
      3     -24.7306      1.00000
      4     -24.4629      1.00000
      5     -24.0844      1.00000
      6     -24.0681      1.00000
      7     -24.0671      1.00000
      8     -24.0153      1.00000
      9     -23.8682      1.00000
     10     -23.7712      1.00000
     11     -23.2934      1.00000
     12     -23.2776      1.00000
     13     -23.2716      1.00000
     14     -23.1622      1.00000
     15     -23.1116      1.00000
     16     -23.0617      1.00000
     17     -22.9367      1.00000
     18     -22.9042      1.00000
     19     -22.9031      1.00000
     20     -22.6754      1.00000
     21     -22.5415      1.00000
     22     -22.3210      1.00000
     23     -21.9836      1.00000
     24     -21.9300      1.00000
     25     -21.9136      1.00000
     26     -21.9083      1.00000
     27     -21.8827      1.00000
     28     -21.8743      1.00000
     29     -21.8720      1.00000
     30     -21.8684      1.00000
     31     -21.8590      1.00000
     32     -21.6306      1.00000
     33     -21.6124      1.00000
     34     -21.5511      1.00000
     35     -21.5036      1.00000
     36     -21.4253      1.00000
     37     -21.4093      1.00000
     38     -21.1991      1.00000
     39     -21.1520      1.00000
     40     -21.0156      1.00000
     41     -20.9894      1.00000
     42     -20.9853      1.00000
     43     -20.9450      1.00000
     44     -20.8724      1.00000
     45     -20.8590      1.00000
     46     -20.8398      1.00000
     47     -20.7731      1.00000
     48     -20.7330      1.00000
     49     -20.7289      1.00000
     50     -20.3836      1.00000
     51     -15.3122      1.00000
     52     -15.1396      1.00000
     53     -15.0134      1.00000
     54     -14.8177      1.00000
     55     -14.5909      1.00000
     56     -14.5532      1.00000
     57     -14.4830      1.00000
     58     -14.4752      1.00000
     59     -14.4312      1.00000
     60     -14.3520      1.00000
     61     -14.3103      1.00000
     62     -14.1973      1.00000
     63     -14.0643      1.00000
     64     -14.0342      1.00000
     65     -14.0013      1.00000
     66     -13.8614      1.00000
     67     -13.7741      1.00000
     68     -13.7052      1.00000
     69     -13.5459      1.00000
     70     -13.3886      1.00000
     71     -13.3667      1.00000
     72     -13.2923      1.00000
     73     -13.0784      1.00000
     74     -13.0683      1.00000
     75     -13.0671      1.00000
     76     -13.0505      1.00000
     77     -13.0311      1.00000
     78     -13.0282      1.00000
     79     -12.9754      1.00000
     80     -12.9348      1.00000
     81     -12.6585      1.00000
     82     -12.5926      1.00000
     83     -12.3826      1.00000
     84     -12.3429      1.00000
     85     -12.3365      1.00000
     86     -12.2449      1.00000
     87     -12.1383      1.00000
     88     -11.7739      1.00000
     89     -11.7552      1.00000
     90     -11.6364      1.00000
     91     -11.5641      1.00000
     92     -11.5336      1.00000
     93     -11.4168      1.00000
     94     -11.2634      1.00000
     95     -10.9661      1.00000
     96     -10.8608      1.00000
     97     -10.8074      1.00000
     98     -10.7992      1.00000
     99     -10.7212      1.00000
    100     -10.7187      1.00000
    101     -10.6058      1.00000
    102     -10.5623      1.00000
    103     -10.5525      1.00000
    104     -10.4970      1.00000
    105     -10.4881      1.00000
    106     -10.4594      1.00000
    107     -10.4292      1.00000
    108     -10.3842      1.00000
    109     -10.3698      1.00000
    110     -10.3341      1.00000
    111     -10.3337      1.00000
    112     -10.2960      1.00000
    113     -10.2909      1.00000
    114     -10.2759      1.00000
    115     -10.2353      1.00000
    116     -10.2149      1.00000
    117     -10.1945      1.00000
    118     -10.1875      1.00000
    119     -10.1777      1.00000
    120     -10.1717      1.00000
    121     -10.1494      1.00000
    122     -10.0971      1.00000
    123      -9.8817      1.00000
    124      -9.6946      1.00000
    125      -9.5806      1.00000
    126      -9.5719      1.00000
    127      -9.5404      1.00000
    128      -9.5401      1.00000
    129      -9.5243      1.00000
    130      -9.4990      1.00000
    131      -9.4204      1.00000
    132      -9.3312      1.00000
    133      -9.1031      1.00000
    134      -9.1003      1.00000
    135      -9.0855      1.00000
    136      -9.0791      1.00000
    137      -8.9949      1.00000
    138      -8.8848      1.00000
    139      -8.8524      1.00000
    140      -8.8277      1.00000
    141      -8.8156      1.00000
    142      -8.7745      1.00000
    143      -8.7232      1.00000
    144      -8.7006      1.00000
    145      -8.6938      1.00000
    146      -8.6614      1.00000
    147      -8.6489      1.00000
    148      -8.6280      1.00000
    149      -8.6156      1.00000
    150      -8.5871      1.00000
    151      -8.5666      1.00000
    152      -8.5472      1.00000
    153      -8.5036      1.00000
    154      -8.4043      1.00000
    155      -8.3423      1.00000
    156      -8.2826      1.00000
    157      -8.2640      1.00000
    158      -8.2039      1.00000
    159      -8.1181      1.00000
    160      -7.8161      1.00000
    161      -7.6407      1.00000
    162      -7.5638      1.00000
    163      -7.4706      1.00000
    164      -7.4361      1.00000
