
 Fermi energy:        -2.2289305771

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.3842      1.00000
      2     -23.9749      1.00000
      3     -23.6665      1.00000
      4     -23.6450      1.00000
      5     -23.6040      1.00000
      6     -23.5483      1.00000
      7     -23.3811      1.00000
      8     -23.3610      1.00000
      9     -22.9645      1.00000
     10     -22.8894      1.00000
     11     -22.7347      1.00000
     12     -22.6938      1.00000
     13     -22.6662      1.00000
     14     -22.6275      1.00000
     15     -22.5209      1.00000
     16     -22.4569      1.00000
     17     -22.3040      1.00000
     18     -22.2145      1.00000
     19     -22.0800      1.00000
     20     -21.8640      1.00000
     21     -21.7217      1.00000
     22     -21.4853      1.00000
     23     -21.4154      1.00000
     24     -21.3928      1.00000
     25     -21.3884      1.00000
     26     -21.3820      1.00000
     27     -21.3540      1.00000
     28     -21.3324      1.00000
     29     -21.1810      1.00000
     30     -21.1475      1.00000
     31     -21.0872      1.00000
     32     -21.0209      1.00000
     33     -20.9589      1.00000
     34     -20.8909      1.00000
     35     -20.8118      1.00000
     36     -20.6911      1.00000
     37     -20.6669      1.00000
     38     -20.5305      1.00000
     39     -20.4919      1.00000
     40     -20.4380      1.00000
     41     -20.3886      1.00000
     42     -20.3649      1.00000
     43     -20.3017      1.00000
     44     -20.2589      1.00000
     45     -20.1614      1.00000
     46     -20.1107      1.00000
     47     -19.8379      1.00000
     48     -19.0588      1.00000
     49     -18.8648      1.00000
     50     -18.4766      1.00000
     51     -14.2339      1.00000
     52     -14.1717      1.00000
     53     -14.0922      1.00000
     54     -14.0785      1.00000
     55     -14.0025      1.00000
     56     -13.9631      1.00000
     57     -13.9178      1.00000
     58     -13.8401      1.00000
     59     -13.8154      1.00000
     60     -13.6385      1.00000
     61     -13.6137      1.00000
     62     -13.4442      1.00000
     63     -13.3358      1.00000
     64     -13.2657      1.00000
     65     -13.1633      1.00000
     66     -13.1458      1.00000
     67     -13.0222      1.00000
     68     -12.9259      1.00000
     69     -12.7666      1.00000
     70     -12.6457      1.00000
     71     -12.5376      1.00000
     72     -12.5225      1.00000
     73     -12.4955      1.00000
     74     -12.4399      1.00000
     75     -12.3854      1.00000
     76     -12.3693      1.00000
     77     -12.2132      1.00000
     78     -12.1310      1.00000
     79     -12.0727      1.00000
     80     -11.9336      1.00000
     81     -11.8188      1.00000
     82     -11.7799      1.00000
     83     -11.6931      1.00000
     84     -11.6021      1.00000
     85     -11.3187      1.00000
     86     -11.1355      1.00000
     87     -11.0399      1.00000
     88     -10.9757      1.00000
     89     -10.8443      1.00000
     90     -10.8213      1.00000
     91     -10.5964      1.00000
     92     -10.4538      1.00000
     93     -10.4471      1.00000
     94     -10.3011      1.00000
     95     -10.2701      1.00000
     96     -10.2037      1.00000
     97     -10.1453      1.00000
     98     -10.1162      1.00000
     99     -10.1125      1.00000
    100     -10.0766      1.00000
    101      -9.9372      1.00000
    102      -9.9191      1.00000
    103      -9.8445      1.00000
    104      -9.8097      1.00000
    105      -9.7974      1.00000
    106      -9.7971      1.00000
    107      -9.7594      1.00000
    108      -9.7521      1.00000
    109      -9.7328      1.00000
    110      -9.7103      1.00000
    111      -9.7035      1.00000
    112      -9.6603      1.00000
    113      -9.5933      1.00000
    114      -9.5764      1.00000
    115      -9.5527      1.00000
    116      -9.5328      1.00000
    117      -9.4719      1.00000
    118      -9.3809      1.00000
    119      -9.3713      1.00000
    120      -9.2617      1.00000
    121      -9.1968      1.00000
    122      -9.1284      1.00000
    123      -9.0246      1.00000
    124      -9.0093      1.00000
    125      -8.8651      1.00000
    126      -8.8523      1.00000
    127      -8.7296      1.00000
    128      -8.5973      1.00000
    129      -8.5524      1.00000
    130      -8.5379      1.00000
    131      -8.5104      1.00000
    132      -8.4906      1.00000
    133      -8.4427      1.00000
    134      -8.4214      1.00000
    135      -8.3644      1.00000
    136      -8.2767      1.00000
    137      -8.2701      1.00000
    138      -8.2425      1.00000
    139      -8.2117      1.00000
    140      -8.1915      1.00000
    141      -8.1581      1.00000
    142      -8.1322      1.00000
    143      -8.0273      1.00000
    144      -8.0257      1.00000
    145      -7.9715      1.00000
    146      -7.9511      1.00000
    147      -7.9000      1.00000
    148      -7.8904      1.00000
    149      -7.8284      1.00000
    150      -7.7697      1.00000
    151      -7.7086      1.00000
    152      -7.6874      1.00000
    153      -7.5875      1.00000
    154      -7.5146      1.00000
    155      -7.4958      1.00000
    156      -7.3030      1.00000
    157      -7.0460      1.00000
    158      -6.9659      1.00000
    159      -6.9402      1.00000
    160      -6.8117      1.00000
    161      -6.7624      1.00000
    162      -6.7136      1.00000
    163      -6.7076      1.00000
    164      -6.6807      1.00000
    165      -6.6376      1.00000
    166      -6.6290      1.00000
    167      -6.6245      1.00000
    168      -6.5931      1.00000
    169      -6.5892      1.00000
    170      -6.5088      1.00000
    171      -6.3898      1.00000
    172      -6.3877      1.00000
    173      -6.3435      1.00000
    174      -6.1860      1.00000
    175      -6.1263      1.00000
    176      -6.0764      1.00000
    177      -6.0302      1.00000
    178      -5.9324      1.00000
    179      -5.8679      1.00000
    180      -5.8383      1.00000
    181      -5.6864      1.00000
    182      -5.5101      1.00000
    183      -5.2673      1.00000
    184      -5.2277      1.00000
    185      -5.1510      1.00000
    186      -5.1327      1.00000
    187      -5.0909      1.00000
    188      -5.0298      1.00000
    189      -4.9405      1.00000
    190      -4.8691      1.00000
    191      -4.8329      1.00000
    192      -4.6748      1.00000
    193      -4.4232      1.00000
    194      -4.2955      1.00000
    195      -3.8404      1.00000
    196      -3.0969      1.00000
    197      -2.5006      1.00000
    198      -0.6519      0.00000
    199       0.8929      0.00000
    200       1.4483      0.00000
    201       1.4995      0.00000
    202       1.5007      0.00000
    203       1.6421      0.00000
    204       1.6515      0.00000
    205       1.6703      0.00000
    206       1.6883      0.00000
    207       1.7034      0.00000
    208       1.7088      0.00000
    209       1.7128      0.00000
    210       1.7321      0.00000
    211       1.7591      0.00000
    212       1.8499      0.00000
    213       1.8737      0.00000
    214       1.9239      0.00000
    215       1.9843      0.00000
    216       1.9925      0.00000
    217       2.0178      0.00000
    218       2.1894      0.00000
    219       2.1972      0.00000
    220       2.2472      0.00000
    221       2.2558      0.00000
    222       2.2933      0.00000
    223       2.2940      0.00000
    224       2.2953      0.00000
    225       2.4203      0.00000
    226       2.4231      0.00000
    227       2.4303      0.00000
    228       2.5356      0.00000
    229       2.5652      0.00000
    230       2.5691      0.00000
    231       2.5737      0.00000
    232       2.6079      0.00000
    233       2.6580      0.00000
    234       2.6614      0.00000
    235       2.7607      0.00000
    236       2.8451      0.00000
    237       2.8643      0.00000
    238       2.8687      0.00000
    239       2.8736      0.00000
    240       2.8942      0.00000
    241       2.9110      0.00000
    242       2.9844      0.00000
    243       3.1070      0.00000
    244       3.1632      0.00000
    245       3.3921      0.00000
    246       3.4263      0.00000
    247       3.4281      0.00000
    248       3.4429      0.00000
    249       3.4497      0.00000
    250       3.5090      0.00000
    251       3.5265      0.00000
    252       3.5291      0.00000
 Fermi energy:        -2.8140883707

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.3620      1.00000
      2     -23.9761      1.00000
      3     -23.6645      1.00000
      4     -23.6495      1.00000
      5     -23.5878      1.00000
      6     -23.4511      1.00000
      7     -23.3746      1.00000
      8     -23.0510      1.00000
      9     -22.8947      1.00000
     10     -22.7698      1.00000
     11     -22.7425      1.00000
     12     -22.7029      1.00000
     13     -22.6705      1.00000
     14     -22.5944      1.00000
     15     -22.4770      1.00000
     16     -22.4498      1.00000
