
 Fermi energy:        -5.1173431312

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -33.0580      1.00000
      2     -28.2187      1.00000
      3     -25.7584      1.00000
      4     -24.9475      1.00000
      5     -24.5529      1.00000
      6     -24.4314      1.00000
      7     -24.3623      1.00000
      8     -24.2684      1.00000
      9     -24.2396      1.00000
     10     -24.0931      1.00000
     11     -23.8142      1.00000
     12     -23.6711      1.00000
     13     -23.5948      1.00000
     14     -23.4499      1.00000
     15     -23.4409      1.00000
     16     -23.3097      1.00000
     17     -23.2972      1.00000
     18     -23.2434      1.00000
     19     -23.1570      1.00000
     20     -23.0356      1.00000
     21     -22.9445      1.00000
     22     -22.6706      1.00000
     23     -22.5311      1.00000
     24     -22.3747      1.00000
     25     -22.2877      1.00000
     26     -22.2529      1.00000
     27     -22.1986      1.00000
     28     -22.1689      1.00000
     29     -22.1363      1.00000
     30     -22.0965      1.00000
     31     -22.0619      1.00000
     32     -21.9727      1.00000
     33     -21.8867      1.00000
     34     -21.7951      1.00000
     35     -21.7346      1.00000
     36     -21.6966      1.00000
     37     -21.6812      1.00000
     38     -21.6069      1.00000
     39     -21.4409      1.00000
     40     -21.3327      1.00000
     41     -21.3090      1.00000
     42     -21.2882      1.00000
     43     -21.1305      1.00000
     44     -21.0971      1.00000
     45     -21.0801      1.00000
     46     -21.0277      1.00000
     47     -21.0126      1.00000
     48     -20.9856      1.00000
     49     -20.8317      1.00000
     50     -20.6513      1.00000
     51     -16.8635      1.00000
     52     -16.3415      1.00000
     53     -15.2467      1.00000
     54     -15.0715      1.00000
     55     -14.9851      1.00000
     56     -14.8568      1.00000
     57     -14.7381      1.00000
     58     -14.7042      1.00000
     59     -14.6772      1.00000
     60     -14.6288      1.00000
     61     -14.6080      1.00000
     62     -14.5543      1.00000
     63     -14.5108      1.00000
     64     -14.4140      1.00000
     65     -14.3951      1.00000
     66     -14.2746      1.00000
     67     -14.1067      1.00000
     68     -13.9857      1.00000
     69     -13.9220      1.00000
     70     -13.8212      1.00000
     71     -13.7002      1.00000
     72     -13.6756      1.00000
     73     -13.5757      1.00000
     74     -13.5247      1.00000
     75     -13.4654      1.00000
     76     -13.3882      1.00000
     77     -13.3805      1.00000
     78     -13.3526      1.00000
     79     -13.2870      1.00000
     80     -13.2327      1.00000
     81     -13.0846      1.00000
     82     -13.0125      1.00000
     83     -12.9483      1.00000
     84     -12.7558      1.00000
     85     -12.6234      1.00000
     86     -12.5899      1.00000
     87     -12.3901      1.00000
     88     -12.2161      1.00000
     89     -12.1531      1.00000
     90     -12.0656      1.00000
     91     -11.9226      1.00000
     92     -11.9151      1.00000
     93     -11.7733      1.00000
     94     -11.6580      1.00000
     95     -11.4636      1.00000
     96     -11.4057      1.00000
     97     -11.2147      1.00000
     98     -11.1589      1.00000
     99     -11.1076      1.00000
    100     -11.0636      1.00000
    101     -10.9746      1.00000
    102     -10.9279      1.00000
    103     -10.9043      1.00000
    104     -10.8703      1.00000
    105     -10.8604      1.00000
    106     -10.8388      1.00000
    107     -10.8155      1.00000
    108     -10.7604      1.00000
    109     -10.7256      1.00000
    110     -10.7121      1.00000
    111     -10.6601      1.00000
    112     -10.5831      1.00000
    113     -10.5488      1.00000
    114     -10.5301      1.00000
    115     -10.5215      1.00000
    116     -10.5195      1.00000
    117     -10.4706      1.00000
    118     -10.4519      1.00000
    119     -10.4010      1.00000
    120     -10.3451      1.00000
    121     -10.3240      1.00000
    122     -10.3025      1.00000
    123     -10.1652      1.00000
    124     -10.1272      1.00000
    125      -9.9769      1.00000
    126      -9.9175      1.00000
    127      -9.8618      1.00000
    128      -9.8331      1.00000
    129      -9.7554      1.00000
    130      -9.7483      1.00000
    131      -9.6816      1.00000
    132      -9.5886      1.00000
    133      -9.5433      1.00000
    134      -9.4711      1.00000
    135      -9.4108      1.00000
    136      -9.4010      1.00000
    137      -9.3179      1.00000
    138      -9.2039      1.00000
    139      -9.1856      1.00000
    140      -9.1099      1.00000
    141      -9.0863      1.00000
    142      -9.0463      1.00000
    143      -9.0141      1.00000
    144      -8.9981      1.00000
    145      -8.9871      1.00000
    146      -8.9493      1.00000
    147      -8.9165      1.00000
    148      -8.9041      1.00000
    149      -8.8850      1.00000
    150      -8.8248      1.00000
    151      -8.7999      1.00000
    152      -8.7896      1.00000
    153      -8.7773      1.00000
    154      -8.6239      1.00000
    155      -8.5707      1.00000
    156      -8.5429      1.00000
    157      -8.4356      1.00000
    158      -8.4149      1.00000
    159      -8.2865      1.00000
    160      -8.0678      1.00000
    161      -7.9518      1.00000
    162      -7.8694      1.00000
    163      -7.8121      1.00000
    164      -7.7068      1.00000
    165      -7.6587      1.00000
    166      -7.6027      1.00000
    167      -7.5758      1.00000
    168      -7.5723      1.00000
    169      -7.4725      1.00000
    170      -7.4413      1.00000
    171      -7.3505      1.00000
    172      -7.3356      1.00000
    173      -7.3154      1.00000
    174      -7.2819      1.00000
    175      -7.2673      1.00000
    176      -7.1827      1.00000
    177      -7.0100      1.00000
    178      -6.9987      1.00000
    179      -6.9738      1.00000
    180      -6.8489      1.00000
    181      -6.8262      1.00000
    182      -6.7512      1.00000
    183      -6.6770      1.00000
    184      -6.6565      1.00000
    185      -6.4542      1.00000
    186      -6.3489      1.00000
    187      -6.2076      1.00000
    188      -6.0740      1.00000
    189      -6.0415      1.00000
    190      -5.9384      1.00000
    191      -5.8599      1.00000
    192      -5.7872      1.00000
    193      -5.7448      1.00000
    194      -5.6628      1.00000
    195      -5.6407      1.00000
    196      -5.6267      1.00000
    197      -5.3728      1.00000
    198       0.4707      0.00000
    199       0.5103      0.00000
    200       0.5881      0.00000
    201       0.7347      0.00000
    202       0.7748      0.00000
    203       0.8510      0.00000
    204       0.9707      0.00000
    205       1.0555      0.00000
    206       1.0990      0.00000
    207       1.1106      0.00000
    208       1.1517      0.00000
    209       1.1992      0.00000
    210       1.2029      0.00000
    211       1.2147      0.00000
    212       1.2531      0.00000
    213       1.3170      0.00000
    214       1.3295      0.00000
    215       1.3427      0.00000
    216       1.4220      0.00000
    217       1.4368      0.00000
    218       1.4771      0.00000
    219       1.4853      0.00000
    220       1.4948      0.00000
    221       1.5612      0.00000
    222       1.6928      0.00000
    223       1.7204      0.00000
    224       1.7838      0.00000
    225       2.0984      0.00000
    226       2.2422      0.00000
    227       2.2761      0.00000
    228       2.3196      0.00000
    229       2.3623      0.00000
    230       2.4289      0.00000
    231       2.4404      0.00000
    232       2.4522      0.00000
    233       2.4800      0.00000
    234       2.5036      0.00000
    235       2.5196      0.00000
    236       2.5615      0.00000
    237       2.5939      0.00000
    238       2.6114      0.00000
    239       2.6462      0.00000
    240       2.6618      0.00000
    241       2.6673      0.00000
    242       2.6955      0.00000
    243       2.7118      0.00000
    244       2.7413      0.00000
    245       2.7469      0.00000
    246       2.7703      0.00000
    247       2.7968      0.00000
    248       2.8676      0.00000
    249       3.0559      0.00000
    250       3.0799      0.00000
    251       3.1001      0.00000
    252       3.1443      0.00000
 Fermi energy:        -5.1173431312

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -32.5148      1.00000
      2     -28.1294      1.00000
      3     -25.4257      1.00000
      4     -24.8951      1.00000
      5     -24.5218      1.00000
      6     -24.3468      1.00000
      7     -24.3288      1.00000
      8     -24.2501      1.00000
      9     -24.2303      1.00000
     10     -24.0250      1.00000
     11     -23.7405      1.00000
     12     -23.6319      1.00000
     13     -23.5662      1.00000
     14     -23.4235      1.00000
     15     -23.3833      1.00000
     16     -23.2815      1.00000
     17     -23.2580      1.00000
     18     -23.2154      1.00000
     19     -23.1429      1.00000
     20     -22.9941      1.00000
     21     -22.8942      1.00000
     22     -22.5474      1.00000
     23     -22.4936      1.00000
     24     -22.3533      1.00000
     25     -22.2400      1.00000
     26     -22.2148      1.00000
     27     -22.1657      1.00000
     28     -22.1565      1.00000
     29     -22.1032      1.00000
     30     -22.0528      1.00000
     31     -21.9992      1.00000
     32     -21.9437      1.00000
     33     -21.8269      1.00000
     34     -21.7752      1.00000
     35     -21.7148      1.00000
     36     -21.6912      1.00000
     37     -21.6622      1.00000
     38     -21.4588      1.00000
     39     -21.3746      1.00000
     40     -21.3138      1.00000
     41     -21.2888      1.00000
     42     -21.1293      1.00000
     43     -21.1030      1.00000
     44     -21.0689      1.00000
     45     -21.0410      1.00000
     46     -21.0053      1.00000
     47     -21.0018      1.00000
     48     -20.6850      1.00000
     49     -20.6627      1.00000
     50     -20.3799      1.00000
     51     -16.6948      1.00000
     52     -16.2074      1.00000
     53     -15.2269      1.00000
     54     -15.0151      1.00000
     55     -14.9735      1.00000
     56     -14.8175      1.00000
     57     -14.7336      1.00000
     58     -14.7005      1.00000
     59     -14.6575      1.00000
     60     -14.6145      1.00000
     61     -14.5965      1.00000
     62     -14.5271      1.00000
     63     -14.4914      1.00000
     64     -14.3521      1.00000
     65     -14.2382      1.00000
     66     -14.0921      1.00000
     67     -13.9410      1.00000
     68     -13.8786      1.00000
     69     -13.7994      1.00000
     70     -13.6794      1.00000
     71     -13.6350      1.00000
     72     -13.5464      1.00000
     73     -13.5018      1.00000
     74     -13.4443      1.00000
     75     -13.3702      1.00000
     76     -13.3616      1.00000
     77     -13.3375      1.00000
     78     -13.2658      1.00000
     79     -13.1714      1.00000
     80     -13.0647      1.00000
     81     -13.0481      1.00000
     82     -12.9528      1.00000
     83     -12.8955      1.00000
     84     -12.6970      1.00000
     85     -12.6131      1.00000
     86     -12.5568      1.00000
     87     -12.3566      1.00000
     88     -12.1835      1.00000
     89     -12.1219      1.00000
     90     -12.0084      1.00000
     91     -11.8875      1.00000
     92     -11.8844      1.00000
     93     -11.7062      1.00000
     94     -11.5466      1.00000
     95     -11.4162      1.00000
     96     -11.3704      1.00000
     97     -11.1918      1.00000
     98     -11.1221      1.00000
     99     -11.0544      1.00000
    100     -11.0341      1.00000
    101     -10.8923      1.00000
    102     -10.8807      1.00000
    103     -10.8728      1.00000
    104     -10.8388      1.00000
    105     -10.8138      1.00000
    106     -10.7927      1.00000
    107     -10.7410      1.00000
    108     -10.7001      1.00000
    109     -10.6901      1.00000
    110     -10.6407      1.00000
    111     -10.6279      1.00000
    112     -10.5781      1.00000
    113     -10.5358      1.00000
    114     -10.5190      1.00000
    115     -10.5134      1.00000
    116     -10.4710      1.00000
    117     -10.4629      1.00000
    118     -10.4322      1.00000
    119     -10.3744      1.00000
    120     -10.3283      1.00000
    121     -10.2246      1.00000
    122     -10.2131      1.00000
    123     -10.1432      1.00000
    124     -10.0343      1.00000
    125      -9.9195      1.00000
    126      -9.8499      1.00000
    127      -9.8020      1.00000
    128      -9.7401      1.00000
    129      -9.6737      1.00000
    130      -9.6458      1.00000
    131      -9.5685      1.00000
    132      -9.5405      1.00000
    133      -9.4651      1.00000
    134      -9.4415      1.00000
    135      -9.3758      1.00000
    136      -9.3359      1.00000
    137      -9.2763      1.00000
    138      -9.1715      1.00000
    139      -9.1335      1.00000
    140      -9.0731      1.00000
    141      -9.0470      1.00000
    142      -9.0239      1.00000
    143      -8.9890      1.00000
    144      -8.9389      1.00000
    145      -8.9342      1.00000
    146      -8.9061      1.00000
    147      -8.8871      1.00000
    148      -8.8775      1.00000
    149      -8.8741      1.00000
    150      -8.7786      1.00000
    151      -8.7687      1.00000
    152      -8.7552      1.00000
    153      -8.7404      1.00000
    154      -8.5966      1.00000
    155      -8.5604      1.00000
    156      -8.5045      1.00000
    157      -8.2944      1.00000
    158      -8.1623      1.00000
    159      -8.0255      1.00000
    160      -7.8474      1.00000
    161      -7.8434      1.00000
    162      -7.7977      1.00000
    163      -7.7913      1.00000
    164      -7.6844      1.00000
    165      -7.6013      1.00000
    166      -7.5834      1.00000
    167      -7.5694      1.00000
    168      -7.5215      1.00000
    169      -7.4363      1.00000
    170      -7.3840      1.00000
    171      -7.3384      1.00000
    172      -7.3137      1.00000
