
 Fermi energy:         0.4175770857

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.7817      1.00000
      2     -26.0270      1.00000
      3     -23.9354      1.00000
      4     -23.6274      1.00000
      5     -23.5772      1.00000
      6     -23.5340      1.00000
      7     -23.3638      1.00000
      8     -23.3373      1.00000
      9     -22.9638      1.00000
     10     -22.6877      1.00000
     11     -22.6858      1.00000
     12     -22.6389      1.00000
     13     -22.6310      1.00000
     14     -22.6077      1.00000
     15     -22.5017      1.00000
     16     -22.2997      1.00000
     17     -22.2141      1.00000
     18     -22.1871      1.00000
     19     -22.0144      1.00000
     20     -21.9153      1.00000
     21     -21.4650      1.00000
     22     -21.3908      1.00000
     23     -21.3768      1.00000
     24     -21.3678      1.00000
     25     -21.3541      1.00000
     26     -21.3298      1.00000
     27     -21.3224      1.00000
     28     -21.1754      1.00000
     29     -21.1471      1.00000
     30     -21.0971      1.00000
     31     -21.0706      1.00000
     32     -21.0023      1.00000
     33     -20.9066      1.00000
     34     -20.8650      1.00000
     35     -20.7300      1.00000
     36     -20.7109      1.00000
     37     -20.6038      1.00000
     38     -20.5105      1.00000
     39     -20.4256      1.00000
     40     -20.3880      1.00000
     41     -20.3618      1.00000
     42     -20.3411      1.00000
     43     -20.2759      1.00000
     44     -20.2503      1.00000
     45     -20.1246      1.00000
     46     -20.0896      1.00000
     47     -19.9595      1.00000
     48     -19.6313      1.00000
     49     -18.5330      1.00000
     50     -14.2323      1.00000
     51     -14.0609      1.00000
     52     -14.0228      1.00000
     53     -14.0141      1.00000
     54     -13.9791      1.00000
     55     -13.9676      1.00000
     56     -13.8836      1.00000
     57     -13.8449      1.00000
     58     -13.8119      1.00000
     59     -13.6941      1.00000
     60     -13.5468      1.00000
     61     -13.4600      1.00000
     62     -13.2773      1.00000
     63     -13.2741      1.00000
     64     -13.2016      1.00000
     65     -13.1105      1.00000
     66     -13.0784      1.00000
     67     -13.0567      1.00000
     68     -12.7934      1.00000
     69     -12.6599      1.00000
     70     -12.5088      1.00000
     71     -12.5023      1.00000
     72     -12.4918      1.00000
     73     -12.4678      1.00000
     74     -12.4485      1.00000
     75     -12.3979      1.00000
     76     -12.3277      1.00000
     77     -12.2869      1.00000
     78     -12.1774      1.00000
     79     -11.9667      1.00000
     80     -11.8059      1.00000
     81     -11.7593      1.00000
     82     -11.7257      1.00000
     83     -11.6449      1.00000
     84     -11.4857      1.00000
     85     -11.3830      1.00000
     86     -11.1213      1.00000
     87     -10.9751      1.00000
     88     -10.8846      1.00000
     89     -10.8717      1.00000
     90     -10.8366      1.00000
     91     -10.5803      1.00000
     92     -10.3072      1.00000
     93     -10.2619      1.00000
     94     -10.2450      1.00000
     95     -10.2130      1.00000
     96     -10.1706      1.00000
     97     -10.1186      1.00000
     98     -10.0812      1.00000
     99      -9.9958      1.00000
    100      -9.8885      1.00000
    101      -9.8265      1.00000
    102      -9.8094      1.00000
    103      -9.7698      1.00000
    104      -9.7682      1.00000
    105      -9.7499      1.00000
    106      -9.7330      1.00000
    107      -9.7027      1.00000
    108      -9.6902      1.00000
    109      -9.6857      1.00000
    110      -9.6819      1.00000
    111      -9.6600      1.00000
    112      -9.6069      1.00000
    113      -9.5770      1.00000
    114      -9.5598      1.00000
    115      -9.5528      1.00000
    116      -9.5341      1.00000
    117      -9.4852      1.00000
    118      -9.4474      1.00000
    119      -9.3332      1.00000
    120      -9.3267      1.00000
    121      -9.1786      1.00000
    122      -9.1048      1.00000
    123      -8.9844      1.00000
    124      -8.9561      1.00000
    125      -8.8945      1.00000
    126      -8.7704      1.00000
    127      -8.6375      1.00000
    128      -8.6260      1.00000
    129      -8.5802      1.00000
    130      -8.5161      1.00000
    131      -8.5078      1.00000
    132      -8.4538      1.00000
    133      -8.4115      1.00000
    134      -8.3851      1.00000
    135      -8.2665      1.00000
    136      -8.2537      1.00000
    137      -8.2260      1.00000
    138      -8.2214      1.00000
    139      -8.2202      1.00000
    140      -8.1959      1.00000
    141      -8.1710      1.00000
    142      -8.0966      1.00000
    143      -8.0674      1.00000
    144      -7.9811      1.00000
    145      -7.9625      1.00000
    146      -7.9070      1.00000
    147      -7.8872      1.00000
    148      -7.8274      1.00000
    149      -7.8261      1.00000
    150      -7.7359      1.00000
    151      -7.6579      1.00000
    152      -7.6451      1.00000
    153      -7.6119      1.00000
    154      -7.5506      1.00000
    155      -7.4656      1.00000
    156      -7.3301      1.00000
    157      -7.1353      1.00000
    158      -7.1154      1.00000
    159      -6.9474      1.00000
    160      -6.8137      1.00000
    161      -6.6793      1.00000
    162      -6.6546      1.00000
    163      -6.6312      1.00000
    164      -6.6235      1.00000
    165      -6.6121      1.00000
    166      -6.5901      1.00000
    167      -6.5856      1.00000
    168      -6.5739      1.00000
    169      -6.5592      1.00000
    170      -6.5136      1.00000
    171      -6.4086      1.00000
    172      -6.3861      1.00000
    173      -6.3076      1.00000
    174      -6.2072      1.00000
    175      -6.1111      1.00000
    176      -6.0558      1.00000
    177      -6.0425      1.00000
    178      -5.9622      1.00000
    179      -5.9019      1.00000
    180      -5.7810      1.00000
    181      -5.7257      1.00000
    182      -5.5733      1.00000
    183      -5.3245      1.00000
    184      -5.1857      1.00000
    185      -5.1419      1.00000
    186      -5.1252      1.00000
    187      -5.0849      1.00000
    188      -5.0006      1.00000
    189      -4.9522      1.00000
    190      -4.8609      1.00000
    191      -4.8296      1.00000
    192      -4.7740      1.00000
    193      -4.7384      1.00000
    194      -4.4830      1.00000
    195      -3.4796      1.00000
    196      -3.3000      1.00000
    197       0.0991      1.00000
    198       0.8936      0.00000
    199       1.4626      0.00000
    200       1.5018      0.00000
    201       1.5154      0.00000
    202       1.6168      0.00000
    203       1.6386      0.00000
    204       1.6846      0.00000
    205       1.6905      0.00000
    206       1.7043      0.00000
    207       1.7067      0.00000
    208       1.7090      0.00000
    209       1.7320      0.00000
    210       1.7480      0.00000
    211       1.7561      0.00000
    212       1.8937      0.00000
    213       1.9294      0.00000
    214       1.9612      0.00000
    215       1.9855      0.00000
    216       2.0171      0.00000
    217       2.1776      0.00000
    218       2.2075      0.00000
    219       2.2241      0.00000
    220       2.2394      0.00000
    221       2.2592      0.00000
    222       2.2957      0.00000
    223       2.3064      0.00000
    224       2.3181      0.00000
    225       2.3933      0.00000
    226       2.4074      0.00000
    227       2.4619      0.00000
    228       2.5430      0.00000
    229       2.5499      0.00000
    230       2.5795      0.00000
    231       2.5848      0.00000
    232       2.6262      0.00000
    233       2.6389      0.00000
    234       2.6534      0.00000
    235       2.6945      0.00000
    236       2.8634      0.00000
    237       2.8680      0.00000
    238       2.8720      0.00000
    239       2.8764      0.00000
    240       2.9024      0.00000
    241       2.9648      0.00000
    242       3.0796      0.00000
    243       3.3889      0.00000
    244       3.4165      0.00000
    245       3.4288      0.00000
    246       3.4554      0.00000
    247       3.4650      0.00000
    248       3.4911      0.00000
    249       3.4966      0.00000
    250       3.5012      0.00000
    251       3.5052      0.00000
    252       3.5129      0.00000
 Fermi energy:        -2.5931151968

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.2914      1.00000
      2     -25.5576      1.00000
      3     -23.9334      1.00000
      4     -23.6268      1.00000
      5     -23.5751      1.00000
      6     -23.5324      1.00000
      7     -23.3560      1.00000
      8     -23.3309      1.00000
      9     -22.9504      1.00000
     10     -22.6847      1.00000
     11     -22.6832      1.00000
     12     -22.6343      1.00000
     13     -22.6264      1.00000
     14     -22.6044      1.00000
     15     -22.4930      1.00000
     16     -22.2971      1.00000
     17     -22.2078      1.00000
     18     -22.1768      1.00000
     19     -21.9858      1.00000
     20     -21.8995      1.00000
     21     -21.4421      1.00000
     22     -21.3890      1.00000
     23     -21.3759      1.00000
     24     -21.3658      1.00000
     25     -21.3513      1.00000
     26     -21.3286      1.00000
     27     -21.3200      1.00000
     28     -21.1686      1.00000
     29     -21.1397      1.00000
     30     -21.0925      1.00000
     31     -21.0619      1.00000
     32     -20.9972      1.00000
     33     -20.8961      1.00000
     34     -20.8617      1.00000
     35     -20.7189      1.00000
     36     -20.7009      1.00000
     37     -20.5877      1.00000
     38     -20.4945      1.00000
     39     -20.4241      1.00000
     40     -20.3867      1.00000
     41     -20.3601      1.00000
     42     -20.3377      1.00000
     43     -20.2723      1.00000
     44     -20.2486      1.00000
     45     -20.1166      1.00000
     46     -20.0763      1.00000
     47     -19.9440      1.00000
     48     -19.5973      1.00000
     49     -18.0714      1.00000
     50     -14.2094      1.00000
     51     -14.0578      1.00000
     52     -14.0125      1.00000
     53     -14.0071      1.00000
     54     -13.9726      1.00000
     55     -13.9514      1.00000
     56     -13.8702      1.00000
     57     -13.8361      1.00000
     58     -13.8062      1.00000
     59     -13.6757      1.00000
     60     -13.4930      1.00000
     61     -13.4077      1.00000
     62     -13.2678      1.00000
     63     -13.2653      1.00000
     64     -13.1825      1.00000
     65     -13.0693      1.00000
     66     -13.0502      1.00000
     67     -13.0222      1.00000
     68     -12.7759      1.00000
     69     -12.5590      1.00000
     70     -12.5026      1.00000
     71     -12.4953      1.00000
     72     -12.4793      1.00000
     73     -12.4510      1.00000
     74     -12.4299      1.00000
     75     -12.3575      1.00000
     76     -12.2703      1.00000
     77     -12.2564      1.00000
     78     -12.1531      1.00000
     79     -11.9271      1.00000
     80     -11.7998      1.00000
     81     -11.7401      1.00000
     82     -11.6870      1.00000
     83     -11.6070      1.00000
     84     -11.3756      1.00000
     85     -11.3116      1.00000
     86     -11.0862      1.00000
     87     -10.9418      1.00000
     88     -10.8728      1.00000
     89     -10.8146      1.00000
     90     -10.7974      1.00000
     91     -10.4827      1.00000
     92     -10.2856      1.00000
     93     -10.2524      1.00000
     94     -10.2108      1.00000
     95     -10.1819      1.00000
     96     -10.1455      1.00000
     97     -10.1042      1.00000
     98     -10.0755      1.00000
     99      -9.9819      1.00000
    100      -9.8543      1.00000
    101      -9.7962      1.00000
    102      -9.7817      1.00000
    103      -9.7668      1.00000
    104      -9.7652      1.00000
    105      -9.7405      1.00000
    106      -9.7290      1.00000
    107      -9.6939      1.00000
    108      -9.6796      1.00000
    109      -9.6739      1.00000
    110      -9.6603      1.00000
    111      -9.6482      1.00000
    112      -9.5946      1.00000
    113      -9.5608      1.00000
    114      -9.5408      1.00000
    115      -9.5337      1.00000
    116      -9.5147      1.00000
    117      -9.4718      1.00000
    118      -9.4040      1.00000
    119      -9.2714      1.00000
    120      -9.2521      1.00000
    121      -9.1453      1.00000
    122      -9.0396      1.00000
    123      -8.9670      1.00000
    124      -8.9225      1.00000
    125      -8.8512      1.00000
    126      -8.7294      1.00000
    127      -8.5905      1.00000
    128      -8.5860      1.00000
    129      -8.5146      1.00000
    130      -8.5078      1.00000
    131      -8.4980      1.00000
    132      -8.4445      1.00000
    133      -8.3856      1.00000
    134      -8.3675      1.00000
    135      -8.2536      1.00000
    136      -8.2324      1.00000
    137      -8.2191      1.00000
    138      -8.2101      1.00000
    139      -8.1893      1.00000
    140      -8.1781      1.00000
    141      -8.1537      1.00000
    142      -8.0591      1.00000
    143      -8.0477      1.00000
    144      -7.9712      1.00000
    145      -7.9044      1.00000
    146      -7.8861      1.00000
    147      -7.8659      1.00000
    148      -7.8003      1.00000
    149      -7.7965      1.00000
    150      -7.7131      1.00000
    151      -7.6469      1.00000
    152      -7.6223      1.00000
    153      -7.5263      1.00000
    154      -7.4990      1.00000
    155      -7.4332      1.00000
    156      -7.0840      1.00000
    157      -7.0793      1.00000
    158      -7.0708      1.00000
    159      -6.8875      1.00000
    160      -6.7880      1.00000
    161      -6.6340      1.00000
    162      -6.6248      1.00000
    163      -6.6137      1.00000
    164      -6.5997      1.00000
    165      -6.5962      1.00000
    166      -6.5825      1.00000
    167      -6.5681      1.00000
