
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.8696      1.00000
      2     -25.4998      1.00000
      3     -24.4692      1.00000
      4     -24.4138      1.00000
      5     -24.0674      1.00000
      6     -24.0619      1.00000
      7     -24.0502      1.00000
      8     -23.9302      1.00000
      9     -23.7218      1.00000
     10     -23.5342      1.00000
     11     -23.2956      1.00000
     12     -23.2479      1.00000
     13     -23.2373      1.00000
     14     -23.1001      1.00000
     15     -23.0654      1.00000
     16     -22.9958      1.00000
     17     -22.9124      1.00000
     18     -22.8784      1.00000
     19     -22.8696      1.00000
     20     -22.5228      1.00000
     21     -22.3323      1.00000
     22     -21.9908      1.00000
     23     -21.9648      1.00000
     24     -21.9245      1.00000
     25     -21.9110      1.00000
     26     -21.8922      1.00000
     27     -21.8573      1.00000
     28     -21.8532      1.00000
     29     -21.8477      1.00000
     30     -21.8139      1.00000
     31     -21.8067      1.00000
     32     -21.5695      1.00000
     33     -21.5636      1.00000
     34     -21.5239      1.00000
     35     -21.4021      1.00000
     36     -21.3647      1.00000
     37     -21.3592      1.00000
     38     -21.1094      1.00000
     39     -21.0332      1.00000
     40     -20.9520      1.00000
     41     -20.9502      1.00000
     42     -20.9410      1.00000
     43     -20.9131      1.00000
     44     -20.8390      1.00000
     45     -20.8376      1.00000
     46     -20.7554      1.00000
     47     -20.7232      1.00000
     48     -20.6759      1.00000
     49     -20.6697      1.00000
     50     -17.7798      1.00000
     51     -15.6908      1.00000
     52     -15.1308      1.00000
     53     -14.8724      1.00000
     54     -14.6479      1.00000
     55     -14.6097      1.00000
     56     -14.5085      1.00000
     57     -14.4848      1.00000
     58     -14.4758      1.00000
     59     -14.3103      1.00000
     60     -14.2902      1.00000
     61     -14.2764      1.00000
     62     -14.1326      1.00000
     63     -14.0137      1.00000
     64     -13.9748      1.00000
     65     -13.9070      1.00000
     66     -13.7505      1.00000
     67     -13.7402      1.00000
     68     -13.5918      1.00000
     69     -13.4342      1.00000
     70     -13.3720      1.00000
     71     -13.3451      1.00000
     72     -13.1856      1.00000
     73     -13.0816      1.00000
     74     -13.0452      1.00000
     75     -13.0224      1.00000
     76     -12.9950      1.00000
     77     -12.9944      1.00000
     78     -12.9585      1.00000
     79     -12.9463      1.00000
     80     -12.9401      1.00000
     81     -12.5225      1.00000
