
 Fermi energy:        -3.6360316142

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4101      1.00000
      2     -24.1019      1.00000
      3     -23.8926      1.00000
      4     -23.8923      1.00000
      5     -23.8699      1.00000
      6     -23.8698      1.00000
      7     -23.8662      1.00000
      8     -23.2273      1.00000
      9     -23.0965      1.00000
     10     -23.0963      1.00000
     11     -23.0706      1.00000
     12     -23.0652      1.00000
     13     -23.0650      1.00000
     14     -22.7744      1.00000
     15     -22.7214      1.00000
     16     -22.7210      1.00000
     17     -22.6925      1.00000
     18     -22.6923      1.00000
     19     -22.6915      1.00000
     20     -21.8111      1.00000
     21     -21.7632      1.00000
     22     -21.7627      1.00000
     23     -21.7015      1.00000
     24     -21.6880      1.00000
     25     -21.6879      1.00000
     26     -21.6822      1.00000
     27     -21.6812      1.00000
     28     -21.6811      1.00000
     29     -21.6770      1.00000
     30     -21.6768      1.00000
     31     -21.6763      1.00000
     32     -21.2896      1.00000
     33     -21.2892      1.00000
     34     -21.2881      1.00000
     35     -21.2517      1.00000
     36     -21.2440      1.00000
     37     -21.2440      1.00000
     38     -20.7957      1.00000
     39     -20.7950      1.00000
     40     -20.7725      1.00000
     41     -20.7627      1.00000
     42     -20.7626      1.00000
     43     -20.7529      1.00000
     44     -20.6193      1.00000
     45     -20.6189      1.00000
     46     -20.5857      1.00000
     47     -20.5771      1.00000
     48     -20.5699      1.00000
     49     -20.5689      1.00000
     50     -15.3034      1.00000
     51     -14.3962      1.00000
     52     -14.3960      1.00000
     53     -14.3890      1.00000
     54     -14.3762      1.00000
     55     -14.3759      1.00000
     56     -14.2604      1.00000
     57     -14.1910      1.00000
     58     -14.1909      1.00000
     59     -14.1570      1.00000
     60     -14.1533      1.00000
     61     -14.1532      1.00000
     62     -13.7220      1.00000
     63     -13.6163      1.00000
     64     -13.6160      1.00000
     65     -13.6153      1.00000
     66     -13.5945      1.00000
     67     -13.5943      1.00000
     68     -13.1724      1.00000
     69     -12.9248      1.00000
     70     -12.9247      1.00000
     71     -12.8815      1.00000
     72     -12.8749      1.00000
     73     -12.8749      1.00000
     74     -12.8582      1.00000
     75     -12.8549      1.00000
     76     -12.8547      1.00000
     77     -12.8539      1.00000
     78     -12.8510      1.00000
     79     -12.8508      1.00000
     80     -12.3046      1.00000
     81     -12.2282      1.00000
     82     -12.1455      1.00000
     83     -12.1454      1.00000
     84     -12.1330      1.00000
     85     -12.1329      1.00000
     86     -11.4909      1.00000
     87     -11.4171      1.00000
     88     -11.4169      1.00000
     89     -11.3626      1.00000
     90     -11.3614      1.00000
     91     -11.3613      1.00000
     92     -10.7382      1.00000
     93     -10.6660      1.00000
     94     -10.6197      1.00000
     95     -10.6196      1.00000
     96     -10.5695      1.00000
     97     -10.5693      1.00000
     98     -10.5453      1.00000
     99     -10.3141      1.00000
    100     -10.2506      1.00000
    101     -10.2499      1.00000
    102     -10.1715      1.00000
    103     -10.1711      1.00000
    104     -10.1642      1.00000
    105     -10.1328      1.00000
    106     -10.1254      1.00000
    107     -10.1109      1.00000
    108     -10.1102      1.00000
    109     -10.0889      1.00000
    110     -10.0883      1.00000
    111     -10.0656      1.00000
    112     -10.0556      1.00000
    113     -10.0556      1.00000
    114     -10.0551      1.00000
    115     -10.0508      1.00000
    116     -10.0500      1.00000
    117      -9.9837      1.00000
    118      -9.9832      1.00000
    119      -9.9792      1.00000
    120      -9.9447      1.00000
    121      -9.9437      1.00000
    122      -9.9134      1.00000
    123      -9.3879      1.00000
    124      -9.3875      1.00000
    125      -9.3688      1.00000
    126      -9.3252      1.00000
    127      -9.3251      1.00000
    128      -9.3249      1.00000
    129      -8.9466      1.00000
    130      -8.9412      1.00000
    131      -8.9410      1.00000
    132      -8.8748      1.00000
    133      -8.8713      1.00000
    134      -8.8711      1.00000
    135      -8.6872      1.00000
    136      -8.6870      1.00000
    137      -8.6387      1.00000
    138      -8.5940      1.00000
    139      -8.5935      1.00000
    140      -8.5895      1.00000
    141      -8.5018      1.00000
    142      -8.5018      1.00000
    143      -8.4859      1.00000
    144      -8.4831      1.00000
    145      -8.4830      1.00000
    146      -8.4787      1.00000
    147      -8.4205      1.00000
    148      -8.3587      1.00000
    149      -8.3583      1.00000
    150      -8.3506      1.00000
    151      -8.2716      1.00000
    152      -8.2714      1.00000
    153      -8.1183      1.00000
    154      -8.1178      1.00000
    155      -8.0717      1.00000
    156      -8.0405      1.00000
    157      -8.0405      1.00000
    158      -8.0372      1.00000
    159      -7.3089      1.00000
    160      -7.3088      1.00000
    161      -7.1789      1.00000
    162      -7.1497      1.00000
    163      -7.1491      1.00000
    164      -7.1381      1.00000
    165      -7.0918      1.00000
    166      -6.9147      1.00000
    167      -6.9034      1.00000
    168      -6.9032      1.00000
    169      -6.9024      1.00000
    170      -6.9023      1.00000
    171      -6.8989      1.00000
    172      -6.8981      1.00000
    173      -6.8977      1.00000
    174      -6.8960      1.00000
    175      -6.8272      1.00000
    176      -6.8272      1.00000
    177      -6.4455      1.00000
    178      -6.4454      1.00000
    179      -6.3394      1.00000
    180      -6.2604      1.00000
    181      -6.2582      1.00000
    182      -6.2581      1.00000
    183      -6.2224      1.00000
    184      -6.2223      1.00000
    185      -5.5722      1.00000
    186      -5.5178      1.00000
    187      -5.5175      1.00000
    188      -5.5045      1.00000
    189      -5.5044      1.00000
    190      -5.5029      1.00000
    191      -5.2735      1.00000
    192      -5.2648      1.00000
    193      -5.2646      1.00000
    194      -5.2286      1.00000
    195      -5.2199      1.00000
    196      -5.2192      1.00000
    197      -3.9294      1.00000
    198       0.9149      0.00000
    199       1.1300      0.00000
    200       1.1303      0.00000
    201       1.3728      0.00000
    202       1.3887      0.00000
    203       1.3888      0.00000
    204       1.4883      0.00000
    205       1.5268      0.00000
    206       1.5269      0.00000
    207       1.5502      0.00000
    208       1.5513      0.00000
    209       1.5518      0.00000
    210       1.5733      0.00000
    211       1.6009      0.00000
    212       1.6010      0.00000
    213       1.6060      0.00000
    214       1.6063      0.00000
    215       1.6947      0.00000
    216       1.7605      0.00000
    217       1.7607      0.00000
    218       1.7759      0.00000
    219       1.8171      0.00000
    220       1.9266      0.00000
    221       1.9266      0.00000
    222       1.9274      0.00000
    223       2.2275      0.00000
    224       2.3547      0.00000
    225       2.3935      0.00000
    226       2.3936      0.00000
    227       2.4338      0.00000
    228       2.4345      0.00000
    229       2.4356      0.00000
    230       2.5613      0.00000
    231       2.6398      0.00000
    232       2.6401      0.00000
    233       2.8502      0.00000
    234       2.8508      0.00000
    235       2.8512      0.00000
    236       2.8728      0.00000
    237       2.8865      0.00000
    238       2.8876      0.00000
    239       2.8893      0.00000
    240       2.9007      0.00000
    241       2.9018      0.00000
    242       2.9677      0.00000
    243       2.9679      0.00000
    244       3.0118      0.00000
    245       3.0567      0.00000
    246       3.0568      0.00000
    247       3.1264      0.00000
    248       3.1441      0.00000
    249       3.1445      0.00000
    250       3.1475      0.00000
    251       3.1610      0.00000
    252       3.1615      0.00000
 Fermi energy:        -3.6360316142

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4101      1.00000
      2     -24.1019      1.00000
      3     -23.8926      1.00000
      4     -23.8923      1.00000
      5     -23.8699      1.00000
      6     -23.8698      1.00000
      7     -23.8662      1.00000
      8     -23.2273      1.00000
      9     -23.0965      1.00000
     10     -23.0963      1.00000
     11     -23.0706      1.00000
     12     -23.0652      1.00000
     13     -23.0650      1.00000
     14     -22.7744      1.00000
     15     -22.7214      1.00000
     16     -22.7210      1.00000
     17     -22.6925      1.00000
     18     -22.6923      1.00000
     19     -22.6915      1.00000
     20     -21.8111      1.00000
     21     -21.7632      1.00000
     22     -21.7627      1.00000
     23     -21.7015      1.00000
     24     -21.6880      1.00000
     25     -21.6879      1.00000
     26     -21.6822      1.00000
     27     -21.6812      1.00000
     28     -21.6811      1.00000
     29     -21.6770      1.00000
     30     -21.6768      1.00000
     31     -21.6763      1.00000
     32     -21.2896      1.00000
     33     -21.2892      1.00000
     34     -21.2881      1.00000
     35     -21.2517      1.00000
     36     -21.2440      1.00000
     37     -21.2440      1.00000
     38     -20.7957      1.00000
     39     -20.7950      1.00000
     40     -20.7725      1.00000
     41     -20.7627      1.00000
     42     -20.7626      1.00000
     43     -20.7529      1.00000
     44     -20.6193      1.00000
     45     -20.6189      1.00000
     46     -20.5857      1.00000
     47     -20.5771      1.00000
     48     -20.5699      1.00000
     49     -20.5689      1.00000
     50     -15.3034      1.00000
     51     -14.3962      1.00000
     52     -14.3960      1.00000
     53     -14.3890      1.00000
     54     -14.3762      1.00000
     55     -14.3759      1.00000
     56     -14.2604      1.00000
     57     -14.1910      1.00000
     58     -14.1909      1.00000
     59     -14.1570      1.00000
     60     -14.1533      1.00000
     61     -14.1532      1.00000
     62     -13.7220      1.00000
     63     -13.6163      1.00000
     64     -13.6160      1.00000
     65     -13.6153      1.00000
     66     -13.5945      1.00000
     67     -13.5943      1.00000
     68     -13.1724      1.00000
     69     -12.9248      1.00000
     70     -12.9247      1.00000
     71     -12.8815      1.00000
     72     -12.8749      1.00000
     73     -12.8749      1.00000
     74     -12.8582      1.00000
     75     -12.8549      1.00000
     76     -12.8547      1.00000
     77     -12.8539      1.00000
     78     -12.8510      1.00000
     79     -12.8508      1.00000
     80     -12.3046      1.00000
     81     -12.2282      1.00000
     82     -12.1455      1.00000
     83     -12.1454      1.00000
     84     -12.1330      1.00000
     85     -12.1329      1.00000
     86     -11.4909      1.00000
     87     -11.4171      1.00000
     88     -11.4169      1.00000
     89     -11.3626      1.00000
     90     -11.3614      1.00000
     91     -11.3613      1.00000
     92     -10.7382      1.00000
     93     -10.6660      1.00000
     94     -10.6197      1.00000
     95     -10.6196      1.00000
     96     -10.5695      1.00000
     97     -10.5693      1.00000
     98     -10.5453      1.00000
     99     -10.3141      1.00000
    100     -10.2506      1.00000
    101     -10.2499      1.00000
    102     -10.1715      1.00000
    103     -10.1711      1.00000
    104     -10.1642      1.00000
    105     -10.1328      1.00000
    106     -10.1254      1.00000
    107     -10.1109      1.00000
    108     -10.1102      1.00000
    109     -10.0889      1.00000
    110     -10.0883      1.00000
    111     -10.0656      1.00000
    112     -10.0556      1.00000
    113     -10.0556      1.00000
    114     -10.0551      1.00000
    115     -10.0508      1.00000
    116     -10.0500      1.00000
    117      -9.9837      1.00000
    118      -9.9832      1.00000
    119      -9.9792      1.00000
    120      -9.9447      1.00000
    121      -9.9437      1.00000
    122      -9.9134      1.00000
    123      -9.3879      1.00000
    124      -9.3875      1.00000
    125      -9.3688      1.00000
    126      -9.3252      1.00000
    127      -9.3251      1.00000
    128      -9.3249      1.00000
    129      -8.9466      1.00000
    130      -8.9412      1.00000
    131      -8.9410      1.00000
    132      -8.8748      1.00000
    133      -8.8713      1.00000
    134      -8.8711      1.00000
    135      -8.6872      1.00000
    136      -8.6870      1.00000
    137      -8.6387      1.00000
    138      -8.5940      1.00000
    139      -8.5935      1.00000
    140      -8.5895      1.00000
    141      -8.5018      1.00000
    142      -8.5018      1.00000
    143      -8.4859      1.00000
    144      -8.4831      1.00000
    145      -8.4830      1.00000
    146      -8.4787      1.00000
    147      -8.4205      1.00000
    148      -8.3587      1.00000
    149      -8.3583      1.00000
    150      -8.3506      1.00000
    151      -8.2716      1.00000
    152      -8.2714      1.00000
    153      -8.1183      1.00000
    154      -8.1178      1.00000
    155      -8.0717      1.00000
    156      -8.0405      1.00000
    157      -8.0405      1.00000
    158      -8.0372      1.00000
    159      -7.3089      1.00000
    160      -7.3088      1.00000
    161      -7.1789      1.00000
    162      -7.1497      1.00000
    163      -7.1491      1.00000
    164      -7.1381      1.00000
    165      -7.0918      1.00000
    166      -6.9147      1.00000
    167      -6.9034      1.00000
    168      -6.9032      1.00000
    169      -6.9024      1.00000
    170      -6.9023      1.00000
    171      -6.8989      1.00000
    172      -6.8981      1.00000
    173      -6.8977      1.00000
    174      -6.8960      1.00000
    175      -6.8272      1.00000
    176      -6.8272      1.00000
    177      -6.4455      1.00000
    178      -6.4454      1.00000
    179      -6.3394      1.00000
    180      -6.2604      1.00000
    181      -6.2582      1.00000
    182      -6.2581      1.00000
    183      -6.2224      1.00000
    184      -6.2223      1.00000
    185      -5.5722      1.00000
    186      -5.5178      1.00000
    187      -5.5175      1.00000
    188      -5.5045      1.00000
    189      -5.5044      1.00000
    190      -5.5029      1.00000
    191      -5.2735      1.00000
    192      -5.2648      1.00000
    193      -5.2646      1.00000
    194      -5.2286      1.00000
    195      -5.2199      1.00000
    196      -5.2192      1.00000
    197      -3.9294      1.00000
    198       0.9149      0.00000
    199       1.1300      0.00000
    200       1.1303      0.00000
    201       1.3728      0.00000
    202       1.3887      0.00000
    203       1.3888      0.00000
    204       1.4883      0.00000
    205       1.5268      0.00000
    206       1.5269      0.00000
    207       1.5502      0.00000
    208       1.5513      0.00000
    209       1.5518      0.00000
    210       1.5733      0.00000
    211       1.6009      0.00000
    212       1.6010      0.00000
    213       1.6060      0.00000
    214       1.6063      0.00000
    215       1.6947      0.00000
    216       1.7605      0.00000
    217       1.7607      0.00000
    218       1.7759      0.00000
    219       1.8171      0.00000
    220       1.9266      0.00000
    221       1.9266      0.00000
    222       1.9274      0.00000
    223       2.2275      0.00000
    224       2.3547      0.00000
    225       2.3935      0.00000
    226       2.3936      0.00000
    227       2.4338      0.00000
    228       2.4345      0.00000
    229       2.4356      0.00000
    230       2.5613      0.00000
    231       2.6398      0.00000
    232       2.6401      0.00000
    233       2.8502      0.00000
    234       2.8508      0.00000
    235       2.8512      0.00000
    236       2.8728      0.00000
    237       2.8865      0.00000
    238       2.8876      0.00000
    239       2.8893      0.00000
    240       2.9007      0.00000
    241       2.9017      0.00000
    242       2.9677      0.00000
    243       2.9679      0.00000
    244       3.0119      0.00000
    245       3.0567      0.00000
    246       3.0568      0.00000
    247       3.1264      0.00000
    248       3.1441      0.00000
    249       3.1445      0.00000
    250       3.1475      0.00000
    251       3.1610      0.00000
    252       3.1615      0.00000

