
 Fermi energy:         0.2013547845

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3452      1.00000
      2     -24.0277      1.00000
      3     -23.7109      1.00000
      4     -23.6841      1.00000
      5     -23.6226      1.00000
      6     -23.5719      1.00000
      7     -23.4957      1.00000
      8     -23.1493      1.00000
      9     -22.9167      1.00000
     10     -22.7913      1.00000
     11     -22.7862      1.00000
     12     -22.7382      1.00000
     13     -22.7020      1.00000
     14     -22.6125      1.00000
     15     -22.5028      1.00000
     16     -22.4369      1.00000
     17     -22.3690      1.00000
     18     -22.3073      1.00000
     19     -22.1608      1.00000
     20     -21.6706      1.00000
     21     -21.5968      1.00000
     22     -21.5102      1.00000
     23     -21.4744      1.00000
     24     -21.4640      1.00000
     25     -21.4243      1.00000
     26     -21.4076      1.00000
     27     -21.3992      1.00000
     28     -21.3307      1.00000
     29     -21.3101      1.00000
     30     -21.2337      1.00000
     31     -21.1107      1.00000
     32     -21.0656      1.00000
     33     -21.0408      1.00000
     34     -20.9495      1.00000
     35     -20.9340      1.00000
     36     -20.8445      1.00000
     37     -20.6990      1.00000
     38     -20.5539      1.00000
     39     -20.4934      1.00000
     40     -20.4724      1.00000
     41     -20.4386      1.00000
     42     -20.4020      1.00000
     43     -20.3866      1.00000
     44     -20.3344      1.00000
     45     -20.3170      1.00000
     46     -20.2605      1.00000
     47     -20.1848      1.00000
     48     -19.8644      1.00000
     49     -16.5893      1.00000
     50     -14.7360      1.00000
     51     -14.1386      1.00000
     52     -14.1209      1.00000
     53     -14.0985      1.00000
     54     -14.0672      1.00000
     55     -14.0431      1.00000
     56     -14.0261      1.00000
     57     -13.9414      1.00000
     58     -13.9179      1.00000
     59     -13.8332      1.00000
     60     -13.6605      1.00000
     61     -13.5289      1.00000
     62     -13.4014      1.00000
     63     -13.3616      1.00000
     64     -13.3044      1.00000
     65     -13.2550      1.00000
     66     -13.1863      1.00000
     67     -13.1238      1.00000
     68     -12.8175      1.00000
     69     -12.7774      1.00000
     70     -12.7392      1.00000
     71     -12.6096      1.00000
     72     -12.5776      1.00000
     73     -12.5615      1.00000
     74     -12.5286      1.00000
     75     -12.5128      1.00000
     76     -12.5026      1.00000
     77     -12.3771      1.00000
     78     -12.1791      1.00000
     79     -12.0744      1.00000
     80     -11.9306      1.00000
     81     -11.8863      1.00000
     82     -11.8471      1.00000
     83     -11.7193      1.00000
     84     -11.6622      1.00000
     85     -11.4709      1.00000
     86     -11.1913      1.00000
     87     -11.1360      1.00000
     88     -11.0508      1.00000
     89     -10.9151      1.00000
     90     -10.8710      1.00000
     91     -10.5271      1.00000
     92     -10.3683      1.00000
     93     -10.3276      1.00000
     94     -10.3232      1.00000
     95     -10.3142      1.00000
     96     -10.2261      1.00000
     97     -10.1808      1.00000
     98     -10.1166      1.00000
     99     -10.0679      1.00000
    100      -9.9588      1.00000
    101      -9.9254      1.00000
    102      -9.9128      1.00000
    103      -9.8447      1.00000
    104      -9.8429      1.00000
    105      -9.8318      1.00000
    106      -9.8232      1.00000
    107      -9.8187      1.00000
    108      -9.7914      1.00000
    109      -9.7763      1.00000
    110      -9.7606      1.00000
    111      -9.7529      1.00000
    112      -9.7362      1.00000
    113      -9.7276      1.00000
    114      -9.6776      1.00000
    115      -9.6430      1.00000
    116      -9.6240      1.00000
    117      -9.6149      1.00000
    118      -9.5213      1.00000
    119      -9.4793      1.00000
    120      -9.3062      1.00000
    121      -9.2561      1.00000
    122      -9.1043      1.00000
    123      -9.0384      1.00000
    124      -9.0169      1.00000
    125      -8.9289      1.00000
    126      -8.7868      1.00000
    127      -8.6638      1.00000
    128      -8.6513      1.00000
    129      -8.5957      1.00000
    130      -8.5932      1.00000
    131      -8.5843      1.00000
    132      -8.5477      1.00000
    133      -8.4674      1.00000
    134      -8.3699      1.00000
    135      -8.3211      1.00000
    136      -8.3069      1.00000
    137      -8.3016      1.00000
    138      -8.2532      1.00000
    139      -8.2389      1.00000
    140      -8.2195      1.00000
    141      -8.1903      1.00000
    142      -8.1606      1.00000
    143      -8.1192      1.00000
    144      -8.0743      1.00000
    145      -8.0674      1.00000
    146      -8.0294      1.00000
    147      -8.0262      1.00000
    148      -7.9600      1.00000
    149      -7.9529      1.00000
    150      -7.8229      1.00000
    151      -7.7815      1.00000
    152      -7.7446      1.00000
    153      -7.7200      1.00000
    154      -7.6566      1.00000
    155      -7.5685      1.00000
    156      -7.1705      1.00000
    157      -7.0744      1.00000
    158      -6.8665      1.00000
    159      -6.8624      1.00000
    160      -6.8523      1.00000
    161      -6.7425      1.00000
    162      -6.7104      1.00000
    163      -6.7003      1.00000
    164      -6.6927      1.00000
    165      -6.6875      1.00000
    166      -6.6555      1.00000
    167      -6.6418      1.00000
    168      -6.6345      1.00000
    169      -6.6107      1.00000
    170      -6.5582      1.00000
    171      -6.5221      1.00000
    172      -6.4550      1.00000
    173      -6.2403      1.00000
    174      -6.2263      1.00000
    175      -6.1737      1.00000
    176      -6.0744      1.00000
    177      -6.0394      1.00000
    178      -5.9679      1.00000
    179      -5.9320      1.00000
    180      -5.9254      1.00000
    181      -5.8492      1.00000
    182      -5.6255      1.00000
    183      -5.2803      1.00000
    184      -5.2344      1.00000
    185      -5.2238      1.00000
    186      -5.1920      1.00000
    187      -5.1814      1.00000
    188      -5.0854      1.00000
    189      -5.0036      1.00000
    190      -4.9593      1.00000
    191      -4.9457      1.00000
    192      -4.8684      1.00000
    193      -4.6900      1.00000
    194      -3.4478      1.00000
    195      -1.6335      1.00000
    196      -0.3855      1.00000
    197      -0.0559      1.00000
    198       0.8443      0.00000
    199       1.0234      0.00000
    200       1.3847      0.00000
    201       1.4187      0.00000
    202       1.4313      0.00000
    203       1.5285      0.00000
    204       1.5458      0.00000
    205       1.5914      0.00000
    206       1.6257      0.00000
    207       1.6332      0.00000
    208       1.6487      0.00000
    209       1.6525      0.00000
    210       1.6751      0.00000
    211       1.7250      0.00000
    212       1.7408      0.00000
    213       1.8517      0.00000
    214       1.8902      0.00000
    215       1.8976      0.00000
    216       1.9457      0.00000
    217       1.9991      0.00000
    218       2.1584      0.00000
    219       2.1588      0.00000
    220       2.1659      0.00000
