
 Fermi energy:        -0.1144198148

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.1391      1.00000
      2     -23.8426      1.00000
      3     -23.6653      1.00000
      4     -23.5822      1.00000
      5     -23.5723      1.00000
      6     -23.3959      1.00000
      7     -23.2603      1.00000
      8     -22.8645      1.00000
      9     -22.7925      1.00000
     10     -22.7184      1.00000
     11     -22.6896      1.00000
     12     -22.6668      1.00000
     13     -22.6173      1.00000
     14     -22.4356      1.00000
     15     -22.3929      1.00000
     16     -22.2558      1.00000
     17     -22.2275      1.00000
     18     -22.1065      1.00000
     19     -21.8771      1.00000
     20     -21.5434      1.00000
     21     -21.4276      1.00000
     22     -21.4209      1.00000
     23     -21.4004      1.00000
     24     -21.3611      1.00000
     25     -21.3609      1.00000
     26     -21.3077      1.00000
     27     -21.2539      1.00000
     28     -21.1866      1.00000
     29     -21.1550      1.00000
     30     -21.1214      1.00000
     31     -21.0458      1.00000
     32     -20.9226      1.00000
     33     -20.8384      1.00000
     34     -20.8042      1.00000
     35     -20.7405      1.00000
     36     -20.6747      1.00000
     37     -20.5211      1.00000
     38     -20.4692      1.00000
     39     -20.4060      1.00000
     40     -20.3845      1.00000
     41     -20.3669      1.00000
     42     -20.2903      1.00000
     43     -20.2582      1.00000
     44     -20.1734      1.00000
     45     -20.0677      1.00000
     46     -19.9953      1.00000
     47     -19.8304      1.00000
     48     -19.5866      1.00000
     49     -18.1972      1.00000
     50     -14.6415      1.00000
     51     -14.1093      1.00000
     52     -14.0655      1.00000
     53     -14.0555      1.00000
     54     -14.0141      1.00000
     55     -14.0051      1.00000
     56     -13.8779      1.00000
     57     -13.8454      1.00000
     58     -13.7996      1.00000
     59     -13.7399      1.00000
     60     -13.5331      1.00000
     61     -13.4464      1.00000
     62     -13.3032      1.00000
     63     -13.2590      1.00000
     64     -13.2129      1.00000
     65     -13.1076      1.00000
     66     -13.0683      1.00000
     67     -13.0015      1.00000
     68     -12.7180      1.00000
     69     -12.5972      1.00000
     70     -12.5531      1.00000
     71     -12.4984      1.00000
     72     -12.4788      1.00000
     73     -12.4598      1.00000
     74     -12.3987      1.00000
     75     -12.3179      1.00000
     76     -12.3103      1.00000
     77     -12.2620      1.00000
     78     -12.1529      1.00000
     79     -12.0200      1.00000
     80     -11.8417      1.00000
     81     -11.7891      1.00000
     82     -11.6127      1.00000
     83     -11.5995      1.00000
     84     -11.5283      1.00000
     85     -11.2259      1.00000
     86     -11.0096      1.00000
     87     -10.9408      1.00000
     88     -10.8854      1.00000
     89     -10.8383      1.00000
     90     -10.7929      1.00000
     91     -10.4601      1.00000
     92     -10.3046      1.00000
     93     -10.2636      1.00000
     94     -10.2337      1.00000
     95     -10.1854      1.00000
     96     -10.1537      1.00000
     97     -10.1291      1.00000
     98     -10.0624      1.00000
     99      -9.8884      1.00000
    100      -9.8754      1.00000
    101      -9.8582      1.00000
    102      -9.8048      1.00000
    103      -9.7975      1.00000
    104      -9.7915      1.00000
    105      -9.7879      1.00000
    106      -9.7669      1.00000
    107      -9.7392      1.00000
    108      -9.7130      1.00000
    109      -9.6814      1.00000
    110      -9.6750      1.00000
    111      -9.6691      1.00000
    112      -9.5817      1.00000
    113      -9.5674      1.00000
    114      -9.5483      1.00000
    115      -9.5092      1.00000
    116      -9.5072      1.00000
    117      -9.4389      1.00000
    118      -9.3660      1.00000
    119      -9.2610      1.00000
    120      -9.2424      1.00000
    121      -9.1017      1.00000
    122      -9.0354      1.00000
    123      -9.0234      1.00000
    124      -8.9800      1.00000
    125      -8.6990      1.00000
    126      -8.6724      1.00000
    127      -8.6000      1.00000
    128      -8.5777      1.00000
    129      -8.5351      1.00000
    130      -8.4887      1.00000
    131      -8.4806      1.00000
    132      -8.4221      1.00000
    133      -8.3937      1.00000
    134      -8.3559      1.00000
    135      -8.2784      1.00000
    136      -8.2348      1.00000
    137      -8.2133      1.00000
    138      -8.2066      1.00000
    139      -8.1003      1.00000
    140      -8.0991      1.00000
    141      -8.0794      1.00000
    142      -8.0574      1.00000
    143      -8.0054      1.00000
    144      -7.9310      1.00000
    145      -7.9022      1.00000
    146      -7.8741      1.00000
    147      -7.8196      1.00000
    148      -7.7998      1.00000
    149      -7.7762      1.00000
    150      -7.7716      1.00000
    151      -7.6428      1.00000
    152      -7.6111      1.00000
    153      -7.5496      1.00000
    154      -7.4632      1.00000
    155      -7.4151      1.00000
    156      -7.0356      1.00000
    157      -6.9767      1.00000
    158      -6.8272      1.00000
    159      -6.8242      1.00000
    160      -6.6695      1.00000
    161      -6.6686      1.00000
    162      -6.6538      1.00000
    163      -6.6464      1.00000
    164      -6.6193      1.00000
    165      -6.5966      1.00000
    166      -6.5933      1.00000
    167      -6.5222      1.00000
    168      -6.4954      1.00000
    169      -6.4568      1.00000
    170      -6.4265      1.00000
    171      -6.3690      1.00000
    172      -6.2976      1.00000
    173      -6.1776      1.00000
    174      -6.1713      1.00000
    175      -6.0522      1.00000
    176      -5.9617      1.00000
    177      -5.9132      1.00000
    178      -5.9056      1.00000
    179      -5.8203      1.00000
    180      -5.7642      1.00000
    181      -5.6949      1.00000
    182      -5.4653      1.00000
    183      -5.2359      1.00000
    184      -5.1674      1.00000
