
 Fermi energy:        -2.1649154218

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3267      1.00000
      2     -23.9327      1.00000
      3     -23.6332      1.00000
      4     -23.5751      1.00000
      5     -23.5279      1.00000
      6     -23.3940      1.00000
      7     -23.2787      1.00000
      8     -22.9446      1.00000
      9     -22.7065      1.00000
     10     -22.6769      1.00000
     11     -22.6450      1.00000
     12     -22.6215      1.00000
     13     -22.5766      1.00000
     14     -22.4599      1.00000
     15     -22.2906      1.00000
     16     -22.2060      1.00000
     17     -22.1040      1.00000
     18     -22.0253      1.00000
     19     -21.7951      1.00000
     20     -21.4593      1.00000
     21     -21.3958      1.00000
     22     -21.3806      1.00000
     23     -21.3756      1.00000
     24     -21.3513      1.00000
     25     -21.3010      1.00000
     26     -21.2576      1.00000
     27     -21.1460      1.00000
     28     -21.1051      1.00000
     29     -21.0800      1.00000
     30     -20.9975      1.00000
     31     -20.9545      1.00000
     32     -20.8609      1.00000
     33     -20.7765      1.00000
     34     -20.7172      1.00000
     35     -20.6457      1.00000
     36     -20.5795      1.00000
     37     -20.4436      1.00000
     38     -20.4213      1.00000
     39     -20.3500      1.00000
     40     -20.3088      1.00000
     41     -20.2937      1.00000
     42     -20.2148      1.00000
     43     -20.1339      1.00000
     44     -20.0893      1.00000
     45     -19.8930      1.00000
     46     -19.7927      1.00000
     47     -18.9390      1.00000
     48     -18.4591      1.00000
     49     -15.6550      1.00000
     50     -14.0885      1.00000
     51     -14.0663      1.00000
     52     -13.9999      1.00000
     53     -13.9799      1.00000
     54     -13.9422      1.00000
     55     -13.9319      1.00000
     56     -13.8354      1.00000
     57     -13.8036      1.00000
     58     -13.7172      1.00000
     59     -13.6103      1.00000
     60     -13.4169      1.00000
     61     -13.3660      1.00000
     62     -13.2586      1.00000
     63     -13.1887      1.00000
     64     -13.1605      1.00000
     65     -13.0742      1.00000
     66     -13.0008      1.00000
     67     -12.8628      1.00000
     68     -12.6669      1.00000
     69     -12.5594      1.00000
     70     -12.5035      1.00000
     71     -12.4469      1.00000
     72     -12.4228      1.00000
     73     -12.3889      1.00000
     74     -12.3292      1.00000
     75     -12.2272      1.00000
     76     -12.1685      1.00000
     77     -12.0406      1.00000
     78     -11.9453      1.00000
     79     -11.7834      1.00000
     80     -11.7590      1.00000
     81     -11.6681      1.00000
     82     -11.6587      1.00000
     83     -11.5287      1.00000
     84     -11.3328      1.00000
     85     -11.2374      1.00000
     86     -10.9905      1.00000
     87     -10.8474      1.00000
     88     -10.8142      1.00000
     89     -10.7186      1.00000
     90     -10.6437      1.00000
     91     -10.3844      1.00000
     92     -10.2753      1.00000
     93     -10.2463      1.00000
     94     -10.1678      1.00000
     95     -10.1296      1.00000
     96     -10.1050      1.00000
     97     -10.0647      1.00000
     98      -9.9892      1.00000
     99      -9.9439      1.00000
    100      -9.8419      1.00000
    101      -9.8036      1.00000
    102      -9.7767      1.00000
    103      -9.7593      1.00000
    104      -9.7180      1.00000
    105      -9.7071      1.00000
    106      -9.6757      1.00000
    107      -9.6674      1.00000
    108      -9.6514      1.00000
    109      -9.6331      1.00000
    110      -9.6175      1.00000
    111      -9.5866      1.00000
    112      -9.4897      1.00000
    113      -9.4580      1.00000
    114      -9.4150      1.00000
    115      -9.3903      1.00000
    116      -9.3573      1.00000
    117      -9.2941      1.00000
    118      -9.2916      1.00000
    119      -9.2539      1.00000
    120      -9.1032      1.00000
    121      -9.0032      1.00000
    122      -8.9747      1.00000
    123      -8.9254      1.00000
    124      -8.8100      1.00000
