
 Fermi energy:        -5.3163260010

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9517      1.00000
      2     -24.6472      1.00000
      3     -24.4713      1.00000
      4     -24.3534      1.00000
      5     -24.2988      1.00000
      6     -24.2164      1.00000
      7     -24.2003      1.00000
      8     -23.7829      1.00000
      9     -23.7146      1.00000
     10     -23.6226      1.00000
     11     -23.5565      1.00000
     12     -23.4674      1.00000
     13     -23.3564      1.00000
     14     -23.2423      1.00000
     15     -23.2167      1.00000
     16     -23.1736      1.00000
     17     -23.1722      1.00000
     18     -23.0599      1.00000
     19     -22.9286      1.00000
     20     -22.5408      1.00000
     21     -22.4186      1.00000
     22     -22.3695      1.00000
     23     -22.2995      1.00000
     24     -22.2199      1.00000
     25     -22.1718      1.00000
     26     -22.1216      1.00000
     27     -22.1107      1.00000
     28     -22.0841      1.00000
     29     -22.0816      1.00000
     30     -21.9192      1.00000
     31     -21.8747      1.00000
     32     -21.8534      1.00000
     33     -21.6543      1.00000
     34     -21.6498      1.00000
     35     -21.6392      1.00000
     36     -21.6272      1.00000
     37     -21.5873      1.00000
     38     -21.2818      1.00000
     39     -21.2772      1.00000
     40     -21.2654      1.00000
     41     -21.2500      1.00000
     42     -21.0701      1.00000
     43     -21.0637      1.00000
     44     -20.9746      1.00000
     45     -20.9709      1.00000
     46     -20.9617      1.00000
     47     -20.9581      1.00000
     48     -16.9024      1.00000
     49     -15.2577      1.00000
     50     -15.0527      1.00000
     51     -14.9284      1.00000
     52     -14.9124      1.00000
     53     -14.8219      1.00000
     54     -14.7728      1.00000
     55     -14.6830      1.00000
     56     -14.6441      1.00000
     57     -14.6305      1.00000
     58     -14.5879      1.00000
     59     -14.5305      1.00000
     60     -14.5252      1.00000
     61     -14.2932      1.00000
     62     -14.1632      1.00000
     63     -14.0992      1.00000
     64     -14.0250      1.00000
     65     -13.9588      1.00000
     66     -13.8671      1.00000
     67     -13.7328      1.00000
     68     -13.4893      1.00000
     69     -13.4526      1.00000
     70     -13.3795      1.00000
     71     -13.3676      1.00000
     72     -13.3477      1.00000
     73     -13.3150      1.00000
     74     -13.3084      1.00000
     75     -13.2327      1.00000
     76     -13.1790      1.00000
     77     -13.0316      1.00000
     78     -12.9969      1.00000
     79     -12.7105      1.00000
     80     -12.6307      1.00000
     81     -12.5406      1.00000
     82     -12.5357      1.00000
     83     -12.4377      1.00000
     84     -12.4006      1.00000
     85     -12.1986      1.00000
     86     -11.9511      1.00000
     87     -11.9154      1.00000
     88     -11.8185      1.00000
     89     -11.6458      1.00000
     90     -11.6107      1.00000
     91     -11.3015      1.00000
     92     -11.2120      1.00000
     93     -11.1197      1.00000
     94     -11.1125      1.00000
     95     -11.0747      1.00000
     96     -10.9616      1.00000
     97     -10.9088      1.00000
     98     -10.8888      1.00000
     99     -10.8116      1.00000
    100     -10.7741      1.00000
    101     -10.7160      1.00000
    102     -10.7028      1.00000
    103     -10.6824      1.00000
    104     -10.6521      1.00000
    105     -10.6375      1.00000
    106     -10.6029      1.00000
    107     -10.5258      1.00000
    108     -10.5123      1.00000
    109     -10.5093      1.00000
    110     -10.4926      1.00000
    111     -10.4809      1.00000
    112     -10.4726      1.00000
    113     -10.4578      1.00000
    114     -10.4010      1.00000
    115     -10.3874      1.00000
    116     -10.2911      1.00000
    117     -10.2603      1.00000
    118     -10.2143      1.00000
    119     -10.1587      1.00000
    120     -10.0616      1.00000
    121      -9.9724      1.00000
    122      -9.9043      1.00000
    123      -9.7569      1.00000
    124      -9.7231      1.00000
    125      -9.7182      1.00000
    126      -9.5838      1.00000
    127      -9.5071      1.00000
    128      -9.5022      1.00000
    129      -9.4391      1.00000
    130      -9.4022      1.00000
    131      -9.3415      1.00000
    132      -9.2669      1.00000
    133      -9.2271      1.00000
    134      -9.1667      1.00000
    135      -9.0936      1.00000
    136      -9.0248      1.00000
    137      -8.9766      1.00000
    138      -8.9736      1.00000
    139      -8.9625      1.00000
    140      -8.9226      1.00000
    141      -8.8981      1.00000
    142      -8.8905      1.00000
    143      -8.8769      1.00000
    144      -8.8693      1.00000
    145      -8.8582      1.00000
    146      -8.8313      1.00000
    147      -8.8224      1.00000
    148      -8.7796      1.00000
    149      -8.7057      1.00000
    150      -8.5831      1.00000
    151      -8.5409      1.00000
    152      -8.4726      1.00000
    153      -8.4360      1.00000
    154      -8.4104      1.00000
    155      -8.0326      1.00000
    156      -7.8447      1.00000
    157      -7.8276      1.00000
    158      -7.7465      1.00000
    159      -7.6739      1.00000
    160      -7.6458      1.00000
    161      -7.6039      1.00000
    162      -7.5730      1.00000
    163      -7.5490      1.00000
    164      -7.4951      1.00000
    165      -7.4221      1.00000
    166      -7.3421      1.00000
    167      -7.3315      1.00000
    168      -7.3054      1.00000
    169      -7.2721      1.00000
    170      -7.2634      1.00000
    171      -7.0557      1.00000
    172      -7.0078      1.00000
    173      -6.9991      1.00000
    174      -6.9346      1.00000
    175      -6.8746      1.00000
    176      -6.7278      1.00000
    177      -6.6797      1.00000
    178      -6.6625      1.00000
    179      -6.5457      1.00000
    180      -6.5250      1.00000
    181      -6.3073      1.00000
    182      -6.2405      1.00000
    183      -6.0600      1.00000
    184      -5.9949      1.00000
    185      -5.9539      1.00000
    186      -5.9196      1.00000
    187      -5.8492      1.00000
    188      -5.7442      1.00000
    189      -5.7384      1.00000
    190      -5.6202      1.00000
    191      -5.6015      1.00000
    192      -5.5927      1.00000
    193      -5.5637      1.00000
    194      -1.7760      0.00000
    195      -0.7973      0.00000
    196      -0.1183      0.00000
    197       0.2957      0.00000
    198       0.7196      0.00000
    199       0.7474      0.00000
    200       0.7789      0.00000
    201       0.8711      0.00000
    202       0.9823      0.00000
    203       1.0490      0.00000
    204       1.1013      0.00000
    205       1.1130      0.00000
    206       1.1854      0.00000
    207       1.2115      0.00000
    208       1.2562      0.00000
    209       1.2809      0.00000
    210       1.3026      0.00000
    211       1.3256      0.00000
    212       1.3956      0.00000
    213       1.4093      0.00000
    214       1.4419      0.00000
    215       1.4704      0.00000
    216       1.4945      0.00000
    217       1.4960      0.00000
    218       1.5146      0.00000
    219       1.5382      0.00000
    220       1.5896      0.00000
    221       1.7828      0.00000
    222       1.8540      0.00000
    223       2.0533      0.00000
    224       2.1396      0.00000
    225       2.2943      0.00000
    226       2.3484      0.00000
    227       2.3845      0.00000
    228       2.4272      0.00000
    229       2.4584      0.00000
    230       2.4791      0.00000
    231       2.5046      0.00000
    232       2.5122      0.00000
    233       2.5474      0.00000
    234       2.5735      0.00000
    235       2.6106      0.00000
    236       2.6629      0.00000
    237       2.6866      0.00000
    238       2.7206      0.00000
    239       2.7363      0.00000
    240       2.7488      0.00000
    241       2.7710      0.00000
    242       2.7835      0.00000
    243       2.7918      0.00000
    244       2.8030      0.00000
    245       2.8212      0.00000
    246       2.8528      0.00000
    247       3.0520      0.00000
    248       3.0736      0.00000
    249       3.0946      0.00000
    250       3.1082      0.00000
    251       3.1468      0.00000
    252       3.1607      0.00000
 Fermi energy:        -5.3163260010

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9517      1.00000
      2     -24.6472      1.00000
      3     -24.4713      1.00000
      4     -24.3534      1.00000
      5     -24.2988      1.00000
      6     -24.2164      1.00000
      7     -24.2003      1.00000
      8     -23.7829      1.00000
      9     -23.7146      1.00000
     10     -23.6226      1.00000
     11     -23.5565      1.00000
     12     -23.4674      1.00000
     13     -23.3564      1.00000
     14     -23.2423      1.00000
     15     -23.2167      1.00000
     16     -23.1736      1.00000
     17     -23.1722      1.00000
     18     -23.0599      1.00000
     19     -22.9286      1.00000
     20     -22.5408      1.00000
     21     -22.4186      1.00000
     22     -22.3695      1.00000
     23     -22.2995      1.00000
     24     -22.2199      1.00000
     25     -22.1718      1.00000
     26     -22.1216      1.00000
     27     -22.1107      1.00000
     28     -22.0841      1.00000
     29     -22.0816      1.00000
     30     -21.9192      1.00000
     31     -21.8747      1.00000
     32     -21.8534      1.00000
     33     -21.6543      1.00000
     34     -21.6498      1.00000
     35     -21.6392      1.00000
     36     -21.6272      1.00000
     37     -21.5873      1.00000
     38     -21.2818      1.00000
     39     -21.2772      1.00000
     40     -21.2654      1.00000
     41     -21.2500      1.00000
     42     -21.0701      1.00000
     43     -21.0637      1.00000
     44     -20.9746      1.00000
     45     -20.9709      1.00000
     46     -20.9617      1.00000
     47     -20.9581      1.00000
     48     -16.9024      1.00000
     49     -15.2577      1.00000
     50     -15.0527      1.00000
     51     -14.9284      1.00000
     52     -14.9124      1.00000
     53     -14.8219      1.00000
     54     -14.7728      1.00000
     55     -14.6830      1.00000
     56     -14.6441      1.00000
     57     -14.6305      1.00000
     58     -14.5879      1.00000
     59     -14.5305      1.00000
     60     -14.5252      1.00000
     61     -14.2932      1.00000
     62     -14.1632      1.00000
     63     -14.0992      1.00000
     64     -14.0250      1.00000
     65     -13.9588      1.00000
     66     -13.8671      1.00000
     67     -13.7328      1.00000
     68     -13.4893      1.00000
     69     -13.4526      1.00000
     70     -13.3795      1.00000
     71     -13.3676      1.00000
     72     -13.3477      1.00000
     73     -13.3150      1.00000
     74     -13.3084      1.00000
     75     -13.2327      1.00000
     76     -13.1790      1.00000
     77     -13.0316      1.00000
     78     -12.9969      1.00000
     79     -12.7105      1.00000
     80     -12.6307      1.00000
     81     -12.5406      1.00000
     82     -12.5357      1.00000
     83     -12.4377      1.00000
     84     -12.4006      1.00000
     85     -12.1986      1.00000
     86     -11.9511      1.00000
     87     -11.9154      1.00000
     88     -11.8185      1.00000
     89     -11.6458      1.00000
     90     -11.6107      1.00000
     91     -11.3015      1.00000
     92     -11.2120      1.00000
     93     -11.1197      1.00000
     94     -11.1125      1.00000
     95     -11.0747      1.00000
     96     -10.9616      1.00000
     97     -10.9088      1.00000
     98     -10.8888      1.00000
     99     -10.8116      1.00000
    100     -10.7741      1.00000
    101     -10.7160      1.00000
    102     -10.7028      1.00000
    103     -10.6824      1.00000
    104     -10.6521      1.00000
    105     -10.6375      1.00000
    106     -10.6029      1.00000
    107     -10.5258      1.00000
    108     -10.5123      1.00000
    109     -10.5093      1.00000
    110     -10.4926      1.00000
    111     -10.4809      1.00000
    112     -10.4726      1.00000
    113     -10.4578      1.00000
    114     -10.4010      1.00000
    115     -10.3874      1.00000
    116     -10.2911      1.00000
    117     -10.2603      1.00000
    118     -10.2143      1.00000
    119     -10.1587      1.00000
    120     -10.0616      1.00000
    121      -9.9724      1.00000
    122      -9.9043      1.00000
    123      -9.7569      1.00000
    124      -9.7231      1.00000
    125      -9.7182      1.00000
    126      -9.5838      1.00000
    127      -9.5071      1.00000
    128      -9.5022      1.00000
    129      -9.4391      1.00000
    130      -9.4022      1.00000
    131      -9.3415      1.00000
    132      -9.2669      1.00000
    133      -9.2271      1.00000
    134      -9.1667      1.00000
    135      -9.0936      1.00000
    136      -9.0248      1.00000
    137      -8.9766      1.00000
    138      -8.9736      1.00000
    139      -8.9625      1.00000
    140      -8.9226      1.00000
    141      -8.8981      1.00000
    142      -8.8905      1.00000
    143      -8.8769      1.00000
    144      -8.8693      1.00000
    145      -8.8582      1.00000
    146      -8.8313      1.00000
    147      -8.8224      1.00000
    148      -8.7796      1.00000
    149      -8.7057      1.00000
    150      -8.5831      1.00000
    151      -8.5409      1.00000
    152      -8.4726      1.00000
    153      -8.4360      1.00000
    154      -8.4104      1.00000
    155      -8.0326      1.00000
    156      -7.8447      1.00000
    157      -7.8276      1.00000
    158      -7.7465      1.00000
    159      -7.6739      1.00000
    160      -7.6458      1.00000
    161      -7.6039      1.00000
    162      -7.5730      1.00000
    163      -7.5490      1.00000
    164      -7.4951      1.00000
    165      -7.4221      1.00000
    166      -7.3421      1.00000
    167      -7.3315      1.00000
    168      -7.3054      1.00000
    169      -7.2721      1.00000
    170      -7.2634      1.00000
    171      -7.0557      1.00000
    172      -7.0078      1.00000
    173      -6.9991      1.00000
    174      -6.9346      1.00000
    175      -6.8746      1.00000
    176      -6.7278      1.00000
    177      -6.6797      1.00000
    178      -6.6625      1.00000
    179      -6.5457      1.00000
    180      -6.5250      1.00000
    181      -6.3073      1.00000
    182      -6.2405      1.00000
    183      -6.0600      1.00000
    184      -5.9949      1.00000
    185      -5.9539      1.00000
    186      -5.9196      1.00000
    187      -5.8492      1.00000
    188      -5.7442      1.00000
    189      -5.7384      1.00000
    190      -5.6202      1.00000
    191      -5.6015      1.00000
    192      -5.5927      1.00000
    193      -5.5637      1.00000
    194      -1.7760      0.00000
    195      -0.7973      0.00000
    196      -0.1183      0.00000
    197       0.2957      0.00000
    198       0.7196      0.00000
    199       0.7474      0.00000
    200       0.7789      0.00000
    201       0.8711      0.00000
    202       0.9823      0.00000
    203       1.0490      0.00000
    204       1.1013      0.00000
    205       1.1130      0.00000
    206       1.1854      0.00000
    207       1.2115      0.00000
    208       1.2562      0.00000
    209       1.2809      0.00000
    210       1.3026      0.00000
    211       1.3256      0.00000
    212       1.3956      0.00000
    213       1.4093      0.00000
    214       1.4419      0.00000
    215       1.4704      0.00000
    216       1.4945      0.00000
    217       1.4960      0.00000
    218       1.5146      0.00000
    219       1.5382      0.00000
    220       1.5896      0.00000
    221       1.7828      0.00000
    222       1.8540      0.00000
    223       2.0533      0.00000
    224       2.1396      0.00000
    225       2.2943      0.00000
    226       2.3484      0.00000
    227       2.3845      0.00000
    228       2.4272      0.00000
    229       2.4584      0.00000
    230       2.4791      0.00000
    231       2.5046      0.00000
    232       2.5122      0.00000
    233       2.5474      0.00000
    234       2.5735      0.00000
    235       2.6106      0.00000
    236       2.6629      0.00000
    237       2.6866      0.00000
    238       2.7206      0.00000
    239       2.7363      0.00000
    240       2.7488      0.00000
    241       2.7710      0.00000
    242       2.7835      0.00000
    243       2.7918      0.00000
    244       2.8030      0.00000
    245       2.8212      0.00000
    246       2.8528      0.00000
    247       3.0520      0.00000
    248       3.0736      0.00000
    249       3.0946      0.00000
    250       3.1082      0.00000
    251       3.1468      0.00000
    252       3.1607      0.00000

