
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4996      1.00000
      2     -24.1605      1.00000
      3     -24.1148      1.00000
      4     -24.0916      1.00000
      5     -24.0742      1.00000
      6     -24.0702      1.00000
      7     -23.8966      1.00000
      8     -23.3519      1.00000
      9     -23.3071      1.00000
     10     -23.2921      1.00000
     11     -23.2721      1.00000
     12     -23.2417      1.00000
     13     -23.1235      1.00000
     14     -22.9553      1.00000
     15     -22.9286      1.00000
     16     -22.9146      1.00000
     17     -22.8930      1.00000
     18     -22.8365      1.00000
     19     -22.5387      1.00000
     20     -22.0178      1.00000
     21     -21.9489      1.00000
     22     -21.9376      1.00000
     23     -21.9112      1.00000
     24     -21.9067      1.00000
     25     -21.8978      1.00000
     26     -21.8905      1.00000
     27     -21.8880      1.00000
     28     -21.8846      1.00000
     29     -21.8263      1.00000
     30     -21.7253      1.00000
     31     -21.5907      1.00000
     32     -21.5253      1.00000
     33     -21.4629      1.00000
     34     -21.4579      1.00000
     35     -21.4248      1.00000
     36     -21.3185      1.00000
     37     -21.1308      1.00000
     38     -21.0197      1.00000
     39     -20.9928      1.00000
     40     -20.9773      1.00000
     41     -20.9604      1.00000
     42     -20.8873      1.00000
     43     -20.8753      1.00000
     44     -20.8036      1.00000
     45     -20.7933      1.00000
     46     -20.7822      1.00000
     47     -20.7521      1.00000
     48     -20.2632      1.00000
     49     -19.2798      1.00000
     50     -14.6412      1.00000
     51     -14.6019      1.00000
     52     -14.5970      1.00000
     53     -14.5509      1.00000
     54     -14.5201      1.00000
     55     -14.4970      1.00000
     56     -14.4217      1.00000
     57     -14.3925      1.00000
     58     -14.3472      1.00000
     59     -14.3174      1.00000
     60     -14.2915      1.00000
     61     -14.1034      1.00000
     62     -13.8391      1.00000
     63     -13.8234      1.00000
     64     -13.7852      1.00000
     65     -13.6991      1.00000
     66     -13.6475      1.00000
     67     -13.6124      1.00000
     68     -13.2154      1.00000
     69     -13.1256      1.00000
     70     -13.1079      1.00000
     71     -13.1003      1.00000
     72     -13.0857      1.00000
     73     -13.0738      1.00000
     74     -13.0689      1.00000
