
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.0311      1.00000
      2     -26.1415      1.00000
      3     -25.9570      1.00000
      4     -24.7391      1.00000
      5     -24.4372      1.00000
      6     -24.3339      1.00000
      7     -24.2769      1.00000
      8     -24.2061      1.00000
      9     -24.1707      1.00000
     10     -24.0652      1.00000
     11     -23.7274      1.00000
     12     -23.6636      1.00000
     13     -23.5843      1.00000
     14     -23.3615      1.00000
     15     -23.3334      1.00000
     16     -23.2575      1.00000
     17     -23.2178      1.00000
     18     -23.1786      1.00000
     19     -23.1545      1.00000
     20     -22.9505      1.00000
     21     -22.9300      1.00000
     22     -22.6063      1.00000
     23     -22.4996      1.00000
     24     -22.4289      1.00000
     25     -22.4004      1.00000
     26     -22.1836      1.00000
     27     -22.1744      1.00000
     28     -22.0947      1.00000
     29     -22.0821      1.00000
     30     -22.0710      1.00000
     31     -22.0324      1.00000
     32     -21.8512      1.00000
     33     -21.8367      1.00000
     34     -21.8179      1.00000
     35     -21.6136      1.00000
     36     -21.6004      1.00000
     37     -21.5914      1.00000
     38     -21.5832      1.00000
     39     -21.5285      1.00000
     40     -21.2519      1.00000
     41     -21.2358      1.00000
     42     -21.2007      1.00000
     43     -21.1963      1.00000
     44     -21.0207      1.00000
     45     -21.0189      1.00000
     46     -20.9470      1.00000
     47     -20.9248      1.00000
     48     -20.8894      1.00000
     49     -20.8889      1.00000
     50     -19.3987      1.00000
     51     -16.6169      1.00000
     52     -16.5804      1.00000
     53     -15.5034      1.00000
     54     -15.4025      1.00000
     55     -15.3462      1.00000
     56     -14.9178      1.00000
     57     -14.8268      1.00000
     58     -14.6517      1.00000
     59     -14.6083      1.00000
     60     -14.6017      1.00000
     61     -14.5861      1.00000
     62     -14.4634      1.00000
     63     -14.4400      1.00000
     64     -14.3753      1.00000
     65     -14.2811      1.00000
     66     -14.2144      1.00000
     67     -14.1740      1.00000
     68     -13.8929      1.00000
     69     -13.8880      1.00000
     70     -13.8381      1.00000
     71     -13.7059      1.00000
     72     -13.6585      1.00000
     73     -13.6066      1.00000
     74     -13.5978      1.00000
     75     -13.4412      1.00000
     76     -13.3452      1.00000
     77     -13.3116      1.00000
     78     -13.3090      1.00000
     79     -13.2914      1.00000
     80     -13.2736      1.00000
     81     -13.1742      1.00000
     82     -12.9587      1.00000
     83     -12.9028      1.00000
     84     -12.8467      1.00000
     85     -12.5461      1.00000
     86     -12.5166      1.00000
     87     -12.3471      1.00000
     88     -12.3437      1.00000
     89     -12.0466      1.00000
     90     -11.9830      1.00000
     91     -11.9759      1.00000
     92     -11.8669      1.00000
     93     -11.7701      1.00000
     94     -11.7079      1.00000
     95     -11.6651      1.00000
     96     -11.4210      1.00000
     97     -11.3169      1.00000
     98     -11.1463      1.00000
     99     -11.1353      1.00000
    100     -11.0553      1.00000
    101     -11.0469      1.00000
    102     -11.0060      1.00000
    103     -10.9785      1.00000
    104     -10.8924      1.00000
    105     -10.8886      1.00000
    106     -10.7965      1.00000
    107     -10.7596      1.00000
    108     -10.7339      1.00000
    109     -10.6857      1.00000
    110     -10.6741      1.00000
    111     -10.5997      1.00000
    112     -10.5855      1.00000
    113     -10.5592      1.00000
    114     -10.4918      1.00000
    115     -10.4739      1.00000
    116     -10.4657      1.00000
    117     -10.4365      1.00000
    118     -10.4204      1.00000
    119     -10.4121      1.00000
    120     -10.4072      1.00000
    121     -10.3666      1.00000
    122     -10.2487      1.00000
    123     -10.1414      1.00000
    124     -10.0711      1.00000
    125     -10.0352      1.00000
    126      -9.8559      1.00000
    127      -9.8389      1.00000
    128      -9.8228      1.00000
    129      -9.7178      1.00000
    130      -9.7056      1.00000
    131      -9.6988      1.00000
    132      -9.6112      1.00000
    133      -9.5956      1.00000
    134      -9.4879      1.00000
    135      -9.4791      1.00000
    136      -9.4092      1.00000
    137      -9.3495      1.00000
    138      -9.2278      1.00000
    139      -9.2167      1.00000
    140      -9.0793      1.00000
    141      -9.0160      1.00000
    142      -8.9775      1.00000
    143      -8.9250      1.00000
    144      -8.9220      1.00000
    145      -8.9004      1.00000
    146      -8.8845      1.00000
    147      -8.8535      1.00000
    148      -8.8423      1.00000
    149      -8.8206      1.00000
    150      -8.8187      1.00000
    151      -8.8032      1.00000
    152      -8.8019      1.00000
    153      -8.7852      1.00000
    154      -8.7807      1.00000
    155      -8.5789      1.00000
    156      -8.5240      1.00000
    157      -8.5072      1.00000
    158      -8.3894      1.00000
    159      -8.3512      1.00000
    160      -8.3239      1.00000
    161      -8.1395      1.00000
    162      -7.7783      1.00000
    163      -7.7157      1.00000
    164      -7.7090      1.00000
    165      -7.6420      1.00000
    166      -7.5845      1.00000
    167      -7.5537      1.00000
    168      -7.5327      1.00000
    169      -7.5175      1.00000
    170      -7.4597      1.00000
    171      -7.3907      1.00000
    172      -7.3572      1.00000
    173      -7.2778      1.00000
    174      -7.2506      1.00000
    175      -7.2444      1.00000
    176      -7.2220      1.00000
    177      -6.9097      1.00000
    178      -6.9075      1.00000
    179      -6.8776      1.00000
    180      -6.8546      1.00000
    181      -6.8454      1.00000
    182      -6.6214      1.00000
    183      -6.5935      1.00000
    184      -6.5848      1.00000
    185      -6.3930      1.00000
    186      -6.3415      1.00000
    187      -6.0771      1.00000
    188      -5.9831      1.00000
    189      -5.9628      1.00000
    190      -5.9393      1.00000
    191      -5.7238      1.00000
    192      -5.6959      1.00000
    193      -5.6954      1.00000
    194      -5.5789      1.00000
    195      -5.5212      1.00000
    196      -5.5173      1.00000
    197      -5.3638      1.00000
    198      -3.2679      0.00000
    199      -0.2389      1.00000
    200       0.1048      0.00000
    201       0.1637      0.00000
    202       0.3796      0.00000
    203       0.4406      0.00000
    204       0.5661      0.00000
    205       0.8333      0.00000
    206       0.8545      0.00000
    207       1.1383      0.00000
    208       1.1927      0.00000
    209       1.2051      0.00000
    210       1.2238      0.00000
    211       1.2349      0.00000
    212       1.2836      0.00000
    213       1.3014      0.00000
    214       1.3087      0.00000
    215       1.3175      0.00000
    216       1.3940      0.00000
    217       1.4105      0.00000
    218       1.4231      0.00000
    219       1.5058      0.00000
    220       1.5145      0.00000
    221       1.5466      0.00000
    222       1.5693      0.00000
    223       1.6111      0.00000
    224       1.6614      0.00000
    225       1.7014      0.00000
    226       2.0428      0.00000
    227       2.1316      0.00000
    228       2.2323      0.00000
    229       2.2897      0.00000
    230       2.3815      0.00000
    231       2.3964      0.00000
    232       2.4359      0.00000
    233       2.4977      0.00000
    234       2.5023      0.00000
    235       2.5314      0.00000
    236       2.5669      0.00000
    237       2.5789      0.00000
    238       2.5830      0.00000
    239       2.6418      0.00000
    240       2.7079      0.00000
    241       2.7123      0.00000
    242       2.7441      0.00000
    243       2.7835      0.00000
    244       2.8086      0.00000
    245       2.8170      0.00000
    246       2.8334      0.00000
    247       2.8376      0.00000
    248       2.8573      0.00000
    249       2.8708      0.00000
    250       2.9116      0.00000
    251       3.0866      0.00000
    252       3.3085      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.7489      1.00000
      2     -25.9450      1.00000
      3     -25.7354      1.00000
      4     -24.7180      1.00000
      5     -24.4122      1.00000
      6     -24.3211      1.00000
      7     -24.2589      1.00000
      8     -24.1888      1.00000
      9     -24.1682      1.00000
     10     -24.0383      1.00000
     11     -23.7128      1.00000
     12     -23.6485      1.00000
     13     -23.5689      1.00000
     14     -23.3491      1.00000
     15     -23.3207      1.00000
     16     -23.2456      1.00000
     17     -23.2093      1.00000
     18     -23.1689      1.00000
     19     -23.1460      1.00000
     20     -22.9323      1.00000
     21     -22.9161      1.00000
     22     -22.5821      1.00000
     23     -22.4845      1.00000
     24     -22.4113      1.00000
     25     -22.3839      1.00000
     26     -22.1729      1.00000
     27     -22.1626      1.00000
     28     -22.0868      1.00000
     29     -22.0781      1.00000
     30     -22.0635      1.00000
     31     -22.0289      1.00000
     32     -21.8431      1.00000
     33     -21.8330      1.00000
     34     -21.8134      1.00000
     35     -21.6088      1.00000
     36     -21.5946      1.00000
     37     -21.5857      1.00000
     38     -21.5755      1.00000
     39     -21.5197      1.00000
     40     -21.2475      1.00000
     41     -21.2316      1.00000
     42     -21.1967      1.00000
     43     -21.1900      1.00000
     44     -21.0185      1.00000
     45     -21.0170      1.00000
     46     -20.9419      1.00000
     47     -20.9226      1.00000
     48     -20.8872      1.00000
     49     -20.8859      1.00000
     50     -19.0154      1.00000
     51     -16.5148      1.00000
     52     -16.4786      1.00000
     53     -15.4260      1.00000
     54     -15.3367      1.00000
     55     -15.2545      1.00000
     56     -14.8880      1.00000
     57     -14.8047      1.00000
     58     -14.6466      1.00000
     59     -14.6022      1.00000
     60     -14.5890      1.00000
     61     -14.5817      1.00000
     62     -14.4548      1.00000
     63     -14.4261      1.00000
     64     -14.3412      1.00000
     65     -14.2639      1.00000
     66     -14.1956      1.00000
     67     -14.1619      1.00000
     68     -13.8745      1.00000
     69     -13.8189      1.00000
     70     -13.6872      1.00000
     71     -13.6306      1.00000
     72     -13.5984      1.00000
     73     -13.5868      1.00000
     74     -13.4326      1.00000
     75     -13.3401      1.00000
     76     -13.3060      1.00000
     77     -13.3021      1.00000
     78     -13.2824      1.00000
     79     -13.2590      1.00000
     80     -13.1656      1.00000
     81     -13.0300      1.00000
     82     -12.9444      1.00000
     83     -12.8835      1.00000
     84     -12.8222      1.00000
     85     -12.5400      1.00000
     86     -12.5124      1.00000
     87     -12.3327      1.00000
     88     -12.3279      1.00000
     89     -12.0224      1.00000
     90     -11.9745      1.00000
     91     -11.9623      1.00000
     92     -11.8622      1.00000
     93     -11.7481      1.00000
     94     -11.6915      1.00000
     95     -11.6403      1.00000
     96     -11.1337      1.00000
     97     -11.1225      1.00000
     98     -11.0463      1.00000
     99     -11.0341      1.00000
    100     -11.0047      1.00000
    101     -10.9979      1.00000
    102     -10.9684      1.00000
    103     -10.8874      1.00000
    104     -10.8818      1.00000
    105     -10.7954      1.00000
    106     -10.7912      1.00000
    107     -10.7506      1.00000
    108     -10.7204      1.00000
    109     -10.6709      1.00000
    110     -10.6641      1.00000
    111     -10.5950      1.00000
    112     -10.5799      1.00000
    113     -10.5457      1.00000
    114     -10.4892      1.00000
    115     -10.4707      1.00000
    116     -10.4614      1.00000
    117     -10.4334      1.00000
    118     -10.4148      1.00000
    119     -10.4049      1.00000
    120     -10.3531      1.00000
    121     -10.3348      1.00000
    122     -10.2428      1.00000
    123      -9.9268      1.00000
    124      -9.8774      1.00000
    125      -9.8525      1.00000
    126      -9.8357      1.00000
    127      -9.8165      1.00000
    128      -9.7997      1.00000
    129      -9.7136      1.00000
    130      -9.7022      1.00000
    131      -9.6977      1.00000
    132      -9.5978      1.00000
    133      -9.5839      1.00000
    134      -9.4799      1.00000
    135      -9.4249      1.00000
    136      -9.3407      1.00000
    137      -9.2886      1.00000
    138      -9.2212      1.00000
    139      -9.2084      1.00000
    140      -9.0696      1.00000
    141      -8.9347      1.00000
    142      -8.9216      1.00000
    143      -8.9077      1.00000
    144      -8.8962      1.00000
    145      -8.8797      1.00000
    146      -8.8754      1.00000
    147      -8.8508      1.00000
    148      -8.8196      1.00000
    149      -8.7983      1.00000
    150      -8.7920      1.00000
    151      -8.7852      1.00000
    152      -8.7839      1.00000
    153      -8.7785      1.00000
    154      -8.7668      1.00000
    155      -8.5598      1.00000
    156      -8.5210      1.00000
    157      -8.5049      1.00000
    158      -8.3881      1.00000
    159      -8.1922      1.00000
    160      -8.1270      1.00000
    161      -7.9246      1.00000
    162      -7.7752      1.00000
    163      -7.7114      1.00000
