
 Fermi energy:        -2.7538728083

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.7192      1.00000
      2     -24.6318      1.00000
      3     -24.4548      1.00000
      4     -24.2108      1.00000
      5     -23.9861      1.00000
      6     -23.9077      1.00000
      7     -23.8409      1.00000
      8     -23.6863      1.00000
      9     -23.6276      1.00000
     10     -23.4082      1.00000
     11     -23.2355      1.00000
     12     -23.1442      1.00000
     13     -23.0355      1.00000
     14     -22.9746      1.00000
     15     -22.9209      1.00000
     16     -22.8664      1.00000
     17     -22.6788      1.00000
     18     -22.6088      1.00000
     19     -22.5597      1.00000
     20     -22.3628      1.00000
     21     -22.2764      1.00000
     22     -22.0170      1.00000
     23     -21.9646      1.00000
     24     -21.8982      1.00000
     25     -21.7923      1.00000
     26     -21.7506      1.00000
     27     -21.7246      1.00000
     28     -21.6757      1.00000
     29     -21.6274      1.00000
     30     -21.5704      1.00000
     31     -21.4952      1.00000
     32     -21.3911      1.00000
     33     -21.3102      1.00000
     34     -21.2174      1.00000
     35     -21.2152      1.00000
     36     -21.1609      1.00000
     37     -21.1320      1.00000
     38     -20.9885      1.00000
     39     -20.8594      1.00000
     40     -20.8456      1.00000
     41     -20.7840      1.00000
     42     -20.6893      1.00000
     43     -20.6405      1.00000
     44     -20.6180      1.00000
     45     -20.5419      1.00000
     46     -20.4388      1.00000
     47     -20.2474      1.00000
     48     -19.2428      1.00000
     49     -18.9642      1.00000
     50     -17.3235      1.00000
     51     -15.2527      1.00000
     52     -15.1306      1.00000
     53     -14.6591      1.00000
     54     -14.4935      1.00000
     55     -14.4621      1.00000
     56     -14.3580      1.00000
     57     -14.2750      1.00000
     58     -14.2434      1.00000
     59     -14.1960      1.00000
     60     -14.1173      1.00000
     61     -14.0347      1.00000
     62     -13.8897      1.00000
     63     -13.7860      1.00000
     64     -13.7714      1.00000
     65     -13.6739      1.00000
     66     -13.5690      1.00000
     67     -13.4915      1.00000
     68     -13.2887      1.00000
     69     -13.2475      1.00000
     70     -13.1512      1.00000
     71     -13.1065      1.00000
     72     -13.0042      1.00000
     73     -12.9199      1.00000
     74     -12.8870      1.00000
     75     -12.8735      1.00000
     76     -12.7732      1.00000
     77     -12.7510      1.00000
     78     -12.5746      1.00000
     79     -12.5437      1.00000
     80     -12.4295      1.00000
     81     -12.3995      1.00000
     82     -12.3208      1.00000
     83     -12.1834      1.00000
     84     -12.0806      1.00000
     85     -12.0435      1.00000
     86     -11.8617      1.00000
     87     -11.6782      1.00000
     88     -11.5149      1.00000
     89     -11.4384      1.00000
     90     -11.3873      1.00000
     91     -11.3081      1.00000
     92     -11.1465      1.00000
     93     -11.0279      1.00000
     94     -10.8456      1.00000
     95     -10.7251      1.00000
     96     -10.6135      1.00000
     97     -10.6004      1.00000
     98     -10.5892      1.00000
     99     -10.5807      1.00000
    100     -10.4934      1.00000
    101     -10.4436      1.00000
    102     -10.3427      1.00000
    103     -10.3168      1.00000
    104     -10.3045      1.00000
    105     -10.2749      1.00000
    106     -10.2218      1.00000
    107     -10.2163      1.00000
    108     -10.2070      1.00000
    109     -10.1586      1.00000
    110     -10.1397      1.00000
    111     -10.0574      1.00000
    112     -10.0474      1.00000
    113     -10.0342      1.00000
    114      -9.9908      1.00000
    115      -9.9581      1.00000
    116      -9.9342      1.00000
    117      -9.9100      1.00000
    118      -9.8547      1.00000
    119      -9.8502      1.00000
    120      -9.6517      1.00000
    121      -9.5714      1.00000
    122      -9.4975      1.00000
    123      -9.4312      1.00000
    124      -9.3840      1.00000
    125      -9.3369      1.00000
    126      -9.3337      1.00000
    127      -9.2299      1.00000
    128      -9.1897      1.00000
    129      -9.1826      1.00000
    130      -9.0240      1.00000
    131      -8.9843      1.00000
    132      -8.9613      1.00000
