
 Fermi energy:        -4.1511322099

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3492      1.00000
      2     -24.0115      1.00000
      3     -23.9661      1.00000
      4     -23.9325      1.00000
      5     -23.9302      1.00000
      6     -23.8971      1.00000
      7     -23.7867      1.00000
      8     -23.1779      1.00000
      9     -23.1627      1.00000
     10     -23.1477      1.00000
     11     -23.1414      1.00000
     12     -23.0863      1.00000
     13     -22.9804      1.00000
     14     -22.7913      1.00000
     15     -22.7815      1.00000
     16     -22.7639      1.00000
     17     -22.7631      1.00000
     18     -22.6713      1.00000
     19     -22.4494      1.00000
     20     -21.8688      1.00000
     21     -21.8129      1.00000
     22     -21.7989      1.00000
     23     -21.7578      1.00000
     24     -21.7507      1.00000
     25     -21.7401      1.00000
     26     -21.7383      1.00000
     27     -21.7301      1.00000
     28     -21.7180      1.00000
     29     -21.6653      1.00000
     30     -21.5778      1.00000
     31     -21.4327      1.00000
     32     -21.3842      1.00000
     33     -21.3325      1.00000
     34     -21.2827      1.00000
     35     -21.2458      1.00000
     36     -21.1600      1.00000
     37     -21.0197      1.00000
     38     -20.8894      1.00000
     39     -20.8239      1.00000
     40     -20.8167      1.00000
     41     -20.8076      1.00000
     42     -20.7510      1.00000
     43     -20.7156      1.00000
     44     -20.6623      1.00000
     45     -20.6183      1.00000
     46     -20.5990      1.00000
     47     -20.5426      1.00000
     48     -20.4790      1.00000
     49     -18.6581      1.00000
     50     -14.4867      1.00000
     51     -14.4706      1.00000
     52     -14.4393      1.00000
     53     -14.4022      1.00000
     54     -14.3847      1.00000
     55     -14.3396      1.00000
     56     -14.2363      1.00000
     57     -14.2332      1.00000
     58     -14.2005      1.00000
     59     -14.1691      1.00000
     60     -14.1552      1.00000
     61     -13.9651      1.00000
     62     -13.7141      1.00000
     63     -13.6605      1.00000
     64     -13.6028      1.00000
     65     -13.5711      1.00000
     66     -13.5374      1.00000
     67     -13.5063      1.00000
     68     -13.0125      1.00000
     69     -12.9814      1.00000
     70     -12.9483      1.00000
     71     -12.9312      1.00000
     72     -12.9195      1.00000
     73     -12.8901      1.00000
     74     -12.8830      1.00000
     75     -12.8539      1.00000
     76     -12.8306      1.00000
     77     -12.7426      1.00000
     78     -12.7326      1.00000
     79     -12.5829      1.00000
     80     -12.2455      1.00000
     81     -12.1901      1.00000
     82     -12.1774      1.00000
     83     -12.1120      1.00000
     84     -12.0512      1.00000
     85     -11.8234      1.00000
     86     -11.4497      1.00000
     87     -11.4159      1.00000
     88     -11.3659      1.00000
     89     -11.3303      1.00000
