
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9688      1.00000
      2     -24.5751      1.00000
      3     -24.5675      1.00000
      4     -24.5612      1.00000
      5     -24.4757      1.00000
      6     -24.4608      1.00000
      7     -24.3772      1.00000
      8     -23.7696      1.00000
      9     -23.7407      1.00000
     10     -23.7313      1.00000
     11     -23.6934      1.00000
     12     -23.6752      1.00000
     13     -23.6467      1.00000
     14     -23.3785      1.00000
     15     -23.3571      1.00000
     16     -23.3232      1.00000
     17     -23.3139      1.00000
     18     -23.2581      1.00000
     19     -23.1704      1.00000
     20     -22.4425      1.00000
     21     -22.4351      1.00000
     22     -22.4175      1.00000
     23     -22.4043      1.00000
     24     -22.3340      1.00000
     25     -22.3197      1.00000
     26     -22.3021      1.00000
     27     -22.2857      1.00000
     28     -22.2671      1.00000
     29     -22.2552      1.00000
     30     -22.2137      1.00000
     31     -22.0913      1.00000
     32     -21.9208      1.00000
     33     -21.9102      1.00000
     34     -21.8685      1.00000
     35     -21.8512      1.00000
     36     -21.8193      1.00000
     37     -21.6693      1.00000
     38     -21.4848      1.00000
     39     -21.4785      1.00000
     40     -21.3881      1.00000
     41     -21.3822      1.00000
     42     -21.3658      1.00000
     43     -21.2913      1.00000
     44     -21.2837      1.00000
     45     -21.2358      1.00000
     46     -21.1690      1.00000
     47     -21.1098      1.00000
     48     -21.0975      1.00000
     49     -20.3033      1.00000
     50     -15.0608      1.00000
     51     -15.0590      1.00000
     52     -15.0349      1.00000
     53     -15.0111      1.00000
     54     -15.0014      1.00000
     55     -14.9825      1.00000
     56     -14.8469      1.00000
     57     -14.8360      1.00000
     58     -14.8174      1.00000
     59     -14.7447      1.00000
     60     -14.7397      1.00000
     61     -14.7096      1.00000
     62     -14.3020      1.00000
     63     -14.2994      1.00000
     64     -14.2275      1.00000
     65     -14.2087      1.00000
     66     -14.1801      1.00000
     67     -14.1353      1.00000
     68     -13.6135      1.00000
     69     -13.6046      1.00000
     70     -13.5336      1.00000
     71     -13.5033      1.00000
     72     -13.4985      1.00000
     73     -13.4776      1.00000
     74     -13.4564      1.00000
     75     -13.4460      1.00000
     76     -13.4338      1.00000
     77     -13.4230      1.00000
     78     -13.4111      1.00000
     79     -13.2430      1.00000
     80     -12.8526      1.00000
     81     -12.8421      1.00000
     82     -12.7713      1.00000
     83     -12.7677      1.00000
     84     -12.6770      1.00000
     85     -12.6596      1.00000
     86     -12.0667      1.00000
     87     -12.0456      1.00000
     88     -11.9576      1.00000
     89     -11.9440      1.00000
     90     -11.9303      1.00000
     91     -11.8477      1.00000
     92     -11.2835      1.00000
     93     -11.2711      1.00000
     94     -11.2437      1.00000
     95     -11.2177      1.00000
     96     -11.1430      1.00000
     97     -11.1361      1.00000
     98     -11.1241      1.00000
     99     -10.9667      1.00000
    100     -10.8371      1.00000
    101     -10.8329      1.00000
    102     -10.8039      1.00000
    103     -10.7713      1.00000
    104     -10.7424      1.00000
    105     -10.7372      1.00000
    106     -10.7358      1.00000
    107     -10.7215      1.00000
    108     -10.6989      1.00000
    109     -10.6959      1.00000
    110     -10.6587      1.00000
    111     -10.6543      1.00000
    112     -10.6173      1.00000
    113     -10.6133      1.00000
    114     -10.6081      1.00000
    115     -10.5933      1.00000
    116     -10.5768      1.00000
    117     -10.5569      1.00000
    118     -10.5482      1.00000
    119     -10.5283      1.00000
    120     -10.4670      1.00000
    121     -10.4570      1.00000
    122     -10.3652      1.00000
    123     -10.0008      1.00000
    124      -9.9883      1.00000
    125      -9.9787      1.00000
    126      -9.8631      1.00000
    127      -9.8390      1.00000
    128      -9.8163      1.00000
    129      -9.5817      1.00000
    130      -9.5446      1.00000
    131      -9.5172      1.00000
    132      -9.4907      1.00000
    133      -9.4626      1.00000
    134      -9.4426      1.00000
