
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3264      1.00000
      2     -23.9964      1.00000
      3     -23.9240      1.00000
      4     -23.9159      1.00000
      5     -23.9006      1.00000
      6     -23.8902      1.00000
      7     -23.7840      1.00000
      8     -23.1757      1.00000
      9     -23.1314      1.00000
     10     -23.1187      1.00000
     11     -23.1061      1.00000
     12     -23.0912      1.00000
     13     -22.9731      1.00000
     14     -22.7684      1.00000
     15     -22.7671      1.00000
     16     -22.7447      1.00000
     17     -22.7313      1.00000
     18     -22.7153      1.00000
     19     -22.4915      1.00000
     20     -21.8086      1.00000
     21     -21.7981      1.00000
     22     -21.7761      1.00000
     23     -21.7438      1.00000
     24     -21.7351      1.00000
     25     -21.7295      1.00000
     26     -21.7268      1.00000
     27     -21.7189      1.00000
     28     -21.7029      1.00000
     29     -21.6949      1.00000
     30     -21.6935      1.00000
     31     -21.4757      1.00000
     32     -21.3570      1.00000
     33     -21.3103      1.00000
     34     -21.2938      1.00000
     35     -21.2909      1.00000
     36     -21.2763      1.00000
     37     -21.0373      1.00000
     38     -20.8554      1.00000
     39     -20.8275      1.00000
     40     -20.8224      1.00000
     41     -20.7924      1.00000
     42     -20.7911      1.00000
     43     -20.6994      1.00000
     44     -20.6785      1.00000
     45     -20.6248      1.00000
     46     -20.6200      1.00000
     47     -20.6038      1.00000
     48     -20.6022      1.00000
     49     -14.6930      1.00000
     50     -14.4794      1.00000
     51     -14.4524      1.00000
     52     -14.4190      1.00000
     53     -14.4129      1.00000
     54     -14.3400      1.00000
     55     -14.3387      1.00000
     56     -14.2454      1.00000
     57     -14.2063      1.00000
     58     -14.1973      1.00000
     59     -14.0974      1.00000
     60     -14.0881      1.00000
     61     -13.9843      1.00000
     62     -13.6899      1.00000
     63     -13.6512      1.00000
     64     -13.6419      1.00000
     65     -13.5542      1.00000
     66     -13.4937      1.00000
     67     -13.4632      1.00000
     68     -12.9730      1.00000
     69     -12.9518      1.00000
     70     -12.9244      1.00000
     71     -12.9153      1.00000
     72     -12.9079      1.00000
     73     -12.9069      1.00000
     74     -12.9045      1.00000
     75     -12.8918      1.00000
     76     -12.8886      1.00000
     77     -12.6922      1.00000
     78     -12.6275      1.00000
     79     -12.4904      1.00000
     80     -12.2043      1.00000
     81     -12.1946      1.00000
     82     -12.1766      1.00000
     83     -12.1735      1.00000
     84     -12.0159      1.00000
     85     -11.9524      1.00000
     86     -11.4575      1.00000
     87     -11.4374      1.00000
     88     -11.4165      1.00000
     89     -11.4066      1.00000
     90     -11.2644      1.00000
     91     -11.2251      1.00000
     92     -10.6629      1.00000
     93     -10.6544      1.00000
     94     -10.6363      1.00000
     95     -10.6318      1.00000
     96     -10.5657      1.00000
     97     -10.5390      1.00000
     98     -10.5053      1.00000
     99     -10.3316      1.00000
    100     -10.2678      1.00000
    101     -10.2603      1.00000
    102     -10.2049      1.00000
    103     -10.1975      1.00000
    104     -10.1920      1.00000
    105     -10.1513      1.00000
    106     -10.1485      1.00000
    107     -10.1460      1.00000
    108     -10.1379      1.00000
    109     -10.1137      1.00000
    110     -10.1107      1.00000
    111     -10.1053      1.00000
    112     -10.0948      1.00000
    113     -10.0922      1.00000
    114     -10.0893      1.00000
    115     -10.0280      1.00000
    116     -10.0272      1.00000
    117     -10.0180      1.00000
    118     -10.0050      1.00000
    119      -9.9853      1.00000
    120      -9.6930      1.00000
    121      -9.6584      1.00000
    122      -9.6274      1.00000
    123      -9.4434      1.00000
    124      -9.3773      1.00000
    125      -9.3702      1.00000
    126      -9.3456      1.00000
    127      -9.1454      1.00000
    128      -9.1352      1.00000
    129      -8.9903      1.00000
    130      -8.9458      1.00000
    131      -8.9248      1.00000
    132      -8.9217      1.00000
    133      -8.9057      1.00000
    134      -8.7194      1.00000
    135      -8.7103      1.00000
    136      -8.6695      1.00000
    137      -8.6426      1.00000
    138      -8.6341      1.00000
    139      -8.5593      1.00000
    140      -8.5583      1.00000
    141      -8.5487      1.00000
    142      -8.5450      1.00000
    143      -8.5313      1.00000
    144      -8.5181      1.00000
    145      -8.4578      1.00000
    146      -8.4292      1.00000
    147      -8.3973      1.00000
    148      -8.3836      1.00000
    149      -8.3716      1.00000
    150      -8.2937      1.00000
    151      -8.2624      1.00000
    152      -8.2315      1.00000
    153      -8.1021      1.00000
    154      -8.1011      1.00000
    155      -8.0839      1.00000
    156      -7.9468      1.00000
    157      -7.5102      1.00000
    158      -7.4717      1.00000
    159      -7.2694      1.00000
    160      -7.2324      1.00000
    161      -7.2177      1.00000
    162      -7.1878      1.00000
    163      -7.1826      1.00000
    164      -7.0219      1.00000
    165      -6.9634      1.00000
    166      -6.9576      1.00000
    167      -6.9512      1.00000
    168      -6.9478      1.00000
    169      -6.9429      1.00000
    170      -6.9349      1.00000
    171      -6.9258      1.00000
    172      -6.9114      1.00000
    173      -6.9065      1.00000
    174      -6.5802      1.00000
    175      -6.5533      1.00000
    176      -6.5458      1.00000
    177      -6.3779      1.00000
