
 Fermi energy:        -1.9807015939

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.8239      1.00000
      2     -24.5259      1.00000
      3     -24.3112      1.00000
      4     -24.0634      1.00000
      5     -24.0133      1.00000
      6     -23.9617      1.00000
      7     -23.9160      1.00000
      8     -23.6763      1.00000
      9     -23.5577      1.00000
     10     -23.3177      1.00000
     11     -23.2669      1.00000
     12     -23.1501      1.00000
     13     -23.0792      1.00000
     14     -23.0093      1.00000
     15     -22.9541      1.00000
     16     -22.8860      1.00000
     17     -22.8152      1.00000
     18     -22.7543      1.00000
     19     -22.6616      1.00000
     20     -22.3509      1.00000
     21     -22.1816      1.00000
     22     -21.9787      1.00000
     23     -21.9023      1.00000
     24     -21.8317      1.00000
     25     -21.7977      1.00000
     26     -21.7707      1.00000
     27     -21.7652      1.00000
     28     -21.7462      1.00000
     29     -21.7052      1.00000
     30     -21.6694      1.00000
     31     -21.5251      1.00000
     32     -21.5036      1.00000
     33     -21.4141      1.00000
     34     -21.3417      1.00000
     35     -21.3004      1.00000
     36     -21.2652      1.00000
     37     -21.1295      1.00000
     38     -20.9980      1.00000
     39     -20.9143      1.00000
     40     -20.8475      1.00000
     41     -20.8285      1.00000
     42     -20.7859      1.00000
     43     -20.7481      1.00000
     44     -20.7016      1.00000
     45     -20.6843      1.00000
     46     -20.6395      1.00000
     47     -20.5975      1.00000
     48     -20.4873      1.00000
     49     -18.1739      1.00000
     50     -16.7886      1.00000
     51     -14.7335      1.00000
     52     -14.6737      1.00000
     53     -14.5870      1.00000
     54     -14.4778      1.00000
     55     -14.4332      1.00000
     56     -14.4089      1.00000
     57     -14.3521      1.00000
     58     -14.3107      1.00000
     59     -14.2040      1.00000
     60     -14.1704      1.00000
     61     -14.0199      1.00000
     62     -13.9767      1.00000
     63     -13.9030      1.00000
     64     -13.7707      1.00000
     65     -13.7511      1.00000
     66     -13.5904      1.00000
     67     -13.5016      1.00000
     68     -13.3745      1.00000
     69     -13.2706      1.00000
     70     -13.1912      1.00000
     71     -13.0884      1.00000
     72     -13.0034      1.00000
     73     -12.9914      1.00000
     74     -12.9232      1.00000
     75     -12.9094      1.00000
     76     -12.8825      1.00000
     77     -12.8310      1.00000
     78     -12.7438      1.00000
     79     -12.6696      1.00000
     80     -12.3735      1.00000
     81     -12.3222      1.00000
     82     -12.2400      1.00000
     83     -12.1758      1.00000
     84     -12.1539      1.00000
