
 Fermi energy:        -0.4522528318

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.0230      1.00000
      2     -24.6740      1.00000
      3     -24.6227      1.00000
      4     -24.4755      1.00000
      5     -24.4063      1.00000
      6     -24.3893      1.00000
      7     -24.2740      1.00000
      8     -23.7674      1.00000
      9     -23.7554      1.00000
     10     -23.7040      1.00000
     11     -23.6875      1.00000
     12     -23.6540      1.00000
     13     -23.5144      1.00000
     14     -23.3234      1.00000
     15     -23.2994      1.00000
     16     -23.2760      1.00000
     17     -23.2222      1.00000
     18     -23.2121      1.00000
     19     -23.1254      1.00000
     20     -22.6591      1.00000
     21     -22.4763      1.00000
     22     -22.4252      1.00000
     23     -22.3167      1.00000
     24     -22.2945      1.00000
     25     -22.2678      1.00000
     26     -22.2243      1.00000
     27     -22.1810      1.00000
     28     -22.1727      1.00000
     29     -22.1679      1.00000
     30     -22.1363      1.00000
     31     -22.0136      1.00000
     32     -21.9092      1.00000
     33     -21.9030      1.00000
     34     -21.7751      1.00000
     35     -21.6710      1.00000
     36     -21.6689      1.00000
     37     -21.6625      1.00000
     38     -21.5731      1.00000
     39     -21.3261      1.00000
     40     -21.3166      1.00000
     41     -21.2670      1.00000
     42     -21.2540      1.00000
     43     -21.1421      1.00000
     44     -21.1301      1.00000
     45     -21.0174      1.00000
     46     -21.0145      1.00000
     47     -20.9778      1.00000
     48     -20.9662      1.00000
     49     -20.6686      1.00000
     50     -15.2460      1.00000
     51     -15.1968      1.00000
     52     -15.0904      1.00000
     53     -15.0457      1.00000
     54     -15.0294      1.00000
     55     -14.9591      1.00000
     56     -14.7532      1.00000
     57     -14.7414      1.00000
     58     -14.7160      1.00000
     59     -14.6440      1.00000
     60     -14.6365      1.00000
     61     -14.5663      1.00000
     62     -14.2636      1.00000
     63     -14.2528      1.00000
     64     -14.1988      1.00000
     65     -14.1773      1.00000
     66     -14.1112      1.00000
     67     -14.0122      1.00000
     68     -13.6407      1.00000
     69     -13.6241      1.00000
     70     -13.5062      1.00000
     71     -13.4955      1.00000
     72     -13.4680      1.00000
     73     -13.3508      1.00000
     74     -13.3407      1.00000
     75     -13.3355      1.00000
     76     -13.3304      1.00000
     77     -13.2946      1.00000
     78     -13.2804      1.00000
     79     -13.1965      1.00000
     80     -12.8928      1.00000
     81     -12.8844      1.00000
     82     -12.6512      1.00000
     83     -12.6359      1.00000
     84     -12.6244      1.00000
     85     -12.5906      1.00000
     86     -12.0352      1.00000
     87     -12.0135      1.00000
     88     -11.8994      1.00000
     89     -11.8951      1.00000
     90     -11.8753      1.00000
     91     -11.7656      1.00000
     92     -11.3293      1.00000
     93     -11.3286      1.00000
     94     -11.2343      1.00000
     95     -11.2181      1.00000
     96     -11.1218      1.00000
     97     -11.0591      1.00000
     98     -11.0160      1.00000
     99     -11.0109      1.00000
    100     -10.8562      1.00000
    101     -10.8164      1.00000
    102     -10.7589      1.00000
    103     -10.7350      1.00000
    104     -10.7190      1.00000
    105     -10.7165      1.00000
    106     -10.7066      1.00000
    107     -10.6664      1.00000
    108     -10.6619      1.00000
    109     -10.6557      1.00000
    110     -10.5688      1.00000
    111     -10.5470      1.00000
    112     -10.5402      1.00000
    113     -10.5347      1.00000
    114     -10.5323      1.00000
    115     -10.5194      1.00000
    116     -10.5088      1.00000
    117     -10.4664      1.00000
    118     -10.4526      1.00000
    119     -10.3520      1.00000
    120     -10.3297      1.00000
    121     -10.2721      1.00000
    122     -10.2643      1.00000
    123      -9.8339      1.00000
    124      -9.8322      1.00000
    125      -9.8292      1.00000
    126      -9.7818      1.00000
    127      -9.7772      1.00000
    128      -9.7589      1.00000
    129      -9.5672      1.00000
    130      -9.5255      1.00000
    131      -9.5250      1.00000
    132      -9.4782      1.00000
