
 Fermi energy:         0.6673164733

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3526      1.00000
      2     -23.9506      1.00000
      3     -23.9498      1.00000
      4     -23.9264      1.00000
      5     -23.9164      1.00000
      6     -23.9157      1.00000
      7     -23.9099      1.00000
      8     -23.1429      1.00000
      9     -23.1427      1.00000
     10     -23.1297      1.00000
     11     -23.1059      1.00000
     12     -23.1055      1.00000
     13     -23.0876      1.00000
     14     -22.7701      1.00000
     15     -22.7695      1.00000
     16     -22.7413      1.00000
     17     -22.7305      1.00000
     18     -22.7292      1.00000
     19     -22.7074      1.00000
     20     -21.7781      1.00000
     21     -21.7781      1.00000
     22     -21.7669      1.00000
     23     -21.7410      1.00000
     24     -21.7407      1.00000
     25     -21.7270      1.00000
     26     -21.7236      1.00000
     27     -21.7228      1.00000
     28     -21.7228      1.00000
     29     -21.7013      1.00000
     30     -21.7010      1.00000
     31     -21.6650      1.00000
     32     -21.3264      1.00000
     33     -21.3250      1.00000
     34     -21.3124      1.00000
     35     -21.2714      1.00000
     36     -21.2703      1.00000
     37     -21.2652      1.00000
     38     -20.8231      1.00000
     39     -20.8227      1.00000
     40     -20.7984      1.00000
     41     -20.7927      1.00000
     42     -20.7849      1.00000
     43     -20.7841      1.00000
     44     -20.6550      1.00000
     45     -20.6550      1.00000
     46     -20.6183      1.00000
     47     -20.6096      1.00000
     48     -20.5922      1.00000
     49     -20.5921      1.00000
     50     -14.4476      1.00000
     51     -14.4302      1.00000
     52     -14.4300      1.00000
     53     -14.4112      1.00000
     54     -14.4108      1.00000
     55     -14.4107      1.00000
     56     -14.2446      1.00000
     57     -14.2443      1.00000
     58     -14.2300      1.00000
     59     -14.1947      1.00000
     60     -14.1733      1.00000
     61     -14.1732      1.00000
     62     -13.6721      1.00000
     63     -13.6395      1.00000
     64     -13.6389      1.00000
     65     -13.6379      1.00000
     66     -13.6196      1.00000
     67     -13.6194      1.00000
     68     -12.9794      1.00000
     69     -12.9793      1.00000
     70     -12.9425      1.00000
     71     -12.9223      1.00000
     72     -12.9103      1.00000
     73     -12.9101      1.00000
     74     -12.8967      1.00000
     75     -12.8931      1.00000
     76     -12.8929      1.00000
     77     -12.8873      1.00000
     78     -12.8354      1.00000
     79     -12.8349      1.00000
     80     -12.3279      1.00000
     81     -12.1759      1.00000
     82     -12.1758      1.00000
     83     -12.1475      1.00000
     84     -12.1475      1.00000
     85     -12.1384      1.00000
     86     -11.4572      1.00000
     87     -11.4571      1.00000
     88     -11.4167      1.00000
     89     -11.3951      1.00000
     90     -11.3685      1.00000
     91     -11.3683      1.00000
     92     -10.7445      1.00000
     93     -10.6725      1.00000
     94     -10.6164      1.00000
     95     -10.6160      1.00000
     96     -10.5816      1.00000
     97     -10.5815      1.00000
     98     -10.5619      1.00000
     99     -10.2452      1.00000
    100     -10.2443      1.00000
    101     -10.2362      1.00000
    102     -10.2353      1.00000
    103     -10.1901      1.00000
    104     -10.1811      1.00000
    105     -10.1807      1.00000
    106     -10.1638      1.00000
    107     -10.1634      1.00000
    108     -10.1408      1.00000
    109     -10.1254      1.00000
    110     -10.1138      1.00000
    111     -10.1135      1.00000
    112     -10.0869      1.00000
    113     -10.0728      1.00000
    114     -10.0725      1.00000
    115     -10.0629      1.00000
    116     -10.0621      1.00000
    117     -10.0302      1.00000
    118     -10.0295      1.00000
    119     -10.0161      1.00000
    120      -9.9109      1.00000
    121      -9.9108      1.00000
    122      -9.8425      1.00000
    123      -9.3824      1.00000
    124      -9.3818      1.00000
    125      -9.3816      1.00000
    126      -9.3778      1.00000
    127      -9.3182      1.00000
    128      -9.3181      1.00000
    129      -8.9864      1.00000
    130      -8.9857      1.00000
    131      -8.9326      1.00000
    132      -8.9092      1.00000
    133      -8.9088      1.00000
    134      -8.8809      1.00000
    135      -8.7325      1.00000
    136      -8.6875      1.00000
    137      -8.6874      1.00000
    138      -8.5854      1.00000
    139      -8.5654      1.00000
    140      -8.5644      1.00000
    141      -8.5219      1.00000
    142      -8.5202      1.00000
    143      -8.5199      1.00000
    144      -8.5071      1.00000
    145      -8.5028      1.00000
    146      -8.5025      1.00000
    147      -8.4019      1.00000
    148      -8.4013      1.00000
    149      -8.3874      1.00000
    150      -8.3370      1.00000
    151      -8.3112      1.00000
    152      -8.3103      1.00000
    153      -8.1492      1.00000
    154      -8.1490      1.00000
    155      -8.0700      1.00000
    156      -8.0456      1.00000
    157      -8.0014      1.00000
    158      -8.0004      1.00000
    159      -7.2926      1.00000
    160      -7.2925      1.00000
    161      -7.2576      1.00000
    162      -7.1618      1.00000
    163      -7.1612      1.00000
    164      -7.1608      1.00000
    165      -6.9737      1.00000
    166      -6.9533      1.00000
    167      -6.9532      1.00000
    168      -6.9405      1.00000
    169      -6.9402      1.00000
    170      -6.9373      1.00000
    171      -6.9347      1.00000
    172      -6.9344      1.00000
    173      -6.9343      1.00000
    174      -6.9138      1.00000
    175      -6.8594      1.00000
    176      -6.8580      1.00000
    177      -6.4642      1.00000
    178      -6.4636      1.00000
    179      -6.3228      1.00000
    180      -6.2909      1.00000
    181      -6.2903      1.00000
    182      -6.2789      1.00000
    183      -6.2692      1.00000
    184      -6.2687      1.00000
    185      -5.5636      1.00000
    186      -5.5633      1.00000
    187      -5.5481      1.00000
    188      -5.5443      1.00000
    189      -5.5407      1.00000
    190      -5.5398      1.00000
    191      -5.3214      1.00000
    192      -5.3213      1.00000
    193      -5.2744      1.00000
    194      -5.2626      1.00000
    195      -5.2386      1.00000
    196      -5.2385      1.00000
    197      -3.3344      1.00000
    198       0.4295      1.00000
    199       1.0576      0.00000
    200       1.0728      0.00000
    201       1.0731      0.00000
    202       1.0802      0.00000
    203       1.0806      0.00000
    204       1.2014      0.00000
    205       1.2537      0.00000
    206       1.2543      0.00000
    207       1.2975      0.00000
    208       1.3008      0.00000
    209       1.3475      0.00000
    210       1.3480      0.00000
    211       1.3937      0.00000
    212       1.4731      0.00000
    213       1.5226      0.00000
    214       1.5653      0.00000
    215       1.5654      0.00000
    216       1.6002      0.00000
    217       1.6015      0.00000
    218       1.7221      0.00000
    219       1.7475      0.00000
    220       1.7557      0.00000
    221       1.8114      0.00000
    222       1.8276      0.00000
    223       1.8284      0.00000
    224       1.8778      0.00000
    225       1.8780      0.00000
    226       1.9024      0.00000
    227       1.9174      0.00000
    228       1.9192      0.00000
    229       1.9195      0.00000
    230       1.9998      0.00000
    231       2.0099      0.00000
    232       2.0162      0.00000
    233       2.0469      0.00000
    234       2.0579      0.00000
    235       2.2704      0.00000
    236       2.4108      0.00000
    237       2.4187      0.00000
    238       2.4273      0.00000
    239       2.4387      0.00000
    240       2.4518      0.00000
    241       2.5146      0.00000
    242       2.5725      0.00000
    243       2.8819      0.00000
    244       2.9682      0.00000
    245       3.0733      0.00000
    246       3.1078      0.00000
    247       3.1139      0.00000
    248       3.1239      0.00000
    249       3.1399      0.00000
    250       3.1541      0.00000
    251       3.1609      0.00000
