
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8956      1.00000
      2     -24.5882      1.00000
      3     -24.4759      1.00000
      4     -24.4744      1.00000
      5     -24.4368      1.00000
      6     -24.3553      1.00000
      7     -24.3466      1.00000
      8     -23.7285      1.00000
      9     -23.6934      1.00000
     10     -23.6621      1.00000
     11     -23.6189      1.00000
     12     -23.5823      1.00000
     13     -23.5750      1.00000
     14     -23.3099      1.00000
     15     -23.2937      1.00000
     16     -23.2719      1.00000
     17     -23.2437      1.00000
     18     -23.1976      1.00000
     19     -23.1874      1.00000
     20     -22.4225      1.00000
     21     -22.3563      1.00000
     22     -22.3430      1.00000
     23     -22.2915      1.00000
     24     -22.2728      1.00000
     25     -22.2327      1.00000
     26     -22.2240      1.00000
     27     -22.2120      1.00000
     28     -22.2031      1.00000
     29     -22.1822      1.00000
     30     -22.1528      1.00000
     31     -22.1425      1.00000
     32     -21.8484      1.00000
     33     -21.8290      1.00000
     34     -21.8249      1.00000
     35     -21.7761      1.00000
     36     -21.7598      1.00000
     37     -21.7445      1.00000
     38     -21.3872      1.00000
     39     -21.3596      1.00000
     40     -21.3434      1.00000
     41     -21.2931      1.00000
     42     -21.2796      1.00000
     43     -21.2691      1.00000
     44     -21.1565      1.00000
     45     -21.1394      1.00000
     46     -21.1370      1.00000
     47     -21.1170      1.00000
     48     -21.0320      1.00000
     49     -21.0270      1.00000
     50     -15.0387      1.00000
     51     -14.9626      1.00000
     52     -14.9513      1.00000
     53     -14.9316      1.00000
     54     -14.8967      1.00000
     55     -14.8838      1.00000
     56     -14.7875      1.00000
     57     -14.7811      1.00000
     58     -14.7615      1.00000
     59     -14.6603      1.00000
     60     -14.6374      1.00000
     61     -14.6332      1.00000
     62     -14.1695      1.00000
     63     -14.1645      1.00000
     64     -14.1480      1.00000
     65     -14.1336      1.00000
     66     -14.1146      1.00000
     67     -14.1029      1.00000
     68     -13.5346      1.00000
     69     -13.5121      1.00000
     70     -13.5033      1.00000
     71     -13.4341      1.00000
     72     -13.4014      1.00000
     73     -13.3859      1.00000
     74     -13.3748      1.00000
     75     -13.3736      1.00000
     76     -13.3535      1.00000
     77     -13.3522      1.00000
     78     -13.3488      1.00000
     79     -13.3368      1.00000
     80     -12.8563      1.00000
     81     -12.6945      1.00000
     82     -12.6726      1.00000
     83     -12.6513      1.00000
     84     -12.6339      1.00000
     85     -12.6307      1.00000
     86     -11.9885      1.00000
     87     -11.9850      1.00000
     88     -11.9303      1.00000
     89     -11.8634      1.00000
     90     -11.8619      1.00000
     91     -11.8590      1.00000
     92     -11.3060      1.00000
     93     -11.1829      1.00000
     94     -11.1394      1.00000
     95     -11.1235      1.00000
     96     -11.0798      1.00000
     97     -11.0655      1.00000
     98     -11.0598      1.00000
     99     -10.8123      1.00000
    100     -10.7934      1.00000
    101     -10.7877      1.00000
    102     -10.7764      1.00000
    103     -10.6948      1.00000
    104     -10.6810      1.00000
    105     -10.6645      1.00000
    106     -10.6572      1.00000
    107     -10.6509      1.00000
    108     -10.6461      1.00000
    109     -10.6369      1.00000
    110     -10.6095      1.00000
    111     -10.5922      1.00000
    112     -10.5649      1.00000
    113     -10.5628      1.00000
    114     -10.5519      1.00000
    115     -10.5329      1.00000
    116     -10.5252      1.00000
    117     -10.5231      1.00000
    118     -10.5150      1.00000
    119     -10.4806      1.00000
    120     -10.4305      1.00000
    121     -10.3955      1.00000
    122     -10.3651      1.00000
    123      -9.9226      1.00000
    124      -9.8903      1.00000
    125      -9.8790      1.00000
    126      -9.8498      1.00000
    127      -9.8233      1.00000
    128      -9.7905      1.00000
    129      -9.5123      1.00000
    130      -9.4998      1.00000
    131      -9.4814      1.00000
    132      -9.4164      1.00000
    133      -9.3810      1.00000
    134      -9.3593      1.00000
    135      -9.2491      1.00000
    136      -9.2290      1.00000
    137      -9.2214      1.00000
    138      -9.1103      1.00000
    139      -9.0733      1.00000
    140      -9.0724      1.00000
