
 Fermi energy:        -2.6676133916

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2528      1.00000
      2     -23.9043      1.00000
      3     -23.8733      1.00000
      4     -23.8583      1.00000
      5     -23.8294      1.00000
      6     -23.7520      1.00000
      7     -23.6255      1.00000
      8     -23.0695      1.00000
      9     -23.0516      1.00000
     10     -23.0299      1.00000
     11     -23.0122      1.00000
     12     -22.9670      1.00000
     13     -22.8780      1.00000
     14     -22.6742      1.00000
     15     -22.6710      1.00000
     16     -22.6626      1.00000
     17     -22.6221      1.00000
     18     -22.5363      1.00000
     19     -22.3328      1.00000
     20     -21.6998      1.00000
     21     -21.6764      1.00000
     22     -21.6690      1.00000
     23     -21.6672      1.00000
     24     -21.6552      1.00000
     25     -21.6373      1.00000
     26     -21.6293      1.00000
     27     -21.6186      1.00000
     28     -21.6125      1.00000
     29     -21.5511      1.00000
     30     -21.5070      1.00000
     31     -21.3627      1.00000
     32     -21.2240      1.00000
     33     -21.2168      1.00000
     34     -21.2082      1.00000
     35     -21.1501      1.00000
     36     -21.1347      1.00000
     37     -20.9332      1.00000
     38     -20.7530      1.00000
     39     -20.7144      1.00000
     40     -20.7019      1.00000
     41     -20.7008      1.00000
     42     -20.6665      1.00000
     43     -20.6151      1.00000
     44     -20.5499      1.00000
     45     -20.5401      1.00000
     46     -20.5274      1.00000
     47     -20.5118      1.00000
     48     -20.3550      1.00000
     49     -14.4443      1.00000
     50     -14.3676      1.00000
     51     -14.3459      1.00000
     52     -14.3275      1.00000
     53     -14.3093      1.00000
     54     -14.2690      1.00000
     55     -14.2590      1.00000
     56     -14.1215      1.00000
     57     -14.1190      1.00000
     58     -14.0762      1.00000
     59     -13.9862      1.00000
     60     -13.9139      1.00000
     61     -13.7863      1.00000
     62     -13.5722      1.00000
     63     -13.5448      1.00000
     64     -13.4850      1.00000
     65     -13.4380      1.00000
     66     -13.4077      1.00000
     67     -13.3315      1.00000
     68     -12.8627      1.00000
     69     -12.8336      1.00000
     70     -12.8314      1.00000
     71     -12.8252      1.00000
     72     -12.8198      1.00000
     73     -12.8082      1.00000
     74     -12.7950      1.00000
     75     -12.7365      1.00000
     76     -12.6754      1.00000
     77     -12.5763      1.00000
     78     -12.4488      1.00000
     79     -12.1053      1.00000
     80     -12.0979      1.00000
     81     -12.0445      1.00000
     82     -12.0246      1.00000
     83     -11.8750      1.00000
     84     -11.8377      1.00000
     85     -11.7917      1.00000
     86     -11.3271      1.00000
     87     -11.2779      1.00000
     88     -11.2493      1.00000
     89     -11.1403      1.00000
     90     -11.0762      1.00000
     91     -10.7169      1.00000
     92     -10.5506      1.00000
     93     -10.5148      1.00000
     94     -10.5089      1.00000
     95     -10.4898      1.00000
     96     -10.4771      1.00000
     97     -10.4440      1.00000
     98     -10.3443      1.00000
     99     -10.1173      1.00000
    100     -10.1018      1.00000
    101     -10.0960      1.00000
    102     -10.0697      1.00000
    103     -10.0646      1.00000
    104     -10.0410      1.00000
    105     -10.0300      1.00000
    106     -10.0255      1.00000
    107     -10.0140      1.00000
    108     -10.0128      1.00000
    109     -10.0042      1.00000
    110     -10.0024      1.00000
    111      -9.9839      1.00000
    112      -9.9724      1.00000
    113      -9.9588      1.00000
    114      -9.9580      1.00000
    115      -9.9472      1.00000
    116      -9.8846      1.00000
    117      -9.8782      1.00000
    118      -9.7572      1.00000
    119      -9.7186      1.00000
    120      -9.5552      1.00000
    121      -9.4803      1.00000
    122      -9.3182      1.00000
    123      -9.3169      1.00000
    124      -9.2372      1.00000
    125      -9.1366      1.00000
    126      -8.9580      1.00000
    127      -8.8817      1.00000
    128      -8.8757      1.00000
    129      -8.8542      1.00000
    130      -8.8355      1.00000
    131      -8.8317      1.00000
    132      -8.7728      1.00000
    133      -8.6598      1.00000
    134      -8.6350      1.00000
    135      -8.5388      1.00000
    136      -8.5328      1.00000
    137      -8.5275      1.00000
    138      -8.4988      1.00000
    139      -8.4801      1.00000
    140      -8.4486      1.00000
    141      -8.4124      1.00000
    142      -8.4053      1.00000
    143      -8.3557      1.00000
    144      -8.3283      1.00000
    145      -8.3277      1.00000
    146      -8.3215      1.00000
    147      -8.2891      1.00000
    148      -8.2467      1.00000
    149      -8.2182      1.00000
    150      -8.1430      1.00000
    151      -8.0416      1.00000
    152      -8.0216      1.00000
    153      -7.9979      1.00000
    154      -7.9685      1.00000
    155      -7.7469      1.00000
    156      -7.3766      1.00000
    157      -7.2933      1.00000
    158      -7.1194      1.00000
    159      -7.1033      1.00000
    160      -7.0818      1.00000
    161      -6.9782      1.00000
    162      -6.9090      1.00000
    163      -6.8985      1.00000
    164      -6.8935      1.00000
    165      -6.8867      1.00000
    166      -6.8825      1.00000
    167      -6.8725      1.00000
    168      -6.8622      1.00000
    169      -6.8606      1.00000
    170      -6.8485      1.00000
    171      -6.8393      1.00000
    172      -6.8343      1.00000
    173      -6.7271      1.00000
    174      -6.5117      1.00000
    175      -6.4831      1.00000
    176      -6.4052      1.00000
    177      -6.2332      1.00000
    178      -6.2282      1.00000
    179      -6.2221      1.00000
    180      -6.1948      1.00000
    181      -6.1676      1.00000
    182      -5.8681      1.00000
    183      -5.4948      1.00000
    184      -5.4659      1.00000
    185      -5.4590      1.00000
    186      -5.4477      1.00000
    187      -5.4321      1.00000
    188      -5.3187      1.00000
    189      -5.1977      1.00000
    190      -5.1917      1.00000
    191      -5.1874      1.00000
    192      -5.1651      1.00000
    193      -5.1531      1.00000
    194      -2.9296      1.00000
    195      -1.0493      0.00000
    196       0.8681      0.00000
    197       1.3739      0.00000
    198       1.3879      0.00000
    199       1.4209      0.00000
    200       1.4287      0.00000
    201       1.4397      0.00000
    202       1.4478      0.00000
    203       1.4938      0.00000
    204       1.5431      0.00000
    205       1.5451      0.00000
    206       1.5513      0.00000
    207       1.5563      0.00000
    208       1.5573      0.00000
    209       1.6285      0.00000
    210       1.6294      0.00000
    211       1.6752      0.00000
    212       1.6902      0.00000
    213       1.7310      0.00000
    214       1.7786      0.00000
    215       1.8036      0.00000
    216       1.8974      0.00000
    217       1.9455      0.00000
    218       1.9884      0.00000
    219       1.9950      0.00000
    220       2.0393      0.00000
    221       2.1322      0.00000
    222       2.3066      0.00000
    223       2.4001      0.00000
    224       2.4099      0.00000
    225       2.4127      0.00000
    226       2.4239      0.00000
    227       2.4340      0.00000
    228       2.4370      0.00000
    229       2.4418      0.00000
    230       2.7632      0.00000
    231       2.7703      0.00000
    232       2.7860      0.00000
    233       2.8213      0.00000
    234       2.8291      0.00000
