
 Fermi energy:        -2.3159317702

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2829      1.00000
      2     -23.9485      1.00000
      3     -23.8952      1.00000
      4     -23.8779      1.00000
      5     -23.8566      1.00000
      6     -23.8133      1.00000
      7     -23.7029      1.00000
      8     -23.1233      1.00000
      9     -23.0863      1.00000
     10     -23.0714      1.00000
     11     -23.0518      1.00000
     12     -23.0084      1.00000
     13     -22.9228      1.00000
     14     -22.7171      1.00000
     15     -22.7118      1.00000
     16     -22.7026      1.00000
     17     -22.6680      1.00000
     18     -22.6047      1.00000
     19     -22.4279      1.00000
     20     -21.7461      1.00000
     21     -21.7221      1.00000
     22     -21.7114      1.00000
     23     -21.6967      1.00000
     24     -21.6947      1.00000
     25     -21.6846      1.00000
     26     -21.6834      1.00000
     27     -21.6630      1.00000
     28     -21.6440      1.00000
     29     -21.6084      1.00000
     30     -21.5698      1.00000
     31     -21.4087      1.00000
     32     -21.2824      1.00000
     33     -21.2486      1.00000
     34     -21.2423      1.00000
     35     -21.2153      1.00000
     36     -21.1961      1.00000
     37     -20.9871      1.00000
     38     -20.7827      1.00000
     39     -20.7747      1.00000
     40     -20.7523      1.00000
     41     -20.7384      1.00000
     42     -20.7043      1.00000
     43     -20.6476      1.00000
     44     -20.5894      1.00000
     45     -20.5758      1.00000
     46     -20.5592      1.00000
     47     -20.5505      1.00000
     48     -20.4504      1.00000
     49     -14.6740      1.00000
     50     -14.4057      1.00000
     51     -14.4017      1.00000
     52     -14.3649      1.00000
     53     -14.3321      1.00000
     54     -14.3135      1.00000
     55     -14.2934      1.00000
     56     -14.1684      1.00000
     57     -14.1469      1.00000
     58     -14.1318      1.00000
     59     -14.0721      1.00000
     60     -13.9801      1.00000
     61     -13.8957      1.00000
     62     -13.6310      1.00000
     63     -13.5935      1.00000
     64     -13.5244      1.00000
     65     -13.4875      1.00000
     66     -13.4688      1.00000
     67     -13.4137      1.00000
     68     -12.9028      1.00000
