
 Fermi energy:        -3.1601591893

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3131      1.00000
      2     -24.0069      1.00000
      3     -23.9315      1.00000
      4     -23.8996      1.00000
      5     -23.8659      1.00000
      6     -23.8435      1.00000
      7     -23.6068      1.00000
      8     -23.1690      1.00000
      9     -23.1208      1.00000
     10     -23.1081      1.00000
     11     -23.0478      1.00000
     12     -23.0004      1.00000
     13     -22.9231      1.00000
     14     -22.7543      1.00000
     15     -22.7280      1.00000
     16     -22.7193      1.00000
     17     -22.6343      1.00000
     18     -22.5558      1.00000
     19     -22.2601      1.00000
     20     -21.8186      1.00000
     21     -21.7725      1.00000
     22     -21.7619      1.00000
     23     -21.7343      1.00000
     24     -21.7298      1.00000
     25     -21.7091      1.00000
     26     -21.7048      1.00000
     27     -21.6733      1.00000
     28     -21.6500      1.00000
     29     -21.5671      1.00000
     30     -21.4744      1.00000
     31     -21.3954      1.00000
     32     -21.3039      1.00000
     33     -21.2767      1.00000
     34     -21.2510      1.00000
     35     -21.1979      1.00000
     36     -21.0760      1.00000
     37     -20.9233      1.00000
     38     -20.8258      1.00000
     39     -20.8032      1.00000
     40     -20.7750      1.00000
     41     -20.7365      1.00000
     42     -20.6850      1.00000
     43     -20.6464      1.00000
     44     -20.6023      1.00000
     45     -20.5911      1.00000
     46     -20.5480      1.00000
     47     -20.5130      1.00000
     48     -14.5491      1.00000
     49     -14.4633      1.00000
     50     -14.4209      1.00000
     51     -14.4065      1.00000
     52     -14.3587      1.00000
     53     -14.3477      1.00000
     54     -14.2946      1.00000
     55     -14.2710      1.00000
     56     -14.2012      1.00000
     57     -14.1342      1.00000
     58     -13.9829      1.00000
     59     -13.9646      1.00000
     60     -13.8449      1.00000
     61     -13.7767      1.00000
     62     -13.6074      1.00000
     63     -13.5520      1.00000
     64     -13.5025      1.00000
     65     -13.4071      1.00000
     66     -13.3443      1.00000
     67     -13.2093      1.00000
     68     -12.9460      1.00000
     69     -12.9303      1.00000
     70     -12.9020      1.00000
     71     -12.8879      1.00000
     72     -12.8795      1.00000
     73     -12.8554      1.00000
     74     -12.8198      1.00000
     75     -12.6639      1.00000
     76     -12.4855      1.00000
     77     -12.4242      1.00000
     78     -12.2234      1.00000
     79     -12.1715      1.00000
     80     -12.1493      1.00000
     81     -12.0608      1.00000
     82     -11.9841      1.00000
     83     -11.8698      1.00000
     84     -11.7498      1.00000
     85     -11.5827      1.00000
     86     -11.4048      1.00000
     87     -11.3164      1.00000
     88     -11.1557      1.00000
     89     -11.0717      1.00000
     90     -10.9133      1.00000
     91     -10.7465      1.00000
     92     -10.6076      1.00000
     93     -10.5680      1.00000
     94     -10.5614      1.00000
     95     -10.5422      1.00000
     96     -10.4861      1.00000
     97     -10.4216      1.00000
     98     -10.3879      1.00000
     99     -10.2558      1.00000
    100     -10.1825      1.00000
    101     -10.1695      1.00000
    102     -10.1533      1.00000
    103     -10.1395      1.00000
    104     -10.1195      1.00000
    105     -10.1073      1.00000
    106     -10.0945      1.00000
    107     -10.0705      1.00000
    108     -10.0625      1.00000
    109     -10.0490      1.00000
    110     -10.0316      1.00000
    111     -10.0178      1.00000
    112     -10.0051      1.00000
    113      -9.9728      1.00000
    114      -9.9556      1.00000
    115      -9.9422      1.00000
    116      -9.7622      1.00000
    117      -9.7519      1.00000
    118      -9.6476      1.00000
    119      -9.5904      1.00000
    120      -9.5037      1.00000
    121      -9.3784      1.00000
    122      -9.3484      1.00000
    123      -9.3011      1.00000
    124      -9.2213      1.00000
    125      -9.1346      1.00000
    126      -8.9679      1.00000
    127      -8.9286      1.00000
    128      -8.9200      1.00000
    129      -8.8889      1.00000
    130      -8.8339      1.00000
    131      -8.7999      1.00000
    132      -8.7671      1.00000
    133      -8.6758      1.00000
    134      -8.6535      1.00000
    135      -8.6270      1.00000
    136      -8.6008      1.00000
    137      -8.5630      1.00000
    138      -8.5403      1.00000
    139      -8.5242      1.00000
    140      -8.4836      1.00000
    141      -8.4576      1.00000
    142      -8.4443      1.00000
    143      -8.3898      1.00000
    144      -8.3848      1.00000
    145      -8.3593      1.00000
    146      -8.3383      1.00000
    147      -8.2613      1.00000
    148      -8.2330      1.00000
    149      -8.1388      1.00000
    150      -8.0797      1.00000
    151      -8.0610      1.00000
    152      -8.0221      1.00000
    153      -7.7262      1.00000
    154      -7.6086      1.00000
    155      -7.5450      1.00000
    156      -7.3348      1.00000
    157      -7.2920      1.00000
    158      -7.2066      1.00000
    159      -7.1590      1.00000
    160      -7.1455      1.00000
    161      -7.0380      1.00000
    162      -6.9753      1.00000
    163      -6.9721      1.00000
    164      -6.9502      1.00000
    165      -6.9404      1.00000
    166      -6.9359      1.00000
    167      -6.9186      1.00000
    168      -6.8768      1.00000
    169      -6.8698      1.00000
    170      -6.7921      1.00000
    171      -6.6160      1.00000
    172      -6.5907      1.00000
    173      -6.5383      1.00000
    174      -6.4597      1.00000
    175      -6.3199      1.00000
    176      -6.3080      1.00000
    177      -6.2537      1.00000
    178      -6.2386      1.00000
    179      -5.9918      1.00000
    180      -5.7992      1.00000
    181      -5.5845      1.00000
    182      -5.5521      1.00000
    183      -5.5251      1.00000
    184      -5.5204      1.00000
