
 Fermi energy:        -2.6306175935

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2849      1.00000
      2     -23.9691      1.00000
      3     -23.9043      1.00000
      4     -23.8788      1.00000
      5     -23.8430      1.00000
      6     -23.8085      1.00000
      7     -23.5997      1.00000
      8     -23.1296      1.00000
      9     -23.0979      1.00000
     10     -23.0859      1.00000
     11     -23.0306      1.00000
     12     -22.9712      1.00000
     13     -22.8956      1.00000
     14     -22.7318      1.00000
     15     -22.7073      1.00000
     16     -22.7001      1.00000
     17     -22.6225      1.00000
     18     -22.5265      1.00000
     19     -22.2574      1.00000
     20     -21.7780      1.00000
     21     -21.7482      1.00000
     22     -21.7364      1.00000
     23     -21.7016      1.00000
     24     -21.6954      1.00000
     25     -21.6836      1.00000
     26     -21.6804      1.00000
     27     -21.6514      1.00000
     28     -21.6493      1.00000
     29     -21.5547      1.00000
     30     -21.4508      1.00000
     31     -21.3792      1.00000
     32     -21.2796      1.00000
     33     -21.2572      1.00000
     34     -21.2524      1.00000
     35     -21.1833      1.00000
     36     -21.0457      1.00000
     37     -20.9167      1.00000
     38     -20.7938      1.00000
     39     -20.7847      1.00000
     40     -20.7516      1.00000
     41     -20.7255      1.00000
     42     -20.6653      1.00000
     43     -20.6251      1.00000
     44     -20.5860      1.00000
     45     -20.5832      1.00000
     46     -20.5721      1.00000
     47     -20.4800      1.00000
     48     -14.5147      1.00000
     49     -14.4396      1.00000
     50     -14.4046      1.00000
     51     -14.3908      1.00000
     52     -14.3309      1.00000
     53     -14.3126      1.00000
     54     -14.2774      1.00000
     55     -14.2584      1.00000
     56     -14.1669      1.00000
     57     -14.1386      1.00000
     58     -13.9627      1.00000
     59     -13.9478      1.00000
     60     -13.8402      1.00000
     61     -13.7743      1.00000
     62     -13.5923      1.00000
     63     -13.5448      1.00000
     64     -13.4909      1.00000
     65     -13.3964      1.00000
     66     -13.3180      1.00000
     67     -13.2135      1.00000
     68     -12.9245      1.00000
     69     -12.8895      1.00000
     70     -12.8821      1.00000
     71     -12.8705      1.00000
     72     -12.8509      1.00000
     73     -12.8424      1.00000
     74     -12.8132      1.00000
     75     -12.6692      1.00000
     76     -12.4593      1.00000
     77     -12.4140      1.00000
     78     -12.2459      1.00000
     79     -12.1478      1.00000
     80     -12.1303      1.00000
     81     -12.0408      1.00000
     82     -11.9684      1.00000
     83     -11.8697      1.00000
     84     -11.7382      1.00000
     85     -11.5965      1.00000
     86     -11.3830      1.00000
     87     -11.3189      1.00000
     88     -11.1525      1.00000
     89     -11.0753      1.00000
     90     -10.9100      1.00000
     91     -10.7016      1.00000
     92     -10.5968      1.00000
     93     -10.5531      1.00000
     94     -10.5350      1.00000
     95     -10.5289      1.00000
     96     -10.4447      1.00000
     97     -10.4157      1.00000
     98     -10.3923      1.00000
     99     -10.2147      1.00000
    100     -10.1844      1.00000
    101     -10.1569      1.00000
    102     -10.1458      1.00000
    103     -10.1144      1.00000
    104     -10.1036      1.00000
    105     -10.0910      1.00000
    106     -10.0740      1.00000
    107     -10.0554      1.00000
    108     -10.0515      1.00000
    109     -10.0383      1.00000
    110     -10.0093      1.00000
    111      -9.9992      1.00000
    112      -9.9849      1.00000
    113      -9.9742      1.00000
    114      -9.9570      1.00000
    115      -9.9052      1.00000
    116      -9.7999      1.00000
    117      -9.7499      1.00000
    118      -9.6125      1.00000
    119      -9.5785      1.00000
    120      -9.5199      1.00000
    121      -9.3718      1.00000
    122      -9.3177      1.00000
    123      -9.2982      1.00000
    124      -9.2738      1.00000
    125      -9.1863      1.00000
    126      -8.9484      1.00000
    127      -8.9213      1.00000
    128      -8.8996      1.00000
    129      -8.8962      1.00000
    130      -8.8171      1.00000
    131      -8.7905      1.00000
    132      -8.7486      1.00000
    133      -8.6667      1.00000
    134      -8.6332      1.00000
    135      -8.6038      1.00000
    136      -8.5616      1.00000
    137      -8.5449      1.00000
    138      -8.5255      1.00000
    139      -8.5119      1.00000
    140      -8.4896      1.00000
    141      -8.4624      1.00000
    142      -8.4512      1.00000
    143      -8.3861      1.00000
    144      -8.3693      1.00000
    145      -8.3563      1.00000
    146      -8.3244      1.00000
