
 Fermi energy:        -1.9223368772

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3227      1.00000
      2     -23.9963      1.00000
      3     -23.9636      1.00000
      4     -23.9171      1.00000
      5     -23.8847      1.00000
      6     -23.8309      1.00000
      7     -23.6422      1.00000
      8     -23.1575      1.00000
      9     -23.1313      1.00000
     10     -23.1114      1.00000
     11     -23.0761      1.00000
     12     -23.0282      1.00000
     13     -22.9298      1.00000
     14     -22.7419      1.00000
     15     -22.7244      1.00000
     16     -22.7235      1.00000
     17     -22.6892      1.00000
     18     -22.5662      1.00000
     19     -22.3042      1.00000
     20     -21.8425      1.00000
     21     -21.7751      1.00000
     22     -21.7539      1.00000
     23     -21.7491      1.00000
     24     -21.7386      1.00000
     25     -21.7134      1.00000
     26     -21.6922      1.00000
     27     -21.6704      1.00000
     28     -21.6375      1.00000
     29     -21.5606      1.00000
     30     -21.5230      1.00000
     31     -21.3783      1.00000
     32     -21.3029      1.00000
     33     -21.2762      1.00000
     34     -21.2323      1.00000
     35     -21.1890      1.00000
     36     -21.0931      1.00000
     37     -20.9057      1.00000
     38     -20.8487      1.00000
     39     -20.8052      1.00000
     40     -20.7732      1.00000
     41     -20.7343      1.00000
     42     -20.7080      1.00000
     43     -20.6564      1.00000
     44     -20.5832      1.00000
     45     -20.5801      1.00000
     46     -20.5219      1.00000
     47     -20.4174      1.00000
     48     -20.1663      1.00000
     49     -14.4969      1.00000
     50     -14.4416      1.00000
     51     -14.4109      1.00000
     52     -14.3955      1.00000
     53     -14.3686      1.00000
     54     -14.3017      1.00000
     55     -14.3016      1.00000
     56     -14.1943      1.00000
     57     -14.1517      1.00000
     58     -14.1081      1.00000
     59     -13.9998      1.00000
     60     -13.9118      1.00000
     61     -13.7488      1.00000
     62     -13.6808      1.00000
     63     -13.6004      1.00000
     64     -13.4939      1.00000
     65     -13.4559      1.00000
     66     -13.4312      1.00000
     67     -13.3386      1.00000
     68     -12.9670      1.00000
     69     -12.9630      1.00000
     70     -12.9053      1.00000
     71     -12.8805      1.00000
     72     -12.8724      1.00000
     73     -12.8238      1.00000
     74     -12.8189      1.00000
     75     -12.7272      1.00000
     76     -12.6908      1.00000
     77     -12.6426      1.00000
     78     -12.5045      1.00000
     79     -12.1562      1.00000
     80     -12.1497      1.00000
     81     -12.0838      1.00000
     82     -11.9682      1.00000
     83     -11.8652      1.00000
     84     -11.8086      1.00000
     85     -11.7009      1.00000
     86     -11.3893      1.00000
     87     -11.3246      1.00000
     88     -11.2683      1.00000
     89     -11.1883      1.00000
     90     -11.0075      1.00000
     91     -10.6809      1.00000
     92     -10.6614      1.00000
     93     -10.5826      1.00000
     94     -10.5625      1.00000
     95     -10.5500      1.00000
     96     -10.4808      1.00000
     97     -10.4522      1.00000
     98     -10.4475      1.00000
     99     -10.2806      1.00000
    100     -10.2624      1.00000
    101     -10.1811      1.00000
    102     -10.1558      1.00000
    103     -10.1513      1.00000
    104     -10.1419      1.00000
    105     -10.1277      1.00000
    106     -10.1073      1.00000
    107     -10.0822      1.00000
    108     -10.0662      1.00000
    109     -10.0521      1.00000
    110     -10.0250      1.00000
    111     -10.0221      1.00000
    112     -10.0126      1.00000
    113      -9.9906      1.00000
    114      -9.9885      1.00000
    115      -9.9644      1.00000
    116      -9.9481      1.00000
    117      -9.7521      1.00000
    118      -9.6897      1.00000
    119      -9.6602      1.00000
    120      -9.4147      1.00000
    121      -9.4011      1.00000
    122      -9.3919      1.00000
    123      -9.3397      1.00000
    124      -9.3052      1.00000
    125      -9.1990      1.00000
    126      -9.0724      1.00000
    127      -8.9684      1.00000
    128      -8.9621      1.00000
    129      -8.9244      1.00000
    130      -8.9042      1.00000
    131      -8.8861      1.00000
    132      -8.8206      1.00000
    133      -8.7290      1.00000
    134      -8.7054      1.00000
    135      -8.5852      1.00000
    136      -8.5696      1.00000
    137      -8.5455      1.00000
    138      -8.4948      1.00000
    139      -8.4928      1.00000
    140      -8.4868      1.00000
    141      -8.4093      1.00000
    142      -8.3921      1.00000
    143      -8.3850      1.00000
    144      -8.3709      1.00000
    145      -8.3673      1.00000
    146      -8.3572      1.00000
    147      -8.3497      1.00000
    148      -8.3219      1.00000
    149      -8.3004      1.00000
    150      -8.2437      1.00000
    151      -8.0993      1.00000
    152      -8.0745      1.00000
    153      -7.9943      1.00000
    154      -7.9732      1.00000
    155      -7.4682      1.00000
    156      -7.3661      1.00000
    157      -7.2963      1.00000
    158      -7.2076      1.00000
    159      -7.1499      1.00000
    160      -7.0811      1.00000
    161      -7.0248      1.00000
    162      -7.0002      1.00000
    163      -6.9791      1.00000
    164      -6.9501      1.00000
    165      -6.9471      1.00000
    166      -6.9175      1.00000
    167      -6.9048      1.00000
    168      -6.8822      1.00000
    169      -6.8514      1.00000
    170      -6.8411      1.00000
    171      -6.7006      1.00000
    172      -6.5552      1.00000
    173      -6.5122      1.00000
    174      -6.5093      1.00000
    175      -6.3092      1.00000
    176      -6.2912      1.00000
    177      -6.2342      1.00000
    178      -6.2098      1.00000
    179      -6.1746      1.00000
    180      -6.1267      1.00000
    181      -5.9987      1.00000
    182      -5.8586      1.00000
    183      -5.5747      1.00000
    184      -5.5284      1.00000
    185      -5.5205      1.00000
    186      -5.4550      1.00000
    187      -5.4504      1.00000
    188      -5.3369      1.00000
    189      -5.2671      1.00000
    190      -5.2191      1.00000
    191      -5.1847      1.00000
