
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3346      1.00000
      2     -24.0163      1.00000
      3     -23.9813      1.00000
      4     -23.9198      1.00000
      5     -23.8579      1.00000
      6     -23.7974      1.00000
      7     -23.6601      1.00000
      8     -23.1790      1.00000
      9     -23.1481      1.00000
     10     -23.1067      1.00000
     11     -23.0707      1.00000
     12     -22.9996      1.00000
     13     -22.9218      1.00000
     14     -22.7814      1.00000
     15     -22.7442      1.00000
     16     -22.7381      1.00000
     17     -22.6458      1.00000
     18     -22.5629      1.00000
     19     -22.3070      1.00000
     20     -21.8453      1.00000
     21     -21.8266      1.00000
     22     -21.7714      1.00000
     23     -21.7474      1.00000
     24     -21.7332      1.00000
     25     -21.7226      1.00000
     26     -21.7042      1.00000
     27     -21.6826      1.00000
     28     -21.6475      1.00000
     29     -21.5801      1.00000
     30     -21.4999      1.00000
     31     -21.4279      1.00000
     32     -21.3182      1.00000
     33     -21.3057      1.00000
     34     -21.2871      1.00000
     35     -21.1882      1.00000
     36     -21.0187      1.00000
     37     -20.9612      1.00000
     38     -20.8663      1.00000
     39     -20.8054      1.00000
     40     -20.7621      1.00000
     41     -20.7342      1.00000
     42     -20.6755      1.00000
     43     -20.6617      1.00000
     44     -20.6481      1.00000
     45     -20.5986      1.00000
     46     -20.5589      1.00000
     47     -20.4422      1.00000
     48     -14.6761      1.00000
     49     -14.4994      1.00000
     50     -14.4642      1.00000
     51     -14.4318      1.00000
     52     -14.3837      1.00000
     53     -14.3531      1.00000
     54     -14.3423      1.00000
     55     -14.2734      1.00000
     56     -14.2220      1.00000
     57     -14.1365      1.00000
     58     -14.0423      1.00000
     59     -14.0176      1.00000
     60     -13.8671      1.00000
     61     -13.8153      1.00000
     62     -13.6345      1.00000
     63     -13.5624      1.00000
     64     -13.4909      1.00000
     65     -13.4014      1.00000
     66     -13.3887      1.00000
     67     -13.2954      1.00000
     68     -12.9504      1.00000
     69     -12.9306      1.00000
     70     -12.9226      1.00000
     71     -12.8999      1.00000
     72     -12.8954      1.00000
     73     -12.8800      1.00000
     74     -12.8324      1.00000
     75     -12.6629      1.00000
     76     -12.5197      1.00000
     77     -12.4384      1.00000
     78     -12.2762      1.00000
     79     -12.1881      1.00000
     80     -12.1758      1.00000
     81     -12.0722      1.00000
     82     -12.0180      1.00000
     83     -11.9051      1.00000
     84     -11.7588      1.00000
     85     -11.6702      1.00000
     86     -11.3974      1.00000
     87     -11.3455      1.00000
     88     -11.2321      1.00000
     89     -11.1046      1.00000
     90     -10.9122      1.00000
     91     -10.8418      1.00000
     92     -10.6498      1.00000
     93     -10.5877      1.00000
     94     -10.5693      1.00000
     95     -10.5378      1.00000
     96     -10.4948      1.00000
     97     -10.4657      1.00000
     98     -10.4074      1.00000
     99     -10.2211      1.00000
    100     -10.1981      1.00000
    101     -10.1936      1.00000
    102     -10.1648      1.00000
    103     -10.1518      1.00000
    104     -10.1462      1.00000
    105     -10.1304      1.00000
    106     -10.1133      1.00000
    107     -10.0902      1.00000
    108     -10.0855      1.00000
    109     -10.0646      1.00000
    110     -10.0618      1.00000
    111     -10.0369      1.00000
    112     -10.0200      1.00000
    113      -9.9927      1.00000
    114      -9.9682      1.00000
    115      -9.9299      1.00000
    116      -9.8759      1.00000
    117      -9.7678      1.00000
    118      -9.7464      1.00000
    119      -9.6285      1.00000
    120      -9.5550      1.00000
    121      -9.3872      1.00000
    122      -9.3087      1.00000
    123      -9.2819      1.00000
    124      -9.2358      1.00000
    125      -9.1364      1.00000
    126      -8.9917      1.00000
    127      -8.9629      1.00000
    128      -8.9408      1.00000
    129      -8.8886      1.00000
    130      -8.8668      1.00000
    131      -8.8486      1.00000
    132      -8.7994      1.00000
    133      -8.7789      1.00000
    134      -8.6660      1.00000
    135      -8.6528      1.00000
    136      -8.6287      1.00000
    137      -8.6173      1.00000
    138      -8.5949      1.00000
    139      -8.5664      1.00000
    140      -8.5179      1.00000
    141      -8.4682      1.00000
    142      -8.4648      1.00000
