
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.9363      1.00000
      2     -24.5747      1.00000
      3     -24.3087      1.00000
      4     -24.1706      1.00000
      5     -24.0250      1.00000
      6     -23.9100      1.00000
      7     -23.8367      1.00000
      8     -23.6344      1.00000
      9     -23.5627      1.00000
     10     -23.3771      1.00000
     11     -23.2222      1.00000
     12     -23.1852      1.00000
     13     -23.1112      1.00000
     14     -22.9992      1.00000
     15     -22.9372      1.00000
     16     -22.7931      1.00000
     17     -22.7826      1.00000
     18     -22.7316      1.00000
     19     -22.4934      1.00000
     20     -22.4836      1.00000
     21     -22.1883      1.00000
     22     -22.1040      1.00000
     23     -21.9825      1.00000
     24     -21.9569      1.00000
     25     -21.8567      1.00000
     26     -21.8226      1.00000
     27     -21.7567      1.00000
     28     -21.7362      1.00000
     29     -21.6566      1.00000
     30     -21.6173      1.00000
     31     -21.5191      1.00000
     32     -21.4452      1.00000
     33     -21.4166      1.00000
     34     -21.3358      1.00000
     35     -21.3033      1.00000
     36     -21.2098      1.00000
     37     -21.0984      1.00000
     38     -21.0068      1.00000
     39     -20.9350      1.00000
     40     -20.9115      1.00000
     41     -20.7928      1.00000
     42     -20.7456      1.00000
     43     -20.7153      1.00000
     44     -20.6690      1.00000
     45     -20.5512      1.00000
     46     -20.3965      1.00000
     47     -19.9401      1.00000
     48     -19.6763      1.00000
     49     -18.1138      1.00000
     50     -15.1197      1.00000
     51     -14.9286      1.00000
     52     -14.7555      1.00000
     53     -14.6030      1.00000
     54     -14.5241      1.00000
     55     -14.4433      1.00000
     56     -14.3912      1.00000
     57     -14.2931      1.00000
     58     -14.2492      1.00000
     59     -14.1530      1.00000
     60     -14.1375      1.00000
     61     -14.0124      1.00000
     62     -13.9466      1.00000
     63     -13.7927      1.00000
     64     -13.6784      1.00000
     65     -13.6537      1.00000
     66     -13.5126      1.00000
     67     -13.4174      1.00000
     68     -13.3264      1.00000
     69     -13.2306      1.00000
     70     -13.0905      1.00000
     71     -13.0286      1.00000
     72     -12.9998      1.00000
     73     -12.9435      1.00000
     74     -12.8984      1.00000
     75     -12.8095      1.00000
     76     -12.7823      1.00000
     77     -12.6903      1.00000
     78     -12.6137      1.00000
     79     -12.4393      1.00000
     80     -12.3480      1.00000
     81     -12.2997      1.00000
     82     -12.1633      1.00000
     83     -12.1233      1.00000
     84     -11.8936      1.00000
     85     -11.8839      1.00000
     86     -11.7781      1.00000
     87     -11.6518      1.00000
     88     -11.5463      1.00000
     89     -11.4698      1.00000
     90     -11.3733      1.00000
     91     -11.2090      1.00000
     92     -10.9908      1.00000
     93     -10.9459      1.00000
     94     -10.8153      1.00000
     95     -10.7188      1.00000
     96     -10.7160      1.00000
     97     -10.6700      1.00000
     98     -10.6064      1.00000
     99     -10.5559      1.00000
    100     -10.5318      1.00000
    101     -10.4279      1.00000
    102     -10.4010      1.00000
    103     -10.3682      1.00000
    104     -10.3344      1.00000
    105     -10.2798      1.00000
    106     -10.2402      1.00000
    107     -10.2319      1.00000
    108     -10.2309      1.00000
    109     -10.1691      1.00000
    110     -10.1560      1.00000
    111     -10.1003      1.00000
    112     -10.0976      1.00000
    113     -10.0812      1.00000
    114     -10.0429      1.00000
    115     -10.0004      1.00000
    116      -9.9997      1.00000
    117      -9.8638      1.00000
    118      -9.8633      1.00000
    119      -9.8494      1.00000
    120      -9.7416      1.00000
    121      -9.5587      1.00000
    122      -9.5440      1.00000
    123      -9.5359      1.00000
    124      -9.4200      1.00000
    125      -9.2883      1.00000
    126      -9.2222      1.00000
    127      -9.2196      1.00000
    128      -9.1077      1.00000
    129      -9.0765      1.00000
    130      -9.0148      1.00000
    131      -9.0109      1.00000
    132      -8.9603      1.00000
    133      -8.9323      1.00000
    134      -8.8551      1.00000
    135      -8.8546      1.00000
    136      -8.7222      1.00000
    137      -8.6931      1.00000
    138      -8.6881      1.00000
    139      -8.6489      1.00000
    140      -8.6083      1.00000
    141      -8.5453      1.00000
    142      -8.5313      1.00000
    143      -8.5042      1.00000
    144      -8.4454      1.00000
    145      -8.3992      1.00000
    146      -8.3986      1.00000
    147      -8.3758      1.00000
    148      -8.3495      1.00000
    149      -8.3240      1.00000
    150      -8.2028      1.00000
    151      -8.1427      1.00000
    152      -8.0629      1.00000
    153      -8.0338      1.00000
    154      -7.7696      1.00000
    155      -7.7081      1.00000
