
 Fermi energy:        -3.2165389709

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.1387      1.00000
      2     -24.7321      1.00000
      3     -24.2429      1.00000
      4     -24.1563      1.00000
      5     -23.9668      1.00000
      6     -23.9178      1.00000
      7     -23.7492      1.00000
      8     -23.6189      1.00000
      9     -23.4986      1.00000
     10     -23.3142      1.00000
     11     -23.2078      1.00000
     12     -23.1150      1.00000
     13     -23.1001      1.00000
     14     -22.9456      1.00000
     15     -22.8576      1.00000
     16     -22.7792      1.00000
     17     -22.7544      1.00000
     18     -22.6851      1.00000
     19     -22.4780      1.00000
     20     -22.3879      1.00000
     21     -22.1452      1.00000
     22     -22.1077      1.00000
     23     -21.9650      1.00000
     24     -21.9257      1.00000
     25     -21.8215      1.00000
     26     -21.7717      1.00000
     27     -21.7152      1.00000
     28     -21.6902      1.00000
     29     -21.5982      1.00000
     30     -21.5590      1.00000
     31     -21.4881      1.00000
     32     -21.4015      1.00000
     33     -21.3428      1.00000
     34     -21.2907      1.00000
     35     -21.2630      1.00000
     36     -21.1495      1.00000
     37     -21.0243      1.00000
     38     -20.9654      1.00000
     39     -20.8939      1.00000
     40     -20.8501      1.00000
     41     -20.7449      1.00000
     42     -20.6894      1.00000
     43     -20.6407      1.00000
     44     -20.6125      1.00000
     45     -20.4807      1.00000
     46     -20.3125      1.00000
     47     -19.3297      1.00000
     48     -18.9995      1.00000
     49     -17.9613      1.00000
     50     -15.1513      1.00000
     51     -14.7812      1.00000
     52     -14.6858      1.00000
     53     -14.5743      1.00000
     54     -14.5029      1.00000
     55     -14.4198      1.00000
     56     -14.3473      1.00000
     57     -14.2922      1.00000
     58     -14.2015      1.00000
     59     -14.0979      1.00000
     60     -14.0615      1.00000
     61     -13.9854      1.00000
     62     -13.9043      1.00000
     63     -13.7313      1.00000
     64     -13.6824      1.00000
     65     -13.6315      1.00000
     66     -13.4939      1.00000
     67     -13.3704      1.00000
     68     -13.2665      1.00000
     69     -13.2086      1.00000
     70     -13.0707      1.00000
     71     -12.9876      1.00000
     72     -12.9614      1.00000
     73     -12.8799      1.00000
     74     -12.8556      1.00000
     75     -12.8019      1.00000
     76     -12.7289      1.00000
     77     -12.6511      1.00000
     78     -12.5301      1.00000
     79     -12.3951      1.00000
     80     -12.2626      1.00000
     81     -12.2194      1.00000
     82     -12.1398      1.00000
     83     -12.0579      1.00000
     84     -11.8828      1.00000
     85     -11.7190      1.00000
     86     -11.6320      1.00000
     87     -11.5067      1.00000
     88     -11.4343      1.00000
     89     -11.3845      1.00000
     90     -11.3386      1.00000
     91     -11.1179      1.00000
     92     -10.9538      1.00000
     93     -10.9214      1.00000
     94     -10.8360      1.00000
     95     -10.7098      1.00000
     96     -10.6931      1.00000
     97     -10.6344      1.00000
     98     -10.5801      1.00000
     99     -10.5076      1.00000
    100     -10.4827      1.00000
    101     -10.3816      1.00000
    102     -10.3772      1.00000
    103     -10.3329      1.00000
    104     -10.2951      1.00000
    105     -10.2319      1.00000
    106     -10.2027      1.00000
    107     -10.1972      1.00000
    108     -10.1867      1.00000
    109     -10.1293      1.00000
    110     -10.0953      1.00000
    111     -10.0478      1.00000
    112     -10.0211      1.00000
    113     -10.0202      1.00000
    114     -10.0018      1.00000
    115      -9.9884      1.00000
    116      -9.9147      1.00000
    117      -9.8493      1.00000
    118      -9.7717      1.00000
    119      -9.7642      1.00000
    120      -9.6717      1.00000
    121      -9.5462      1.00000
    122      -9.4951      1.00000
    123      -9.4442      1.00000
    124      -9.4149      1.00000
    125      -9.1875      1.00000
    126      -9.1778      1.00000
    127      -9.1637      1.00000
    128      -9.0439      1.00000
    129      -9.0410      1.00000
    130      -9.0000      1.00000
    131      -8.9767      1.00000
    132      -8.9038      1.00000
    133      -8.8690      1.00000
    134      -8.8167      1.00000
    135      -8.7716      1.00000
    136      -8.6803      1.00000
    137      -8.6703      1.00000
    138      -8.6459      1.00000
    139      -8.5984      1.00000
    140      -8.5344      1.00000
    141      -8.4816      1.00000
    142      -8.4812      1.00000
    143      -8.4363      1.00000
    144      -8.4279      1.00000
    145      -8.3550      1.00000
    146      -8.3502      1.00000
    147      -8.3137      1.00000
    148      -8.2963      1.00000
    149      -8.2014      1.00000
    150      -8.1315      1.00000
    151      -8.0669      1.00000
    152      -7.9726      1.00000
    153      -7.9532      1.00000
    154      -7.7230      1.00000
    155      -7.7117      1.00000
    156      -7.5439      1.00000
    157      -7.3391      1.00000
    158      -7.3182      1.00000
    159      -7.2757      1.00000
    160      -7.2466      1.00000
    161      -7.2066      1.00000
    162      -7.1668      1.00000
    163      -7.1121      1.00000
    164      -7.0953      1.00000
    165      -7.0225      1.00000
    166      -6.9757      1.00000
    167      -6.9565      1.00000
    168      -6.9068      1.00000
    169      -6.8730      1.00000
    170      -6.8063      1.00000
    171      -6.7676      1.00000
    172      -6.6096      1.00000
    173      -6.5212      1.00000
    174      -6.4677      1.00000
    175      -6.4212      1.00000
    176      -6.3712      1.00000
    177      -6.3321      1.00000
    178      -6.2492      1.00000
    179      -6.1738      1.00000
    180      -5.8927      1.00000
    181      -5.8396      1.00000
    182      -5.6766      1.00000
    183      -5.6133      1.00000
    184      -5.4659      1.00000
    185      -5.4100      1.00000
    186      -5.3837      1.00000
    187      -5.3683      1.00000
    188      -5.1991      1.00000
    189      -5.1616      1.00000
    190      -4.5352      1.00000
    191      -4.3218      1.00000
    192      -4.2363      1.00000
    193      -3.4723      1.00000
    194      -0.9904      0.00000
    195      -0.6445      0.00000
    196       0.5720      0.00000
    197       0.7998      0.00000
    198       0.9345      0.00000
    199       1.1512      0.00000
    200       1.1893      0.00000
    201       1.3122      0.00000
    202       1.3525      0.00000
    203       1.3526      0.00000
    204       1.3658      0.00000
    205       1.3888      0.00000
    206       1.4702      0.00000
    207       1.5088      0.00000
    208       1.5360      0.00000
    209       1.5638      0.00000
    210       1.5963      0.00000
    211       1.6320      0.00000
    212       1.6400      0.00000
    213       1.7020      0.00000
    214       1.7263      0.00000
    215       1.7767      0.00000
    216       1.8262      0.00000
    217       1.8446      0.00000
    218       1.8986      0.00000
    219       2.0640      0.00000
    220       2.1847      0.00000
    221       2.1877      0.00000
    222       2.2518      0.00000
    223       2.2737      0.00000
    224       2.3447      0.00000
    225       2.3923      0.00000
    226       2.4628      0.00000
    227       2.5302      0.00000
    228       2.6373      0.00000
    229       2.7070      0.00000
    230       2.7141      0.00000
    231       2.7681      0.00000
    232       2.7833      0.00000
    233       2.7872      0.00000
    234       2.7883      0.00000
    235       2.8085      0.00000
    236       2.8194      0.00000
    237       2.8239      0.00000
    238       2.8314      0.00000
    239       2.8508      0.00000
    240       2.8908      0.00000
    241       2.9031      0.00000
    242       2.9089      0.00000
    243       2.9961      0.00000
    244       3.0019      0.00000
    245       3.0254      0.00000
    246       3.1074      0.00000
    247       3.1207      0.00000
    248       3.1538      0.00000
    249       3.2424      0.00000
    250       3.3801      0.00000
    251       3.3921      0.00000
    252       3.4160      0.00000
 Fermi energy:        -3.8888614779

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.6429      1.00000
      2     -24.7228      1.00000
      3     -24.2393      1.00000
      4     -24.1447      1.00000
      5     -23.9587      1.00000
      6     -23.9177      1.00000
      7     -23.7457      1.00000
      8     -23.6234      1.00000
      9     -23.4774      1.00000
     10     -23.2870      1.00000
     11     -23.2087      1.00000
     12     -23.1211      1.00000
     13     -23.0948      1.00000
     14     -22.9412      1.00000
     15     -22.8542      1.00000
     16     -22.7824      1.00000
     17     -22.7347      1.00000
     18     -22.6872      1.00000
     19     -22.4824      1.00000
     20     -22.3744      1.00000
     21     -22.1547      1.00000
     22     -22.1062      1.00000
     23     -21.9595      1.00000
     24     -21.9322      1.00000
     25     -21.8214      1.00000
     26     -21.7709      1.00000
     27     -21.7174      1.00000
     28     -21.6919      1.00000
     29     -21.6245      1.00000
     30     -21.5705      1.00000
     31     -21.4886      1.00000
     32     -21.4039      1.00000
     33     -21.3741      1.00000
     34     -21.2920      1.00000
     35     -21.2658      1.00000
     36     -21.1614      1.00000
     37     -21.0476      1.00000
     38     -20.9726      1.00000
     39     -20.9062      1.00000
     40     -20.8524      1.00000
     41     -20.7455      1.00000
     42     -20.6949      1.00000
     43     -20.6724      1.00000
     44     -20.6241      1.00000
     45     -20.5010      1.00000
     46     -20.3507      1.00000
     47     -19.9189      1.00000
     48     -19.5602      1.00000
     49     -17.4545      1.00000
     50     -15.1304      1.00000
     51     -14.7713      1.00000
     52     -14.6643      1.00000
     53     -14.5560      1.00000
     54     -14.5011      1.00000
     55     -14.4067      1.00000
     56     -14.3452      1.00000
     57     -14.2926      1.00000
     58     -14.1992      1.00000
     59     -14.0998      1.00000
     60     -14.0472      1.00000
     61     -13.9825      1.00000
     62     -13.9090      1.00000
     63     -13.7214      1.00000
     64     -13.6835      1.00000
     65     -13.6257      1.00000
     66     -13.5014      1.00000
     67     -13.3863      1.00000
     68     -13.2584      1.00000
     69     -13.2080      1.00000
     70     -13.0725      1.00000
     71     -12.9916      1.00000
     72     -12.9659      1.00000
     73     -12.8819      1.00000
     74     -12.8631      1.00000
     75     -12.8153      1.00000
     76     -12.7275      1.00000
     77     -12.6667      1.00000
     78     -12.5567      1.00000
     79     -12.4060      1.00000
     80     -12.2798      1.00000
     81     -12.2148      1.00000
