
 Fermi energy:        -1.7700841843

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2975      1.00000
      2     -23.9373      1.00000
      3     -23.9242      1.00000
      4     -23.9076      1.00000
      5     -23.8647      1.00000
      6     -23.8214      1.00000
      7     -23.6256      1.00000
      8     -23.1052      1.00000
      9     -23.0959      1.00000
     10     -23.0892      1.00000
     11     -23.0522      1.00000
     12     -23.0159      1.00000
     13     -22.9105      1.00000
     14     -22.7479      1.00000
     15     -22.7267      1.00000
     16     -22.6918      1.00000
     17     -22.6591      1.00000
     18     -22.6078      1.00000
     19     -22.2901      1.00000
     20     -21.7526      1.00000
     21     -21.7492      1.00000
     22     -21.7393      1.00000
     23     -21.7328      1.00000
     24     -21.7257      1.00000
     25     -21.7023      1.00000
     26     -21.6736      1.00000
     27     -21.6691      1.00000
     28     -21.6680      1.00000
     29     -21.6519      1.00000
     30     -21.5123      1.00000
     31     -21.4540      1.00000
     32     -21.3248      1.00000
     33     -21.3172      1.00000
     34     -21.3085      1.00000
     35     -21.1790      1.00000
     36     -21.0346      1.00000
     37     -20.9764      1.00000
     38     -20.8129      1.00000
     39     -20.7862      1.00000
     40     -20.7629      1.00000
     41     -20.7430      1.00000
     42     -20.7092      1.00000
     43     -20.6727      1.00000
     44     -20.6472      1.00000
     45     -20.6016      1.00000
     46     -20.5990      1.00000
     47     -20.5668      1.00000
     48     -14.4622      1.00000
     49     -14.4375      1.00000
     50     -14.3945      1.00000
     51     -14.3884      1.00000
     52     -14.3627      1.00000
     53     -14.3485      1.00000
     54     -14.2892      1.00000
     55     -14.2872      1.00000
     56     -14.2043      1.00000
     57     -14.0575      1.00000
     58     -14.0534      1.00000
     59     -14.0129      1.00000
     60     -13.8075      1.00000
     61     -13.7775      1.00000
     62     -13.5674      1.00000
     63     -13.5086      1.00000
     64     -13.4579      1.00000
     65     -13.4194      1.00000
     66     -13.3512      1.00000
     67     -13.2572      1.00000
     68     -12.9353      1.00000
     69     -12.9158      1.00000
     70     -12.9139      1.00000
     71     -12.9022      1.00000
     72     -12.8938      1.00000
     73     -12.8807      1.00000
     74     -12.7775      1.00000
     75     -12.5968      1.00000
     76     -12.5067      1.00000
     77     -12.3875      1.00000
     78     -12.1813      1.00000
     79     -12.1795      1.00000
     80     -12.1168      1.00000
     81     -12.0726      1.00000
     82     -12.0442      1.00000
     83     -11.9310      1.00000
     84     -11.7766      1.00000
     85     -11.5566      1.00000
     86     -11.3934      1.00000
     87     -11.3080      1.00000
     88     -11.1688      1.00000
     89     -11.0911      1.00000
     90     -10.8495      1.00000
     91     -10.7647      1.00000
     92     -10.6443      1.00000
     93     -10.5896      1.00000
     94     -10.5610      1.00000
     95     -10.4540      1.00000
     96     -10.4415      1.00000
     97     -10.4140      1.00000
     98     -10.3782      1.00000
     99     -10.1704      1.00000
    100     -10.1598      1.00000
    101     -10.1511      1.00000
    102     -10.1420      1.00000
    103     -10.1254      1.00000
    104     -10.1087      1.00000
    105     -10.1040      1.00000
    106     -10.0897      1.00000
    107     -10.0873      1.00000
    108     -10.0671      1.00000
    109     -10.0591      1.00000
    110     -10.0425      1.00000
    111     -10.0359      1.00000
    112     -10.0298      1.00000
    113      -9.9891      1.00000
    114      -9.9531      1.00000
    115      -9.9452      1.00000
    116      -9.7644      1.00000
    117      -9.7601      1.00000
    118      -9.7263      1.00000
    119      -9.6993      1.00000
    120      -9.6334      1.00000
    121      -9.3375      1.00000
    122      -9.2766      1.00000
    123      -9.2395      1.00000
    124      -8.9354      1.00000
    125      -8.9189      1.00000
    126      -8.9124      1.00000
    127      -8.9073      1.00000
    128      -8.9036      1.00000
    129      -8.8706      1.00000
    130      -8.8301      1.00000
    131      -8.8175      1.00000
    132      -8.7748      1.00000
    133      -8.6929      1.00000
    134      -8.6914      1.00000
    135      -8.6305      1.00000
    136      -8.6054      1.00000
    137      -8.6017      1.00000
    138      -8.5994      1.00000
    139      -8.5855      1.00000
    140      -8.4938      1.00000
    141      -8.4083      1.00000
    142      -8.3894      1.00000
    143      -8.3568      1.00000
    144      -8.3415      1.00000
    145      -8.3395      1.00000
    146      -8.2735      1.00000
    147      -8.2383      1.00000
    148      -8.1331      1.00000
    149      -8.1329      1.00000
    150      -8.1068      1.00000
    151      -8.0515      1.00000
    152      -7.9304      1.00000
    153      -7.6164      1.00000
    154      -7.5759      1.00000
    155      -7.3938      1.00000
    156      -7.2950      1.00000
    157      -7.2257      1.00000
    158      -7.0834      1.00000
    159      -6.9965      1.00000
    160      -6.9757      1.00000
    161      -6.9655      1.00000
    162      -6.9619      1.00000
    163      -6.9601      1.00000
    164      -6.9480      1.00000
    165      -6.9446      1.00000
    166      -6.9205      1.00000
    167      -6.9093      1.00000
    168      -6.9086      1.00000
    169      -6.9049      1.00000
    170      -6.6651      1.00000
    171      -6.6414      1.00000
    172      -6.6205      1.00000
    173      -6.6024      1.00000
    174      -6.4050      1.00000
    175      -6.3511      1.00000
    176      -6.3423      1.00000
    177      -6.3417      1.00000
    178      -6.2346      1.00000
    179      -5.9817      1.00000
    180      -5.9313      1.00000
    181      -5.5778      1.00000
    182      -5.5535      1.00000
    183      -5.5388      1.00000
    184      -5.5341      1.00000
    185      -5.4087      1.00000
    186      -5.3884      1.00000
    187      -5.3256      1.00000
    188      -5.3116      1.00000
    189      -5.2762      1.00000
    190      -5.2665      1.00000
    191      -2.1590      1.00000
    192      -2.0041      1.00000
    193      -0.1951      0.00000
    194       0.8514      0.00000
    195       1.2403      0.00000
    196       1.2912      0.00000
    197       1.3243      0.00000
    198       1.3323      0.00000
    199       1.3364      0.00000
