
 Fermi energy:        -0.8058880564

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3601      1.00000
      2     -24.2074      1.00000
      3     -23.9001      1.00000
      4     -23.8998      1.00000
      5     -23.8517      1.00000
      6     -23.8512      1.00000
      7     -23.8487      1.00000
      8     -23.4081      1.00000
      9     -23.1566      1.00000
     10     -23.1562      1.00000
     11     -23.0574      1.00000
     12     -23.0573      1.00000
     13     -23.0438      1.00000
     14     -22.8111      1.00000
     15     -22.7593      1.00000
     16     -22.7593      1.00000
     17     -22.6817      1.00000
     18     -22.6812      1.00000
     19     -22.6798      1.00000
     20     -21.9671      1.00000
     21     -21.9663      1.00000
     22     -21.9621      1.00000
     23     -21.7003      1.00000
     24     -21.7002      1.00000
     25     -21.6735      1.00000
     26     -21.6715      1.00000
     27     -21.6618      1.00000
     28     -21.6617      1.00000
     29     -21.6588      1.00000
     30     -21.6573      1.00000
     31     -21.6570      1.00000
     32     -21.3409      1.00000
     33     -21.3407      1.00000
     34     -21.2974      1.00000
     35     -21.2475      1.00000
     36     -21.2388      1.00000
     37     -21.2386      1.00000
     38     -20.8847      1.00000
     39     -20.8842      1.00000
     40     -20.7774      1.00000
     41     -20.7431      1.00000
     42     -20.7430      1.00000
     43     -20.7404      1.00000
     44     -20.6203      1.00000
     45     -20.6199      1.00000
     46     -20.5795      1.00000
     47     -20.5660      1.00000
     48     -20.5658      1.00000
     49     -20.5640      1.00000
     50     -16.0308      1.00000
     51     -14.5561      1.00000
     52     -14.5556      1.00000
     53     -14.3649      1.00000
     54     -14.3610      1.00000
     55     -14.3607      1.00000
     56     -14.2462      1.00000
     57     -14.2084      1.00000
     58     -14.2083      1.00000
     59     -14.1597      1.00000
     60     -14.1596      1.00000
     61     -14.1443      1.00000
     62     -13.7421      1.00000
     63     -13.7419      1.00000
     64     -13.7381      1.00000
     65     -13.5948      1.00000
     66     -13.5945      1.00000
     67     -13.5874      1.00000
     68     -13.2114      1.00000
     69     -13.0393      1.00000
     70     -13.0387      1.00000
     71     -12.9071      1.00000
     72     -12.9067      1.00000
     73     -12.8569      1.00000
     74     -12.8541      1.00000
     75     -12.8462      1.00000
     76     -12.8459      1.00000
     77     -12.8395      1.00000
     78     -12.8393      1.00000
     79     -12.8391      1.00000
     80     -12.3181      1.00000
     81     -12.2222      1.00000
     82     -12.2220      1.00000
     83     -12.1511      1.00000
     84     -12.1178      1.00000
     85     -12.1177      1.00000
     86     -11.4981      1.00000
     87     -11.4970      1.00000
     88     -11.4921      1.00000
     89     -11.3729      1.00000
     90     -11.3723      1.00000
     91     -11.3574      1.00000
     92     -10.9200      1.00000
