# freq/cm-1  Intensity 
-1.70905e+02   6.84590e-05
-1.70405e+02   6.85080e-05
-1.69905e+02   6.85570e-05
-1.69405e+02   6.86061e-05
-1.68905e+02   6.86552e-05
-1.68405e+02   6.87044e-05
-1.67905e+02   6.87536e-05
-1.67405e+02   6.88030e-05
-1.66905e+02   6.88523e-05
-1.66405e+02   6.89017e-05
-1.65905e+02   6.89512e-05
-1.65405e+02   6.90008e-05
-1.64905e+02   6.90504e-05
-1.64405e+02   6.91000e-05
-1.63905e+02   6.91497e-05
-1.63405e+02   6.91995e-05
-1.62905e+02   6.92494e-05
-1.62405e+02   6.92993e-05
-1.61905e+02   6.93492e-05
-1.61405e+02   6.93992e-05
-1.60905e+02   6.94493e-05
-1.60405e+02   6.94995e-05
-1.59905e+02   6.95497e-05
-1.59405e+02   6.95999e-05
-1.58905e+02   6.96502e-05
-1.58405e+02   6.97006e-05
-1.57905e+02   6.97511e-05
-1.57405e+02   6.98016e-05
-1.56905e+02   6.98521e-05
-1.56405e+02   6.99028e-05
-1.55905e+02   6.99535e-05
-1.55405e+02   7.00042e-05
-1.54905e+02   7.00550e-05
-1.54405e+02   7.01059e-05
-1.53905e+02   7.01568e-05
-1.53405e+02   7.02078e-05
-1.52905e+02   7.02589e-05
-1.52405e+02   7.03100e-05
-1.51905e+02   7.03612e-05
-1.51405e+02   7.04125e-05
-1.50905e+02   7.04638e-05
-1.50405e+02   7.05151e-05
-1.49905e+02   7.05666e-05
-1.49405e+02   7.06181e-05
-1.48905e+02   7.06697e-05
-1.48405e+02   7.07213e-05
-1.47905e+02   7.07730e-05
-1.47405e+02   7.08247e-05
-1.46905e+02   7.08766e-05
-1.46405e+02   7.09284e-05
-1.45905e+02   7.09804e-05
-1.45405e+02   7.10324e-05
-1.44905e+02   7.10845e-05
-1.44405e+02   7.11366e-05
-1.43905e+02   7.11888e-05
-1.43405e+02   7.12411e-05
-1.42905e+02   7.12934e-05
-1.42405e+02   7.13459e-05
-1.41905e+02   7.13983e-05
-1.41405e+02   7.14509e-05
-1.40905e+02   7.15035e-05
-1.40405e+02   7.15561e-05
-1.39905e+02   7.16089e-05
-1.39405e+02   7.16617e-05
-1.38905e+02   7.17145e-05
-1.38405e+02   7.17675e-05
-1.37905e+02   7.18204e-05
-1.37405e+02   7.18735e-05
-1.36905e+02   7.19266e-05
-1.36405e+02   7.19798e-05
-1.35905e+02   7.20331e-05
-1.35405e+02   7.20864e-05
-1.34905e+02   7.21398e-05
-1.34405e+02   7.21933e-05
-1.33905e+02   7.22469e-05
-1.33405e+02   7.23005e-05
-1.32905e+02   7.23541e-05
-1.32405e+02   7.24079e-05
-1.31905e+02   7.24617e-05
-1.31405e+02   7.25156e-05
-1.30905e+02   7.25695e-05
-1.30405e+02   7.26235e-05
-1.29905e+02   7.26776e-05
-1.29405e+02   7.27318e-05
-1.28905e+02   7.27860e-05
-1.28405e+02   7.28403e-05
-1.27905e+02   7.28947e-05
-1.27405e+02   7.29491e-05
-1.26905e+02   7.30036e-05
-1.26405e+02   7.30582e-05
-1.25905e+02   7.31128e-05
-1.25405e+02   7.31675e-05
-1.24905e+02   7.32223e-05
-1.24405e+02   7.32772e-05
-1.23905e+02   7.33321e-05
-1.23405e+02   7.33871e-05
-1.22905e+02   7.34422e-05
-1.22405e+02   7.34973e-05
-1.21905e+02   7.35525e-05
-1.21405e+02   7.36078e-05
-1.20905e+02   7.36632e-05
-1.20405e+02   7.37186e-05
-1.19905e+02   7.37741e-05
-1.19405e+02   7.38297e-05
-1.18905e+02   7.38854e-05
-1.18405e+02   7.39411e-05
-1.17905e+02   7.39969e-05
-1.17405e+02   7.40528e-05
-1.16905e+02   7.41087e-05
-1.16405e+02   7.41647e-05
-1.15905e+02   7.42208e-05
-1.15405e+02   7.42770e-05
-1.14905e+02   7.43333e-05
-1.14405e+02   7.43896e-05
