
 Fermi energy:        -3.1710217397

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.8741      1.00000
      2     -24.9967      1.00000
      3     -24.2467      1.00000
      4     -24.1135      1.00000
      5     -23.9178      1.00000
      6     -23.8872      1.00000
      7     -23.7830      1.00000
      8     -23.5922      1.00000
      9     -23.3656      1.00000
     10     -23.3314      1.00000
     11     -23.1806      1.00000
     12     -23.0949      1.00000
     13     -22.9973      1.00000
     14     -22.9096      1.00000
     15     -22.8545      1.00000
     16     -22.7662      1.00000
     17     -22.7184      1.00000
     18     -22.5993      1.00000
     19     -22.4482      1.00000
     20     -22.2852      1.00000
     21     -22.1090      1.00000
     22     -22.0384      1.00000
     23     -21.9115      1.00000
     24     -21.8315      1.00000
     25     -21.7596      1.00000
     26     -21.7082      1.00000
     27     -21.6800      1.00000
     28     -21.6626      1.00000
     29     -21.5751      1.00000
     30     -21.5239      1.00000
     31     -21.4562      1.00000
     32     -21.3979      1.00000
     33     -21.2522      1.00000
     34     -21.2430      1.00000
     35     -21.2055      1.00000
     36     -21.1370      1.00000
     37     -21.0326      1.00000
     38     -20.9471      1.00000
     39     -20.8703      1.00000
     40     -20.8040      1.00000
     41     -20.7682      1.00000
     42     -20.6695      1.00000
     43     -20.6424      1.00000
     44     -20.5541      1.00000
     45     -20.5178      1.00000
     46     -20.4812      1.00000
     47     -20.2849      1.00000
     48     -19.4130      1.00000
     49     -16.6169      1.00000
     50     -15.9154      1.00000
     51     -15.5641      1.00000
     52     -14.7654      1.00000
     53     -14.5942      1.00000
     54     -14.4729      1.00000
     55     -14.4305      1.00000
     56     -14.2958      1.00000
     57     -14.2552      1.00000
     58     -14.2227      1.00000
     59     -14.1694      1.00000
     60     -14.0873      1.00000
     61     -14.0262      1.00000
     62     -13.9364      1.00000
     63     -13.8438      1.00000
     64     -13.7025      1.00000
     65     -13.6929      1.00000
     66     -13.5653      1.00000
     67     -13.5018      1.00000
     68     -13.2613      1.00000
     69     -13.2372      1.00000
     70     -13.1642      1.00000
     71     -13.0690      1.00000
     72     -12.9657      1.00000
     73     -12.9412      1.00000
     74     -12.8935      1.00000
     75     -12.8362      1.00000
     76     -12.7778      1.00000
     77     -12.7267      1.00000
     78     -12.6433      1.00000
