# freq/cm-1  Intensity 
-1.79149e+02   5.31687e-05
-1.78649e+02   5.32047e-05
-1.78149e+02   5.32407e-05
-1.77649e+02   5.32768e-05
-1.77149e+02   5.33129e-05
-1.76649e+02   5.33491e-05
-1.76149e+02   5.33852e-05
-1.75649e+02   5.34215e-05
-1.75149e+02   5.34577e-05
-1.74649e+02   5.34941e-05
-1.74149e+02   5.35304e-05
-1.73649e+02   5.35668e-05
-1.73149e+02   5.36032e-05
-1.72649e+02   5.36397e-05
-1.72149e+02   5.36762e-05
-1.71649e+02   5.37128e-05
-1.71149e+02   5.37494e-05
-1.70649e+02   5.37861e-05
-1.70149e+02   5.38228e-05
-1.69649e+02   5.38595e-05
-1.69149e+02   5.38963e-05
-1.68649e+02   5.39331e-05
-1.68149e+02   5.39700e-05
-1.67649e+02   5.40069e-05
-1.67149e+02   5.40438e-05
-1.66649e+02   5.40808e-05
-1.66149e+02   5.41179e-05
-1.65649e+02   5.41550e-05
-1.65149e+02   5.41921e-05
-1.64649e+02   5.42293e-05
-1.64149e+02   5.42665e-05
-1.63649e+02   5.43037e-05
-1.63149e+02   5.43410e-05
-1.62649e+02   5.43784e-05
-1.62149e+02   5.44158e-05
-1.61649e+02   5.44532e-05
-1.61149e+02   5.44907e-05
-1.60649e+02   5.45282e-05
-1.60149e+02   5.45658e-05
-1.59649e+02   5.46034e-05
-1.59149e+02   5.46411e-05
-1.58649e+02   5.46788e-05
-1.58149e+02   5.47166e-05
-1.57649e+02   5.47544e-05
-1.57149e+02   5.47922e-05
-1.56649e+02   5.48301e-05
-1.56149e+02   5.48680e-05
-1.55649e+02   5.49060e-05
-1.55149e+02   5.49440e-05
-1.54649e+02   5.49821e-05
-1.54149e+02   5.50202e-05
-1.53649e+02   5.50584e-05
-1.53149e+02   5.50966e-05
-1.52649e+02   5.51349e-05
-1.52149e+02   5.51732e-05
-1.51649e+02   5.52116e-05
-1.51149e+02   5.52500e-05
-1.50649e+02   5.52884e-05
-1.50149e+02   5.53269e-05
-1.49649e+02   5.53655e-05
-1.49149e+02   5.54040e-05
-1.48649e+02   5.54427e-05
-1.48149e+02   5.54814e-05
-1.47649e+02   5.55201e-05
-1.47149e+02   5.55589e-05
-1.46649e+02   5.55977e-05
-1.46149e+02   5.56366e-05
-1.45649e+02   5.56756e-05
-1.45149e+02   5.57145e-05
-1.44649e+02   5.57536e-05
-1.44149e+02   5.57927e-05
-1.43649e+02   5.58318e-05
-1.43149e+02   5.58710e-05
-1.42649e+02   5.59102e-05
-1.42149e+02   5.59495e-05
-1.41649e+02   5.59888e-05
-1.41149e+02   5.60282e-05
-1.40649e+02   5.60676e-05
-1.40149e+02   5.61071e-05
