# freq/cm-1  Intensity 
-1.93449e+02   6.27333e-05
-1.92949e+02   6.27762e-05
-1.92449e+02   6.28192e-05
-1.91949e+02   6.28622e-05
-1.91449e+02   6.29052e-05
-1.90949e+02   6.29483e-05
-1.90449e+02   6.29915e-05
-1.89949e+02   6.30347e-05
-1.89449e+02   6.30779e-05
-1.88949e+02   6.31212e-05
-1.88449e+02   6.31646e-05
-1.87949e+02   6.32080e-05
-1.87449e+02   6.32514e-05
-1.86949e+02   6.32949e-05
-1.86449e+02   6.33385e-05
-1.85949e+02   6.33821e-05
-1.85449e+02   6.34257e-05
-1.84949e+02   6.34694e-05
-1.84449e+02   6.35132e-05
-1.83949e+02   6.35570e-05
-1.83449e+02   6.36009e-05
-1.82949e+02   6.36448e-05
-1.82449e+02   6.36887e-05
-1.81949e+02   6.37327e-05
-1.81449e+02   6.37768e-05
-1.80949e+02   6.38209e-05
-1.80449e+02   6.38651e-05
-1.79949e+02   6.39093e-05
-1.79449e+02   6.39536e-05
-1.78949e+02   6.39979e-05
-1.78449e+02   6.40423e-05
-1.77949e+02   6.40867e-05
-1.77449e+02   6.41312e-05
-1.76949e+02   6.41757e-05
-1.76449e+02   6.42203e-05
-1.75949e+02   6.42649e-05
-1.75449e+02   6.43096e-05
-1.74949e+02   6.43544e-05
-1.74449e+02   6.43992e-05
-1.73949e+02   6.44440e-05
-1.73449e+02   6.44889e-05
-1.72949e+02   6.45339e-05
-1.72449e+02   6.45789e-05
-1.71949e+02   6.46240e-05
-1.71449e+02   6.46691e-05
-1.70949e+02   6.47143e-05
-1.70449e+02   6.47595e-05
-1.69949e+02   6.48048e-05
-1.69449e+02   6.48501e-05
-1.68949e+02   6.48955e-05
-1.68449e+02   6.49410e-05
-1.67949e+02   6.49865e-05
-1.67449e+02   6.50321e-05
-1.66949e+02   6.50777e-05
-1.66449e+02   6.51233e-05
-1.65949e+02   6.51691e-05
-1.65449e+02   6.52148e-05
-1.64949e+02   6.52607e-05
-1.64449e+02   6.53066e-05
-1.63949e+02   6.53525e-05
-1.63449e+02   6.53985e-05
-1.62949e+02   6.54446e-05
-1.62449e+02   6.54907e-05
-1.61949e+02   6.55369e-05
-1.61449e+02   6.55831e-05
-1.60949e+02   6.56294e-05
-1.60449e+02   6.56757e-05
-1.59949e+02   6.57221e-05
-1.59449e+02   6.57686e-05
-1.58949e+02   6.58151e-05
-1.58449e+02   6.58617e-05
-1.57949e+02   6.59083e-05
-1.57449e+02   6.59550e-05
-1.56949e+02   6.60018e-05
-1.56449e+02   6.60486e-05
-1.55949e+02   6.60954e-05
-1.55449e+02   6.61424e-05
-1.54949e+02   6.61893e-05
-1.54449e+02   6.62364e-05
-1.53949e+02   6.62835e-05
-1.53449e+02   6.63306e-05
-1.52949e+02   6.63778e-05
-1.52449e+02   6.64251e-05
-1.51949e+02   6.64725e-05
-1.51449e+02   6.65198e-05
-1.50949e+02   6.65673e-05
-1.50449e+02   6.66148e-05
-1.49949e+02   6.66624e-05
-1.49449e+02   6.67100e-05
-1.48949e+02   6.67577e-05
-1.48449e+02   6.68055e-05
-1.47949e+02   6.68533e-05
-1.47449e+02   6.69012e-05
-1.46949e+02   6.69491e-05
-1.46449e+02   6.69971e-05
-1.45949e+02   6.70452e-05
-1.45449e+02   6.70933e-05
-1.44949e+02   6.71415e-05
-1.44449e+02   6.71897e-05
-1.43949e+02   6.72380e-05
-1.43449e+02   6.72864e-05
-1.42949e+02   6.73348e-05
-1.42449e+02   6.73833e-05
-1.41949e+02   6.74319e-05
-1.41449e+02   6.74805e-05
-1.40949e+02   6.75292e-05
-1.40449e+02   6.75779e-05
-1.39949e+02   6.76267e-05
-1.39449e+02   6.76756e-05
-1.38949e+02   6.77245e-05
-1.38449e+02   6.77735e-05
-1.37949e+02   6.78226e-05
-1.37449e+02   6.78717e-05
-1.36949e+02   6.79209e-05
-1.36449e+02   6.79702e-05
-1.35949e+02   6.80195e-05
-1.35449e+02   6.80689e-05
-1.34949e+02   6.81183e-05
-1.34449e+02   6.81679e-05
-1.33949e+02   6.82174e-05
-1.33449e+02   6.82671e-05
-1.32949e+02   6.83168e-05
-1.32449e+02   6.83666e-05
-1.31949e+02   6.84164e-05
-1.31449e+02   6.84664e-05
-1.30949e+02   6.85163e-05
-1.30449e+02   6.85664e-05
-1.29949e+02   6.86165e-05
-1.29449e+02   6.86667e-05
-1.28949e+02   6.87170e-05
-1.28449e+02   6.87673e-05
-1.27949e+02   6.88177e-05
-1.27449e+02   6.88681e-05
-1.26949e+02   6.89186e-05
-1.26449e+02   6.89692e-05
-1.25949e+02   6.90199e-05
-1.25449e+02   6.90706e-05
-1.24949e+02   6.91214e-05
-1.24449e+02   6.91723e-05
-1.23949e+02   6.92233e-05
-1.23449e+02   6.92743e-05
-1.22949e+02   6.93254e-05
-1.22449e+02   6.93765e-05
-1.21949e+02   6.94277e-05
-1.21449e+02   6.94790e-05
-1.20949e+02   6.95304e-05
-1.20449e+02   6.95818e-05
-1.19949e+02   6.96334e-05
-1.19449e+02   6.96849e-05
-1.18949e+02   6.97366e-05
-1.18449e+02   6.97883e-05
-1.17949e+02   6.98401e-05
-1.17449e+02   6.98920e-05
-1.16949e+02   6.99440e-05
-1.16449e+02   6.99960e-05
-1.15949e+02   7.00481e-05
-1.15449e+02   7.01003e-05
-1.14949e+02   7.01525e-05
-1.14449e+02   7.02048e-05
-1.13949e+02   7.02572e-05
-1.13449e+02   7.03097e-05
-1.12949e+02   7.03623e-05
-1.12449e+02   7.04149e-05
-1.11949e+02   7.04676e-05
-1.11449e+02   7.05204e-05
-1.10949e+02   7.05732e-05
-1.10449e+02   7.06262e-05
-1.09949e+02   7.06792e-05
-1.09449e+02   7.07323e-05
-1.08949e+02   7.07854e-05
-1.08449e+02   7.08387e-05
-1.07949e+02   7.08920e-05
-1.07449e+02   7.09454e-05
-1.06949e+02   7.09989e-05
-1.06449e+02   7.10525e-05
-1.05949e+02   7.11061e-05
-1.05449e+02   7.11599e-05
-1.04949e+02   7.12137e-05
-1.04449e+02   7.12676e-05
-1.03949e+02   7.13215e-05
-1.03449e+02   7.13756e-05
-1.02949e+02   7.14297e-05
-1.02449e+02   7.14840e-05
-1.01949e+02   7.15383e-05
-1.01449e+02   7.15927e-05
-1.00949e+02   7.16471e-05
-1.00449e+02   7.17017e-05
-9.99488e+01   7.17563e-05
-9.94488e+01   7.18111e-05
-9.89488e+01   7.18659e-05
-9.84488e+01   7.19208e-05
-9.79488e+01   7.19758e-05
-9.74488e+01   7.20309e-05
-9.69488e+01   7.20860e-05
-9.64488e+01   7.21413e-05
