
 Fermi energy:        -4.6408028563

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3306      1.00000
      2     -23.9945      1.00000
      3     -23.9653      1.00000
      4     -23.9317      1.00000
      5     -23.8988      1.00000
      6     -23.8269      1.00000
      7     -23.6588      1.00000
      8     -23.2005      1.00000
      9     -23.1392      1.00000
     10     -23.1380      1.00000
     11     -23.0753      1.00000
     12     -23.0124      1.00000
     13     -23.0057      1.00000
     14     -22.8289      1.00000
     15     -22.7457      1.00000
     16     -22.7306      1.00000
     17     -22.6745      1.00000
     18     -22.5605      1.00000
     19     -22.4397      1.00000
     20     -21.8983      1.00000
     21     -21.7782      1.00000
     22     -21.7672      1.00000
     23     -21.7655      1.00000
     24     -21.7604      1.00000
     25     -21.7508      1.00000
     26     -21.7333      1.00000
     27     -21.6977      1.00000
     28     -21.6399      1.00000
     29     -21.5829      1.00000
     30     -21.4995      1.00000
     31     -21.4356      1.00000
     32     -21.3462      1.00000
     33     -21.2786      1.00000
     34     -21.2488      1.00000
     35     -21.1950      1.00000
     36     -21.0467      1.00000
     37     -20.9830      1.00000
     38     -20.8324      1.00000
     39     -20.8263      1.00000
     40     -20.7771      1.00000
     41     -20.7587      1.00000
     42     -20.7159      1.00000
     43     -20.6770      1.00000
     44     -20.6507      1.00000
     45     -20.6067      1.00000
     46     -20.3998      1.00000
     47     -20.2633      1.00000
     48     -18.7794      1.00000
     49     -16.7904      1.00000
     50     -14.6640      1.00000
     51     -14.4530      1.00000
     52     -14.4248      1.00000
     53     -14.3973      1.00000
     54     -14.3705      1.00000
     55     -14.3516      1.00000
     56     -14.2833      1.00000
     57     -14.2159      1.00000
     58     -14.1900      1.00000
     59     -14.1228      1.00000
     60     -14.0351      1.00000
     61     -13.8865      1.00000
     62     -13.7051      1.00000
     63     -13.6444      1.00000
     64     -13.6144      1.00000
     65     -13.5083      1.00000
     66     -13.4793      1.00000
     67     -13.4300      1.00000
     68     -13.0268      1.00000
     69     -12.9618      1.00000
     70     -12.9277      1.00000
     71     -12.9200      1.00000
     72     -12.9173      1.00000
     73     -12.8890      1.00000
     74     -12.8538      1.00000
     75     -12.7785      1.00000
     76     -12.7234      1.00000
     77     -12.6030      1.00000
     78     -12.5816      1.00000
     79     -12.4307      1.00000
     80     -12.2361      1.00000
     81     -12.1721      1.00000
     82     -12.1559      1.00000
     83     -12.0627      1.00000
     84     -11.9991      1.00000
     85     -11.7186      1.00000
     86     -11.4314      1.00000
     87     -11.3576      1.00000
     88     -11.3271      1.00000
     89     -11.2508      1.00000
     90     -11.1745      1.00000
     91     -10.9256      1.00000
     92     -10.6687      1.00000
     93     -10.6411      1.00000
     94     -10.5813      1.00000
     95     -10.5756      1.00000
     96     -10.5439      1.00000
     97     -10.5292      1.00000
     98     -10.5010      1.00000
     99     -10.2978      1.00000
    100     -10.2123      1.00000
    101     -10.1913      1.00000
    102     -10.1803      1.00000
    103     -10.1659      1.00000
    104     -10.1464      1.00000
    105     -10.1263      1.00000
    106     -10.1215      1.00000
    107     -10.0977      1.00000
    108     -10.0887      1.00000
    109     -10.0879      1.00000
    110     -10.0726      1.00000
    111     -10.0679      1.00000
    112     -10.0361      1.00000
    113      -9.9867      1.00000
    114      -9.9813      1.00000
    115      -9.9300      1.00000
    116      -9.9106      1.00000
    117      -9.7893      1.00000
    118      -9.7570      1.00000
    119      -9.7156      1.00000
    120      -9.6329      1.00000
    121      -9.5914      1.00000
    122      -9.4020      1.00000
    123      -9.3832      1.00000
    124      -9.3453      1.00000
    125      -9.3225      1.00000
    126      -9.1081      1.00000
    127      -9.0170      1.00000
    128      -8.9647      1.00000
    129      -8.9398      1.00000
    130      -8.9194      1.00000
    131      -8.8890      1.00000
    132      -8.8318      1.00000
    133      -8.7746      1.00000
    134      -8.7236      1.00000
    135      -8.6603      1.00000
    136      -8.6283      1.00000
    137      -8.6016      1.00000
    138      -8.5740      1.00000
    139      -8.5712      1.00000
    140      -8.5452      1.00000
    141      -8.4661      1.00000
    142      -8.4651      1.00000
    143      -8.3885      1.00000
    144      -8.3735      1.00000
    145      -8.3633      1.00000
    146      -8.3422      1.00000
    147      -8.2711      1.00000
    148      -8.2624      1.00000
    149      -8.1956      1.00000
    150      -8.1745      1.00000
    151      -8.1189      1.00000
    152      -8.0253      1.00000
    153      -7.9756      1.00000
    154      -7.7918      1.00000
    155      -7.6869      1.00000
    156      -7.6364      1.00000
    157      -7.5375      1.00000
    158      -7.4102      1.00000
    159      -7.1922      1.00000
    160      -7.1604      1.00000
    161      -7.0465      1.00000
    162      -6.9840      1.00000
    163      -6.9755      1.00000
    164      -6.9706      1.00000
    165      -6.9589      1.00000
    166      -6.9572      1.00000
    167      -6.9339      1.00000
    168      -6.8892      1.00000
    169      -6.8704      1.00000
    170      -6.8252      1.00000
    171      -6.7692      1.00000
    172      -6.7146      1.00000
    173      -6.6441      1.00000
    174      -6.5243      1.00000
    175      -6.4044      1.00000
    176      -6.3551      1.00000
    177      -6.3135      1.00000
    178      -6.2787      1.00000
    179      -6.2473      1.00000
    180      -6.1803      1.00000
    181      -5.9756      1.00000
    182      -5.8744      1.00000
    183      -5.6872      1.00000
    184      -5.5606      1.00000
    185      -5.5547      1.00000
    186      -5.5027      1.00000
    187      -5.4957      1.00000
    188      -5.3939      1.00000
    189      -5.3642      1.00000
    190      -5.2996      1.00000
    191      -5.2575      1.00000
    192      -5.1147      1.00000
    193      -5.0741      1.00000
    194      -4.9547      1.00000
    195      -3.0367      0.00000
    196      -2.3503      0.00000
    197       0.7734      0.00000
    198       0.8632      0.00000
    199       1.3476      0.00000
    200       1.3578      0.00000
    201       1.3854      0.00000
    202       1.4161      0.00000
    203       1.4281      0.00000
    204       1.4650      0.00000
    205       1.4742      0.00000
    206       1.4804      0.00000
    207       1.4943      0.00000
    208       1.5470      0.00000
    209       1.5639      0.00000
    210       1.5746      0.00000
    211       1.5862      0.00000
    212       1.6274      0.00000
    213       1.6651      0.00000
    214       1.7079      0.00000
    215       1.7853      0.00000
    216       1.8215      0.00000
    217       1.8836      0.00000
    218       1.9061      0.00000
    219       1.9529      0.00000
    220       2.0095      0.00000
    221       2.0725      0.00000
    222       2.2078      0.00000
    223       2.3567      0.00000
    224       2.3696      0.00000
    225       2.3828      0.00000
    226       2.4307      0.00000
    227       2.4428      0.00000
    228       2.4872      0.00000
    229       2.5595      0.00000
    230       2.7996      0.00000
    231       2.8248      0.00000
    232       2.8264      0.00000
    233       2.8325      0.00000
    234       2.8386      0.00000
    235       2.8439      0.00000
    236       2.8597      0.00000
    237       2.8762      0.00000
    238       2.8800      0.00000
    239       2.8988      0.00000
    240       2.9291      0.00000
    241       3.0086      0.00000
    242       3.0279      0.00000
    243       3.1402      0.00000
    244       3.1615      0.00000
    245       3.1911      0.00000
    246       3.2262      0.00000
    247       3.3713      0.00000
    248       3.4497      0.00000
    249       3.5364      0.00000
    250       3.5799      0.00000
    251       3.6076      0.00000
    252       3.6878      0.00000
 Fermi energy:        -4.1235880732

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3385      1.00000
      2     -24.0192      1.00000
      3     -23.9716      1.00000
      4     -23.9405      1.00000
      5     -23.9052      1.00000
      6     -23.8349      1.00000
      7     -23.7076      1.00000
      8     -23.2933      1.00000
      9     -23.1523      1.00000
     10     -23.1257      1.00000
     11     -23.0852      1.00000
     12     -23.0287      1.00000
     13     -22.9919      1.00000
     14     -22.8574      1.00000
     15     -22.7460      1.00000
     16     -22.7125      1.00000
     17     -22.6803      1.00000
     18     -22.5414      1.00000
     19     -22.3692      1.00000
     20     -21.9116      1.00000
     21     -21.7855      1.00000
     22     -21.7805      1.00000
     23     -21.7700      1.00000
     24     -21.7630      1.00000
     25     -21.7525      1.00000
     26     -21.7228      1.00000
     27     -21.6963      1.00000
     28     -21.6018      1.00000
     29     -21.5492      1.00000
     30     -21.5008      1.00000
     31     -21.3999      1.00000
     32     -21.3371      1.00000
     33     -21.2739      1.00000
     34     -21.2465      1.00000
     35     -21.1734      1.00000
     36     -21.0169      1.00000
     37     -20.9244      1.00000
     38     -20.8360      1.00000
     39     -20.8282      1.00000
     40     -20.7650      1.00000
     41     -20.7298      1.00000
     42     -20.6943      1.00000
     43     -20.6593      1.00000
     44     -20.6348      1.00000
     45     -20.5872      1.00000
     46     -19.6139      1.00000
     47     -19.4391      1.00000
     48     -19.1638      1.00000
     49     -17.3933      1.00000
     50     -14.7275      1.00000
     51     -14.4531      1.00000
     52     -14.4213      1.00000
     53     -14.3964      1.00000
     54     -14.3683      1.00000
     55     -14.3513      1.00000
     56     -14.2767      1.00000
     57     -14.2143      1.00000
     58     -14.1936      1.00000
     59     -14.1213      1.00000
     60     -14.0222      1.00000
     61     -13.8588      1.00000
     62     -13.7066      1.00000
     63     -13.6413      1.00000
     64     -13.6157      1.00000
     65     -13.4785      1.00000
     66     -13.4519      1.00000
     67     -13.4215      1.00000
     68     -13.0376      1.00000
     69     -12.9654      1.00000
