
 Fermi energy:         0.4178801718

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -30.3869      1.00000
      2     -24.5114      1.00000
      3     -24.2658      1.00000
      4     -24.2506      1.00000
      5     -24.0573      1.00000
      6     -24.0551      1.00000
      7     -24.0422      1.00000
      8     -24.0124      1.00000
      9     -23.4613      1.00000
     10     -23.4504      1.00000
     11     -23.3366      1.00000
     12     -23.3357      1.00000
     13     -23.2928      1.00000
     14     -23.1246      1.00000
     15     -22.9586      1.00000
     16     -22.9571      1.00000
     17     -22.9535      1.00000
     18     -22.9532      1.00000
     19     -22.9203      1.00000
     20     -22.6959      1.00000
     21     -22.1203      1.00000
     22     -22.0959      1.00000
     23     -22.0923      1.00000
     24     -22.0782      1.00000
     25     -22.0639      1.00000
     26     -21.8924      1.00000
     27     -21.8895      1.00000
     28     -21.8717      1.00000
     29     -21.8618      1.00000
     30     -21.8575      1.00000
     31     -21.8430      1.00000
     32     -21.6358      1.00000
     33     -21.5795      1.00000
     34     -21.5786      1.00000
     35     -21.4324      1.00000
     36     -21.4308      1.00000
     37     -21.4249      1.00000
     38     -21.2291      1.00000
     39     -21.1955      1.00000
     40     -21.0060      1.00000
     41     -21.0036      1.00000
     42     -20.9841      1.00000
     43     -20.9793      1.00000
     44     -20.8412      1.00000
     45     -20.8377      1.00000
     46     -20.7548      1.00000
     47     -20.7533      1.00000
     48     -20.7504      1.00000
     49     -20.7492      1.00000
     50     -16.5934      1.00000
     51     -16.5779      1.00000
     52     -14.8112      1.00000
     53     -14.6800      1.00000
     54     -14.6757      1.00000
     55     -14.5960      1.00000
     56     -14.4322      1.00000
     57     -14.4297      1.00000
     58     -14.4276      1.00000
     59     -14.4079      1.00000
     60     -14.3652      1.00000
     61     -14.3629      1.00000
     62     -14.1515      1.00000
     63     -14.1498      1.00000
     64     -13.9111      1.00000
     65     -13.9052      1.00000
     66     -13.8531      1.00000
     67     -13.8238      1.00000
     68     -13.5059      1.00000
     69     -13.5036      1.00000
     70     -13.3555      1.00000
     71     -13.1800      1.00000
     72     -13.1797      1.00000
     73     -13.1666      1.00000
     74     -13.1055      1.00000
     75     -13.0865      1.00000
     76     -13.0857      1.00000
     77     -13.0556      1.00000
     78     -13.0533      1.00000
     79     -13.0469      1.00000
     80     -12.7191      1.00000
     81     -12.7022      1.00000
     82     -12.6946      1.00000
     83     -12.4627      1.00000
     84     -12.4588      1.00000
     85     -12.3196      1.00000
     86     -12.3179      1.00000
     87     -11.9578      1.00000
     88     -11.9500      1.00000
     89     -11.7456      1.00000
     90     -11.6403      1.00000
     91     -11.6374      1.00000
     92     -11.6141      1.00000
     93     -11.3589      1.00000
     94     -11.3570      1.00000
     95     -10.9872      1.00000
     96     -10.8651      1.00000
     97     -10.8607      1.00000
     98     -10.8275      1.00000
     99     -10.6861      1.00000
    100     -10.6374      1.00000
    101     -10.6335      1.00000
    102     -10.4951      1.00000
    103     -10.4624      1.00000
    104     -10.4611      1.00000
    105     -10.4342      1.00000
    106     -10.4230      1.00000
    107     -10.3834      1.00000
    108     -10.3802      1.00000
    109     -10.3590      1.00000
    110     -10.3584      1.00000
    111     -10.3480      1.00000
    112     -10.3187      1.00000
    113     -10.3070      1.00000
    114     -10.2727      1.00000
    115     -10.2489      1.00000
    116     -10.2485      1.00000
    117     -10.2410      1.00000
    118     -10.2401      1.00000
    119     -10.2386      1.00000
    120     -10.1563      1.00000
    121     -10.1535      1.00000
    122     -10.1193      1.00000
    123      -9.8849      1.00000
    124      -9.7273      1.00000
    125      -9.7221      1.00000
    126      -9.6712      1.00000
    127      -9.5102      1.00000
    128      -9.5070      1.00000
    129      -9.5056      1.00000
    130      -9.2173      1.00000
    131      -9.2084      1.00000
    132      -9.1993      1.00000
    133      -9.1989      1.00000
    134      -9.1065      1.00000
    135      -9.1057      1.00000
    136      -9.0764      1.00000
    137      -8.9616      1.00000
    138      -8.9098      1.00000
    139      -8.9093      1.00000
