
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4062      1.00000
      2     -24.0230      1.00000
      3     -24.0221      1.00000
      4     -24.0137      1.00000
      5     -23.9923      1.00000
      6     -23.9807      1.00000
      7     -23.7630      1.00000
      8     -23.2160      1.00000
      9     -23.2047      1.00000
     10     -23.1906      1.00000
     11     -23.1692      1.00000
     12     -23.1578      1.00000
     13     -23.0444      1.00000
     14     -22.8361      1.00000
     15     -22.8232      1.00000
     16     -22.8185      1.00000
     17     -22.7741      1.00000
     18     -22.7571      1.00000
     19     -22.4341      1.00000
     20     -21.8526      1.00000
     21     -21.8335      1.00000
     22     -21.8269      1.00000
     23     -21.8254      1.00000
     24     -21.8218      1.00000
     25     -21.8132      1.00000
     26     -21.8110      1.00000
     27     -21.8005      1.00000
     28     -21.7628      1.00000
     29     -21.6844      1.00000
     30     -21.6717      1.00000
     31     -21.4904      1.00000
     32     -21.4063      1.00000
     33     -21.3721      1.00000
     34     -21.3694      1.00000
     35     -21.2672      1.00000
     36     -21.2451      1.00000
     37     -20.9772      1.00000
     38     -20.8873      1.00000
     39     -20.8860      1.00000
     40     -20.8783      1.00000
     41     -20.8343      1.00000
     42     -20.7986      1.00000
     43     -20.7908      1.00000
     44     -20.7107      1.00000
     45     -20.6978      1.00000
     46     -20.6807      1.00000
     47     -20.4888      1.00000
     48     -20.2984      1.00000
     49     -19.9659      1.00000
     50     -14.5161      1.00000
     51     -14.5089      1.00000
     52     -14.4973      1.00000
     53     -14.4634      1.00000
     54     -14.4503      1.00000
     55     -14.4242      1.00000
     56     -14.3011      1.00000
     57     -14.2867      1.00000
     58     -14.2677      1.00000
     59     -14.2032      1.00000
     60     -14.1849      1.00000
     61     -13.9718      1.00000
     62     -13.7391      1.00000
     63     -13.6995      1.00000
     64     -13.6985      1.00000
     65     -13.5937      1.00000
     66     -13.5616      1.00000
     67     -13.4968      1.00000
     68     -13.0267      1.00000
     69     -13.0043      1.00000
     70     -12.9970      1.00000
     71     -12.9922      1.00000
     72     -12.9877      1.00000
     73     -12.9808      1.00000
     74     -12.9745      1.00000
     75     -12.9211      1.00000
     76     -12.8638      1.00000
     77     -12.7690      1.00000
     78     -12.7492      1.00000
     79     -12.6021      1.00000
     80     -12.3397      1.00000
     81     -12.2746      1.00000
     82     -12.2710      1.00000
     83     -12.1182      1.00000
