# freq/cm-1  Intensity 
-1.77988e+02   3.58083e-04
-1.77488e+02   3.58808e-04
-1.76988e+02   3.59535e-04
-1.76488e+02   3.60264e-04
-1.75988e+02   3.60996e-04
-1.75488e+02   3.61730e-04
-1.74988e+02   3.62467e-04
-1.74488e+02   3.63206e-04
-1.73988e+02   3.63947e-04
-1.73488e+02   3.64691e-04
-1.72988e+02   3.65437e-04
-1.72488e+02   3.66186e-04
-1.71988e+02   3.66937e-04
-1.71488e+02   3.67691e-04
-1.70988e+02   3.68447e-04
-1.70488e+02   3.69206e-04
-1.69988e+02   3.69967e-04
-1.69488e+02   3.70731e-04
-1.68988e+02   3.71497e-04
-1.68488e+02   3.72266e-04
-1.67988e+02   3.73037e-04
-1.67488e+02   3.73811e-04
-1.66988e+02   3.74588e-04
-1.66488e+02   3.75367e-04
-1.65988e+02   3.76149e-04
-1.65488e+02   3.76933e-04
-1.64988e+02   3.77720e-04
-1.64488e+02   3.78509e-04
-1.63988e+02   3.79302e-04
-1.63488e+02   3.80097e-04
-1.62988e+02   3.80894e-04
-1.62488e+02   3.81694e-04
-1.61988e+02   3.82497e-04
-1.61488e+02   3.83303e-04
-1.60988e+02   3.84112e-04
-1.60488e+02   3.84923e-04
-1.59988e+02   3.85737e-04
-1.59488e+02   3.86553e-04
-1.58988e+02   3.87373e-04
-1.58488e+02   3.88195e-04
-1.57988e+02   3.89020e-04
-1.57488e+02   3.89848e-04
-1.56988e+02   3.90679e-04
-1.56488e+02   3.91513e-04
-1.55988e+02   3.92349e-04
-1.55488e+02   3.93188e-04
-1.54988e+02   3.94031e-04
-1.54488e+02   3.94876e-04
-1.53988e+02   3.95724e-04
-1.53488e+02   3.96575e-04
-1.52988e+02   3.97429e-04
-1.52488e+02   3.98286e-04
-1.51988e+02   3.99146e-04
-1.51488e+02   4.00009e-04
-1.50988e+02   4.00874e-04
-1.50488e+02   4.01743e-04
-1.49988e+02   4.02615e-04
-1.49488e+02   4.03490e-04
-1.48988e+02   4.04368e-04
-1.48488e+02   4.05249e-04
-1.47988e+02   4.06134e-04
-1.47488e+02   4.07021e-04
-1.46988e+02   4.07911e-04
-1.46488e+02   4.08805e-04
-1.45988e+02   4.09702e-04
-1.45488e+02   4.10602e-04
-1.44988e+02   4.11505e-04
-1.44488e+02   4.12411e-04
-1.43988e+02   4.13321e-04
-1.43488e+02   4.14233e-04
-1.42988e+02   4.15149e-04
-1.42488e+02   4.16069e-04
-1.41988e+02   4.16991e-04
-1.41488e+02   4.17917e-04
-1.40988e+02   4.18846e-04
-1.40488e+02   4.19779e-04
-1.39988e+02   4.20715e-04
-1.39488e+02   4.21654e-04
-1.38988e+02   4.22597e-04
-1.38488e+02   4.23543e-04
-1.37988e+02   4.24492e-04
-1.37488e+02   4.25445e-04
-1.36988e+02   4.26401e-04
-1.36488e+02   4.27361e-04
-1.35988e+02   4.28325e-04
-1.35488e+02   4.29291e-04
-1.34988e+02   4.30262e-04
-1.34488e+02   4.31236e-04
-1.33988e+02   4.32213e-04
-1.33488e+02   4.33194e-04
-1.32988e+02   4.34179e-04
-1.32488e+02   4.35167e-04
-1.31988e+02   4.36159e-04
-1.31488e+02   4.37154e-04
-1.30988e+02   4.38154e-04
-1.30488e+02   4.39156e-04
-1.29988e+02   4.40163e-04
-1.29488e+02   4.41173e-04
-1.28988e+02   4.42188e-04
-1.28488e+02   4.43205e-04
-1.27988e+02   4.44227e-04
-1.27488e+02   4.45253e-04
-1.26988e+02   4.46282e-04
-1.26488e+02   4.47315e-04
-1.25988e+02   4.48352e-04
-1.25488e+02   4.49393e-04
-1.24988e+02   4.50438e-04
-1.24488e+02   4.51486e-04
-1.23988e+02   4.52539e-04
-1.23488e+02   4.53596e-04
-1.22988e+02   4.54656e-04
