
 Fermi energy:         0.6787287020

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2885      1.00000
      2     -23.9358      1.00000
      3     -23.9011      1.00000
      4     -23.8841      1.00000
      5     -23.8503      1.00000
      6     -23.8113      1.00000
      7     -23.6266      1.00000
      8     -23.1165      1.00000
      9     -23.0599      1.00000
     10     -23.0438      1.00000
     11     -23.0262      1.00000
     12     -23.0156      1.00000
     13     -22.9375      1.00000
     14     -22.7182      1.00000
     15     -22.6834      1.00000
     16     -22.6604      1.00000
     17     -22.6056      1.00000
     18     -22.6053      1.00000
     19     -22.2899      1.00000
     20     -21.7382      1.00000
     21     -21.7351      1.00000
     22     -21.7150      1.00000
     23     -21.6930      1.00000
     24     -21.6751      1.00000
     25     -21.6652      1.00000
     26     -21.6607      1.00000
     27     -21.6539      1.00000
     28     -21.6010      1.00000
     29     -21.4961      1.00000
     30     -21.4830      1.00000
     31     -21.3780      1.00000
     32     -21.2467      1.00000
     33     -21.2173      1.00000
     34     -21.1750      1.00000
     35     -21.1011      1.00000
     36     -21.0935      1.00000
     37     -20.8473      1.00000
     38     -20.7581      1.00000
     39     -20.7507      1.00000
     40     -20.7123      1.00000
     41     -20.7056      1.00000
     42     -20.6540      1.00000
     43     -20.6477      1.00000
     44     -20.5366      1.00000
     45     -20.5038      1.00000
     46     -20.4859      1.00000
     47     -20.4243      1.00000
     48     -20.3944      1.00000
     49     -19.1469      1.00000
     50     -14.4276      1.00000
     51     -14.3724      1.00000
     52     -14.3668      1.00000
     53     -14.3611      1.00000
     54     -14.3195      1.00000
     55     -14.3115      1.00000
     56     -14.2170      1.00000
     57     -14.1480      1.00000
     58     -14.0934      1.00000
     59     -14.0372      1.00000
     60     -14.0197      1.00000
     61     -13.8746      1.00000
     62     -13.6170      1.00000
     63     -13.5890      1.00000
     64     -13.5370      1.00000
     65     -13.5215      1.00000
     66     -13.5023      1.00000
     67     -13.4225      1.00000
     68     -12.9911      1.00000
     69     -12.9796      1.00000
     70     -12.8626      1.00000
     71     -12.8290      1.00000
     72     -12.8124      1.00000
     73     -12.8026      1.00000
     74     -12.7958      1.00000
     75     -12.7700      1.00000
     76     -12.7658      1.00000
